timestamp,x,y,z
1508965383443654,1.00781,-0.00634766,0.0390625
1508965383467944,1.00635,-0.00683594,0.0332031
1508965383482980,0.981934,-0.0317383,0.0571289
1508965383504034,0.942383,-0.0751953,0.0683594
1508965383528083,0.914551,-0.0776367,0.0800781
1508965383543169,0.918457,-0.0664063,0.0756836
1508965383579207,0.941895,-0.0585938,0.0810547
1508965383588231,0.972168,0.015625,0.0698242
1508965383617307,1.03711,0.0756836,0.0224609
1508965383634366,1.09277,0.154297,-0.0375977
1508965383643385,1.08984,0.196289,-0.0454102
1508965383662457,1.14648,0.195313,-0.0429688
1508965383676491,1.17383,0.241211,-0.0361328
1508965383703775,1.17627,0.227051,-0.0488281
1508965383753818,1.14111,0.0883789,0.0292969
1508965383754829,1.14453,-0.159668,0.144043
1508965383761840,1.14893,-0.245117,0.169922
1508965383789179,1.11377,-0.188477,0.232422
1508965383798180,1.05273,-0.233887,0.284668
1508965383828348,1.02344,-0.297363,0.354004
1508965383857520,0.992188,-0.282715,0.464844
1508965383866449,0.946289,-0.265137,0.542969
1508965383888508,0.905273,-0.26123,0.588867
1508965383910618,0.829102,-0.289551,0.616211
1508965383925641,0.674805,-0.413086,0.58252
1508965383948862,0.59375,-0.422363,0.666016
1508965383969985,0.58252,-0.389648,0.778809
1508965383985959,0.486816,-0.239258,0.834961
1508965384008041,0.313965,-0.155273,0.881836
1508965384029215,0.177246,-0.275391,0.9375
1508965384046119,0.10791,-0.413086,0.972168
1508965384068300,-0.00195313,-0.410156,0.97168
1508965384089380,-0.0932617,-0.435547,0.934082
1508965384105382,-0.121582,-0.455078,0.899902
1508965384135616,-0.173828,-0.402344,0.865723
1508965384150540,-0.221191,-0.407227,0.838379
1508965384165544,-0.259277,-0.44043,0.844238
1508965384188604,-0.234375,-0.433105,0.803711
1508965384210664,-0.300293,-0.374512,0.81543
1508965384225701,-0.302246,-0.394531,0.810547
1508965384248765,-0.361816,-0.369629,0.757813
1508965384271826,-0.340332,-0.370117,0.786133
1508965384300904,-0.444336,-0.373535,0.78418
1508965384307923,-0.406738,-0.358887,0.743652
1508965384330992,-0.428711,-0.262695,0.750977
1508965384353267,-0.431641,-0.344727,0.753906
1508965384368295,-0.41748,-0.251465,0.726074
1508965384397394,-0.456543,-0.226074,0.760742
1508965384412434,-0.708984,-0.132324,0.549316
1508965384428479,-0.688965,-0.171387,0.591309
1508965384450535,-0.54248,-0.354004,0.654785
1508965384472606,-0.737793,-0.22168,0.61084
1508965384488649,-0.727051,-0.168945,0.584473
1508965384510689,-0.654785,-0.277832,0.668945
1508965384531732,-0.779297,-0.251465,0.664551
1508965384548850,-0.741211,-0.226563,0.703125
1508965384576888,-0.788574,-0.228516,0.702637
1508965384591927,-0.754883,-0.274414,0.694336
