timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1508965440888730,-7,-16,-12,0,-2,-2,-3,-9
1508965440888730,1,5,-2,-3,-3,-2,-1,7
1508965440897755,0,1,-1,0,-1,-2,0,0
1508965440897755,0,3,7,-2,-2,-1,-1,-1
1508965440897755,2,-4,-27,0,-1,0,-1,-1
1508965440897755,2,1,6,-2,-2,-1,-3,-2
1508965440898758,-1,-6,-4,-4,-3,-1,-1,-1
1508965440898758,-1,3,-6,-1,-3,-1,-1,-1
1508965440902768,3,3,8,3,2,2,3,5
1508965440902768,-5,-4,-10,2,2,-2,-1,-5
1508965440916834,2,16,8,2,0,1,-1,0
1508965440916834,-9,-18,-10,-5,-4,-4,-5,-5
1508965440924826,-3,-14,-2,-2,-2,-1,-3,-1
1508965440924826,0,-1,-11,0,-2,-1,0,-1
1508965440930873,-1,2,6,1,1,-1,-1,-3
1508965440930873,4,14,5,1,1,0,2,4
1508965440945909,5,9,6,0,0,1,1,0
1508965440945909,-5,-9,1,-4,-5,-2,-2,-2
1508965440962927,-2,-4,-2,-1,2,0,-1,0
1508965440962927,1,-1,-3,0,-1,-2,-1,-2
1508965440963930,-4,-8,1,-3,-2,-3,-2,-1
1508965440963930,1,7,11,0,2,2,2,-2
1508965441010054,1,-9,-5,-2,-1,1,-1,0
1508965441010054,-6,-17,-6,-2,0,-1,-2,-3
1508965441011057,-2,2,-5,-3,-2,0,-4,-2
1508965441011057,1,7,3,-1,0,-1,-1,-1
1508965441014120,0,-3,-1,-1,-5,0,1,-2
1508965441014120,6,9,2,4,-1,-1,2,7
1508965441015068,-5,-5,6,4,3,1,0,-1
1508965441015068,1,10,-1,1,3,0,-1,1
1508965441022088,2,-4,-3,1,3,-1,-1,0
1508965441022088,-7,-17,1,-9,-5,-1,-5,-4
1508965441028269,3,8,15,-4,-11,-2,-2,0
1508965441028269,-3,-7,-16,-3,-1,-2,-2,-2
1508965441037323,1,7,0,-1,-1,1,1,0
1508965441037323,-2,6,1,-3,-2,-4,-3,-1
1508965441051389,2,-10,-6,3,5,-1,0,-1
1508965441051389,3,6,8,3,-5,1,1,3
1508965441060386,-4,-4,-7,-5,-7,-6,-2,-2
1508965441060386,-2,-3,3,11,11,8,3,0
1508965441082489,1,8,1,-3,-9,-3,-2,-2
1508965441082489,0,-2,8,-3,-1,-3,-3,-1
1508965441083447,-1,7,-15,-12,16,-2,-2,-1
1508965441083447,0,-9,-1,-13,-24,-6,-2,0
1508965441096507,4,17,4,18,-16,6,2,1
1508965441096507,-1,-1,11,12,16,-3,-1,0
1508965441103548,-11,-60,-14,7,23,7,-2,-5
1508965441103548,-7,16,2,-12,-9,-1,-3,-6
1508965441119584,4,4,-6,-17,6,1,0,10
1508965441119584,-8,-14,-5,-7,-26,-4,-3,-9
1508965441121552,4,12,15,20,12,-4,0,1
1508965441121552,-4,0,-9,3,1,-2,-3,-3
1508965441142732,-7,-21,-12,-10,-13,-5,-1,-1
1508965441142732,4,19,-3,-2,-7,1,-3,-1
1508965441143735,20,71,23,-10,1,-1,5,9
1508965441143735,-6,-28,-13,-4,1,1,-2,-2
1508965441155911,-2,23,1,22,8,6,3,-3
1508965441155911,-2,-10,-5,10,48,9,3,0
1508965441164794,0,18,5,3,-34,-2,-6,-4
1508965441164794,6,5,0,-23,-20,-9,1,2
1508965441180024,2,-8,-7,6,2,-7,-5,-2
1508965441180024,-3,-17,-3,-9,-13,-1,-1,-2
1508965441181046,-9,-16,-3,6,52,8,1,-3
1508965441181046,10,13,2,-2,-14,3,2,4
1508965441202111,14,2,3,-4,-33,-2,2,6
1508965441202111,-16,-46,-17,-8,-4,-5,-2,-9
1508965441204072,-3,-4,3,4,8,1,-5,-6
1508965441204072,5,-16,-5,-5,73,0,5,10
1508965441216142,-92,-5,2,23,-69,1,-6,-23
1508965441216142,24,26,13,14,0,3,3,1
1508965441225128,-22,24,1,-23,-19,-5,-1,-5
1508965441225128,-44,-65,-20,-1,6,2,-8,-17
1508965441239299,34,-4,-7,-27,72,-3,2,14
1508965441239299,-4,25,4,0,-81,-2,0,7
1508965441241270,12,-28,-8,10,-1,-1,1,0
1508965441241270,30,58,14,7,7,0,3,8
1508965441262355,-13,-52,-29,-33,-1,-4,-6,-7
1508965441262355,16,6,12,33,21,8,3,5
1508965441263329,62,77,28,18,18,8,11,22
1508965441263329,-62,-63,-30,-4,-23,-8,-9,-26
1508965441276362,-2,-3,-7,-14,-2,-2,-5,-8
1508965441276362,30,21,-5,-32,-1,-9,-4,4
1508965441284523,-28,1,13,13,-42,-1,4,3
1508965441284523,9,100,25,23,15,4,2,2
1508965441299640,-44,28,13,0,5,3,1,-1
1508965441299640,-7,11,-8,-16,20,-3,-5,-8
1508965441301621,-2,-74,-21,-3,8,3,-5,-3
1508965441301621,40,42,12,24,-17,3,3,11
1508965441322680,34,-11,10,9,-11,1,6,6
1508965441322680,-4,-16,-7,-15,-7,-12,0,5
1508965441323685,-25,-25,-15,-33,-16,-2,-10,-14
1508965441323685,31,3,12,20,23,5,1,4
1508965441335758,28,-10,6,27,23,6,-3,1
