timestamp,x,y,z
1508964837772964,-2.0625,-0.125,-0.5
1508964837772964,2.5,-0.1875,0
1508964837794019,4.8125,0.1875,0.375
1508964837835132,2,0.125,0.0625
1508964837836132,-2.8125,0.125,-0.125
1508964837854217,-4,0.4375,-0.5
1508964837879246,-1.6875,1.6875,-0.1875
1508964837893292,3.1875,1.3125,1.5625
1508964837947433,6.125,0.875,1.0625
1508964837949470,4.125,0.6875,0.625
1508964837960504,2.25,-0.1875,0.375
1508964837975707,4.625,2.5625,0.5
1508964837997724,6.375,2.0625,2.4375
1508964838023757,8.375,-0.0625,0.625
1508964838073047,8.3125,-2.1875,-1.1875
1508964838073922,13.375,-0.4375,-3.9375
1508964838081033,11.625,-1.875,-6
1508964838094227,8.875,-2.5,-3.1875
1508964838117382,9.1875,-2.5625,-1.8125
1508964838139427,8.1875,-1.625,-2.3125
1508964838154548,3.875,-1.125,-1.5625
1508964838176752,4.4375,0.625,-0.9375
1508964838198837,4.25,1.1875,-1
1508964838213850,2.4375,1,-0.5
1508964838236781,5,0.375,-0.3125
1508964838258971,5.9375,-0.375,-0.5625
1508964838275905,5.5,0,0.9375
1508964838297027,3.375,0.25,1.375
1508964838336175,3.0625,-0.125,1.25
1508964838338063,7.4375,-0.375,1.375
1508964838357129,11.1875,-0.5,0.9375
1508964838382154,13.25,-1.5,1.6875
1508964838394190,19.4375,-4.125,0.6875
1508964838416384,32.0625,-6.125,1.375
1508964838439469,45.4375,-7.8125,1.5
1508964838454492,52.125,-7.375,2.75
1508964838476546,59.125,-5.3125,6
1508964838499487,66.0625,-7.8125,7.375
1508964838514509,75.5625,-9.5625,5.5625
1508964838536605,88.875,-10.4375,2.6875
1508964838559654,94.625,-8.5625,4.3125
1508964838573720,103.25,-5.5625,5.8125
1508964838599748,107.25,-2.5,1.1875
1508964838618785,81.1875,0,0.9375
1508964838641850,43.125,7,2.625
1508964838664049,17.8125,10.3125,4.125
1508964838678947,0.375,10.4375,-0.3125
1508964838702041,-17.5,11.1875,-6.4375
1508964838719066,-48.1875,14.625,-8.1875
1508964838739136,-78.1875,23.0625,-11.3125
1508964838778315,-109.75,31.0625,-5.625
1508964838781354,-138.75,46.0625,4.5625
1508964838799400,-151.938,66.625,18.1875
1508964838823438,-131.125,88.75,33.125
1508964838836496,-77.6875,123.063,55.3125
1508964838858554,-59.625,161.563,85.4375
1508964838882592,-62.625,183.625,106.188
1508964838896635,-61.4375,198.063,113
1508964838918688,-40.625,219,118.938
1508964838941749,-5.5625,228.938,153.313
1508964838956791,27.625,237.375,166.563
1508964838978848,24.1875,248,136.563
1508964839001909,13.8125,275.625,95.8125
1508964839016950,-12.3125,276.438,108.25
1508964839039009,5.875,275.188,116.375
1508964839061142,16.3125,292.625,96.8125
1508964839079117,18,305.313,86.5
1508964839102177,10.5625,294.938,83
1508964839121272,-4.125,279.688,82.1875
1508964839139281,0,268.563,80.5625
1508964839166486,12.1875,253.375,72.1875
1508964839181512,26.75,236.813,69.0625
1508964839199438,29.875,216.188,73.875
1508964839219553,11.875,196.688,71.5
1508964839241695,-1.9375,168,65.1875
1508964839259596,2.8125,149.25,61.625
1508964839281655,15.9375,125.063,57.9375
1508964839301843,24.5,102.75,52.3125
1508964839333956,15.3125,81.4375,40.625
1508964839340125,14.6875,69.75,35.6875
1508964839361054,12.9375,45.4375,29.75
1508964839387096,9.0625,35.5625,24
1508964839399128,10.5625,21.25,21.4375
1508964839421224,7.75,10.1875,9.625
1508964839447271,-0.125,3.375,-7.125
1508964839460308,-16.375,-10.625,-18
1508964839498392,-6.1875,-20.4375,-5.4375
1508964839500397,-0.0625,-28,-5.8125
1508964839520451,-17.0625,-22.8125,-16.375
1508964839551535,-12.875,-18.375,-20.1875
1508964839559556,-3.625,-16.375,-14.3125
1508964839580641,-10,-16.3125,-15.6875
1508964839604676,-13.5,-12.875,-15.125
1508964839619728,-10.625,-16.625,-12.5
1508964839655819,-7.9375,-14.125,-11
1508964839661830,-8.875,-16,-10
1508964839679886,-7.875,-13.375,-8.625
1508964839723013,-7.75,-8.1875,-7.875
1508964839726022,-2.125,-1.4375,-2.0625
1508964839739036,-2.3125,2,0.625
1508964839768110,-3.4375,2.6875,0.6875
1508964839781153,-1.125,3.3125,1.3125
1508964839799193,-0.25,1.875,3.375
1508964839830328,-0.125,1.75,4.125
1508964839841558,-0.0625,5.375,2.5625
1508964839862487,0.5625,3.25,1.1875
1508964839903741,0.75,1.1875,0.4375
1508964839905602,-1.125,1.25,0.125
1508964839934679,1.25,-0.375,-0.5
1508964839942701,3.4375,-2.25,-4.625
1508964839964761,-7.5625,-1.4375,-5.125
1508964839986818,4.375,-1.875,-5.5625
1508964840001857,-0.0625,5.25,-7.625
1508964840022025,-4.875,6.3125,-8.6875
1508964840045128,1.9375,2.375,-7.125
1508964840062021,0.4375,2.5625,-5.6875
1508964840082117,0.6875,1.6875,-5.5
1508964840107137,0.8125,0.9375,-3.25
1508964840122178,0.375,0.8125,-2.5625
1508964840149376,2.25,-0.25,-2.1875
1508964840167300,3.125,-1.5,-0.3125
1508964840182340,0.75,-2.5625,0.0625
1508964840209557,0.5,-3,-0.8125
1508964840219436,1.9375,-1.375,-1.75
1508964840242499,1.125,-2.3125,-1.4375
1508964840265560,-0.75,-1.9375,-2.3125
1508964840283628,-2.8125,0,-3.3125
1508964840301654,-1.0625,0.625,-4.125
1508964840330734,0.4375,0.9375,-3.625
1508964840343904,-1.625,1.6875,-3.875
1508964840361817,-1.625,1.3125,-3.25
1508964840382874,-1.6875,1.8125,-2.375
1508964840406934,-0.4375,1.3125,-0.75
1508964840436018,-1.1875,0.5,0.125
1508964840444107,-0.0625,-0.0625,1.125
1508964840464260,0.4375,1.75,1.875
1508964840497313,-0.3125,0.5625,1.9375
1508964840502657,1.0625,-0.0625,1.5625
