timestamp,x,y,z,w
1508965433221731,-0.043396,-0.668396,-0.0617065,0.739929
1508965433245804,-0.0420532,-0.668396,-0.0599976,0.740173
1508965433259844,-0.0403442,-0.668396,-0.0578003,0.740479
1508965433280960,-0.0380859,-0.66864,-0.0547485,0.740601
1508965433305024,-0.0356445,-0.668884,-0.0511475,0.740723
1508965433320045,-0.0327148,-0.669006,-0.0469971,0.741089
1508965433341086,-0.0302734,-0.668945,-0.0440063,0.741394
1508965433387185,-0.0301514,-0.668762,-0.0425415,0.741638
1508965433388174,-0.0311279,-0.668213,-0.0414429,0.742188
1508965433402252,-0.0314941,-0.667297,-0.0397949,0.743042
1508965433424307,-0.0311279,-0.666626,-0.0374756,0.743774
1508965433438340,-0.0296021,-0.665955,-0.0350342,0.744629
1508965433473508,-0.0272217,-0.665039,-0.0323486,0.745605
1508965433486573,-0.0244751,-0.663757,-0.02948,0.746948
1508965433523666,-0.022583,-0.662476,-0.0266113,0.74823
1508965433528676,-0.020752,-0.661011,-0.0231323,0.749756
1508965433543720,-0.0178223,-0.659485,-0.0185547,0.751221
1508965433566756,-0.0130005,-0.657776,-0.0125122,0.752991
1508965433580802,-0.00726318,-0.655518,-0.00488281,0.755127
1508965433604001,-0.00146484,-0.651978,0.00317383,0.75824
1508965433625995,0.00244141,-0.646057,0.00817871,0.763245
1508965433641029,0.000488281,-0.637634,0.00811768,0.770264
1508965433663008,-0.00952148,-0.627258,0.00488281,0.778748
1508965433686114,-0.0247192,-0.613708,0.003479,0.789124
1508965433701151,-0.041687,-0.597534,0.0043335,0.80072
1508965433723172,-0.0585938,-0.579102,0.00714111,0.81311
1508965433746231,-0.0745239,-0.558594,0.0119019,0.825989
1508965433761554,-0.0884399,-0.536499,0.0183105,0.83905
1508965433783597,-0.102844,-0.513428,0.0252075,0.851563
1508965433805769,-0.119141,-0.489319,0.0338745,0.863281
1508965433820783,-0.133789,-0.463196,0.0474243,0.874817
1508965433843869,-0.143066,-0.435547,0.0637817,0.886414
1508965433865923,-0.149902,-0.406677,0.0808716,0.897522
1508965433880975,-0.158203,-0.377014,0.0961914,0.907471
1508965433903989,-0.168152,-0.347107,0.108887,0.916199
1508965433926166,-0.178894,-0.316467,0.1203,0.923767
1508965433941231,-0.18866,-0.285095,0.131531,0.930481
1508965433971313,-0.196533,-0.252502,0.143616,0.936462
1508965433986341,-0.202942,-0.218994,0.154358,0.941772
1508965434001365,-0.209717,-0.184753,0.163452,0.946106
1508965434023474,-0.215759,-0.150208,0.171265,0.949463
1508965434045530,-0.221619,-0.117188,0.177307,0.95166
1508965434060689,-0.226563,-0.0847168,0.183105,0.95282
1508965434083713,-0.228882,-0.050415,0.188965,0.953552
1508965434105758,-0.2276,-0.0142822,0.191895,0.954529
1508965434120797,-0.227478,0.0219116,0.19519,0.953735
1508965434160933,-0.22937,0.0574951,0.200562,0.950684
1508965434165918,-0.231506,0.090271,0.204407,0.946777
1508965434181027,-0.235535,0.120544,0.207336,0.941772
1508965434203098,-0.24231,0.148132,0.211182,0.935242
1508965434226146,-0.246399,0.174316,0.214661,0.928833
1508965434241287,-0.251221,0.19812,0.219299,0.921692
1508965434263296,-0.257751,0.218872,0.225586,0.913635
1508965434294419,-0.266235,0.240234,0.231323,0.904358
1508965434300535,-0.269958,0.263062,0.236633,0.895447
1508965434323722,-0.269531,0.283875,0.242676,0.887573
1508965434345672,-0.269043,0.299255,0.249268,0.880859
1508965434363684,-0.269836,0.309265,0.255554,0.875305
1508965434383112,-0.270935,0.314941,0.261108,0.871277
1508965434415031,-0.272095,0.316956,0.265564,0.868896
1508965434421096,-0.275574,0.313538,0.267273,0.868469
1508965434443298,-0.278809,0.309875,0.26709,0.868835
1508965434466441,-0.281433,0.306458,0.264954,0.869812
1508965434481487,-0.283997,0.303894,0.262634,0.870605
1508965434504624,-0.286987,0.301636,0.260742,0.870972
1508965434528541,-0.290222,0.2995,0.258972,0.871155
1508965434543593,-0.292175,0.29834,0.257507,0.871338
1508965434564763,-0.293762,0.297058,0.256287,0.871643
1508965434586059,-0.29541,0.295593,0.254944,0.871948
1508965434604018,-0.296143,0.294678,0.253601,0.872375
1508965434627083,-0.296082,0.294556,0.252441,0.872803
1508965434646197,-0.296509,0.294556,0.250854,0.873108
1508965434664178,-0.297485,0.294312,0.249817,0.873169
1508965434694291,-0.297241,0.295227,0.249207,0.873108
1508965434706437,-0.296265,0.296753,0.24884,0.872986
1508965434724343,-0.295776,0.29834,0.248413,0.872742
1508965434745394,-0.295898,0.298767,0.247803,0.872742
1508965434766493,-0.29541,0.299377,0.247253,0.872864
1508965434783501,-0.294434,0.300049,0.246826,0.873108
1508965434804776,-0.293701,0.300781,0.246643,0.873108
1508965434825796,-0.293518,0.300293,0.247192,0.873169
1508965434849861,-0.293274,0.299805,0.247253,0.873413
1508965434865939,-0.292908,0.299988,0.245667,0.873962
1508965434886101,-0.29071,0.300598,0.24408,0.874878
1508965434904084,-0.289917,0.300293,0.243835,0.875366
1508965434926142,-0.290405,0.299194,0.243835,0.875549
1508965434946295,-0.289673,0.29895,0.243774,0.875916
1508965434971352,-0.288635,0.299194,0.244019,0.876099
1508965434986394,-0.288086,0.299561,0.244385,0.876038
1508965435006469,-0.288025,0.299805,0.24469,0.875916
1508965435028505,-0.288086,0.299255,0.244873,0.876038
1508965435046582,-0.288269,0.297668,0.244812,0.876526
1508965435065608,-0.288696,0.295654,0.244324,0.877197
1508965435088755,-0.288818,0.292908,0.243713,0.878235
1508965435106801,-0.289063,0.288696,0.242981,0.879761
1508965435127945,-0.289307,0.281921,0.242065,0.882141
1508965435148022,-0.289368,0.274658,0.23938,0.885132
1508965435166019,-0.287964,0.269897,0.235168,0.888184
1508965435186216,-0.286072,0.263733,0.229126,0.892212
1508965435208277,-0.286316,0.251587,0.221252,0.897583
1508965435226183,-0.284729,0.235107,0.213379,0.90448
1508965435249274,-0.28186,0.216187,0.205261,0.911926
1508965435268466,-0.279358,0.194641,0.195679,0.919617
1508965435286340,-0.277954,0.169739,0.183289,0.92749
1508965435307396,-0.277649,0.140076,0.171082,0.934875
1508965435328595,-0.275085,0.107422,0.160156,0.941833
1508965435346601,-0.270447,0.0712891,0.149658,0.948303
1508965435365797,-0.268799,0.029541,0.137451,0.952881
1508965435388711,-0.270264,-0.0128784,0.126099,0.954407
1508965435406783,-0.268799,-0.055603,0.115234,0.954651
1508965435427923,-0.264465,-0.098938,0.10437,0.953613
1508965435449014,-0.25647,-0.148743,0.0926514,0.9505
1508965435466023,-0.252747,-0.194702,0.0769043,0.94458
1508965435489083,-0.247131,-0.236755,0.0605469,0.937622
1508965435508161,-0.236145,-0.274414,0.0474243,0.930969
1508965435526189,-0.221802,-0.309021,0.0376587,0.924011
1508965435547239,-0.202393,-0.343384,0.0283203,0.916687
1508965435568325,-0.181335,-0.376953,0.0162964,0.908142
1508965435586342,-0.158264,-0.409424,0.00549316,0.898499
1508965435607399,-0.138733,-0.43927,-0.00366211,0.887573
1508965435628454,-0.124634,-0.467224,-0.0162964,0.875183
1508965435646504,-0.11853,-0.492249,-0.0338135,0.861694
1508965435667561,-0.11499,-0.515503,-0.0505371,0.847595
1508965435688628,-0.107422,-0.536682,-0.0639038,0.834473
1508965435706695,-0.0956421,-0.555786,-0.0734863,0.82251
1508965435727745,-0.0843506,-0.572937,-0.0817871,0.811157
1508965435748792,-0.0759888,-0.588257,-0.0896606,0.800049
1508965435765839,-0.0701294,-0.602295,-0.0964355,0.789307
1508965435788886,-0.0656128,-0.615784,-0.102417,0.778442
1508965435808148,-0.06073,-0.62677,-0.107483,0.769348
1508965435826152,-0.0548706,-0.635681,-0.110596,0.762024
1508965435849203,-0.0493774,-0.643921,-0.112,0.755249
1508965435868246,-0.0449829,-0.651428,-0.111816,0.749084
1508965435886377,-0.0405273,-0.657959,-0.111389,0.743652
1508965435908436,-0.0363159,-0.663147,-0.111755,0.739197
1508965435928522,-0.0346069,-0.667114,-0.113892,0.735352
1508965435951579,-0.0365601,-0.670044,-0.117676,0.732056
1508965435968600,-0.039978,-0.672241,-0.121033,0.729309
1508965435988848,-0.0422974,-0.674072,-0.122498,0.727173
1508965436013767,-0.043457,-0.675781,-0.124084,0.725281
1508965436028807,-0.0446777,-0.677368,-0.125488,0.72345
1508965436048912,-0.0446167,-0.67865,-0.125671,0.72229
1508965436078942,-0.0435791,-0.679871,-0.124573,0.721375
1508965436088966,-0.0424194,-0.681091,-0.12323,0.72052
1508965436108121,-0.0409546,-0.682739,-0.121216,0.71936
1508965436131349,-0.038269,-0.684509,-0.118103,0.718384
1508965436149229,-0.0349731,-0.686157,-0.113647,0.717712
1508965436168444,-0.0303345,-0.687683,-0.108398,0.717285
1508965436191339,-0.0262451,-0.688721,-0.103333,0.717163
1508965436208386,-0.0231934,-0.689514,-0.0996094,0.71698
1508965436228438,-0.0218506,-0.690125,-0.0973511,0.716736
1508965436250593,-0.022583,-0.690674,-0.0968628,0.716309
1508965436268547,-0.0249023,-0.690796,-0.0975952,0.716003
1508965436288645,-0.0278931,-0.690796,-0.0981445,0.71582
