timestamp,x,y,z
1508965798423972,0.969727,0.117188,0.074707
1508965798438038,0.970703,0.104492,0.0878906
1508965798453269,0.963867,0.11377,0.0869141
1508965798477251,0.950195,0.125488,0.0854492
1508965798498302,0.95459,0.11084,0.0942383
1508965798513339,0.956055,0.0986328,0.102539
1508965798537469,0.95166,0.106445,0.0947266
1508965798567525,0.957031,0.107422,0.0952148
1508965798578531,0.962891,0.11084,0.0869141
1508965798605614,0.974609,0.119141,0.0913086
1508965798620712,0.986328,0.121582,0.0883789
1508965798634743,0.994629,0.114746,0.0908203
1508965798656735,1.00195,0.125977,0.0996094
1508965798700928,0.986328,0.122559,0.113281
1508965798711090,1.00537,0.102051,0.12793
1508965798716979,1.03027,0.136719,0.11084
1508965798739289,1.03906,0.139648,0.138672
1508965798761240,1.02393,0.0708008,0.192871
1508965798784310,1.00586,0.0400391,0.230957
1508965798799348,1.021,0.00195313,0.225098
1508965798823386,1.10498,-0.00146484,0.187012
1508965798845443,1.07568,0.0429688,0.258301
1508965798866551,1.04688,0.0473633,0.279785
1508965798883300,1.06006,0.0234375,0.344727
1508965798905358,1.0625,-0.0732422,0.324707
1508965798919418,1.07422,-0.147949,0.355957
1508965798942480,1.04883,-0.274414,0.349609
1508965798965519,1.00732,-0.440918,0.355957
1508965798980651,0.941406,-0.50293,0.40918
1508965799002709,0.910645,-0.452148,0.454102
1508965799025772,0.855957,-0.388672,0.521484
1508965799039807,0.707031,-0.358398,0.565918
1508965799062869,0.539063,-0.51416,0.561035
1508965799092948,0.452637,-0.579102,0.763672
1508965799107052,0.429199,-0.583008,0.817871
1508965799123062,0.345215,-0.614746,0.829102
1508965799145594,0.200195,-0.619629,0.857422
1508965799166648,0.0766602,-0.561035,0.904785
1508965799182691,-0.123047,-0.536621,0.873535
1508965799205752,-0.158203,-0.703125,0.893066
1508965799226822,-0.158203,-0.757813,0.879395
1508965799242851,-0.166992,-0.694336,0.850098
1508965799264909,-0.208008,-0.641113,0.825195
1508965799285965,-0.256836,-0.688965,0.75293
1508965799303012,-0.289063,-0.658203,0.737793
1508965799325069,-0.21582,-0.649414,0.760254
1508965799346126,-0.26709,-0.614746,0.695801
1508965799363171,-0.320801,-0.594238,0.630371
1508965799385230,-0.339844,-0.54248,0.572754
1508965799406285,-0.280273,-0.51709,0.620605
1508965799423336,-0.396484,-0.506836,0.563965
1508965799445389,-0.532715,-0.458496,0.515625
1508965799466446,-0.577637,-0.415039,0.51123
1508965799482488,-0.54834,-0.366211,0.533691
