timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1508965812339148,-1,0,-1,0,0,0,1,1
1508965812339148,3,-1,1,-1,-1,-4,-1,-2
1508965812340150,-3,-1,0,-2,-1,-1,-2,-4
1508965812340150,-3,-6,-3,-2,-1,-1,-2,-2
1508965812341153,3,3,0,1,-1,-2,-2,0
1508965812341153,-5,-1,-5,-3,-1,1,0,-1
1508965812344169,1,3,4,0,3,1,2,2
1508965812344169,-4,-16,-16,-4,-1,-1,-2,-1
1508965812351181,-4,2,7,-1,-2,-2,-2,-3
1508965812351181,2,0,2,-2,0,0,0,2
1508965812359200,-4,3,0,-1,-2,-4,-4,-4
1508965812359200,-5,-2,-1,0,-3,-1,-4,-3
1508965812367222,-3,-9,-5,-2,-3,0,0,0
1508965812367222,3,10,4,3,1,1,-1,1
1508965812381396,8,25,18,4,0,1,3,2
1508965812381396,-1,-14,-6,-3,-1,-2,-3,1
1508965812392508,-1,-2,-4,-1,1,0,-1,-1
1508965812392508,-1,6,7,1,0,2,0,1
1508965812413479,-5,-22,-16,-5,-3,-2,1,-1
1508965812413479,7,14,7,1,-1,-1,3,14
1508965812416788,-2,0,-1,-1,-2,-2,-6,-14
1508965812416788,-3,6,7,1,4,2,1,-9
1508965812426869,-9,-14,-11,-5,-5,-4,-3,-4
1508965812426869,-2,-2,-1,0,9,0,-1,-6
1508965812467927,-12,-8,-5,0,-2,1,0,-16
1508965812467927,18,31,14,0,3,-2,-3,12
1508965812467927,1,-3,-1,1,-4,-2,-1,2
1508965812467927,2,8,8,4,-1,2,-2,-2
1508965812472941,1,0,2,5,7,1,0,-2
1508965812472941,-5,-15,-13,-6,-6,-3,1,4
1508965812473943,-1,-1,-2,-9,0,-2,-5,-7
1508965812473943,0,-7,-7,-2,15,4,5,6
1508965812478079,2,9,6,-6,-23,-5,-7,-6
1508965812478079,1,-1,6,12,-13,2,5,7
1508965812487014,-6,11,5,9,19,2,3,-8
1508965812487014,-7,-27,-17,-8,-8,-6,-10,-9
1508965812493143,0,1,8,-8,2,-1,1,4
1508965812493143,-3,-8,-19,-20,39,-2,-5,-3
1508965812510040,-4,-7,-5,-1,-78,-7,2,-3
1508965812510040,6,16,14,25,14,3,8,12
1508965812516194,4,5,0,4,35,7,-2,-2
1508965812516194,-11,-19,-6,-10,-20,0,-5,-10
1508965812539266,3,3,-4,-31,46,5,0,3
1508965812539266,-2,-5,-3,7,-44,-19,-1,1
1508965812540123,4,8,16,10,-75,-8,1,10
1508965812540123,-3,-7,-9,28,50,11,3,-3
1508965812553294,-2,-13,1,14,25,7,-1,1
1508965812553294,-4,-4,-1,-44,83,1,-6,-4
1508965812561206,-3,-6,-11,6,-83,-17,-5,-4
1508965812561206,4,5,3,-13,72,2,-1,3
1508965812576369,3,-1,4,-4,-100,-10,2,4
1508965812576369,2,5,3,27,28,8,-1,-1
1508965812577228,-1,-4,-6,-21,97,7,-5,-7
1508965812577228,5,5,2,-11,15,2,-10,-8
