timestamp,x,y,z
1508965898615119,-6.5625,1.6875,4
1508965898633169,-2.125,0.4375,4.75
1508965898652881,2.6875,0.25,5.75
1508965898676440,7.375,-0.5,4.0625
1508965898691479,10.375,-0.1875,3.75
1508965898713147,12.0625,3.375,2.375
1508965898736212,9.1875,5.9375,2.3125
1508965898767293,7.125,10.375,4.25
1508965898774310,7.875,16.375,6.625
1508965898789351,0.625,24.375,9.5
1508965898812438,-11.9375,29.5625,10.6875
1508965898832569,-21.875,35.125,10.625
1508965898849612,-27.5625,45.5,16.5
1508965898902756,-38,56,21.9375
1508965898903756,-56.375,58.3125,20.5625
1508965898910779,-76.4375,62.8125,26.3125
1508965898930972,-86.75,73.3125,37.5625
1508965898952933,-93.5,84.8125,51
1508965898976975,-97.625,101.063,79.6875
1508965898998054,-118.625,115.375,93.9375
1508965899015057,-136.063,125.063,104.438
1508965899037218,-101.688,134.75,122.75
1508965899058381,-92.75,135.313,152.813
1508965899074315,-72.4375,127.75,179.313
1508965899097376,-54.625,100.688,205.188
1508965899118598,24.75,93.9375,220.438
1508965899134485,69.5,116.063,214.875
1508965899157558,46.5625,123.625,226.563
1508965899178610,-21.8125,119.813,249
1508965899194658,-62.6875,123.063,249.563
1508965899223716,-40.3125,124.938,259.5
1508965899238755,-3.125,136.5,277
1508965899254925,29.25,159.875,280.813
1508965899277011,40.375,178.375,262.813
1508965899298067,20.875,184.625,261.813
1508965899315078,1.8125,193.938,271.313
1508965899337136,-10.875,209,266.813
1508965899358220,8.625,192.438,246.813
1508965899374262,27.875,183.75,248.125
1508965899397295,49.5625,187.625,226.5
1508965899418351,31.5,177.313,199.625
1508965899434406,8.25,146.375,186
1508965899458457,15.625,124.063,179.375
1508965899478568,17.625,111.25,159.5
1508965899493562,15.5,84.6875,131.375
1508965899517617,9.5,52.5,109.625
1508965899539832,9.8125,27,78.125
1508965899553872,-1.4375,12.5625,50.25
1508965899576954,-3.625,3.9375,18.9375
1508965899599994,-6.3125,-12,-0.5
1508965899614053,-9.375,-25.5,-35.75
1508965899637095,-20.25,-19.9375,-53.5
1508965899659151,-15.125,-18.1875,-42.5
1508965899674190,-4.5,-20.75,-31.6875
1508965899697250,-8.4375,-9.75,-32
1508965899719309,5.625,7.9375,-23.3125
1508965899734348,10.0625,12.5625,-16.3125
1508965899757436,6.5625,2.0625,-8.75
1508965899779469,4.1875,-3.375,-8.25
1508965899800524,1.5,-1.625,-8.5625
1508965899823622,8.4375,0.25,-6.0625
1508965899839629,11.375,-2.875,-2.3125
1508965899853671,9.875,-5.875,-0.6875
1508965899882743,10.3125,-6.75,-6.25
1508965899899790,9.0625,-6.5,-10.9375
1508965899921847,5.25,-8.8125,-12.875
1508965899942912,4.9375,-5.875,-13.3125
1508965899959949,4.9375,-1.8125,-14.5
1508965899988106,7.25,-3.6875,-18.0625
1508965900003343,2.8125,-8.5,-20.625
1508965900019331,5.4375,-11.5,-23.0625
1508965900042377,3.75,-13.1875,-24.5625
1508965900064458,6,-15.375,-29.75
1508965900078676,4.0625,-23.8125,-37.5625
1508965900102676,6.125,-33.125,-47.4375
1508965900124711,14.625,-46.4375,-58.6875
1508965900138991,13.625,-62.625,-69.25
1508965900162081,9.9375,-84.1875,-84.4375
1508965900185114,4.6875,-107.188,-103.438
1508965900199215,0.875,-129,-125.938
1508965900222473,-5.6875,-147.563,-141.063
1508965900244521,-12.125,-167.5,-158.75
1508965900266638,-23.75,-180.688,-180.5
1508965900282649,-29.375,-198.125,-201.75
1508965900304680,-24.875,-206.25,-212.25
1508965900325923,-27.5625,-198.813,-228
1508965900343930,-32.9375,-178.625,-247.313
1508965900364982,-20.1875,-161.875,-260.5
1508965900386197,0.125,-157.688,-266.375
1508965900402210,7.375,-172.75,-232.313
1508965900424290,7.1875,-173.313,-204.625
1508965900445323,12.625,-139.75,-220.75
1508965900462367,46.8125,-104.688,-219.125
1508965900484425,67.75,-101.063,-200.563
1508965900505480,48.5,-122.375,-194.375
1508965900521524,11.5,-139.125,-201.125
1508965900544588,-16.3125,-149.688,-202.938
1508965900565866,-24.5,-154.438,-204.625
1508965900581978,-36.5,-149.938,-222.188
1508965900605023,-42.75,-140.875,-240.375
1508965900626091,-37.625,-145.625,-216.188
1508965900642120,-23.6875,-144.5,-178.813
1508965900664181,36.0625,-130.563,-166.5
1508965900685673,128.5,-108.25,-124.125
1508965900701656,178.313,-85.75,-58.125
1508965900724715,169.875,-67.3125,-15.375
1508965900746190,131.5,-52.875,11.25
1508965900762153,105.438,-43.1875,34.25
1508965900785185,106.375,-36.5625,48.6875
1508965900806240,103.875,-28.6875,54.125
1508965900822287,80.5,-0.875,50.5625
1508965900844347,-3.25,8.5625,-9.875
1508965900865503,5.875,-13.875,-28
1508965900881528,22.1875,-10.1875,-24.1875
1508965900904592,41.3125,-8.25,-10.25
1508965900925692,22.875,-1.0625,1.375
1508965900941784,9.75,0.4375,0.5
1508965900965055,21.5625,-2.5625,-1.125
1508965900987175,34.8125,-7.4375,-1.625
1508965901001335,30.6875,-6.375,-1.5
1508965901024431,24.0625,-5.3125,-0.8125
1508965901047462,10.75,-3.5,0.4375
1508965901061496,1.3125,-2.8125,1.375
