timestamp,x,y,z,w
1508965825933546,-0.201721,-0.669067,-0.281494,0.657593
1508965825956605,-0.200073,-0.670471,-0.277954,0.658203
1508965825978664,-0.19812,-0.671997,-0.273926,0.658875
1508965825993705,-0.196228,-0.673401,-0.270142,0.659607
1508965826016767,-0.195129,-0.674255,-0.267395,0.660156
1508965826038871,-0.195007,-0.674866,-0.26532,0.660461
1508965826076950,-0.195374,-0.675171,-0.265076,0.660095
1508965826086009,-0.196228,-0.674744,-0.267578,0.659302
1508965826098987,-0.199097,-0.672241,-0.272522,0.658936
1508965826114048,-0.203552,-0.667969,-0.27832,0.659546
1508965826138120,-0.208313,-0.663086,-0.28418,0.6604
1508965826160205,-0.213074,-0.657959,-0.289978,0.66156
1508965826213322,-0.217834,-0.651062,-0.296265,0.664001
1508965826214295,-0.223328,-0.640747,-0.304565,0.668457
1508965826220307,-0.230408,-0.627625,-0.312683,0.674744
1508965826235347,-0.238159,-0.614136,-0.318359,0.681763
1508965826256574,-0.245361,-0.60022,-0.32196,0.689819
1508965826278651,-0.250305,-0.585815,-0.322205,0.700256
1508965826295713,-0.253113,-0.570496,-0.319885,0.71283
1508965826315756,-0.254639,-0.554504,-0.315735,0.726624
1508965826337959,-0.256531,-0.537781,-0.311157,0.740417
1508965826352996,-0.258972,-0.520142,-0.306641,0.753906
1508965826375950,-0.262207,-0.50116,-0.301941,0.767395
1508965826407151,-0.266846,-0.480957,-0.296875,0.78064
1508965826413140,-0.275269,-0.45874,-0.29126,0.793091
1508965826436120,-0.288086,-0.434082,-0.284302,0.804871
1508965826470200,-0.301453,-0.407959,-0.273865,0.817139
1508965826474201,-0.312317,-0.382446,-0.258301,0.830383
1508965826495438,-0.320801,-0.35791,-0.239075,0.843689
1508965826518581,-0.327026,-0.333191,-0.218384,0.856934
1508965826533034,-0.333374,-0.307312,-0.198486,0.868896
1508965826555973,-0.342407,-0.281494,-0.177063,0.878723
1508965826578383,-0.358032,-0.25238,-0.155579,0.885376
1508965826593330,-0.36908,-0.221008,-0.134033,0.8927
1508965826615352,-0.369568,-0.188416,-0.111633,0.903015
1508965826638486,-0.369934,-0.152283,-0.0875244,0.912292
1508965826653621,-0.374573,-0.115845,-0.0628052,0.917786
1508965826675641,-0.380066,-0.0780029,-0.0392456,0.920837
1508965826698601,-0.384827,-0.0373535,-0.0157471,0.922058
1508965826712746,-0.38562,0.00366211,0.00823975,0.922607
1508965826735810,-0.383362,0.045105,0.0313721,0.921936
1508965826757862,-0.380188,0.0861206,0.052063,0.919373
1508965826780903,-0.37439,0.125977,0.0716553,0.915894
1508965826795824,-0.368225,0.164734,0.0899658,0.910583
1508965826817883,-0.363098,0.201965,0.106689,0.90332
1508965826840971,-0.359619,0.237244,0.123291,0.893921
1508965826855007,-0.355408,0.269592,0.138977,0.884094
1508965826878040,-0.351501,0.299744,0.152222,0.873718
1508965826900099,-0.348877,0.32605,0.163513,0.86322
1508965826915175,-0.344116,0.350342,0.175232,0.853271
1508965826938201,-0.338196,0.371399,0.185608,0.844482
1508965826960274,-0.335022,0.387634,0.196472,0.835938
1508965826975299,-0.334961,0.398499,0.205261,0.828735
1508965827006383,-0.336121,0.405212,0.212463,0.823181
1508965827020421,-0.336731,0.409241,0.217041,0.819763
1508965827035463,-0.33844,0.410889,0.219421,0.817566
1508965827057519,-0.340759,0.409729,0.221558,0.816589
1508965827080580,-0.342285,0.407104,0.223511,0.816772
1508965827095656,-0.34375,0.404175,0.224121,0.817444
1508965827117749,-0.346436,0.400818,0.223145,0.818237
1508965827140817,-0.346802,0.398254,0.221802,0.819702
1508965827155815,-0.346436,0.396301,0.220825,0.821045
1508965827177994,-0.347351,0.394653,0.219543,0.821777
1508965827200924,-0.347473,0.393738,0.218811,0.822388
1508965827215990,-0.347046,0.39386,0.218201,0.822632
1508965827238133,-0.346191,0.394592,0.21875,0.82251
1508965827261104,-0.345703,0.395508,0.21991,0.82196
1508965827276138,-0.345398,0.396423,0.220825,0.821411
1508965827298325,-0.345337,0.397461,0.221191,0.820862
1508965827321222,-0.344055,0.397888,0.221558,0.821045
1508965827335399,-0.342529,0.398132,0.221863,0.821533
1508965827358344,-0.341858,0.397888,0.221558,0.822021
1508965827380472,-0.341919,0.397034,0.220947,0.82251
1508965827395481,-0.34198,0.394836,0.221436,0.823425
1508965827418506,-0.343018,0.392761,0.222168,0.823792
1508965827440585,-0.346313,0.391113,0.223267,0.822937
1508965827456734,-0.348206,0.390442,0.224609,0.822083
1508965827477887,-0.348511,0.390076,0.22522,0.82196
1508965827501025,-0.3479,0.389709,0.225281,0.822388
1508965827516998,-0.346741,0.389771,0.225098,0.822876
1508965827538404,-0.344971,0.389099,0.225342,0.823853
1508965827560311,-0.343018,0.387451,0.225525,0.825439
1508965827577356,-0.341003,0.385315,0.224731,0.827454
1508965827598411,-0.339539,0.38269,0.223267,0.829651
1508965827620470,-0.337891,0.37915,0.221069,0.83252
1508965827637525,-0.336487,0.373962,0.218628,0.836121
1508965827658600,-0.335938,0.367371,0.214844,0.84021
1508965827680704,-0.337341,0.35907,0.208252,0.844849
1508965827696673,-0.340515,0.34845,0.198914,0.850281
1508965827717886,-0.342957,0.33551,0.187988,0.856995
1508965827741072,-0.345398,0.320129,0.176575,0.864258
1508965827758092,-0.349304,0.302124,0.164978,0.87146
1508965827778254,-0.353821,0.282349,0.152039,0.878601
1508965827801200,-0.358521,0.259521,0.136108,0.886292
1508965827818218,-0.363525,0.233398,0.115234,0.89447
1508965827841283,-0.368225,0.203735,0.0930176,0.902344
1508965827860490,-0.371155,0.171692,0.0718384,0.909729
1508965827880382,-0.373413,0.136292,0.0522461,0.916077
1508965827898467,-0.376404,0.0991211,0.0332031,0.920532
1508965827920633,-0.377869,0.0604858,0.0130005,0.923767
1508965827943598,-0.376648,0.0201416,-0.00927734,0.926086
1508965827958631,-0.374695,-0.0200195,-0.0328369,0.926331
1508965827980771,-0.372803,-0.0585327,-0.0559082,0.924377
1508965828002983,-0.368042,-0.0993042,-0.0784302,0.921143
1508965828017930,-0.360535,-0.141174,-0.102356,0.916321
1508965828041083,-0.350281,-0.183594,-0.127808,0.909546
1508965828063132,-0.343079,-0.223022,-0.155396,0.899109
1508965828078063,-0.334045,-0.258972,-0.174866,0.889221
1508965828100381,-0.325806,-0.292175,-0.192139,0.878357
1508965828135339,-0.318665,-0.3255,-0.210022,0.865112
1508965828139349,-0.307312,-0.357483,-0.229187,0.851624
1508965828160563,-0.294189,-0.385254,-0.249023,0.83844
1508965828183462,-0.281494,-0.40979,-0.267151,0.8255
1508965828198506,-0.273804,-0.432739,-0.285583,0.81012
1508965828220601,-0.271667,-0.455688,-0.306213,0.790405
1508965828242816,-0.272034,-0.477844,-0.329712,0.767456
1508965828257928,-0.273071,-0.500671,-0.353271,0.741577
1508965828280970,-0.278015,-0.522156,-0.373169,0.714722
1508965828303052,-0.280457,-0.542114,-0.387939,0.690674
1508965828318072,-0.272644,-0.562683,-0.395142,0.672974
1508965828341065,-0.256104,-0.584961,-0.390808,0.662964
1508965828363173,-0.237305,-0.605957,-0.377625,0.658752
1508965828378145,-0.223022,-0.621643,-0.363647,0.656982
1508965828400210,-0.212036,-0.633667,-0.352539,0.655151
1508965828423227,-0.207153,-0.639893,-0.343323,0.65564
1508965828438392,-0.20752,-0.640503,-0.336426,0.658447
1508965828460640,-0.210938,-0.637634,-0.329285,0.663696
1508965828483611,-0.21521,-0.632019,-0.322388,0.671082
1508965828499618,-0.216187,-0.626526,-0.315918,0.678955
1508965828520817,-0.209656,-0.625793,-0.311279,0.683777
1508965828542878,-0.201721,-0.629272,-0.306885,0.684937
1508965828565925,-0.197021,-0.633545,-0.302734,0.684265
1508965828580840,-0.194641,-0.635803,-0.298828,0.68457
1508965828603039,-0.192444,-0.635498,-0.293701,0.687683
1508965828619964,-0.190247,-0.635498,-0.288879,0.690308
1508965828641096,-0.188171,-0.636902,-0.284607,0.691345
1508965828663180,-0.184448,-0.640381,-0.28125,0.690552
1508965828679260,-0.181091,-0.643311,-0.28064,0.688904
1508965828701189,-0.180298,-0.645142,-0.281738,0.686951
1508965828723355,-0.181763,-0.645874,-0.282593,0.685608
1508965828739284,-0.183228,-0.646118,-0.28302,0.684753
