timestamp,roll,pitch,yaw
1508965808802721,1.63343,-1.44707,-2.21629
1508965808825879,1.6192,-1.44737,-2.20453
1508965808840983,1.61091,-1.44911,-2.20019
1508965808865048,1.60954,-1.45128,-2.20251
1508965808886130,1.61566,-1.45397,-2.21091
1508965808901144,1.62951,-1.45681,-2.22559
1508965808955432,1.64432,-1.45857,-2.24103
1508965808957474,1.65624,-1.46062,-2.25328
1508965808962456,1.66517,-1.46249,-2.26049
1508965808979508,1.66556,-1.46361,-2.25667
1508965808998516,1.66245,-1.46561,-2.24822
1508965809021604,1.65631,-1.46634,-2.23681
1508965809039660,1.64858,-1.46687,-2.22127
1508965809080739,1.63568,-1.46739,-2.19828
1508965809090906,1.61018,-1.46646,-2.16352
1508965809096774,1.56842,-1.46683,-2.11547
1508965809118831,1.50397,-1.46718,-2.05013
1508965809140890,1.41077,-1.4655,-1.96265
1508965809164957,1.2851,-1.46188,-1.85114
1508965809186035,1.12527,-1.45559,-1.71615
1508965809203057,0.898817,-1.44662,-1.52931
1508965809225258,0.651644,-1.43029,-1.33713
1508965809246385,0.405801,-1.40946,-1.14865
1508965809262545,0.189757,-1.38302,-0.97892
1508965809285531,0.0268501,-1.34848,-0.848496
1508965809306921,-0.0926412,-1.3068,-0.749008
1508965809322844,-0.184597,-1.25885,-0.666396
1508965809345013,-0.261077,-1.20507,-0.59536
1508965809366950,-0.329112,-1.14774,-0.533342
1508965809383014,-0.398104,-1.0872,-0.475635
1508965809405042,-0.464677,-1.02159,-0.420107
1508965809426391,-0.516451,-0.952768,-0.371289
1508965809443303,-0.558126,-0.884467,-0.328793
1508965809465392,-0.593253,-0.816709,-0.289882
1508965809486454,-0.628805,-0.744908,-0.254953
1508965809502481,-0.667466,-0.666223,-0.227627
1508965809533543,-0.680871,-0.583884,-0.2119
1508965809546576,-0.679743,-0.496623,-0.198861
1508965809562640,-0.69667,-0.40872,-0.175624
1508965809585695,-0.717459,-0.319736,-0.146146
1508965809606194,-0.733325,-0.226086,-0.121095
1508965809623105,-0.741611,-0.129129,-0.107342
1508965809645196,-0.744167,-0.0335172,-0.0975849
1508965809666466,-0.739053,0.0631597,-0.086949
1508965809682482,-0.731869,0.156552,-0.0775303
1508965809705544,-0.732605,0.246912,-0.0757875
1508965809726598,-0.74131,0.334251,-0.0805666
1508965809741638,-0.751731,0.417413,-0.0857436
1508965809765703,-0.760391,0.490836,-0.0822934
1508965809788912,-0.763541,0.563019,-0.0770874
1508965809801950,-0.767123,0.632064,-0.0688104
1508965809825041,-0.767368,0.694292,-0.0565631
1508965809848069,-0.765645,0.751011,-0.0386679
1508965809862108,-0.760336,0.801268,-0.0165974
1508965809885292,-0.758093,0.848523,0.00247089
1508965809907390,-0.751878,0.889037,0.0196407
1508965809922390,-0.74099,0.917384,0.0431809
1508965809945454,-0.732995,0.93686,0.0636339
1508965809967536,-0.726791,0.950451,0.079131
1508965809982567,-0.720085,0.956489,0.0937809
1508965810005733,-0.718516,0.952941,0.101505
1508965810027761,-0.72386,0.942862,0.0996898
1508965810041846,-0.729547,0.932777,0.092931
1508965810071920,-0.736134,0.921183,0.0843952
1508965810087920,-0.740622,0.909448,0.0768511
1508965810110021,-0.745355,0.900855,0.0684044
1508965810132071,-0.752985,0.896033,0.0562656
1508965810148077,-0.759975,0.89192,0.0464655
1508965810170173,-0.760478,0.890034,0.0429253
1508965810191280,-0.758887,0.890776,0.0419574
1508965810214335,-0.760504,0.893684,0.0376563
1508965810230295,-0.759934,0.895766,0.0362525
1508965810251373,-0.757757,0.896367,0.0370566
1508965810267407,-0.75451,0.896256,0.0392075
1508965810290458,-0.753561,0.896752,0.0380226
1508965810311551,-0.752863,0.896061,0.0355662
1508965810327553,-0.752254,0.893502,0.0343025
1508965810356805,-0.752051,0.889571,0.0332921
1508965810372821,-0.753419,0.886141,0.0297843
1508965810387871,-0.75593,0.883375,0.0259275
1508965810409954,-0.756604,0.879336,0.0253824
