timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1508966376644373,0,0,-2,-2,1,-1,-1,-3
1508966376644373,0,0,-3,-1,-1,-1,0,-2
1508966376644373,-2,-3,-3,-2,-2,-1,-2,3
1508966376644373,2,11,2,-2,-1,0,-1,2
1508966376645325,1,1,2,1,2,0,1,1
1508966376645325,-7,-18,-7,0,0,-1,-2,-4
1508966376646330,-2,-3,0,-3,-1,0,0,-4
1508966376646330,0,-2,-2,1,-2,0,-2,0
1508966376657397,5,8,2,0,-2,2,1,2
1508966376657397,4,10,4,1,0,0,0,1
1508966376666398,-1,-6,0,-2,1,0,-2,0
1508966376666398,-4,-2,-4,-1,-1,-2,-2,-4
1508966376672447,-1,2,3,-1,-3,-3,4,1
1508966376672447,3,10,0,0,-3,0,-1,-2
1508966376688013,0,2,4,1,1,4,1,-1
1508966376688013,-5,-5,-10,-12,-5,-7,-4,-6
1508966376695306,0,2,4,-4,-2,-1,-2,0
1508966376695306,1,8,4,4,1,2,2,2
1508966376710345,5,5,9,9,5,3,5,4
1508966376710345,3,1,-5,-5,-4,-1,-1,1
1508966376718366,-4,2,-10,-12,-4,-6,-6,-5
1508966376718366,-7,-9,6,5,2,-3,-6,-5
1508966376731418,1,0,-11,12,21,0,0,-2
1508966376731418,4,-1,15,0,-17,2,6,3
1508966376774558,-7,-10,-2,13,-3,-9,-6,-5
1508966376774558,0,1,3,3,13,10,3,0
1508966376778578,-2,-1,-6,2,-1,-5,-6,-3
1508966376778578,-1,-2,1,4,23,3,-1,0
1508966376779053,1,13,5,-13,-17,0,-1,0
1508966376779053,-1,-5,-7,6,-6,-7,-3,-1
1508966376780079,1,2,8,5,-1,2,5,-2
1508966376780079,-4,-5,-11,-20,-7,-5,-4,-3
1508966376784612,-2,-4,-8,-10,3,-5,-3,0
1508966376784612,-2,-1,4,16,-9,-1,-3,-2
1508966376793293,3,3,3,0,26,16,4,3
1508966376793293,-4,-4,8,23,-5,-10,2,-2
1508966376799309,0,3,7,-9,-3,-3,-5,-2
1508966376799309,-2,-10,-40,-38,-1,35,6,0
1508966376814347,10,14,16,20,-17,38,37,17
1508966376814347,-5,-14,-10,-7,20,-88,-26,-5
1508966376821395,5,20,26,37,-37,4,-17,-16
1508966376821395,5,23,-13,-69,9,-7,1,5
1508966376845465,-9,-23,-8,-6,27,109,48,-9
1508966376845465,-1,3,17,14,-22,-63,-60,-6
1508966376846438,12,21,-1,-6,-30,-61,-42,-7
1508966376846438,-13,-18,19,33,-7,48,23,-2
1508966376860606,-13,-8,-11,-22,14,-32,-27,-10
1508966376860606,12,6,-2,12,10,127,89,28
1508966376860606,16,-1,24,70,36,-87,-24,3
1508966376860606,-6,-7,-14,-27,-87,-82,-35,-14
1508966376882753,-7,-6,-17,-11,6,56,10,4
1508966376882753,-11,-12,-10,-21,-21,-59,-22,-12
1508966376883776,5,-1,-18,-41,-23,29,15,7
1508966376883776,19,2,5,7,10,65,34,12
1508966376904579,-18,-11,9,-9,-47,-86,-44,-11
1508966376904579,7,24,13,28,4,38,19,2
1508966376905581,-3,-12,-9,-11,46,31,37,10
1508966376905581,6,8,7,25,29,-49,-47,-7
1508966376919789,13,-2,3,11,10,58,28,11
1508966376919789,-10,-13,-10,-16,24,-65,-9,-7
1508966376920728,-18,-23,-3,-6,-14,-30,2,-12
1508966376920728,6,11,9,19,51,12,-5,3
1508966376942988,-31,-19,-13,-11,52,-41,-47,-18
1508966376942988,17,-6,-13,-16,-63,31,47,10
1508966376942988,-20,0,-17,-26,20,20,3,0
1508966376942988,1,8,6,-12,-11,-8,-1,-2
1508966376964845,13,16,8,34,13,-54,-15,-2
1508966376964845,1,7,-1,0,-2,15,-14,-1
1508966376965848,-5,-19,-1,-16,21,36,21,4
1508966376965848,-6,-16,-23,-12,-4,-6,-9,-3
1508966376980389,6,-3,-2,-10,-32,1,4,4
1508966376980389,-7,-17,3,24,9,53,-3,-2
1508966376980889,6,-9,18,-4,3,-44,-11,1
1508966376980889,6,-3,35,60,26,37,28,10
1508966377002979,2,-7,-11,-7,-20,-38,-26,-5
1508966377002979,-13,-20,-39,-59,-17,-27,-26,-14
1508966377002979,4,6,0,-13,-20,54,17,8
1508966377002979,-4,-2,-1,23,42,-19,-11,-10
1508966377025181,8,15,12,9,-40,-19,25,10
1508966377025181,2,20,24,9,14,61,-11,-8
1508966377026014,-20,-6,-33,-34,-23,-90,-38,-22
1508966377026014,-3,0,7,6,9,20,12,-3
1508966377040196,-2,13,-3,9,-22,10,12,4
1508966377040196,3,8,14,-7,7,-15,-10,1
1508966377041174,3,2,-13,0,-6,20,14,7
1508966377041174,0,-4,2,-7,-24,-2,1,2
1508966377062257,12,3,5,20,39,1,6,1
1508966377062257,0,3,-9,-13,-9,16,15,7
1508966377063233,0,1,26,23,-3,7,-6,-3
1508966377063233,-8,-13,-31,-47,-34,-16,-1,-2
1508966377085321,2,-6,-12,-9,16,13,-6,2
1508966377085321,2,2,28,33,12,-35,10,3
1508966377085801,12,16,3,15,11,67,56,30
1508966377085801,-12,-2,-2,-16,-30,-48,-34,-36
1508966377099857,-6,-7,-3,-15,-22,-5,-16,-6
1508966377099857,3,1,-12,17,31,57,16,5
1508966377100860,-2,1,11,-11,-9,-71,-18,-5
1508966377100860,1,7,6,8,13,16,12,10
1508966377122919,-4,-2,10,-17,-24,-16,-6,-4
1508966377122919,-3,1,-2,-7,-9,-15,-10,-6
1508966377122919,2,-3,2,29,22,40,0,0
1508966377122919,-6,-5,-15,-19,-12,-4,1,4
1508966377145005,7,12,28,31,10,-17,-6,-4
1508966377145005,-10,-10,-41,-38,-18,-24,-11,-5
1508966377145990,1,1,3,21,13,42,8,-4
1508966377145990,-1,5,-7,-2,-7,-20,-7,1
1508966377159016,-10,-11,-1,-28,-9,7,5,-1
1508966377159016,5,6,4,-5,10,-30,-5,3
1508966377167065,-5,-10,-2,38,-10,11,6,-4
1508966377167065,16,37,54,33,34,29,23,13
1508966377182582,-10,-25,-35,-6,-16,-20,-25,-9
1508966377182582,-9,-13,-8,-25,-12,-12,-1,-3
1508966377183584,0,-8,-8,-9,-2,3,-12,-5
1508966377183584,-3,-5,8,14,-1,18,3,5
1508966377205144,3,7,7,23,15,6,11,0
1508966377205144,7,-12,-4,-16,-5,-53,-14,3
1508966377206148,0,10,-4,-16,-7,11,-3,-7
1508966377206148,8,-4,16,-2,-12,-1,1,4
1508966377219184,5,9,18,-2,-8,0,1,0
1508966377219184,-12,0,-13,9,19,15,-7,-7
1508966377227202,4,4,0,-11,3,4,11,-5
1508966377227202,-15,-7,5,20,5,-9,1,-3
1508966377242243,6,-1,-8,-7,-2,-3,-1,5
1508966377242243,11,23,27,17,-3,4,-4,7
1508966377243245,2,0,-12,-32,2,-12,13,17
1508966377243245,-9,-13,-16,1,-7,18,15,-25
1508966377265306,-3,-9,-11,-10,-3,84,7,4
1508966377265306,-3,-5,16,25,-7,-60,-23,-8
1508966377265306,-17,-21,-28,-25,-4,-1,-12,-9
1508966377265306,-1,-1,-22,-26,-15,-18,-20,4
1508966377279359,15,38,40,43,9,28,43,7
1508966377279359,12,-2,-9,-22,10,-8,-5,10
1508966377287866,-14,-8,-13,-4,-4,-1,5,-6
1508966377287866,-14,-9,-22,-11,-13,8,8,-13
1508966377302923,-23,1,9,1,3,-35,-6,-12
1508966377302923,6,14,16,25,3,37,-5,7
1508966377303925,24,1,8,-2,13,-22,-9,13
1508966377303925,-18,-9,1,19,-11,2,6,-2
1508966377325012,5,-10,-40,-33,21,-22,0,11
1508966377325012,-12,-14,2,11,-3,22,2,-19
1508966377326015,-2,-5,6,-20,8,6,14,3
1508966377326015,12,0,-2,16,-2,8,5,-8
1508966377339037,3,0,-10,-41,-31,-20,-30,-1
1508966377339037,0,-1,18,26,9,37,-5,21
1508966377348070,10,-5,-28,27,-11,2,-15,-3
1508966377348070,-20,33,20,-40,0,-28,5,-26
1508966377362114,15,-1,37,0,-6,-6,-15,5
1508966377362114,-37,-4,-13,-8,1,32,14,-27
1508966377363113,2,-5,-3,-8,-9,-33,8,13
1508966377363113,11,10,0,6,0,4,-3,9
1508966377385198,11,23,-34,50,9,-1,-1,4
1508966377385198,1,-16,31,-11,-2,4,40,16
1508966377386215,27,12,64,-3,-6,41,4,13
1508966377386215,-33,-37,-45,-2,15,-35,-2,2
1508966377400952,-18,6,26,-11,33,28,9,-19
1508966377400952,9,-11,-59,10,-4,-11,-9,-2
1508966377407999,7,27,35,32,-13,13,19,1
1508966377407999,29,16,43,-66,-6,-16,-30,29
1508966377423010,1,-6,4,10,-21,19,8,4
1508966377423010,0,-17,-39,8,10,-19,-1,-6
1508966377423010,-14,8,10,14,10,-4,-53,-1
1508966377423010,9,-6,26,23,-1,-52,-10,-3
1508966377445102,10,-29,-38,-57,-18,-28,-41,-3
1508966377445102,-2,8,-3,9,-7,3,8,-3
1508966377446071,0,5,-17,-3,1,1,-17,-1
1508966377446071,-29,-29,-53,-11,13,11,5,-9
1508966377459248,12,15,28,33,4,0,3,2
1508966377459248,10,3,16,-6,-3,-9,-9,-5
1508966377467155,-7,-6,-23,-28,-3,-9,-5,-5
1508966377467155,31,25,35,56,27,37,17,11
1508966377482703,-25,-6,-20,18,6,-11,7,-14
1508966377482703,-10,9,67,1,2,5,-3,1
1508966377483706,-10,6,-10,-16,-20,-33,-15,-11
1508966377483706,-3,-32,-43,-2,-18,41,58,-2
1508966377505164,17,7,5,11,8,-24,-4,1
1508966377505164,12,16,28,35,18,0,-4,10
1508966377506169,2,6,25,7,1,40,-2,-6
1508966377506169,0,3,0,-1,-13,-39,-43,7
1508966377519221,4,0,-24,-17,0,18,29,8
1508966377519221,1,27,27,-7,-19,-19,17,-14
1508966377527384,-27,-17,-13,8,4,-15,37,-17
1508966377527384,41,1,-6,7,2,51,5,0
1508966377542420,-50,-9,17,-19,3,-25,-8,-19
1508966377542420,5,-10,-51,-73,11,1,-5,5
1508966377543286,6,-4,-13,35,6,-20,-24,9
1508966377543286,2,-3,-11,-37,-7,-3,-22,1
1508966377565482,21,30,26,-15,-24,17,20,5
1508966377565482,-7,-42,-20,19,19,13,18,-1
1508966377565482,-9,-17,-9,-8,6,2,-8,-7
1508966377565482,-3,1,-16,-7,-1,-18,-23,4
1508966377579586,-5,-14,-14,-14,-2,9,11,-2
1508966377579586,-5,16,14,7,-33,-16,-4,2
1508966377587592,15,6,1,-14,15,23,62,17
1508966377587592,-7,1,10,39,5,-2,-14,-11
1508966377602796,-11,-17,-25,-5,10,22,-63,-8
1508966377602796,-6,3,3,-16,-9,-26,-33,-13
1508966377603759,-10,-6,-2,-1,-11,-43,-24,-1
1508966377603759,-2,14,26,-1,-6,32,34,-2
1508966377624806,4,-6,-12,-2,3,-42,-15,13
1508966377624806,13,12,5,2,-6,22,-15,3
1508966377625808,-10,-11,2,1,-4,2,-31,-18
1508966377625808,-1,-2,3,-24,-4,-24,-49,6
1508966377647871,-10,0,-17,32,-20,-21,12,-5
1508966377647871,3,-10,-39,-23,22,12,7,5
1508966377647871,-6,0,36,24,-7,15,11,-8
1508966377647871,1,10,0,15,-10,-26,-1,12
1508966377662915,15,-2,-5,-40,5,35,70,6
1508966377662915,6,14,21,8,-24,2,-20,1
1508966377662915,-3,-5,-30,-10,32,15,9,0
