timestamp,x,y,z
1508966373446841,12.375,4,3.4375
1508966373469929,15.3125,4.875,5.9375
1508966373495019,14.1875,6.4375,6.25
1508966373516085,12.875,6.5625,6.0625
1508966373531126,15.625,4.3125,6.3125
1508966373552208,20.5,4.1875,6.625
1508966373567238,22.875,7.4375,7.5625
1508966373590723,24.5,13.8125,8.8125
1508966373629888,29.3125,24.0625,12.5625
1508966373630830,27.5625,34.5,17.9375
1508966373643862,21.0625,45.8125,26.625
1508966373665920,6,57.125,34.75
1508966373683613,-6.6875,72.875,42.5
1508966373705273,-20,84.1875,51.1875
1508966373757606,-28.625,96.3125,61.5625
1508966373757606,-49.5,104.375,67
1508966373764599,-50.6875,107.375,74.875
1508966373784686,-29.5,111.375,86.25
1508966373801208,-29.0625,115.375,98.1875
1508966373831288,-32.8125,127.063,115.688
1508966373852669,-40.4375,135.5,125.188
1508966373868571,-50.3125,140.875,129.5
1508966373891289,-56.375,153.688,139.813
1508966373912246,-41.3125,173.5,137.75
1508966373928287,-32.0625,184.75,136.188
1508966373951347,-68.0625,192.313,147.625
1508966373974962,-77.125,203,160.125
1508966373988182,-60.0625,215.375,156.438
1508966374011242,-45.4375,220.75,152.125
1508966374035306,-22.8125,219.125,175.25
1508966374048342,1,237.563,174.813
1508966374071970,17.4375,256.063,158.938
1508966374093523,21.4375,261,149.813
1508966374108563,0.75,255.375,153.813
1508966374131612,-13.125,246.938,153.625
1508966374153655,-13.3125,247.563,146
1508966374168695,-0.1875,232.375,139.313
1508966374191772,-7.1875,209.5,131.188
1508966374213832,-21.0625,197.438,135.75
1508966374234917,-22.75,177.875,123.813
1508966374251933,-18.9375,154.313,112.063
1508966374274203,-16.75,127.875,102.063
1508966374295343,-19.875,99.125,91.3125
1508966374311417,-21,79.3125,80.625
1508966374334483,-25.875,59,57.875
1508966374354501,-25.6875,40.1875,28.5
1508966374371548,-22.375,20.75,5.75
1508966374394154,-10.125,6.9375,0.3125
1508966374415346,-9.1875,3.1875,-7.125
1508966374431308,-9.625,-0.25,-11.0625
1508966374454333,-1.25,-2.625,-7.9375
1508966374475393,0.875,-9,-3.625
1508966374491123,6.25,-7.5,-7.875
1508966374514151,11,-6.4375,-5.875
1508966374535205,13.3125,-10.375,-7.5625
1508966374551335,10.1875,-15.0625,-8.75
1508966374574334,7.875,-14.5,-4.625
1508966374595071,10.5625,-8.625,-2.625
1508966374611114,7.75,-6.9375,-1.1875
1508966374634125,7.9375,-7.125,-7
1508966374655209,3.5625,-8.0625,-2.0625
1508966374671751,4.1875,-3.8125,0.25
1508966374694110,1.1875,-3.625,0.5
1508966374715165,-1.125,-2.5625,-1.125
1508966374739229,-0.125,-0.5625,-0.8125
1508966374753288,1.375,-2.5625,-0.9375
1508966374776833,0.5,-3.125,-3.875
1508966374805205,0.25,-6.0625,-6.375
1508966374813142,2.625,-5.1875,-6.3125
1508966374836201,5.4375,-6.6875,-10.5
1508966374859260,2.375,-10.5625,-15.625
1508966374880070,3.375,-14,-19.3125
1508966374896335,5.5625,-22.8125,-23.0625
1508966374919217,1.5,-35.375,-29.6875
1508966374940508,2.0625,-43.5625,-34.375
1508966374956555,8.125,-53.0625,-42.6875
1508966374979109,15.375,-67.4375,-49.8125
1508966375000341,13.8125,-81.4375,-64.875
1508966375016321,8.125,-88.9375,-83.0625
1508966375039366,9.875,-98.0625,-99
1508966375060476,16.625,-109.438,-108.625
1508966375076982,15.0625,-124.625,-117.125
1508966375099186,13.5625,-141.5,-112.313
1508966375120269,24.75,-161.375,-104.625
1508966375136326,26.375,-180.313,-115.563
1508966375159352,15.9375,-194,-115.5
1508966375180462,16.3125,-197.625,-115
1508966375196524,36.1875,-204.688,-115.375
1508966375218606,45.5625,-219.938,-120.625
1508966375240672,36.125,-230.688,-113.25
1508966375256713,45.9375,-224.75,-103.875
1508966375279382,80.125,-215.125,-118.438
1508966375300202,67.375,-213.75,-136.125
1508966375324266,33.25,-216.5,-135.313
1508966375339306,37.9375,-211.25,-139.313
1508966375361578,68.4375,-194.25,-148.813
1508966375376182,66.0625,-183.5,-156.875
1508966375398682,29.25,-189.25,-159.75
1508966375421739,-0.3125,-195.938,-162.25
1508966375435778,-12.25,-196.938,-167.25
1508966375458874,-19.375,-188.25,-171.688
1508966375483445,-22.6875,-168.063,-170.188
1508966375495973,-5.625,-134.313,-153.625
1508966375519039,26.6875,-97.9375,-118.125
1508966375541252,42.375,-78.75,-73.625
1508966375556133,43.4375,-68.6875,-53.1875
1508966375579210,67.5,-55.0625,-41.75
1508966375601847,81.5625,-41.25,-29.4375
1508966375615883,69.4375,-33.6875,-18.625
1508966375639066,24.625,-28.4375,-13.25
1508966375661128,-26.1875,-23.875,-10.4375
1508966375682863,-61.0625,-19.0625,-8.5625
1508966375698947,-58.25,-15.875,-6.25
1508966375722010,-34.25,-12.4375,-2.125
1508966375743067,-7.9375,-8.4375,-0.625
1508966375759113,8.9375,-1.1875,3.375
1508966375782000,30.25,2.0625,14.4375
1508966375802413,48.5625,0.5,16.1875
1508966375819417,55.3125,-2.5,10.375
1508966375841483,57.875,-1.3125,10.875
1508966375862674,48.0625,3.0625,12
1508966375879232,32.9375,4.375,13.8125
