timestamp,x,y,z,w
1508966424694722,-0.34021,-0.574341,-0.399536,0.628357
1508966424708769,-0.339722,-0.574158,-0.399109,0.629028
1508966424733111,-0.339355,-0.57373,-0.399292,0.629517
1508966424754236,-0.339417,-0.572876,-0.400146,0.6297
1508966424769276,-0.340027,-0.571472,-0.401184,0.629944
1508966424792875,-0.341003,-0.57019,-0.401611,0.630371
1508966424846448,-0.341309,-0.569458,-0.401794,0.630737
1508966424847451,-0.341309,-0.568787,-0.401794,0.631348
1508966424856502,-0.341309,-0.568176,-0.40155,0.632019
1508966424874551,-0.34082,-0.568176,-0.400513,0.632996
1508966424889575,-0.339233,-0.568604,-0.398499,0.634705
1508966424914630,-0.337769,-0.569275,-0.396057,0.636414
1508966424956746,-0.336182,-0.570618,-0.391785,0.638672
1508966424966777,-0.332214,-0.57373,-0.386963,0.64093
1508966424972789,-0.327087,-0.576538,-0.383423,0.643188
1508966424994851,-0.32135,-0.578552,-0.381104,0.64563
1508966425010891,-0.315796,-0.579895,-0.380493,0.647522
1508966425040317,-0.312134,-0.579712,-0.38147,0.648865
1508966425055347,-0.311707,-0.577332,-0.382874,0.65033
1508966425078408,-0.312866,-0.573364,-0.384277,0.652466
1508966425101475,-0.312805,-0.569214,-0.385315,0.655518
1508966425115508,-0.312073,-0.564819,-0.386108,0.65918
1508966425138564,-0.311401,-0.559875,-0.386719,0.663391
1508966425161621,-0.31134,-0.552795,-0.387878,0.66864
1508966425175658,-0.313049,-0.543091,-0.389648,0.674744
1508966425198719,-0.316833,-0.531372,-0.391479,0.681213
1508966425220778,-0.322815,-0.516479,-0.393188,0.688843
1508966425235827,-0.328674,-0.499756,-0.393372,0.698181
1508966425258921,-0.332397,-0.480347,-0.392822,0.710266
1508966425281185,-0.33844,-0.457153,-0.392944,0.722595
1508966425295256,-0.346497,-0.430298,-0.393982,0.734558
1508966425318338,-0.352661,-0.402283,-0.393677,0.747559
1508966425340731,-0.356873,-0.373169,-0.391663,0.761597
1508966425362792,-0.358826,-0.344543,-0.386047,0.776855
1508966425378834,-0.358643,-0.314514,-0.377319,0.793823
1508966425401091,-0.353271,-0.283997,-0.368469,0.811707
1508966425422292,-0.346558,-0.251465,-0.359985,0.828918
1508966425438596,-0.34198,-0.217041,-0.35199,0.843811
1508966425460807,-0.340637,-0.18042,-0.343262,0.856506
1508966425481711,-0.342163,-0.140564,-0.333435,0.867188
1508966425498755,-0.339783,-0.0995483,-0.324646,0.877075
1508966425520816,-0.332275,-0.0598145,-0.316711,0.886414
1508966425541873,-0.321777,-0.022644,-0.308472,0.894836
1508966425558919,-0.310791,0.0148315,-0.300964,0.901428
1508966425580978,-0.299988,0.0524292,-0.293884,0.906006
1508966425602184,-0.287415,0.0898438,-0.287415,0.909241
1508966425619193,-0.275513,0.126343,-0.280457,0.910706
1508966425641368,-0.263245,0.161621,-0.27124,0.91156
1508966425662591,-0.249268,0.195679,-0.263245,0.911194
1508966425678588,-0.235596,0.229919,-0.253967,0.909485
1508966425700734,-0.222961,0.261719,-0.243347,0.906921
1508966425722506,-0.211731,0.292358,-0.231873,0.903259
1508966425738331,-0.200134,0.321411,-0.219543,0.899109
1508966425761322,-0.189941,0.348328,-0.206543,0.894348
1508966425782431,-0.182373,0.371948,-0.193787,0.889282
1508966425798419,-0.175842,0.393433,-0.180298,0.884155
1508966425821509,-0.170349,0.412415,-0.163147,0.879883
1508966425842199,-0.162781,0.429565,-0.144836,0.876282
1508966425858356,-0.152832,0.445435,-0.127319,0.872925
1508966425881379,-0.144897,0.457581,-0.110168,0.8703
1508966425902577,-0.138184,0.467224,-0.0936279,0.868225
1508966425918477,-0.134827,0.474182,-0.0820923,0.866089
1508966425946838,-0.132751,0.477783,-0.0748291,0.865112
1508966425963743,-0.132751,0.479065,-0.0708008,0.864746
1508966425985834,-0.134338,0.478699,-0.0695801,0.864807
1508966426006997,-0.136597,0.477722,-0.0699463,0.86499
1508966426024047,-0.138306,0.475952,-0.0706177,0.865601
1508966426046384,-0.139038,0.474243,-0.0712891,0.866394
1508966426060420,-0.140381,0.472412,-0.0722046,0.867065
1508966426083482,-0.141907,0.471619,-0.0736084,0.867126
1508966426106552,-0.142273,0.470093,-0.0753784,0.867737
1508966426127628,-0.142883,0.468262,-0.0767822,0.86853
1508966426143325,-0.144653,0.466553,-0.0786133,0.868958
1508966426166372,-0.146118,0.464844,-0.0805054,0.869507
1508966426187448,-0.146973,0.462708,-0.0820313,0.870361
1508966426203497,-0.148132,0.460938,-0.0836182,0.870911
1508966426226551,-0.149902,0.459229,-0.0856323,0.871338
1508966426247357,-0.151489,0.457214,-0.0881348,0.871887
1508966426263424,-0.153259,0.454895,-0.0910034,0.872498
1508966426286456,-0.155945,0.452576,-0.0941162,0.872864
1508966426307664,-0.158936,0.45105,-0.0975342,0.872803
1508966426323698,-0.162231,0.449341,-0.101563,0.87262
1508966426346630,-0.164917,0.447205,-0.10614,0.87262
1508966426367689,-0.166809,0.444763,-0.111145,0.872925
1508966426383729,-0.169312,0.441711,-0.116394,0.873291
1508966426406016,-0.171997,0.437378,-0.121765,0.874207
1508966426427682,-0.1745,0.432068,-0.127319,0.875549
1508966426442923,-0.176819,0.425781,-0.13324,0.877319
1508966426465967,-0.179382,0.418701,-0.139893,0.87915
1508966426487043,-0.182068,0.410156,-0.14679,0.88147
1508966426503062,-0.184265,0.399109,-0.15332,0.88501
1508966426526154,-0.187927,0.386475,-0.160217,0.888611
1508966426549106,-0.194092,0.372375,-0.170532,0.891357
1508966426563144,-0.202454,0.358093,-0.183411,0.892761
1508966426586206,-0.208801,0.342834,-0.197266,0.894348
1508966426608357,-0.214294,0.322937,-0.209656,0.897644
1508966426623443,-0.22345,0.298096,-0.222534,0.90094
1508966426646079,-0.234863,0.271484,-0.235413,0.903137
1508966426668158,-0.244385,0.244446,-0.249207,0.904663
1508966426683178,-0.25354,0.21637,-0.262817,0.905396
1508966426706234,-0.263306,0.186646,-0.274902,0.905701
1508966426728739,-0.275818,0.154968,-0.285156,0.904724
1508966426742865,-0.286987,0.122742,-0.291809,0.904114
1508966426765931,-0.296326,0.0901489,-0.298828,0.902649
1508966426788989,-0.306091,0.0581055,-0.305847,0.899658
1508966426810227,-0.315857,0.0263062,-0.310547,0.896179
1508966426826343,-0.321777,-0.00738525,-0.312866,0.893616
