timestamp,roll,pitch,yaw
1508966339989837,0.175966,-1.49849,-1.0217
1508966340013858,0.157048,-1.49946,-1.00093
1508966340028931,0.135775,-1.49951,-0.976988
1508966340049958,0.115273,-1.50028,-0.954152
1508966340073558,0.114162,-1.5017,-0.951962
1508966340088593,0.107835,-1.50425,-0.946241
1508966340109652,0.104471,-1.50325,-0.942805
1508966340148390,0.0868117,-1.50169,-0.926305
1508966340148882,0.0577178,-1.49648,-0.897216
1508966340171263,0.0227487,-1.49363,-0.863712
1508966340193334,-0.00600228,-1.49014,-0.830225
1508966340218412,-0.0286336,-1.48496,-0.802243
1508966340233460,-0.0478638,-1.47754,-0.780385
1508966340260381,-0.080669,-1.46855,-0.74711
1508966340297401,-0.113234,-1.45854,-0.713462
1508966340307458,-0.141627,-1.44525,-0.679634
1508966340313446,-0.163478,-1.43179,-0.649911
1508966340328485,-0.17189,-1.41844,-0.629865
1508966340351582,-0.178224,-1.40456,-0.613821
1508966340381451,-0.191668,-1.38855,-0.595268
1508966340396491,-0.209976,-1.36998,-0.572573
1508966340419744,-0.22972,-1.34785,-0.549856
1508966340441806,-0.250083,-1.3241,-0.529361
1508966340456382,-0.272551,-1.29652,-0.507326
1508966340479218,-0.295498,-1.26244,-0.486295
1508966340501306,-0.332505,-1.2207,-0.461907
1508966340522459,-0.377735,-1.17214,-0.441831
1508966340539375,-0.423833,-1.11781,-0.424986
1508966340562140,-0.462032,-1.05861,-0.413305
1508966340583202,-0.493495,-0.993976,-0.404543
1508966340599224,-0.517576,-0.922848,-0.396566
1508966340622300,-0.532775,-0.846609,-0.391082
1508966340642903,-0.542868,-0.766008,-0.386658
1508966340659202,-0.558021,-0.683627,-0.381407
1508966340681362,-0.570212,-0.598633,-0.378499
1508966340702417,-0.575476,-0.512698,-0.379342
1508966340719464,-0.577939,-0.426653,-0.381674
1508966340741523,-0.580702,-0.342111,-0.38166
1508966340762420,-0.584165,-0.256727,-0.37988
1508966340779466,-0.587013,-0.169772,-0.379087
1508966340801524,-0.586096,-0.0812134,-0.381738
1508966340822580,-0.586747,0.0038099,-0.384643
1508966340839626,-0.592404,0.0881237,-0.385602
1508966340869712,-0.59661,0.172606,-0.389996
1508966340882744,-0.601339,0.258801,-0.396307
1508966340898789,-0.604292,0.34214,-0.400293
1508966340921848,-0.608645,0.423367,-0.401295
1508966340942994,-0.617206,0.503937,-0.404605
1508966340959207,-0.624196,0.580657,-0.405417
1508966340981363,-0.624338,0.65047,-0.398728
1508966341003422,-0.619241,0.715336,-0.385545
1508966341025603,-0.615086,0.771311,-0.37681
1508966341041552,-0.608356,0.81899,-0.360429
1508966341062626,-0.608587,0.851445,-0.343148
1508966341079539,-0.601485,0.879634,-0.32465
1508966341101853,-0.597259,0.900741,-0.309562
1508966341122908,-0.601053,0.907721,-0.298593
1508966341138967,-0.602785,0.909585,-0.291166
1508966341161713,-0.602772,0.909828,-0.288059
1508966341184808,-0.602764,0.908127,-0.286826
1508966341198811,-0.606005,0.903523,-0.287522
1508966341228907,-0.612613,0.897232,-0.290787
1508966341244465,-0.615101,0.893516,-0.29365
1508966341259004,-0.61674,0.892454,-0.297437
1508966341288334,-0.620655,0.889959,-0.301574
1508966341304416,-0.623172,0.885839,-0.304502
1508966341326451,-0.624232,0.881442,-0.306397
1508966341348270,-0.626487,0.87751,-0.309862
1508966341364607,-0.628648,0.873512,-0.314014
1508966341386673,-0.630698,0.868409,-0.317814
1508966341407754,-0.630141,0.862835,-0.318671
1508966341423791,-0.630406,0.857598,-0.319879
1508966341446825,-0.63145,0.852349,-0.323218
1508966341467882,-0.63147,0.845574,-0.325167
1508966341483991,-0.628789,0.838402,-0.324699
1508966341506987,-0.628434,0.832173,-0.326397
1508966341528070,-0.629272,0.82375,-0.329077
1508966341544637,-0.628369,0.808583,-0.326526
1508966341566521,-0.627355,0.788305,-0.321416
1508966341587684,-0.632614,0.761129,-0.318743
1508966341603685,-0.638922,0.729862,-0.320273
1508966341626810,-0.641379,0.6955,-0.323092
1508966341655859,-0.642244,0.654619,-0.326632
1508966341663460,-0.642635,0.606399,-0.332566
1508966341686534,-0.647694,0.549223,-0.344559
1508966341709583,-0.655276,0.482889,-0.358637
