timestamp,x,y,z
1508966585425106,0.98584,0.0117188,0.043457
1508966585433128,1.00879,0.043457,0.0268555
1508966585456048,1.01123,0.0864258,0.0166016
1508966585479495,1.00293,0.0776367,0.0263672
1508966585495568,0.993652,0.0268555,0.0620117
1508966585515624,0.987305,0.0151367,0.0522461
1508966585538689,0.978027,0.0600586,0.0703125
1508966585583906,0.992676,0.11377,0.0507813
1508966585593162,1.00879,0.0839844,0.0292969
1508966585601088,1.02979,0.0371094,0.0581055
1508966585617210,1.05566,-0.0195313,0.0356445
1508966585637183,1.09717,0.00292969,0.0561523
1508966585666304,1.0791,-0.0263672,0.139648
1508966585710112,1.06494,-0.0996094,0.180664
1508966585720162,1.11084,-0.128906,0.230957
1508966585721141,1.1084,-0.169434,0.261719
1508966585734176,1.04297,-0.213379,0.31543
1508966585755232,0.98291,-0.302734,0.401367
1508966585778110,1.0166,-0.416016,0.441895
1508966585796208,1.02588,-0.58252,0.493164
1508966585815279,1.00342,-0.499512,0.633301
1508966585838295,0.873535,-0.244629,0.654785
1508966585856326,0.712402,-0.223633,0.687012
1508966585875539,0.541992,-0.282715,0.720215
1508966585898188,0.444336,-0.507324,0.76416
1508966585916231,0.371094,-0.675781,0.891113
1508966585935282,0.210449,-0.71875,0.911621
1508966585957368,0.0249023,-0.661133,0.875
1508966585983196,0.0537109,-0.513672,0.878418
1508966585997235,0.0415039,-0.578125,0.881348
1508966586018313,-0.0297852,-0.70459,0.869141
1508966586035363,-0.117676,-0.677246,0.856445
1508966586055428,-0.191895,-0.654297,0.838379
1508966586078198,-0.20752,-0.619141,0.787598
1508966586100251,-0.174316,-0.557617,0.758301
1508966586115370,-0.233887,-0.552734,0.717285
1508966586137421,-0.275879,-0.523926,0.685547
1508966586160457,-0.27832,-0.531738,0.653809
1508966586177237,-0.36377,-0.493164,0.620605
1508966586198297,-0.383789,-0.402344,0.556152
1508966586220354,-0.414551,-0.456055,0.510254
1508966586236536,-0.405762,-0.494629,0.517578
1508966586261073,-0.575684,-0.441895,0.466309
1508966586280501,-0.667969,-0.3125,0.464355
