timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1508966572447769,-1,-1,0,-1,-1,-2,-3,-2
1508966572447769,-1,1,0,1,-1,-1,2,0
1508966572448277,0,-1,-3,-2,-1,-1,-1,-1
1508966572448277,-2,0,1,-1,-1,0,1,0
1508966572452788,1,1,1,0,-1,-1,0,1
1508966572452788,-3,-10,-4,-2,0,0,0,-3
1508966572456370,-1,4,2,1,0,0,1,0
1508966572456370,-2,-4,-4,0,-2,-1,-1,0
1508966572458432,1,6,1,-1,1,-2,1,-1
1508966572458432,-3,-3,-2,-2,-1,-3,-1,-1
1508966572469639,1,0,1,-1,0,-1,-3,0
1508966572469639,-1,0,1,0,1,-2,-2,-1
1508966572481667,3,7,4,-3,1,3,2,1
1508966572481667,-6,-11,-12,5,-4,-1,-1,-4
1508966572489691,-1,-3,-1,-2,-3,-2,-6,-6
1508966572489691,1,-2,-2,-2,0,-1,-2,-1
1508966572496712,0,-5,-2,-1,-1,-1,-3,0
1508966572496712,3,7,3,-4,1,0,0,1
1508966572519929,-3,-5,-1,1,-2,-2,-2,1
1508966572519929,0,0,0,-1,-1,1,0,-1
1508966572520775,-3,-1,-2,0,-1,-2,-1,-4
1508966572520775,1,1,-1,-2,0,1,-1,0
1508966572565544,-1,-1,1,1,-1,0,0,1
1508966572565544,0,0,-2,-1,0,0,-1,0
1508966572566546,-1,-1,-1,-1,1,-1,-2,-1
1508966572566546,4,6,1,-1,-1,0,3,3
1508966572567552,-8,-12,-5,-3,0,1,-2,-7
1508966572567552,-1,1,0,0,-1,0,2,2
1508966572571562,-1,-5,-4,-2,-2,-2,-3,-1
1508966572571562,0,0,-1,-1,1,-1,-3,-2
1508966572577624,1,3,2,-1,-1,-2,0,2
1508966572577624,0,-3,-2,1,-1,-1,1,0
1508966572586600,1,2,0,0,-2,0,1,-1
1508966572586600,-1,-3,-1,0,-1,-1,-4,-1
1508966572600681,-1,0,-1,-1,-1,-1,2,0
1508966572600681,-1,-1,-1,-2,-2,-3,-1,-2
1508966572609662,-1,3,1,-1,-2,-1,-1,-1
1508966572609662,-2,-3,-3,0,-1,-2,2,0
1508966572614953,0,1,0,0,0,-3,-8,-2
1508966572614953,0,5,2,-2,-1,0,-2,2
1508966572638999,-4,-5,0,2,0,-1,-5,-5
1508966572638999,0,12,3,-2,0,0,0,0
1508966572638999,-5,-29,-10,-3,-1,-1,1,0
1508966572638999,2,4,3,-2,0,-2,-2,-3
1508966572661768,2,2,-2,-3,0,-2,2,3
1508966572661768,-3,-1,0,1,1,2,-1,-3
1508966572662643,1,7,1,1,-2,0,1,-2
1508966572662643,-1,-5,-3,-1,-1,-1,-2,-2
1508966572675990,-1,-3,-3,-2,-1,-2,0,-1
1508966572675990,2,-3,1,-1,-1,0,-2,1
1508966572676848,2,4,-1,1,-3,-3,0,0
1508966572676848,-2,-6,1,3,2,-1,-2,-1
1508966572698094,-4,-2,-8,-15,-13,-6,-4,-5
1508966572698094,-1,-4,-5,-8,4,-5,-7,-3
1508966572699096,5,10,8,16,-2,12,7,9
1508966572699096,5,8,9,16,15,5,4,-1
1508966572721275,-2,-5,0,6,3,0,1,2
1508966572721275,-4,-2,-8,-15,-12,-5,-2,-6
1508966572722192,-6,-8,-14,-32,-10,-11,-8,-6
1508966572722192,-2,-2,-2,0,2,1,-3,-1
1508966572736340,-1,3,6,20,-5,-1,0,1
1508966572736340,-2,-8,0,8,4,-1,-2,-1
1508966572737201,4,11,7,4,21,5,4,1
1508966572737201,-2,-3,-6,-26,-8,-4,-3,-1
1508966572758803,0,-2,-3,11,-11,-2,-3,-2
1508966572758803,0,0,4,0,2,-1,1,1
1508966572759785,0,1,-2,9,10,-2,-1,-3
1508966572759785,-4,-3,-8,-16,-12,-7,-5,-5
1508966572781018,-4,-10,-15,-12,5,-2,-3,-2
1508966572781018,-2,-4,4,18,-7,11,5,-4
1508966572781997,3,2,4,-10,0,-7,2,2
