timestamp,x,y,z
1508966565692940,10.125,1,5.0625
1508966565726089,13.5625,-0.125,5.125
1508966565731101,18,-1.0625,4.4375
1508966565754855,22.3125,0.75,2.6875
1508966565775964,25.9375,3,4.4375
1508966565790235,29.0625,2.9375,4.625
1508966565814305,32.125,1.4375,3.75
1508966565844568,32.125,-0.3125,1.875
1508966565856070,31.5,-1.1875,1.0625
1508966565874713,29.3125,1.8125,3.6875
1508966565896877,24,11.0625,4.8125
1508966565910923,15.8125,22.1875,12.25
1508966565934875,3.3125,35.125,19.25
1508966565973240,-26.5,52.875,29.75
1508966565979258,-41.375,66.3125,44.8125
1508966565993439,-36.5625,82.25,55.125
1508966566016395,-39.5,95.875,61.375
1508966566030546,-56.5625,103.625,67.125
1508966566052984,-68.875,99,71.5
1508966566075448,-79.0625,95.3125,77.875
1508966566090488,-65.125,101.75,93.5625
1508966566112746,-24.5,116.625,103
1508966566144230,18.0625,134.875,103.188
1508966566153434,16.0625,146.25,103.5
1508966566173288,-16.3125,148.625,114.75
1508966566198212,-39.5625,154.75,128.938
1508966566210383,-47.25,175,133.875
1508966566233432,-34.75,187.938,133.813
1508966566256035,-32.0625,201.563,137.563
1508966566278197,-44.375,213.688,147.188
1508966566293233,-22.9375,220.375,144.313
1508966566315260,-12.125,223.688,134.813
1508966566338449,-1,224.75,139.375
1508966566353558,9.875,218.125,142.625
1508966566386291,1.75,218.25,149.5
1508966566398322,-11.875,213.125,150.438
1508966566413362,-13.5625,197.688,149.375
1508966566435560,-7.5,183.125,149.188
1508966566458218,-1,162.5,146.188
1508966566473272,-3.125,140.75,152.813
1508966566495555,-5.0625,124.313,159.25
1508966566518506,-0.5625,104.188,147.375
1508966566532681,-5.6875,80.25,120.438
1508966566556117,-2.0625,61,108.563
1508966566578360,4.8125,38.5,87.625
1508966566593419,-3.9375,15.8125,65.4375
1508966566615316,-17.6875,-3.6875,38.4375
1508966566638493,-16.75,-9.4375,21.6875
1508966566653177,-14.5,-14.3125,3
1508966566675260,-15.5,-16.375,-9.125
1508966566697512,-6.625,-15.8125,-13.375
1508966566713564,-1.8125,-14.8125,-19
1508966566735673,-3.75,-14.75,-21.5625
1508966566758414,1.1875,-14.3125,-22.1875
1508966566773585,4.6875,-15.75,-20.25
1508966566795633,10.0625,-14.8125,-16.6875
1508966566817692,8.4375,-10.8125,-15.9375
1508966566832738,9.1875,-9,-12.8125
1508966566855799,8.1875,-9.0625,-11.5625
1508966566877889,8.1875,-8.5625,-8.8125
1508966566892926,5.125,-7.4375,-8.375
1508966566914959,2.0625,-5.875,-8.4375
1508966566938020,2.5625,-6.3125,-8.0625
1508966566954566,4,-6.125,-8.5625
1508966566975126,5.0625,-5.8125,-9.6875
1508966566998185,4,-8.25,-11.25
1508966567014227,3.625,-9.5625,-14.25
1508966567035293,6.3125,-10,-13.875
1508966567057831,4.1875,-9.8125,-15.3125
1508966567074858,4.625,-12.4375,-14.0625
1508966567095290,6.125,-9.875,-14.5625
1508966567118349,5.4375,-10.875,-17.25
1508966567134250,5.5,-13.9375,-16.8125
1508966567155846,4.375,-12.875,-16.5
1508966567178471,1.875,-10.0625,-18.125
1508966567194450,0.375,-10.5,-20.125
1508966567215950,2.3125,-8.25,-18.0625
1508966567238067,8.3125,5.6875,-16.25
1508966567256145,-14.1875,3.5,-9.5625
1508966567275517,12.1875,-3.3125,-18.8125
1508966567297554,-12.1875,-14.875,-6.9375
1508966567315589,-15.5625,-11.5,-9.3125
1508966567335773,-3.9375,-2.875,-11
1508966567357489,-10,-19.875,-10
1508966567375738,-11.8125,-17.8125,-13.625
1508966567395951,-8.6875,-17.0625,-21.25
1508966567417846,-6.0625,-25.875,-25.1875
1508966567435894,-6.5,-39.3125,-33.25
1508966567455837,-6.8125,-51.6875,-44.25
1508966567478200,-1.5625,-62.5,-55.6875
