timestamp,x,y,z,w
1508966592078237,-0.334045,-0.546631,-0.398499,0.656433
1508966592101515,-0.332031,-0.54834,-0.395752,0.657654
1508966592116562,-0.32959,-0.550293,-0.3927,0.659058
1508966592138123,-0.327209,-0.552063,-0.389404,0.660767
1508966592161197,-0.324707,-0.553833,-0.385864,0.662537
1508966592184512,-0.321838,-0.555481,-0.382568,0.66449
1508966592199492,-0.319153,-0.556885,-0.3797,0.666199
1508966592237705,-0.317261,-0.557495,-0.377502,0.667847
1508966592238678,-0.316406,-0.55658,-0.376038,0.669861
1508966592251817,-0.31488,-0.553833,-0.374634,0.673645
1508966592282485,-0.313171,-0.549316,-0.373169,0.679016
1508966592289769,-0.313477,-0.541138,-0.372864,0.685486
1508966592315998,-0.316406,-0.528748,-0.37439,0.692932
1508966592365147,-0.324097,-0.509705,-0.377319,0.702026
1508966592366132,-0.331787,-0.487549,-0.379944,0.712646
1508966592373663,-0.335693,-0.464905,-0.380371,0.725647
1508966592392626,-0.337158,-0.439392,-0.3797,0.741028
1508966592409577,-0.341003,-0.408813,-0.381042,0.75592
1508966592439641,-0.346497,-0.373657,-0.382751,0.77063
1508966592470425,-0.350464,-0.33667,-0.382507,0.785828
1508966592477965,-0.353149,-0.29834,-0.381592,0.800415
1508966592515728,-0.355103,-0.257629,-0.380432,0.814148
1508966592520743,-0.359192,-0.215271,-0.378601,0.825378
1508966592537785,-0.362,-0.174255,-0.374695,0.835571
1508966592559844,-0.360046,-0.134583,-0.367798,0.846741
1508966592581477,-0.353699,-0.0947876,-0.359619,0.858215
1508966592596658,-0.345825,-0.0546265,-0.352295,0.86792
1508966592619719,-0.337952,-0.0126343,-0.345337,0.875427
1508966592641802,-0.330139,0.029541,-0.337952,0.880859
1508966592656820,-0.319458,0.0701904,-0.327698,0.886353
1508966592679967,-0.306702,0.108643,-0.315674,0.891357
1508966592702702,-0.296448,0.145508,-0.303223,0.89386
1508966592716739,-0.286987,0.18042,-0.289673,0.895081
1508966592739800,-0.277954,0.212341,-0.27417,0.895752
1508966592762879,-0.269409,0.24176,-0.257568,0.895874
1508966592776968,-0.260681,0.268127,-0.241089,0.895569
1508966592800062,-0.25238,0.290405,-0.22522,0.895142
1508966592822119,-0.244629,0.309387,-0.208435,0.894958
1508966592837181,-0.236511,0.326904,-0.192139,0.894531
1508966592860223,-0.227234,0.342468,-0.177246,0.894226
1508966592882873,-0.220581,0.355286,-0.162659,0.893616
1508966592896633,-0.215393,0.365356,-0.147766,0.893433
1508966592919690,-0.210449,0.372314,-0.136108,0.893555
1508966592942785,-0.206238,0.378235,-0.12616,0.893555
1508966592964029,-0.204041,0.382629,-0.118713,0.893188
1508966592980195,-0.202454,0.38623,-0.113098,0.892761
1508966593002506,-0.201782,0.387878,-0.108521,0.892761
1508966593023707,-0.201294,0.389954,-0.104919,0.892395
1508966593039636,-0.202271,0.391479,-0.103516,0.891663
1508966593062703,-0.204285,0.391479,-0.102844,0.891296
1508966593083260,-0.205688,0.390808,-0.10321,0.891174
1508966593099475,-0.206604,0.389587,-0.103882,0.891418
1508966593122471,-0.207397,0.388916,-0.104736,0.891479
1508966593143669,-0.208008,0.388367,-0.105469,0.891479
1508966593159573,-0.20752,0.387451,-0.105774,0.891968
1508966593182807,-0.207642,0.385742,-0.105835,0.892639
1508966593203853,-0.208008,0.384033,-0.105957,0.893311
1508966593219885,-0.207764,0.383484,-0.105957,0.893555
1508966593242082,-0.20697,0.38385,-0.105957,0.893616
1508966593264037,-0.206421,0.383911,-0.105713,0.893738
1508966593280227,-0.205383,0.384583,-0.105469,0.893738
1508966593302797,-0.20459,0.385925,-0.105408,0.893311
