timestamp,x,y,z
1508967109960335,0.976563,0.00537109,0.273926
1508967109985185,0.990723,-0.0249023,0.274414
1508967110006279,0.979492,0.0439453,0.25
1508967110021262,0.978027,0.107422,0.23291
1508967110044420,0.98877,0.106445,0.236328
1508967110066501,0.996582,0.0888672,0.219727
1508967110088790,0.97998,-0.0561523,0.236328
1508967110136796,1.02051,-0.20166,0.280273
1508967110138782,1.01855,-0.238281,0.325684
1508967110143796,0.990723,-0.231445,0.365723
1508967110164852,0.974121,-0.169922,0.403809
1508967110187262,0.937988,-0.163086,0.392578
1508967110213520,0.930664,-0.285645,0.411621
1508967110263541,0.922852,-0.430664,0.477539
1508967110263541,0.896973,-0.480469,0.49707
1508967110264533,0.873535,-0.47168,0.556641
1508967110283627,0.839355,-0.469238,0.498047
1508967110306646,0.778809,-0.458008,0.523438
1508967110322801,0.732422,-0.491211,0.598633
1508967110343855,0.666992,-0.566406,0.589355
1508967110366023,0.554199,-0.63916,0.695801
1508967110388106,0.521973,-0.516113,0.746094
1508967110411183,0.337891,-0.720215,0.689453
1508967110426333,0.393066,-0.68457,0.742188
1508967110441227,0.483398,-0.723633,0.83252
1508967110463448,0.380859,-0.637207,0.916016
1508967110486353,0.182129,-0.519043,0.848145
1508967110501402,-0.00146484,-0.638672,0.782715
1508967110523462,0.015625,-0.691406,0.787598
1508967110545770,0.0166016,-0.811035,0.831055
1508967110561023,-0.0600586,-0.783203,0.839355
1508967110583980,-0.199219,-0.609375,0.758789
1508967110606040,-0.219727,-0.563965,0.734863
1508967110621084,-0.169434,-0.579102,0.756836
1508967110643241,-0.228516,-0.625977,0.733398
1508967110666162,-0.348633,-0.57959,0.702637
1508967110688221,-0.28418,-0.571289,0.675293
1508967110703263,-0.289551,-0.558594,0.649414
1508967110725351,-0.416504,-0.549316,0.618652
1508967110748380,-0.405273,-0.543945,0.602051
1508967110763578,-0.441895,-0.516602,0.598145
1508967110785542,-0.438965,-0.508301,0.554688
1508967110808856,-0.491699,-0.540039,0.538086
1508967110823896,-0.481445,-0.524414,0.546875
1508967110846173,-0.482422,-0.533691,0.557617
1508967110868415,-0.559082,-0.518555,0.557617
1508967110883351,-0.586914,-0.459473,0.550293
1508967110906407,-0.592285,-0.476563,0.573242
1508967110928555,-0.609375,-0.496094,0.587891
1508967110943711,-0.698242,-0.487305,0.580078
1508967110965862,-0.710938,-0.473633,0.582031
1508967110987905,-0.719727,-0.507324,0.617676
1508967111003948,-0.693359,-0.50293,0.61084
1508967111026149,-0.706055,-0.517578,0.591797
1508967111048065,-0.70752,-0.524902,0.586914
1508967111063252,-0.67627,-0.515137,0.597656
1508967111086306,-0.64209,-0.53125,0.59082
1508967111108371,-0.64209,-0.522949,0.592773
1508967111123406,-0.593262,-0.518066,0.60791
1508967111145668,-0.57666,-0.533691,0.615723
1508967111168713,-0.577148,-0.528809,0.62207
1508967111183654,-0.59082,-0.52002,0.609375
1508967111206010,-0.536133,-0.52832,0.608398
1508967111228202,-0.498535,-0.546875,0.618652
1508967111246117,-0.544922,-0.563965,0.64502
1508967111267182,-0.486816,-0.549316,0.624512
1508967111288404,-0.470703,-0.593262,0.62793
1508967111306313,-0.491699,-0.61084,0.615723
1508967111327369,-0.414551,-0.591797,0.620605
1508967111348430,-0.375977,-0.623047,0.643555
1508967111366474,-0.428223,-0.62207,0.680176
1508967111387530,-0.441895,-0.609863,0.669434
1508967111408723,-0.299316,-0.568848,0.675293
1508967111427634,-0.224609,-0.554199,0.687012
1508967111447726,-0.222656,-0.566406,0.708496
1508967111468772,-0.25,-0.607422,0.754395
1508967111485788,-0.270996,-0.675781,0.771484
1508967111506971,-0.105469,-0.631348,0.764648
1508967111528054,-0.0117188,-0.646973,0.741699
1508967111546074,-0.078125,-0.618652,0.771484
1508967111575150,-0.0463867,-0.624023,0.779785
1508967111588212,0.243164,-0.709473,0.833496
1508967111606233,0.37793,-0.891113,0.839355
1508967111628292,0.282227,-0.789551,0.814941
1508967111648352,0.161621,-0.601563,0.754395
1508967111666393,0.174805,-0.505371,0.708984
1508967111688452,0.412598,-0.563965,0.751953
1508967111708505,0.565918,-0.642578,0.843262
1508967111726553,0.283691,-0.361328,0.670898
1508967111748615,0.137207,-0.311035,0.594727
1508967111768707,0.466797,-0.388672,0.580078
1508967111785741,0.809082,-0.585449,0.632324
1508967111808773,0.805176,-0.619629,0.75293
1508967111828053,0.673828,-0.350098,0.742188
1508967111846012,0.722168,-0.294434,0.643555
1508967111869081,0.943848,-0.250977,0.557129
1508967111888245,1.25293,-0.165527,0.533691
1508967111911362,1.14941,0.0112305,0.458008
1508967111928318,1.02295,-0.0488281,0.342285
1508967111948405,1.10938,-0.192871,0.195313
1508967111970586,1.06104,-0.182129,0.0356445
1508967111988485,1.03857,-0.157715,-0.00976563
1508967112008679,1.02002,-0.0512695,0.0317383
1508967112033602,0.981445,-0.0195313,0.0439453
1508967112048640,0.938965,0.0371094,0.150391
1508967112068847,0.922363,0.166504,0.283691
1508967112091112,0.98291,0.303223,0.427734
1508967112109045,0.999512,0.23584,0.628906
1508967112128227,0.969727,-0.0898438,0.558594
1508967112154171,1.00586,-0.0136719,0.396484
1508967112176443,0.983887,0.0507813,0.297852
