timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1508967062189125,4,7,12,8,-85,-16,1,2
1508967062189125,-2,1,-1,-11,4,-6,-4,-2
1508967062192105,-5,-7,-7,-16,-11,-8,-5,-3
1508967062192105,-2,-2,-1,-1,-9,-2,-5,-3
1508967062192105,1,3,3,5,28,16,4,6
1508967062192105,2,4,3,10,-11,4,0,-3
1508967062194137,-3,7,-4,-11,3,2,-2,-3
1508967062194137,-1,-3,-1,4,32,-12,-5,-3
1508967062194137,0,11,5,5,-17,4,6,3
1508967062194137,-2,-5,-5,-5,7,-6,-9,-11
1508967062205138,0,-4,0,7,-35,-2,0,4
1508967062205138,2,7,-1,-14,36,3,3,0
1508967062217186,1,-4,-6,-3,-47,-14,-2,2
1508967062217186,-10,-1,3,1,-21,14,-3,-12
1508967062225274,6,6,6,13,43,4,-2,5
1508967062225274,6,-1,-1,3,-9,3,7,14
1508967062232297,6,-7,-5,-2,28,-7,-5,-10
1508967062232297,-9,-1,-2,-4,-10,-3,-4,-8
1508967062254584,8,-2,-5,-13,-24,-1,4,15
1508967062254584,-8,2,2,2,-17,-10,-2,-15
1508967062255541,-6,0,-1,6,87,17,3,-2
1508967062255541,-27,-10,-3,-1,-86,-13,9,-9
1508967062301833,-11,-4,-7,-16,-2,-11,-21,-50
1508967062301833,37,21,5,13,32,9,8,27
1508967062301833,-19,-9,1,-15,-45,-15,-7,-13
1508967062301833,-6,7,1,13,-7,28,20,13
1508967062302769,-29,1,13,20,94,-3,1,-10
1508967062302769,16,-7,-8,-3,-63,-25,-39,-62
1508967062305774,-49,-21,-9,-11,9,-11,-13,-14
1508967062305774,22,14,-4,-30,-29,-13,6,24
1508967062314103,11,2,-1,-2,-12,-3,5,11
1508967062314103,25,19,8,-6,16,31,16,13
1508967062323002,12,-17,-3,29,27,9,-11,2
1508967062323002,2,16,8,12,-14,-9,-5,-17
1508967062328224,11,0,-5,-15,7,9,10,20
1508967062328224,-20,-20,-11,-25,-24,-16,-1,5
1508967062345236,8,8,-5,-11,5,15,-7,-5
1508967062345236,-6,-8,9,29,15,-9,0,1
1508967062351410,7,0,2,24,-7,8,-1,4
1508967062351410,-21,-7,-7,-33,-17,-11,-1,3
1508967062374547,12,10,0,-10,17,0,2,5
1508967062374547,1,6,4,27,23,8,10,-3
1508967062375504,-7,-21,-9,-8,-12,2,-11,-8
1508967062375504,-9,11,6,7,-8,-13,8,4
1508967062389831,9,4,0,-7,2,1,3,5
1508967062389831,13,24,6,-27,26,7,1,10
1508967062389831,4,8,-25,-29,-42,-1,-8,-1
1508967062389831,-22,-40,-9,27,11,-21,3,4
1508967062411837,7,8,10,24,-16,5,0,-1
1508967062411837,-4,1,17,13,39,1,-3,-4
1508967062412840,3,-1,-18,-21,-1,15,9,9
1508967062412840,-7,0,-4,-43,-55,3,-15,-15
1508967062433924,6,11,1,2,-1,-8,0,5
1508967062433924,-24,-24,1,25,8,-7,-7,-16
1508967062434899,4,13,20,48,6,21,7,4
1508967062434899,-9,-7,4,11,50,6,7,3
1508967062448964,7,-9,-12,-30,-24,-24,-15,-11
1508967062448964,-13,-11,-16,-37,-38,-13,-8,-14
1508967062449938,5,-3,13,-2,-5,-17,-2,5
1508967062449938,-1,7,-2,3,9,12,2,2
1508967062472028,5,6,-5,-21,-16,-3,7,5
1508967062472028,5,-8,-13,-34,-11,-3,-7,-2
1508967062473030,7,24,34,39,9,3,9,5
1508967062473030,-13,-10,19,97,52,11,-3,-7
1508967062494070,8,8,-3,18,21,24,19,11
1508967062494070,-13,-32,-35,-39,2,-3,-9,-5
1508967062495059,-3,-2,-8,8,-32,-23,-14,-4
1508967062495059,0,1,8,-38,8,18,-8,-1
1508967062509123,10,38,75,61,14,8,9,5
1508967062509123,3,-31,8,14,9,-9,-12,-9
1508967062510099,-2,-4,-22,-71,8,-3,-2,5
1508967062510099,-22,-14,-56,-33,-10,-31,-7,-12
1508967062532157,0,-16,1,29,-15,-17,3,3
1508967062532157,-12,7,8,14,11,30,-15,-13
1508967062532157,15,19,58,49,-7,-3,10,10
1508967062532157,12,9,-10,-35,1,-17,3,6
1508967062555220,-15,-13,2,-9,17,9,8,3
1508967062555220,15,15,5,40,-15,-11,7,10
1508967062556222,16,0,10,10,2,-2,-3,1
1508967062556222,17,21,3,3,-8,30,3,10
1508967062568253,-80,-35,-61,-28,-17,-16,-9,-25
1508967062568253,4,2,20,-21,9,7,1,3
1508967062576275,-1,-6,-46,-5,1,1,4,-4
1508967062576275,28,22,56,72,17,10,5,8
1508967062591317,21,-1,-23,-57,3,18,-3,1
1508967062591317,-15,-9,9,-8,-20,-21,-14,-5
1508967062592319,-15,-21,-44,-15,6,0,-9,-9
1508967062592319,7,3,26,26,-9,-32,5,7
1508967062614376,2,3,-17,-19,11,9,-4,-2
1508967062614376,2,15,-24,21,-8,-5,-6,-7
1508967062615379,-10,-11,10,-18,-22,-20,-8,-7
1508967062615379,-5,-30,40,-32,-27,4,-5,-6
1508967062629416,1,34,43,46,27,-9,2,3
1508967062629416,-30,-24,-29,-50,4,5,9,-5
1508967062630419,-28,-31,-69,-49,-35,-9,-3,0
1508967062630419,-8,-25,-54,-1,-12,-10,-6,-7
1508967062651516,36,38,76,61,12,1,4,8
1508967062651516,10,-17,-38,-18,6,4,3,2
1508967062652490,5,16,6,3,7,6,8,8
1508967062652490,-1,7,46,-38,0,2,3,-3
1508967062674566,22,-19,-69,4,-17,-12,-2,6
1508967062674566,28,32,39,34,2,4,1,8
1508967062675540,-57,-27,-14,-4,1,-7,-11,-25
1508967062675540,-18,0,-29,-6,1,-3,5,8
1508967062689646,-4,3,27,-1,28,8,-13,-17
1508967062689646,5,-13,-6,-18,-34,-12,6,7
1508967062690581,49,5,-63,-104,-46,-32,-6,2
1508967062690581,-38,9,16,37,-24,10,-6,-12
1508967062711812,-6,-1,-63,22,36,-3,-2,-4
1508967062711812,-14,-38,-43,-42,29,5,-5,-7
1508967062712742,20,22,68,-5,3,5,13,14
1508967062712742,16,-8,-29,-26,-16,-12,-6,-3
1508967062734848,45,19,24,-24,-21,4,11,16
1508967062734848,-36,17,29,18,-7,-4,-2,-14
1508967062734848,21,-12,48,33,15,4,-6,-4
1508967062734848,13,13,-6,-13,38,25,4,6
1508967062748862,5,-6,50,-25,-25,-13,-1,1
1508967062748862,29,22,14,12,23,31,26,20
1508967062749870,-55,-12,17,13,-24,-25,-3,-2
1508967062749870,64,14,-1,33,-5,-2,-16,-4
1508967062772035,-66,-19,1,70,28,32,1,-9
1508967062772035,-10,5,3,-34,-20,-24,-6,-4
1508967062772898,3,-14,-22,28,9,11,8,5
1508967062772898,22,24,27,-11,-11,-20,8,15
1508967062793956,3,-35,-72,-49,-37,-1,-1,-2
1508967062793956,-3,4,3,50,22,17,-11,-10
1508967062794959,9,13,65,77,33,22,1,0
1508967062794959,-8,-4,-29,-55,-11,-7,-4,2
1508967062809189,27,-3,6,2,-2,-13,6,3
1508967062809189,-12,8,9,-14,-16,-1,0,3
1508967062816135,21,-10,-8,-24,0,19,-16,-8
1508967062816135,-64,-14,16,38,28,25,2,-19
1508967062831589,9,-1,1,-21,-22,-25,-1,0
1508967062831589,21,-1,-39,-12,2,0,0,6
1508967062832560,15,30,32,19,18,15,-8,-2
1508967062832560,9,-5,-65,-3,28,9,6,3
1508967062854794,-18,2,60,-24,-26,-18,-8,-3
1508967062854794,10,16,43,37,-18,7,2,4
1508967062854794,1,22,-56,30,5,-20,7,4
1508967062854794,-5,-8,-36,-10,7,0,3,-1
1508967062869185,12,-9,1,-18,-15,-12,0,4
1508967062869185,-41,-26,-20,-5,-1,-2,-3,-10
1508967062876088,0,-5,22,6,-6,-12,-2,-1
1508967062876088,2,-3,38,11,3,11,6,3
1508967062892093,-31,-23,-41,-18,13,-2,-13,-16
1508967062892093,16,11,80,31,-16,4,5,2
1508967062893096,-28,-11,-33,-59,-7,-4,-4,-5
1508967062893096,18,8,12,19,3,10,11,4
1508967062914151,13,5,-1,3,-14,-4,-10,1
1508967062914151,4,2,-3,-16,-4,-14,-10,-2
1508967062915158,-29,-1,16,-8,7,15,18,-1
1508967062915158,15,6,12,-6,-28,-21,-19,1
1508967062928215,-5,-13,-8,0,-15,25,37,-3
1508967062928215,52,-8,-82,-30,-28,-17,-4,22
1508967062936237,-57,-5,35,-4,-25,-24,-5,-15
1508967062936237,3,-11,-16,-35,-21,-38,-11,-2
1508967062952303,15,14,15,17,22,-12,3,0
1508967062952303,-16,-21,1,-24,-35,-56,-7,-7
1508967062959569,40,12,14,44,39,15,14,17
1508967062959569,-26,-21,-30,-6,-2,-16,-1,-10
1508967062974608,24,21,50,11,6,-4,-8,2
1508967062974608,-26,-12,-14,12,14,23,-3,-5
1508967062975444,-7,-5,-26,-2,-3,-11,-7,-1
1508967062975444,-13,10,14,45,12,24,1,-1
1508967062988546,-16,-24,-43,-35,-1,6,-13,-10
1508967062988546,12,6,-10,18,17,3,-2,-1
1508967062996500,6,11,13,20,27,31,4,-4
1508967062996500,6,-4,-10,-4,-6,10,9,5
1508967063011580,-19,-16,-41,-9,2,9,-5,-4
1508967063011580,-5,1,20,24,7,-2,3,-6
1508967063012545,36,19,10,-12,6,15,-7,6
1508967063012545,-6,-13,8,-4,11,3,-1,-4
1508967063034634,-25,-6,-28,10,-3,6,-4,-1
1508967063034634,-23,-7,18,-17,-4,-6,-6,-13
1508967063035604,4,-8,-30,-5,-10,2,-4,-2
1508967063035604,4,8,8,-13,1,7,-6,2
1508967063048638,0,5,1,16,-2,7,3,5
1508967063048638,-7,27,42,45,34,17,3,3
1508967063056691,-26,-30,-51,-36,-35,-18,-8,-9
1508967063056691,10,-17,-23,-12,-8,3,-3,0
1508967063072013,-6,5,37,11,10,-2,0,-5
1508967063072013,16,-5,-13,-24,-11,8,-1,0
1508967063072859,14,6,28,21,-1,-5,1,1
1508967063072859,-1,6,-4,17,10,-4,-1,-2
1508967063094905,3,11,3,-34,0,2,3,7
1508967063094905,5,20,-25,15,6,-3,0,3
