timestamp,x,y,z
1508967025001254,-6.625,11.375,7.25
1508967025024328,-3.0625,19.625,14.0625
1508967025039391,-19.125,27.3125,11.75
1508967025065973,-53.0625,33.875,10.6875
1508967025084539,-82.875,51.5,15.375
1508967025099582,-121.5,71.375,21.6875
1508967025122641,-156.125,86.25,34.0625
1508967025153791,-160.938,101.313,42.8125
1508967025162749,-148.875,112,38.9375
1508967025183955,-144.125,102.375,45.9375
1508967025205010,-131.938,87.1875,82.875
1508967025220066,-78.25,79.5625,112.75
1508967025243128,-5,81.4375,123.438
1508967025271229,32.5625,82.5,142.875
1508967025287309,39.625,80.3125,165.688
1508967025302420,28.6875,69.375,180.5
1508967025324456,7,77.125,187.938
1508967025339478,3.25,86.125,191.188
1508967025362677,-1.8125,103.938,189.313
1508967025384709,2.6875,97.9375,204.125
1508967025398798,34.6875,86.4375,207.188
1508967025431885,62.1875,86.8125,193.813
1508967025444959,69.5625,115.563,186.563
1508967025459994,63.3125,140.375,173.063
1508967025482020,53,146.25,163.875
1508967025505235,31.0625,160.063,162.188
1508967025519578,32.8125,164.5,171.25
1508967025542655,39.5625,170,174.75
1508967025564556,49.8125,190.625,152.875
1508967025579627,52.9375,196.438,134.25
1508967025602695,33.75,183.75,129.375
1508967025624864,38.4375,174.75,131.563
1508967025638758,42.75,161.188,128.938
1508967025662157,45.25,166.75,119.625
1508967025685196,52.1875,160.938,108.25
1508967025699101,50,142.313,107.875
1508967025722415,40.3125,121.188,116.25
1508967025744475,63.0625,106.25,109.938
1508967025759518,37.5,81.6875,92
1508967025782626,21.75,55,66.3125
1508967025804903,33.625,36.4375,46.625
1508967025819288,29.125,10.9375,32.5
1508967025842199,11.1875,-2.0625,2.0625
1508967025864302,-5.3125,-12.625,-18.8125
1508967025879426,-3.875,-18.3125,-23.75
1508967025902509,4.625,-18.5625,-17.9375
1508967025924671,3.25,-19.6875,-19.1875
1508967025938898,-9.9375,-16.375,-22.1875
1508967025962021,-12.8125,-13.5625,-21.75
1508967025985090,-9.25,-11.25,-23.75
1508967026006999,-10.6875,-11.875,-21.9375
1508967026022068,-15.5625,-12.125,-21.125
1508967026045099,-9.375,-9.3125,-17.9375
1508967026067158,-0.0625,-10.25,-19.5
1508967026082208,-5.625,-16.5625,-24.125
1508967026104280,-2.6875,-20.25,-20.875
1508967026127320,5.3125,-24.9375,-26.625
1508967026141361,3.4375,-27.6875,-30.75
1508967026163414,-5.625,-32.8125,-34.5
1508967026186476,-8.125,-31.75,-34.6875
1508967026201518,-1.6875,-22.0625,-28.875
1508967026223582,1.5,-13.875,-24.0625
1508967026246635,-1.875,-7.625,-21.8125
1508967026261677,-4.75,-4.125,-20.1875
1508967026283736,-1.6875,-1.3125,-12.3125
1508967026306797,6.625,0.0625,-6.875
1508967026321976,1.1875,1.3125,-6.75
1508967026344106,0.75,-0.6875,-7.9375
1508967026366237,3.875,-7.625,-10.4375
1508967026381439,4.125,-20.125,-15.8125
1508967026403644,-0.0625,-40.625,-27.3125
1508967026426620,-7,-65,-40.5625
1508967026445610,-24.3125,-96.25,-55.375
1508967026463703,-39.75,-121.25,-66.0625
1508967026486757,-44,-144.938,-81.3125
1508967026501801,-35.8125,-166.25,-98.625
1508967026523844,-27.1875,-185.938,-114.188
1508967026546983,-18.25,-197.063,-122.25
1508967026565933,-12.8125,-202.313,-128.875
1508967026584117,-25.875,-212.188,-145.313
1508967026609044,-52.1875,-196.5,-161.5
1508967026623175,-64.5,-195.75,-171.938
1508967026644496,-54.3125,-196.125,-181.75
1508967026666516,-37,-189.5,-187.75
1508967026682751,-42.5,-168.563,-193.125
1508967026703846,-35.25,-155.625,-192.5
1508967026726885,10.0625,-141.563,-195.063
1508967026742910,14.125,-144.125,-178.313
1508967026764139,1.6875,-137.625,-174.563
1508967026787066,-13.0625,-112.563,-164.313
1508967026803069,-52.4375,-109.938,-141.375
1508967026824189,-73.4375,-101.125,-133.125
1508967026846229,-57.75,-83.8125,-140.5
1508967026863230,-20.25,-69.3125,-132.188
1508967026885313,8.9375,-61.3125,-119.75
1508967026906694,-1.6875,-57.25,-112.563
1508967026924740,-8.0625,-52.6875,-112.75
1508967026944909,5.5625,-58.25,-111.125
1508967026966822,24.6875,-69.25,-104.875
1508967026984083,46.1875,-90.5625,-92.5
1508967027004276,61,-93.625,-79.25
1508967027026337,91.875,-91.5,-53.25
1508967027044243,145.313,-76.5625,-30.9375
1508967027064427,198.125,-66.8125,-6
1508967027086515,200.875,-61.3125,23.5
1508967027104403,160.875,-50.8125,34.875
1508967027123750,78.875,-34.3125,33.8125
1508967027146832,12.0625,-6.5625,10.625
1508967027168891,1.625,3.75,-7.5625
1508967027183901,9.6875,5.5,0.125
1508967027206996,30.125,7,2.25
1508967027229059,13.75,14.1875,-1.125
1508967027244094,1.875,15.5,-4.0625
1508967027266216,-25.5,13.6875,3.9375
1508967027289510,-32.125,5.8125,5.625
1508967027304550,-6.875,1.25,4.625
1508967027326717,21.25,-3.625,9.1875
