timestamp,x,y,z,w
1508967050853732,-0.430786,-0.444214,-0.544678,0.566101
1508967050876765,-0.433777,-0.436646,-0.550171,0.564392
1508967050900327,-0.439697,-0.425598,-0.557739,0.560791
1508967050916873,-0.445862,-0.410034,-0.56665,0.558594
1508967050936931,-0.451599,-0.39093,-0.57605,0.558044
1508967050959988,-0.456909,-0.370117,-0.581482,0.562317
1508967051005257,-0.459656,-0.351013,-0.579956,0.57373
1508967051014229,-0.457947,-0.335449,-0.573669,0.590515
1508967051027284,-0.45105,-0.322449,-0.56366,0.612305
1508967051038256,-0.440125,-0.310242,-0.552185,0.636536
1508967051058334,-0.428406,-0.295288,-0.540833,0.660889
1508967051087383,-0.419373,-0.273926,-0.529846,0.684387
1508967051141626,-0.414124,-0.246216,-0.518616,0.70636
1508967051142545,-0.412781,-0.213684,-0.505249,0.727112
1508967051142545,-0.411926,-0.178162,-0.489929,0.747375
1508967051155653,-0.4104,-0.141785,-0.473999,0.766052
1508967051176781,-0.406433,-0.106201,-0.457275,0.783875
1508967051198935,-0.397217,-0.0734253,-0.440308,0.801819
1508967051216989,-0.383545,-0.043335,-0.421326,0.820679
1508967051236048,-0.364929,-0.0143433,-0.401367,0.839966
1508967051259084,-0.340881,0.0133057,-0.385132,0.857483
1508967051277133,-0.319031,0.0459595,-0.371887,0.870544
1508967051304247,-0.303284,0.0822144,-0.359253,0.878723
1508967051319283,-0.289917,0.121033,-0.345459,0.884277
1508967051336289,-0.273926,0.157288,-0.332458,0.888611
1508967051356343,-0.257874,0.191467,-0.320129,0.891235
1508967051378659,-0.242432,0.223633,-0.309021,0.892029
1508967051396566,-0.227356,0.252808,-0.297852,0.891968
1508967051416652,-0.212463,0.280151,-0.287659,0.890808
1508967051439040,-0.201538,0.30719,-0.2771,0.887817
1508967051456952,-0.192688,0.33197,-0.266479,0.884094
1508967051476147,-0.182068,0.352356,-0.256287,0.88147
1508967051499303,-0.173645,0.367981,-0.246338,0.879578
1508967051521375,-0.16687,0.381775,-0.236267,0.877808
1508967051536562,-0.160889,0.393372,-0.226929,0.876221
1508967051559467,-0.157349,0.402466,-0.218689,0.874878
1508967051581556,-0.157043,0.409058,-0.210754,0.873779
1508967051597584,-0.156616,0.414063,-0.203735,0.873169
1508967051618715,-0.158264,0.416565,-0.196594,0.873352
1508967051641737,-0.159058,0.417969,-0.18988,0.874023
1508967051657744,-0.158386,0.419006,-0.184204,0.874878
1508967051679049,-0.156433,0.4198,-0.17981,0.875732
1508967051701112,-0.155273,0.419922,-0.17749,0.876343
1508967051718999,-0.155762,0.419312,-0.177917,0.876465
1508967051739065,-0.157104,0.418396,-0.180359,0.87616
1508967051761143,-0.157959,0.417358,-0.18396,0.875732
1508967051778159,-0.159973,0.416016,-0.187317,0.875305
1508967051799211,-0.161133,0.414673,-0.190308,0.875122
1508967051821593,-0.161987,0.414063,-0.193298,0.874573
1508967051837484,-0.160889,0.414917,-0.194885,0.874023
1508967051861658,-0.158752,0.416321,-0.194885,0.873718
1508967051881078,-0.15625,0.417786,-0.194397,0.873596
1508967051898161,-0.15387,0.419556,-0.193726,0.873352
1508967051919257,-0.150513,0.421326,-0.193359,0.873169
1508967051941317,-0.148071,0.422302,-0.192566,0.873291
1508967051957366,-0.1474,0.421509,-0.191589,0.873962
1508967051978685,-0.147827,0.42041,-0.191162,0.874512
1508967052001750,-0.148132,0.419556,-0.191711,0.874756
1508967052019645,-0.148254,0.418457,-0.192444,0.875122
1508967052038907,-0.148254,0.417358,-0.19342,0.875427
1508967052061080,-0.148315,0.41626,-0.194641,0.875671
1508967052078998,-0.148438,0.415466,-0.19574,0.875793
1508967052099060,-0.148682,0.414063,-0.196533,0.876221
1508967052122140,-0.148376,0.411316,-0.197266,0.87738
1508967052138263,-0.1474,0.406982,-0.197998,0.879456
1508967052160582,-0.146545,0.400269,-0.199402,0.882324
1508967052181573,-0.14624,0.39093,-0.202698,0.885803
1508967052198619,-0.1474,0.377441,-0.208984,0.890015
1508967052220680,-0.154602,0.357178,-0.217041,0.895203
1508967052241879,-0.167969,0.331116,-0.227417,0.900208
1508967052258778,-0.188354,0.301208,-0.239197,0.903625
1508967052280872,-0.206177,0.270752,-0.249512,0.906555
1508967052304927,-0.220459,0.237427,-0.261292,0.909241
1508967052317942,-0.234131,0.203003,-0.273254,0.910645
1508967052341031,-0.245178,0.171753,-0.285706,0.910339
1508967052362202,-0.253662,0.141113,-0.29895,0.909058
1508967052378270,-0.267578,0.109802,-0.31012,0.90564
1508967052401364,-0.286011,0.0767212,-0.320313,0.899841
1508967052422433,-0.303833,0.0401611,-0.332397,0.891907
1508967052437443,-0.318115,-6.10352e-05,-0.345764,0.882751
1508967052460633,-0.331299,-0.0446167,-0.359924,0.871033
1508967052483660,-0.345642,-0.0895386,-0.376892,0.854675
1508967052497728,-0.355957,-0.132568,-0.397583,0.835266
1508967052520790,-0.361694,-0.173706,-0.414978,0.816589
1508967052543819,-0.36969,-0.211121,-0.427673,0.797363
1508967052558049,-0.380493,-0.24585,-0.442139,0.77417
1508967052581114,-0.392151,-0.276672,-0.458984,0.747681
1508967052603185,-0.404907,-0.302551,-0.478394,0.718079
1508967052617445,-0.416443,-0.323792,-0.499817,0.686951
1508967052640665,-0.424927,-0.338867,-0.521606,0.657654
1508967052663689,-0.429932,-0.347534,-0.544128,0.631165
1508967052691923,-0.434509,-0.35199,-0.567505,0.60437
1508967052700826,-0.442078,-0.355164,-0.5896,0.575195
1508967052723849,-0.452271,-0.360229,-0.606445,0.545898
1508967052745014,-0.456238,-0.372131,-0.615112,0.524536
1508967052761254,-0.452148,-0.394653,-0.610107,0.517334
1508967052783304,-0.440796,-0.422424,-0.594238,0.523621
1508967052804387,-0.428406,-0.450928,-0.570984,0.535889
1508967052820419,-0.415527,-0.479309,-0.543945,0.549316
1508967052843443,-0.403503,-0.504578,-0.51825,0.560425
1508967052864608,-0.397095,-0.521484,-0.500977,0.565186
1508967052880855,-0.393921,-0.527832,-0.496765,0.565247
1508967052903913,-0.398499,-0.523071,-0.505127,0.559021
1508967052925001,-0.40332,-0.513306,-0.513916,0.55658
1508967052941181,-0.404236,-0.508301,-0.518127,0.556641
1508967052971261,-0.405334,-0.503967,-0.520203,0.557861
1508967052984624,-0.407349,-0.500183,-0.521667,0.558411
1508967053000558,-0.409485,-0.498291,-0.520874,0.559265
1508967053023621,-0.410095,-0.498291,-0.518066,0.561401
