timestamp,roll,pitch,yaw
1508967059216608,0.139531,-1.37179,-1.71358
1508967059238864,0.138773,-1.36477,-1.69387
1508967059254207,0.123618,-1.35596,-1.65536
1508967059277280,0.127919,-1.34326,-1.63896
1508967059299328,0.120856,-1.32687,-1.63585
1508967059314433,0.0513147,-1.31145,-1.59847
1508967059337576,-0.047904,-1.29183,-1.53574
1508967059368683,-0.146174,-1.26701,-1.46365
1508967059377683,-0.22855,-1.23605,-1.39742
1508967059398739,-0.298099,-1.19972,-1.33954
1508967059413805,-0.358231,-1.16011,-1.28973
1508967059433831,-0.417616,-1.11695,-1.23753
1508967059457895,-0.474125,-1.06735,-1.18247
1508967059504018,-0.519145,-1.01198,-1.12882
1508967059505022,-0.551984,-0.95368,-1.07815
1508967059517052,-0.576326,-0.891938,-1.02651
1508967059539111,-0.592036,-0.828722,-0.978882
1508967059554151,-0.601231,-0.766397,-0.943578
1508967059578216,-0.616025,-0.701282,-0.921741
1508967059592254,-0.638235,-0.630778,-0.909124
1508967059616326,-0.667828,-0.556204,-0.896459
1508967059638555,-0.701257,-0.480299,-0.877569
1508967059659615,-0.729401,-0.405673,-0.854997
1508967059675629,-0.744158,-0.331345,-0.833653
1508967059698786,-0.746764,-0.257098,-0.818023
1508967059719872,-0.743991,-0.184125,-0.812074
1508967059735885,-0.737128,-0.107608,-0.811697
1508967059758017,-0.727266,-0.03137,-0.816598
1508967059780003,-0.728859,0.0467041,-0.819691
1508967059796045,-0.741069,0.123234,-0.819997
1508967059818132,-0.752164,0.194945,-0.815413
1508967059839289,-0.754704,0.261867,-0.811175
1508967059856205,-0.749012,0.324139,-0.808236
1508967059878264,-0.740283,0.383673,-0.807977
1508967059907453,-0.736666,0.438119,-0.807973
1508967059915363,-0.734717,0.488285,-0.805229
1508967059938613,-0.731533,0.530211,-0.803969
1508967059959913,-0.728459,0.569001,-0.803655
1508967059975873,-0.726666,0.60505,-0.805236
1508967059998176,-0.724856,0.638719,-0.804492
1508967060019367,-0.719125,0.668898,-0.801525
1508967060036297,-0.715392,0.694655,-0.798433
1508967060058363,-0.713675,0.717441,-0.793435
1508967060079608,-0.714828,0.737245,-0.789701
1508967060095560,-0.718009,0.753545,-0.787157
1508967060118557,-0.720163,0.767327,-0.78488
1508967060139614,-0.722588,0.778489,-0.783131
1508967060155655,-0.73104,0.784767,-0.784868
1508967060185734,-0.740151,0.787055,-0.786946
1508967060199806,-0.747944,0.787208,-0.789226
1508967060214821,-0.752113,0.786925,-0.791061
1508967060240030,-0.758995,0.785624,-0.794964
1508967060259166,-0.764719,0.782865,-0.797622
1508967060276146,-0.766227,0.778768,-0.799253
1508967060298181,-0.767043,0.773628,-0.800386
1508967060320386,-0.766421,0.769313,-0.800918
1508967060335538,-0.765474,0.766012,-0.800653
1508967060358479,-0.763964,0.76179,-0.800302
1508967060380542,-0.761726,0.758426,-0.800346
1508967060395561,-0.759841,0.756785,-0.801201
1508967060418642,-0.759864,0.755903,-0.802357
1508967060440674,-0.75841,0.754495,-0.801389
1508967060461869,-0.756259,0.753859,-0.799056
1508967060484886,-0.75395,0.754572,-0.796644
1508967060501023,-0.751026,0.756043,-0.793426
1508967060523092,-0.747911,0.755554,-0.789657
1508967060544500,-0.744195,0.753463,-0.785304
1508967060560626,-0.738413,0.750728,-0.77945
1508967060583693,-0.730515,0.747086,-0.770358
1508967060604745,-0.721064,0.740232,-0.758044
1508967060620981,-0.709208,0.728614,-0.744582
1508967060643072,-0.699517,0.709684,-0.734567
1508967060664500,-0.694148,0.682306,-0.727224
1508967060680608,-0.690861,0.646112,-0.721336
1508967060703551,-0.687941,0.604259,-0.715432
1508967060724907,-0.686548,0.558193,-0.710039
1508967060741151,-0.685429,0.506452,-0.706364
1508967060765215,-0.682963,0.451809,-0.702517
1508967060785887,-0.686069,0.394007,-0.700388
1508967060799971,-0.688482,0.33029,-0.701423
1508967060823042,-0.694129,0.264933,-0.702279
1508967060846224,-0.700684,0.19783,-0.703251
1508967060860256,-0.709221,0.129302,-0.703132
1508967060883292,-0.722716,0.0597392,-0.703269
1508967060905494,-0.739432,-0.0111416,-0.705672
1508967060920552,-0.756587,-0.0856276,-0.712927
1508967060943697,-0.771323,-0.159559,-0.721671
1508967060965665,-0.775718,-0.232876,-0.730341
1508967060980702,-0.773706,-0.309485,-0.736523
1508967061003072,-0.775958,-0.385912,-0.742258
1508967061026129,-0.777373,-0.461556,-0.756392
1508967061040351,-0.76001,-0.534255,-0.780919
1508967061063413,-0.733366,-0.603716,-0.802632
1508967061085585,-0.712048,-0.678013,-0.823074
1508967061106827,-0.700394,-0.759786,-0.854146
1508967061123017,-0.68579,-0.841786,-0.895856
1508967061145978,-0.658632,-0.918076,-0.946085
1508967061167068,-0.610747,-0.991363,-1.01195
1508967061183099,-0.539978,-1.06401,-1.09952
1508967061206139,-0.445511,-1.13278,-1.21036
1508967061227445,-0.329338,-1.18634,-1.34238
1508967061243566,-0.200425,-1.23148,-1.48321
1508967061265625,-0.0494584,-1.27085,-1.65159
1508967061294734,0.110904,-1.30478,-1.80861
1508967061303741,0.293716,-1.32661,-1.94242
1508967061325776,0.441736,-1.34571,-2.0211
1508967061346974,0.547447,-1.36772,-2.06223
1508967061362906,0.630239,-1.39213,-2.09634
1508967061385963,0.701221,-1.40957,-2.14581
1508967061407033,0.733827,-1.40876,-2.19956
1508967061423049,0.679469,-1.40059,-2.18071
1508967061446234,0.60789,-1.39474,-2.12172
