timestamp,x,y,z
1508967274576992,0.908691,-0.132813,0.324707
1508967274608186,0.92041,-0.0966797,0.329102
1508967274616236,0.93457,-0.034668,0.35498
1508967274644954,0.942383,0.043457,0.30957
1508967274659996,0.937012,0.157715,0.258301
1508967274675036,0.967285,0.0546875,0.268066
1508967274699111,0.971191,-0.132324,0.331543
1508967274743222,0.949707,-0.228027,0.354004
1508967274752331,0.927734,-0.272461,0.385742
1508967274760266,0.92041,-0.26709,0.412109
1508967274780548,0.90332,-0.309082,0.42041
1508967274796621,0.875,-0.308105,0.380371
1508967274825897,0.889648,-0.31543,0.452148
1508967274880110,0.938965,-0.359375,0.423828
1508967274880110,0.947754,-0.431641,0.380371
1508967274881113,0.974609,-0.354492,0.434082
1508967274900163,0.950684,-0.297852,0.446777
1508967274914200,0.876465,-0.380371,0.546875
1508967274937262,0.875977,-0.426758,0.512207
1508967274968345,0.869141,-0.497559,0.512695
1508967274974361,0.772949,-0.554688,0.607422
1508967274997422,0.671387,-0.635254,0.557617
1508967275019481,0.642578,-0.724609,0.60791
1508967275034521,0.669922,-0.744141,0.628906
1508967275056580,0.643555,-0.749512,0.694824
1508967275079642,0.533691,-0.722168,0.726074
1508967275094681,0.372559,-0.664063,0.774414
1508967275116756,0.249023,-0.75293,0.788574
1508967275139841,0.157715,-0.740234,0.850586
1508967275154878,0.136719,-0.726563,0.818359
1508967275176936,0.00976563,-0.704102,0.803223
1508967275200040,-0.0673828,-0.663574,0.846191
1508967275215004,-0.0253906,-0.638672,0.78125
1508967275237295,-0.0546875,-0.594727,0.757324
1508967275260232,-0.175781,-0.572266,0.774414
1508967275282446,-0.17041,-0.602539,0.710449
1508967275297626,-0.184082,-0.625488,0.676758
1508967275319542,-0.285645,-0.537598,0.616699
1508967275341949,-0.233887,-0.57666,0.577637
1508967275356976,-0.286621,-0.591309,0.558105
1508967275380169,-0.383789,-0.560547,0.526367
1508967275402517,-0.453125,-0.541992,0.508301
1508967275417564,-0.445801,-0.546875,0.509277
1508967275439840,-0.486328,-0.540527,0.496582
1508967275461793,-0.479492,-0.53125,0.486816
1508967275476841,-0.553223,-0.515625,0.529297
1508967275500188,-0.609863,-0.51709,0.541992
1508967275522624,-0.602051,-0.489258,0.544434
1508967275537663,-0.614746,-0.516113,0.569824
1508967275559757,-0.665039,-0.569824,0.558594
1508967275581673,-0.694336,-0.5625,0.589844
1508967275596711,-0.669434,-0.561523,0.581055
1508967275619797,-0.658203,-0.572754,0.609863
1508967275641832,-0.664551,-0.587402,0.597168
1508967275656953,-0.680176,-0.584961,0.61377
1508967275680023,-0.70166,-0.561035,0.587402
1508967275702228,-0.63623,-0.58252,0.613281
1508967275717302,-0.609375,-0.60791,0.613281
1508967275739324,-0.634766,-0.587891,0.594727
1508967275762552,-0.660645,-0.587402,0.589355
1508967275777666,-0.63623,-0.598145,0.586426
1508967275799894,-0.602051,-0.593262,0.593262
1508967275821866,-0.607422,-0.593262,0.599609
1508967275836949,-0.605957,-0.575684,0.591797
1508967275859994,-0.618652,-0.573242,0.577148
1508967275882029,-0.595215,-0.587891,0.596191
1508967275900074,-0.590332,-0.595215,0.594727
1508967275921130,-0.581543,-0.58252,0.588379
1508967275942337,-0.573242,-0.575684,0.588867
1508967275960235,-0.602539,-0.584473,0.576172
1508967275981290,-0.600098,-0.592285,0.576172
1508967276002647,-0.585449,-0.592285,0.59668
1508967276019539,-0.603516,-0.593262,0.598145
1508967276040628,-0.608887,-0.574707,0.602539
1508967276061683,-0.589844,-0.594727,0.608398
1508967276079698,-0.583984,-0.609375,0.615234
1508967276100753,-0.610352,-0.605957,0.606934
1508967276121810,-0.600098,-0.604004,0.61377
1508967276139857,-0.605957,-0.60791,0.618164
1508967276160938,-0.600098,-0.596191,0.609863
1508967276182178,-0.566406,-0.611328,0.612793
1508967276200225,-0.562988,-0.59375,0.61084
1508967276221284,-0.561035,-0.604492,0.602539
1508967276242487,-0.546387,-0.604004,0.601074
1508967276260422,-0.531738,-0.609375,0.611816
1508967276282446,-0.532227,-0.593262,0.613281
1508967276302688,-0.546387,-0.572266,0.619141
1508967276319632,-0.570313,-0.580566,0.600098
1508967276342697,-0.559082,-0.583984,0.603027
1508967276362081,-0.539063,-0.584961,0.599609
1508967276380013,-0.505371,-0.586914,0.606445
1508967276403040,-0.477051,-0.585938,0.592285
1508967276422575,-0.450684,-0.57666,0.591309
1508967276444745,-0.4375,-0.57373,0.619629
1508967276462838,-0.326172,-0.583984,0.539551
1508967276481892,-0.185547,-0.660645,0.54541
1508967276505086,-0.234863,-0.634277,0.558105
1508967276523023,-0.237305,-0.610352,0.612793
1508967276542193,0.000488281,-0.623047,0.611328
1508967276564548,-0.0419922,-0.681641,0.630859
1508967276582447,-0.166504,-0.6875,0.686035
1508967276602620,-0.0615234,-0.677734,0.67334
1508967276624684,0.0800781,-0.745117,0.706543
1508967276642606,0.138184,-0.88623,0.776855
1508967276662696,0.0961914,-0.789063,0.835449
1508967276684757,0.0283203,-0.685059,0.825684
1508967276702789,0.238281,-0.497559,0.736328
1508967276721940,0.475586,-0.60791,0.800781
1508967276745160,0.502441,-0.79541,0.837891
1508967276763079,0.458984,-0.630371,0.79248
1508967276782209,0.509766,-0.49707,0.642578
1508967276805268,0.711426,-0.526855,0.684082
1508967276822510,0.865723,-0.568359,0.664551
1508967276843603,0.797363,-0.500488,0.665039
1508967276867840,0.737793,-0.370117,0.574707
1508967276882849,0.886719,-0.308105,0.496094
1508967276911092,1.10938,-0.338379,0.422363
1508967276925156,1.12744,-0.291504,0.391602
1508967276942290,1.00391,-0.141602,0.430664
1508967276963452,0.942871,-0.0625,0.390625
1508967276985810,0.990723,0.00341797,0.285156
1508967277002751,0.994629,-0.00634766,0.224121
1508967277024000,0.983398,-0.0908203,0.177246
1508967277045167,0.944824,-0.126953,0.180664
1508967277062074,0.922852,-0.169922,0.206055
1508967277083204,0.92334,-0.199219,0.22168
1508967277104404,0.954102,-0.165527,0.288574
1508967277122310,0.977051,0.0234375,0.38916
1508967277145367,0.928711,0.243652,0.464355
1508967277167425,0.913086,0.170898,0.523438
1508967277187547,0.938965,-0.019043,0.442383
1508967277204756,0.948242,-0.0952148,0.421875
1508967277224863,0.952148,-0.105957,0.358398
1508967277242901,0.978027,-0.0913086,0.270508
1508967277264908,0.992676,-0.0527344,0.211426
1508967277285090,0.987793,-0.00244141,0.195801
1508967277302225,0.954102,0.0205078,0.191895
