timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1508967301541817,-1,-5,-10,-2,-1,-2,-3,-1
1508967301541817,3,9,2,0,-1,-2,-2,-1
1508967301542732,-6,-21,-3,-1,1,-1,-2,-3
1508967301542732,-1,3,10,1,0,-1,-1,-1
1508967301543743,-1,1,-23,-5,-3,0,-1,0
1508967301543743,-4,-3,-3,-3,-1,1,-1,0
1508967301543743,3,6,12,1,-3,-1,-2,0
1508967301543743,-3,-3,1,-2,0,1,0,-3
1508967301555861,-1,0,12,4,0,1,2,-1
1508967301555861,0,-5,-17,-2,0,-1,-1,-1
1508967301563826,-1,-2,-25,-3,-1,-2,-2,-1
1508967301563826,2,1,2,-1,0,-3,-1,2
1508967301569889,-1,-1,-5,-1,-2,-2,-2,-2
1508967301569889,-2,-3,-3,0,0,-1,-2,-2
1508967301584923,1,3,16,1,4,2,1,-1
1508967301584923,-2,-4,-25,-14,-4,-7,-1,-1
1508967301594079,0,1,8,6,-20,-4,0,0
1508967301594079,1,2,3,14,-1,-3,1,2
1508967301609094,1,4,-3,5,16,6,0,1
1508967301609094,-1,-4,-1,-4,-4,2,0,-1
1508967301615086,-2,-3,3,-12,8,0,-2,-2
1508967301615086,-1,-2,1,-6,2,-5,-1,-1
1508967301629214,-3,4,1,1,-22,3,1,-2
1508967301629214,1,0,1,-3,-1,0,0,0
1508967301671293,-4,-4,-3,-10,0,-2,-3,-5
1508967301671293,-3,-21,-7,-4,-13,-5,0,-1
1508967301672298,2,11,8,2,-5,2,1,1
1508967301672298,4,-7,11,19,28,5,3,3
1508967301675328,-5,-5,-12,0,-4,0,-2,0
1508967301675328,-1,7,4,-6,9,4,-3,-3
1508967301676333,-3,-9,-9,-5,-1,-13,-3,-4
1508967301676333,1,5,-2,-5,-36,-3,0,0
1508967301681347,4,17,7,3,14,8,2,2
1508967301681347,-5,-16,-5,-5,32,-5,-4,-1
1508967301689381,2,4,5,-1,-42,-9,1,4
1508967301689381,-1,4,8,-1,-6,7,-3,-4
1508967301698441,1,3,9,9,18,4,3,1
1508967301698441,1,3,-8,2,-12,6,3,-1
1508967301712503,-1,-1,-3,0,22,2,1,-1
1508967301712503,-4,-5,-9,-2,-3,-4,-2,-3
1508967301719652,-2,-9,-6,-7,-16,-5,-2,-1
1508967301719652,0,5,6,-1,13,-4,-2,-2
1508967301743714,0,2,1,4,-21,-7,-3,0
1508967301743714,-3,-1,-8,-6,0,6,3,0
1508967301744566,0,-4,-2,-7,9,-2,-4,-2
1508967301744566,-1,1,1,4,-12,6,5,0
1508967301757751,2,0,0,-7,18,2,-5,-6
1508967301757751,-1,0,-3,9,13,-6,-2,-1
1508967301764728,-1,-3,-2,-1,-30,-7,1,0
1508967301764728,-2,2,3,2,22,0,0,1
1508967301780799,5,3,8,-6,-31,3,4,4
1508967301780799,-7,2,0,-3,5,-1,-4,0
1508967301782664,-1,-7,-30,2,25,-4,-3,-1
1508967301782664,1,5,14,5,-47,1,1,0
1508967301803056,-5,-2,-11,3,47,10,2,-1
1508967301803056,-1,-2,5,-18,-20,-2,-4,-2
1508967301804956,5,17,51,26,24,-3,-1,1
1508967301804956,-1,-8,-63,-1,-11,-5,-3,-1
1508967301817081,-5,-7,10,-16,-16,-2,-3,-1
1508967301817081,1,-1,11,2,-1,-3,2,1
1508967301826084,-2,-5,-7,-13,-16,-2,-1,-2
1508967301826084,5,15,35,7,13,-3,-4,-1
1508967301841137,-1,-2,-5,7,16,4,0,-2
1508967301841137,-2,-8,-14,2,-19,-3,0,-1
1508967301842150,0,1,8,2,-8,0,-1,1
1508967301842150,-1,-3,1,3,24,-2,0,1
1508967301863224,-4,-7,-19,-12,-10,-6,-6,-1
1508967301863224,-4,-7,-4,-10,-11,-4,-5,-4
1508967301865188,2,1,-3,5,17,1,-1,1
1508967301865188,1,1,5,8,-30,0,4,0
1508967301877451,-4,-10,-13,-7,-6,3,0,-2
1508967301877451,4,6,5,1,28,-4,-3,-1
1508967301885647,-3,-4,-5,0,-13,2,-1,0
1508967301885647,-2,-3,-8,-20,-22,-7,-3,-1
1508967301900957,2,2,20,5,-6,-1,-1,-1
1508967301900957,1,0,-18,-9,1,4,2,2
1508967301901823,-3,-8,-10,-4,-7,-3,-2,-3
1508967301901823,-1,0,11,15,49,15,0,-1
1508967301923138,0,3,5,20,6,-5,4,1
1508967301923138,-2,-5,-5,5,-2,-7,-6,-1
1508967301924999,-3,-5,-4,-27,-28,-8,-5,-5
1508967301924999,-1,0,-1,-30,-20,-9,-1,0
1508967301937409,0,0,-2,1,28,4,2,0
1508967301937409,-2,-1,-1,3,-23,6,2,-1
1508967301946286,0,2,0,-6,3,-2,0,0
1508967301946286,-2,-3,2,6,-5,0,-3,-1
1508967301961358,0,-1,-9,4,26,3,-2,1
1508967301961358,2,3,13,22,-3,-1,4,2
1508967301962360,1,-1,-8,-14,-9,-6,1,0
1508967301962360,0,0,6,12,-18,-4,-5,-1
1508967301983506,0,2,7,7,17,3,1,-2
1508967301983506,-6,-14,-18,-12,-9,-3,-6,-5
1508967301984385,1,1,-10,2,-6,7,4,2
1508967301984385,-4,-6,-15,-1,64,2,1,-2
1508967301997455,3,7,7,1,-71,-19,-1,0
1508967301997455,0,3,12,-20,22,11,3,0
1508967302005577,-2,-2,-5,8,-7,0,-6,-5
1508967302005577,1,2,5,-18,-7,-4,-7,-1
1508967302020831,0,-1,6,19,-47,-1,3,2
1508967302020831,4,9,12,34,69,12,10,4
1508967302022691,-2,-2,-7,-10,6,-3,-2,0
1508967302022691,-3,-3,-1,-6,-33,-8,-6,-3
1508967302043784,-1,-2,-1,-10,5,-3,-3,-2
1508967302043784,-2,-7,-17,-31,-13,-9,-5,-3
1508967302044751,2,0,3,17,-1,2,3,1
1508967302044751,-1,2,6,-1,14,-5,-1,-2
1508967302056927,-2,-5,1,-21,15,9,-1,0
1508967302056927,0,-2,-7,25,-1,5,3,1
1508967302065807,-4,-3,12,16,5,-2,-2,0
1508967302065807,0,-2,-28,-19,-42,-10,-2,-1
1508967302081268,-4,0,27,2,12,3,0,-2
1508967302081268,1,-1,-8,-31,-17,-2,-6,-1
1508967302082205,3,6,15,38,32,6,6,2
1508967302082205,4,3,0,6,-28,-3,7,4
1508967302103419,-6,-11,-26,-35,-3,4,-5,-4
1508967302103419,-6,-1,9,28,16,2,0,-3
1508967302105267,-1,-10,-30,-48,-45,-16,-9,-3
1508967302105267,-7,-8,6,5,15,0,0,-4
1508967302117383,9,23,32,30,13,12,6,4
1508967302117383,-22,-45,-44,-61,-56,-35,-20,-17
1508967302125662,6,7,8,4,4,9,7,5
1508967302125662,6,7,11,64,71,35,15,7
1508967302140800,-2,4,-19,-30,-4,-5,-3,-2
1508967302140800,3,6,12,-8,-18,-13,-4,0
1508967302142657,-5,-2,16,14,20,6,2,-4
1508967302142657,-3,-4,5,6,-11,-9,-6,-3
1508967302163781,-2,-7,-20,-3,5,0,-1,-3
1508967302163781,13,21,14,13,-3,-4,0,7
1508967302165717,-8,-12,-25,-31,-24,-8,-10,-6
1508967302165717,2,0,8,32,38,27,15,3
1508967302177115,-3,-6,5,-7,-11,-16,-7,-3
1508967302177115,-4,-7,-9,10,5,10,2,-2
1508967302186195,7,16,16,-41,-25,-18,-6,3
1508967302186195,0,4,-1,-5,-23,0,1,0
1508967302200455,2,4,15,44,32,2,1,1
1508967302200455,-13,-25,-21,-11,6,3,-1,-8
1508967302202448,5,10,25,5,0,-1,-1,1
1508967302202448,-5,-13,-29,-33,-25,-24,-13,-4
1508967302223657,-2,-6,4,-18,-3,-2,-1,-1
1508967302223657,10,25,63,58,34,21,11,9
1508967302224506,-4,-11,-36,11,6,-4,-4,-3
1508967302224506,-6,-9,-10,-34,-37,-15,-7,-6
1508967302236774,-2,-4,-19,-25,-28,-22,-8,-3
1508967302236774,1,-2,-14,8,16,10,2,1
1508967302245767,1,2,2,26,18,9,9,2
1508967302245767,3,15,34,-16,3,5,-16,-1
1508967302260839,-20,-42,-62,-36,-21,-14,-8,-14
1508967302260839,3,4,8,-21,-28,-7,11,2
1508967302261834,-2,-3,-12,15,14,9,13,0
1508967302261834,7,16,-5,9,1,0,1,5
1508967302284871,-2,7,56,-2,0,10,-4,-2
1508967302284871,-9,-14,-33,5,0,-5,-10,-6
1508967302285882,5,16,29,-5,-13,-9,-2,2
1508967302285882,-7,-16,-5,-25,-8,-1,4,-5
1508967302297078,12,21,-2,39,4,-1,-19,12
1508967302297078,-4,-10,-42,-29,-16,-18,25,-12
1508967302305940,-3,7,56,6,2,7,24,5
1508967302305940,5,9,-1,16,17,5,-20,-4
1508967302321006,-11,-32,-51,-24,-8,-2,7,-7
1508967302321006,7,15,33,24,12,-1,-28,5
1508967302322043,-13,-19,-13,-37,-9,-11,-20,-12
1508967302322043,0,6,-1,-25,-21,-13,3,0
1508967302343086,12,12,-33,16,-1,4,-8,5
1508967302343086,6,20,68,73,46,31,26,8
1508967302345027,8,17,39,11,12,7,-4,1
1508967302345027,-12,-18,29,-10,-16,-11,16,-7
1508967302357109,-4,-4,2,0,-2,-6,-34,-6
1508967302357109,-7,-22,-62,-47,-32,-7,54,6
1508967302366201,-2,-4,-22,12,18,12,10,-2
1508967302366201,8,19,13,19,21,8,-13,4
1508967302380603,13,14,18,51,29,15,-30,14
1508967302380603,-14,-34,17,-61,-46,-28,-15,-24
1508967302386526,-11,-29,-26,14,13,7,53,3
1508967302386526,2,-10,-44,-16,-10,-10,-7,5
1508967302403655,-6,-3,-7,3,4,10,29,-2
1508967302403655,6,1,-64,0,11,1,-26,5
1508967302404541,9,34,86,35,4,-1,-21,-2
1508967302404541,-14,-28,-50,-14,-9,-6,12,-6
1508967302416919,-7,-12,60,-20,-15,-8,19,1
1508967302416919,12,20,1,17,11,4,-27,15
1508967302425804,-13,-23,-44,-18,-25,-17,-25,-28
1508967302425804,9,23,17,21,11,3,19,5
1508967302440886,9,27,25,31,14,-1,-34,-3
1508967302440886,-11,-16,34,-42,-32,-10,68,7
1508967302446906,-4,-8,-38,-4,5,-2,-78,-5
1508967302446906,-5,-4,-5,14,6,9,54,12
1508967302462940,-6,9,13,-14,1,7,29,-1
1508967302462940,11,29,32,12,-7,-13,-18,2
1508967302464903,-3,-3,-44,-23,-16,-11,-44,-7
1508967302464903,2,6,10,25,20,25,22,4
1508967302486006,0,-19,11,12,-2,-12,-2,0
1508967302486006,4,-12,-53,-18,17,12,-21,2
1508967302486960,3,-1,64,5,-14,-4,15,7
1508967302486960,-15,-39,-37,-39,-30,-23,-46,-26
1508967302500040,1,11,31,6,16,12,38,2
1508967302500040,2,9,-24,24,13,-4,-36,-6
1508967302507050,-5,-21,-59,-32,-4,2,27,1
1508967302507050,7,22,68,29,6,12,-11,3
1508967302523087,-6,-16,-16,-33,-7,-12,-4,-8
1508967302523087,-2,8,5,18,2,1,12,0
1508967302525064,-4,-2,-16,12,17,3,4,2
1508967302525064,-7,-7,-27,-10,-1,0,-19,-8
1508967302546281,6,25,8,22,9,7,15,4
1508967302546281,-5,-3,19,-16,-3,2,-20,-7
1508967302547221,5,8,22,22,1,-3,19,11
1508967302547221,-12,-39,-54,-16,-9,-13,-7,-10
1508967302560387,0,2,-7,-2,-14,-3,2,-2
1508967302560387,9,12,41,16,17,2,3,5
1508967302567385,-2,1,-55,-15,0,12,2,-1
1508967302567385,0,3,13,-7,-7,-15,-19,0
1508967302583325,-14,-30,-15,-13,-7,-5,12,-7
1508967302583325,-2,-4,20,15,14,12,-24,-8
1508967302585318,6,-5,-9,-4,-1,0,8,5
1508967302585318,10,31,51,35,12,5,3,9
1508967302605498,-13,-29,-98,-74,-28,-13,-18,-12
1508967302605498,-10,-22,18,-17,-13,2,6,-6
1508967302607377,3,18,34,38,10,-5,-5,4
1508967302607377,-4,-7,-32,-39,-18,-10,-17,-10
1508967302620562,9,15,20,15,7,8,-4,9
1508967302620562,-6,-7,-31,3,0,-7,-3,-5
1508967302627466,-5,-11,-5,-24,-19,-6,-10,-3
1508967302627466,6,10,-7,12,8,10,17,1
1508967302641604,3,12,17,52,26,10,-16,-3
1508967302641604,-3,-13,-21,-11,-5,-8,-10,-3
1508967302650515,-2,-10,-26,-20,0,8,10,0
1508967302650515,5,4,9,-9,-2,-1,-21,0
1508967302665536,-1,-4,-9,-4,-4,0,7,3
1508967302665536,5,20,42,17,4,5,15,5
1508967302667537,3,14,1,19,9,1,11,2
1508967302667537,2,4,3,-6,-8,-2,-11,7
1508967302688604,-7,-21,-29,-51,-23,-10,-18,-13
1508967302688604,4,20,2,22,16,20,18,5
1508967302689597,0,-19,11,29,13,-8,-2,4
1508967302689597,-14,-24,-56,-36,-13,-13,-7,-7
1508967302701776,2,6,18,26,12,7,18,6
1508967302701776,-2,-1,-14,-22,-16,-16,-25,-7
1508967302718677,-1,3,1,-5,0,9,-5,-3
1508967302718677,5,13,34,35,20,13,20,8
1508967302725842,2,-5,-3,1,-9,-14,-22,-5
1508967302725842,6,22,63,14,1,3,32,6
1508967302727697,-4,-7,-39,-37,-17,-11,-37,-10
1508967302727697,-8,-17,18,-14,-6,4,47,7
1508967302748162,-6,-20,-26,-15,-11,-19,-48,-11
1508967302748162,0,0,-9,-7,3,13,10,0
1508967302750129,5,21,58,61,17,8,22,7
1508967302750129,3,5,-11,-14,14,5,-14,-3
1508967302762318,-1,2,28,27,10,1,12,0
1508967302762318,-6,-12,-38,-32,-17,-10,-14,1
1508967302771181,0,1,-9,-15,-4,-4,-12,-3
1508967302771181,-9,-4,-11,-12,-14,-11,-18,-8
1508967302786284,7,17,-11,-12,-11,-2,41,6
1508967302786284,-4,-11,-18,5,-3,0,-12,0
1508967302787224,0,-1,4,-5,4,6,-9,-3
1508967302787224,6,6,21,34,13,13,22,5
1508967302808536,2,13,17,6,9,4,-3,0
1508967302808536,-4,-8,-22,-2,-3,-8,-25,-2
1508967302809528,3,8,-11,6,3,5,35,1
1508967302809528,-4,-1,60,-17,-17,-15,-28,-4
1508967302821562,-2,-1,-24,-6,-1,9,23,5
1508967302821562,2,-5,-12,-9,3,-2,-1,0
1508967302830535,-14,-28,13,-17,-14,-8,-9,-8
1508967302830535,0,4,-11,9,0,-6,-7,-6
1508967302845599,4,15,39,3,2,6,5,5
1508967302845599,-1,-11,-6,15,8,1,-2,1
1508967302847550,0,3,-8,-17,-2,1,-4,-3
1508967302847550,2,8,2,17,7,7,25,1
1508967302868653,3,2,-5,9,5,-1,1,3
1508967302868653,-3,6,39,-12,-16,-4,-3,-5
1508967302869612,-1,-4,-28,-21,-7,3,-9,2
1508967302869612,-3,-14,-41,-10,-5,-7,-13,-2
1508967302881799,2,15,31,10,17,13,11,0
1508967302881799,1,0,-1,1,-4,-6,-6,-3
1508967302890789,0,-1,-19,-2,-5,-8,6,-1
1508967302890789,5,12,57,7,-2,0,0,2
1508967302905862,1,2,-5,16,7,4,-1,0
1508967302905862,-9,-12,-25,-28,-14,-9,-4,-7
1508967302907836,-1,-3,20,-1,-4,-5,-9,-2
1508967302907836,10,21,17,21,16,10,2,4
1508967302927929,-20,-52,-86,-46,-27,-14,-9,-11
1508967302927929,0,2,0,14,-1,2,0,1
1508967302929894,3,7,32,-11,5,-1,1,2
1508967302929894,3,3,-7,1,2,-3,-1,1
1508967302941969,-5,-13,16,-2,2,9,2,-1
1508967302941969,1,9,16,10,-1,-7,-2,-2
1508967302951100,-2,-10,-43,-25,-16,-10,-4,-2
1508967302951100,2,5,15,21,10,6,7,2
1508967302966113,4,11,39,12,8,5,-6,-1
1508967302966113,-7,-21,-61,-25,-10,-10,-3,-4
1508967302967110,3,10,5,22,15,8,8,5
1508967302967110,-8,-16,1,-38,-22,-10,-13,-7
1508967302996382,7,18,-17,5,0,0,1,5
1508967302996382,1,1,9,14,11,4,-25,-2
1508967302997384,-2,3,-5,-9,-14,-3,55,5
1508967302997384,1,-7,-8,10,16,12,3,3
1508967303010559,0,6,5,-1,-5,-8,-14,-5
1508967303010559,-4,-2,0,-8,-1,3,8,-1
1508967303012424,-5,-12,-21,0,4,-5,-27,-7
1508967303012424,0,-2,-7,-9,-15,-6,-1,-1
1508967303025552,3,6,5,14,2,1,10,4
1508967303025552,2,4,-27,19,14,1,-4,-3
1508967303027464,2,3,52,7,-5,1,-6,0
1508967303027464,-9,-18,6,-30,-12,-7,2,-6
1508967303048520,7,13,31,15,14,7,-4,3
1508967303048520,-11,-21,-39,-21,-13,-9,1,-6
1508967303049520,2,13,23,10,6,5,1,1
1508967303049520,-5,-18,-32,-6,-5,-7,-10,-3
1508967303070594,1,2,6,-7,-3,-1,1,1
1508967303070594,-1,5,28,16,-5,-8,-5,-3
1508967303072584,-2,1,5,-4,6,-1,-13,-1
1508967303072584,-2,-5,-2,1,7,14,10,0
1508967303085706,-3,-12,-23,-8,-10,-7,0,-2
1508967303085706,4,7,1,-3,2,8,25,5
1508967303087622,-2,-6,-14,2,-1,-6,-20,-5
1508967303087622,2,12,-16,17,9,0,-5,2
1508967303109753,-5,-13,-7,-18,-6,3,4,-1
1508967303109753,6,12,9,-5,5,1,-1,-1
1508967303111687,3,0,2,11,14,12,10,3
1508967303111687,-4,-6,-21,-5,-15,-14,-15,-3
1508967303130784,-6,-3,21,-4,-11,-13,-5,-3
1508967303130784,-1,-3,-17,-9,1,9,1,-1
1508967303132772,-5,-12,-18,-12,-6,-3,-2,-2
1508967303132772,7,16,10,22,5,0,4,2
1508967303144814,-3,-6,-31,-13,-6,0,-7,0
1508967303144814,3,20,57,6,13,4,8,3
1508967303151974,-4,-21,-41,0,-10,1,-3,-3
1508967303151974,-4,-7,13,-1,3,-1,4,-1
1508967303168090,-1,4,-18,-7,-10,-8,-4,-3
1508967303168090,1,3,21,21,2,-4,-14,1
1508967303169956,1,5,26,-18,-7,7,13,0
1508967303169956,-3,-5,-21,-4,-7,-5,1,-3
1508967303191161,0,5,12,14,10,2,3,1
1508967303191161,-1,-9,-12,-14,-15,-6,-3,0
1508967303192012,0,4,8,25,12,1,7,-1
1508967303192012,-3,-13,7,-14,-8,0,-2,-5
1508967303205045,0,-3,-6,9,4,-3,-5,0
1508967303205045,3,4,-31,1,3,1,8,3
1508967303212187,-3,0,10,-1,-6,-10,-14,-5
1508967303212187,2,1,-2,3,-3,-5,-7,1
1508967303228198,0,3,-15,-10,2,11,11,-1
1508967303228198,0,4,16,2,-3,-3,-5,-2
1508967303230140,-3,-10,-9,-1,6,8,2,0
1508967303230140,5,16,-4,-7,-3,-5,-5,2
1508967303251220,-4,-11,-6,-19,-8,5,-2,-4
1508967303251220,-1,0,7,14,-1,-9,-1,1
1508967303252202,2,9,-3,-6,-1,0,1,1
1508967303252202,-1,2,11,8,4,7,3,0
1508967303264277,-4,-8,-6,-9,-5,-7,-6,-1
1508967303264277,-1,0,-1,-4,-1,-2,1,2
1508967303273280,2,2,11,11,7,0,0,-1
1508967303273280,-3,-4,-8,-7,-5,-4,-4,-2
1508967303288341,-1,4,15,0,-3,-4,-3,-2
1508967303288341,-1,-6,-8,3,6,6,2,0
1508967303289326,0,4,5,-2,-8,-8,-6,1
1508967303289326,1,3,-18,6,4,4,0,-1
1508967303310355,-3,-1,25,0,-1,-1,1,-2
1508967303310355,-5,-9,-1,-2,-1,-2,1,-2
1508967303312360,-1,-1,-6,-3,-3,-4,-5,-1
1508967303312360,0,-1,2,-4,0,3,-2,0
1508967303324392,0,-2,-6,11,5,-1,2,1
1508967303324392,-1,-1,-3,-5,-1,3,-2,-1
1508967303333418,-3,-6,1,-5,-7,-5,-2,-2
1508967303333418,0,-3,4,3,3,-2,2,0
1508967303348496,2,2,-4,5,1,-2,-1,0
1508967303348496,0,0,7,-7,-5,0,-2,-1
1508967303349460,-2,-2,3,0,2,1,1,0
1508967303349460,0,3,2,2,-3,-3,-2,0
1508967303370861,1,0,-9,-6,-6,-4,-1,-1
1508967303370861,-2,3,8,-10,-4,2,-1,-3
1508967303372715,0,-4,7,23,5,-7,5,2
1508967303372715,-1,-3,-7,-10,-9,-3,-1,-2
1508967303384898,0,0,-3,8,13,2,0,2
1508967303384898,-1,-5,2,5,-11,-2,-2,0
1508967303393772,-1,-3,-28,-27,6,0,-5,-1
1508967303393772,-2,-4,4,-4,-1,1,1,0
1508967303408849,-4,-3,2,11,12,7,1,0
1508967303408849,3,4,13,6,1,4,3,1
1508967303409816,-5,-7,-3,-4,-5,-4,-3,-3
1508967303409816,-2,-1,-1,2,-6,-3,-2,-3
1508967303431017,0,-2,-2,-4,3,-1,-2,0
1508967303431017,-2,-6,1,-7,0,-3,-4,-3
1508967303431875,2,3,-1,-1,-6,-1,-2,2
1508967303431875,0,3,6,-1,3,5,4,1
1508967303444944,-2,-9,1,15,14,0,0,0
1508967303444944,2,-8,-2,-7,-3,-3,0,-1
1508967303453193,1,-2,-3,3,-2,-1,-1,-4
1508967303453193,2,-8,-6,3,11,4,1,-2
1508967303468495,3,2,-3,-8,-10,-3,-1,-1
1508967303468495,3,-3,0,3,-8,-5,3,1
1508967303469370,1,1,-1,0,-2,2,-2,-2
1508967303469370,2,4,2,4,-1,-2,-2,-2
1508967303490459,2,-1,-8,-12,-3,-2,-4,-3
1508967303490459,1,6,-4,-2,-2,4,2,0
1508967303492431,-2,4,5,-7,-18,-8,-5,-4
1508967303492431,-4,2,-1,10,21,5,2,3
1508967303504602,-4,-7,-2,-6,-13,-3,-1,-3
1508967303504602,-5,-12,-6,-4,5,2,0,-1
1508967303513488,-2,-6,6,3,1,1,0,-1
1508967303513488,-3,-13,-4,-4,-6,-1,-1,0
1508967303528693,-3,-1,1,2,3,3,3,2
1508967303528693,-4,29,-1,4,4,2,2,-2
1508967303529531,-3,50,-1,-5,0,0,-3,1
1508967303529531,-4,42,-2,-8,-6,-9,-5,-3
1508967303550707,-3,23,2,-3,-1,-4,-3,-2
1508967303550707,-2,6,-1,6,0,-1,-2,-2
1508967303552591,0,4,3,11,2,2,9,4
1508967303552591,0,5,-6,-7,0,-1,-4,0
