timestamp,x,y,z
1508967357751851,10,1.9375,3.8125
1508967357774660,7.9375,5.0625,5.4375
1508967357798224,3.5625,10.375,5.25
1508967357819237,-2,14.625,8.1875
1508967357833803,-6.3125,20,15.1875
1508967357858844,-16.75,27.625,16.75
1508967357879901,-42.1875,41.4375,21.625
1508967357908978,-76.875,55.25,25.375
1508967357923024,-133,67.125,17.625
1508967357941063,-181.938,68.6875,18.25
1508967357954098,-177.438,65.4375,40.125
1508967357979166,-123.625,57.125,64.4375
1508967358000222,-46,47.3125,92.25
1508967358044340,31.125,39.9375,113.5
1508967358054365,89.1875,32.625,133.125
1508967358060381,113.813,30.5,146.563
1508967358075421,104.5,35.25,147.875
1508967358106505,67.9375,43.6875,141.938
1508967358127637,29.75,54.5,142.313
1508967358142756,-11.9375,58.5,150.875
1508967358165889,-26.5625,55.625,166.938
1508967358188950,-24.25,59.375,170.5
1508967358202989,-22,66.5625,172.313
1508967358226084,-13.1875,75.25,178.813
1508967358248321,0.5625,76.1875,194.125
1508967358270381,20,71.4375,206.125
1508967358286423,16.5,71.9375,210.875
1508967358309673,5.9375,87.6875,211.5
1508967358322744,4,95.3125,206.625
1508967358345823,15.6875,101.563,207.438
1508967358368827,20.0625,112.625,203.938
1508967358382864,29.25,117.438,200.813
1508967358406101,31.25,126.563,192.813
1508967358430172,9.75,130.125,194.063
1508967358450254,15.625,128,181.063
1508967358472311,14.375,131.563,168.25
1508967358496343,7.75,132.563,149.5
1508967358509402,8.1875,119.688,128.188
1508967358526420,13.625,110.563,115.75
1508967358548478,11.8125,101.375,102.75
1508967358569534,-2,93.375,92.625
1508967358585577,-8.125,78.4375,75.1875
1508967358608638,-5.6875,64.875,64.9375
1508967358629929,-5.75,50,55.5
1508967358645877,-16.375,30.9375,44.8125
1508967358668939,-23.75,12.875,34
1508967358690026,-21.3125,6.75,19.125
1508967358706041,-17.1875,-0.75,8
1508967358728319,-13.375,-9.625,0.1875
1508967358750237,-16.0625,-12.1875,-16.0625
1508967358773297,-12.375,-14,-20.5
1508967358788363,-4.9375,-12.9375,-18.875
1508967358809451,-3.0625,-8.3125,-17.5625
1508967358826451,-8.0625,-5,-17.9375
1508967358848498,0.625,-4.8125,-13.125
1508967358869907,-1.5,-3.375,-11
1508967358885842,-0.1875,2,-6.0625
1508967358908851,1.0625,6.1875,-2.6875
