timestamp,x,y,z
1508967842738795,0.881348,-0.191895,0.501465
1508967842762624,0.890137,-0.181641,0.476563
1508967842783909,0.925293,-0.149414,0.459473
1508967842798637,0.949219,-0.0737305,0.40625
1508967842822701,0.956543,-0.0581055,0.358398
1508967842843757,0.947754,-0.0800781,0.356445
1508967842858797,0.941895,-0.196289,0.400879
1508967842904006,0.976074,-0.303711,0.39209
1508967842915038,0.973633,-0.180664,0.441895
1508967842920973,0.938965,-0.121094,0.460449
1508967842943253,0.953613,-0.150879,0.41748
1508967842965401,0.922363,-0.272461,0.553711
1508967842988408,0.596191,-0.537109,0.652832
1508967843016449,0.709473,-0.689941,0.69043
1508967843026714,0.773926,-0.580566,0.795898
1508967843040615,0.512695,-0.685059,0.832031
1508967843061820,0.355469,-0.5,0.759277
1508967843083791,0.305664,-0.619629,0.760254
1508967843109795,0.241699,-0.725586,0.770996
1508967843122034,0.146484,-0.84668,0.794434
1508967843144380,0.0537109,-0.779297,0.749023
1508967843161352,-0.00195313,-0.71875,0.762695
1508967843181550,-0.0131836,-0.689941,0.805664
1508967843204495,0.0561523,-0.708984,0.802246
1508967843221512,0.043457,-0.662598,0.807617
1508967843241723,-0.0419922,-0.562012,0.837402
1508967843263975,-0.0249023,-0.703125,0.822266
1508967843281878,-0.100098,-0.597656,0.818359
1508967843309097,-0.234375,-0.639648,0.881836
1508967843324141,0.0371094,-0.821289,0.796387
1508967843346374,-0.120117,-0.623047,0.758789
1508967843361428,-0.276367,-0.564453,0.73584
1508967843384561,-0.134277,-0.601563,0.719727
1508967843406898,-0.268555,-0.590332,0.712402
1508967843421202,-0.310547,-0.496094,0.657715
1508967843444114,-0.369629,-0.509766,0.65332
1508967843466222,-0.409668,-0.480469,0.620605
1508967843481241,-0.287598,-0.554199,0.619629
1508967843504282,-0.361328,-0.547363,0.626465
1508967843526362,-0.335938,-0.55127,0.591797
1508967843542386,-0.417969,-0.550781,0.605469
1508967843563458,-0.415527,-0.530273,0.591797
1508967843586496,-0.529297,-0.549805,0.612305
1508967843602535,-0.590332,-0.535645,0.660156
1508967843623591,-0.578613,-0.537598,0.656738
1508967843646653,-0.614258,-0.581543,0.660156
1508967843662700,-0.599609,-0.568359,0.675781
1508967843683753,-0.609375,-0.614258,0.709961
1508967843706813,-0.576172,-0.603516,0.724609
1508967843722856,-0.564453,-0.570801,0.682129
1508967843743942,-0.52832,-0.623047,0.685547
1508967843766079,-0.506348,-0.669434,0.693848
1508967843784124,-0.501953,-0.608887,0.688965
1508967843804216,-0.517578,-0.596191,0.67041
1508967843826499,-0.48291,-0.600586,0.678223
1508967843844506,-0.432129,-0.619629,0.702637
1508967843864597,-0.452148,-0.597168,0.674316
1508967843886761,-0.425293,-0.518555,0.655762
1508967843904676,-0.406738,-0.469238,0.651367
1508967843940004,-0.452637,-0.519531,0.638184
1508967843947029,-0.405762,-0.526367,0.663574
1508967843964040,-0.415039,-0.554688,0.669434
1508967843984102,-0.282227,-0.526855,0.657227
1508967844007430,-0.0439453,-0.519531,0.610352
1508967844023565,-0.0234375,-0.515625,0.708008
1508967844045741,0.0776367,-0.61084,0.646973
1508967844069655,0.0463867,-0.705566,0.67627
1508967844083696,0.065918,-0.700195,0.779297
1508967844106788,0.151855,-0.621094,0.804688
1508967844127846,0.235352,-0.631348,0.818848
1508967844151050,0.242188,-0.670898,0.838379
1508967844166090,0.284668,-0.630371,0.821777
1508967844187351,0.337402,-0.630371,0.835938
1508967844209438,0.401367,-0.680664,0.833984
1508967844225478,0.390137,-0.621094,0.813965
1508967844246509,0.431152,-0.480957,0.766113
1508967844269570,0.614258,-0.437012,0.77832
1508967844285680,0.744141,-0.51123,0.757813
1508967844306912,0.749512,-0.448242,0.745605
1508967844329876,0.661133,-0.480957,0.672852
1508967844345920,0.724121,-0.481934,0.632813
1508967844367251,0.811035,-0.409668,0.656738
1508967844389317,0.831543,-0.434082,0.647461
1508967844406469,0.819336,-0.327148,0.618652
1508967844427574,0.849609,-0.207031,0.519043
1508967844449542,0.973145,-0.138184,0.463867
1508967844465805,0.943359,-0.111328,0.46875
1508967844488876,0.885742,-0.164551,0.451172
1508967844509116,0.915527,-0.199219,0.373535
1508967844526402,0.925293,-0.190918,0.355469
1508967844548460,0.922363,-0.144043,0.368652
1508967844569622,0.908203,-0.108398,0.383301
1508967844586527,0.90918,-0.0493164,0.413086
1508967844608584,0.884277,-0.0776367,0.468262
1508967844629674,0.891602,-0.152344,0.492676
1508967844645716,0.890137,-0.200684,0.506348
1508967844668773,0.890137,-0.262207,0.457031
1508967844690077,0.893555,-0.207031,0.42041
1508967844706046,0.883301,-0.130859,0.424805
