timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1508967834275409,1,0,-2,-1,45,10,0,-1
1508967834275409,1,0,0,1,-15,-6,-1,1
1508967834275409,0,-4,-7,-4,7,0,-3,-4
1508967834275409,1,-4,-6,-9,-19,-5,-2,-1
1508967834276413,-3,-8,-5,-11,-18,-1,-1,-4
1508967834276413,-2,-1,-1,-10,8,-3,-3,-4
1508967834279616,5,25,-9,6,8,2,2,3
1508967834279616,-11,-31,-10,-1,21,4,-4,-6
1508967834288564,6,17,32,14,-19,-4,2,3
1508967834288564,-6,-20,-56,-39,36,-2,-5,-4
1508967834295582,-7,3,47,9,-97,-17,-6,-5
1508967834295582,3,-6,-70,45,103,19,7,4
1508967834302603,5,6,22,10,-77,-9,4,3
1508967834302603,4,8,24,-6,3,8,0,2
1508967834316669,-1,-6,-4,-19,29,5,-9,-6
1508967834316669,6,11,36,65,8,16,2,1
1508967834327697,4,1,-1,17,28,3,0,1
1508967834327697,-22,-2,-12,-19,-7,-2,-1,-6
1508967834340734,3,-13,-26,-59,-25,-21,-5,-6
1508967834340734,-39,-8,15,-21,-7,-13,-13,-16
1508967834347720,14,3,-13,13,-16,0,5,4
1508967834347720,9,7,6,-11,-18,-2,1,4
1508967834361787,-2,-8,-7,1,25,4,2,0
1508967834361787,16,12,19,9,-15,-3,2,5
1508967834402879,4,1,-3,-24,-4,-3,-3,0
1508967834402879,-1,1,8,32,-6,-6,-3,-1
1508967834403875,-2,1,-10,-8,-33,-2,-3,-4
1508967834403875,0,2,3,-37,0,3,1,0
1508967834407910,2,-1,4,48,48,8,0,0
1508967834407910,4,-7,-12,-28,-43,-4,-5,0
1508967834408911,-5,3,7,-11,-9,-7,-2,-3
1508967834408911,-8,-5,-6,-17,13,-7,-4,-5
1508967834413924,0,0,7,10,11,4,1,-2
1508967834413924,10,5,8,23,-8,4,5,4
1508967834421945,22,37,7,2,-13,-9,4,8
1508967834421945,-22,-25,-25,-24,6,8,-7,-13
1508967834428937,-13,-19,11,1,-36,-6,-1,-3
1508967834428937,-9,-5,-13,-8,13,6,-2,-6
1508967834444979,1,-1,0,-20,21,-7,1,3
1508967834444979,15,13,13,11,3,16,1,3
1508967834450995,2,9,12,38,2,2,0,3
1508967834450995,1,13,3,10,22,10,2,0
1508967834474057,-10,-21,-18,-38,-8,-19,-7,-5
1508967834474057,2,-4,-5,8,-1,3,-3,-3
1508967834475059,1,4,15,-4,-42,3,8,0
1508967834475059,2,-2,-19,-4,30,3,2,2
1508967834505143,-3,-9,-16,-3,10,2,-4,-4
1508967834505143,-5,-12,-22,-26,-37,-24,-8,-2
1508967834506145,22,28,36,-16,-22,7,2,5
1508967834506145,-17,-7,1,31,47,10,8,-5
1508967834512158,-5,-7,-1,30,23,11,-2,-4
1508967834512158,2,3,-5,-7,-18,-10,1,3
1508967834513160,10,36,11,-25,-20,-20,-5,2
1508967834513160,-18,-65,-19,-27,-32,-6,-6,-10
1508967834534217,-5,-22,-18,-2,10,6,4,0
1508967834534217,-3,-27,-22,7,-2,-8,-3,0
1508967834535219,-10,2,-25,-12,26,-4,-5,-4
1508967834535219,8,20,32,3,17,1,0,4
1508967834557281,3,18,22,17,-74,-2,6,2
1508967834557281,9,8,-4,10,75,26,-1,0
1508967834558284,-18,-33,-53,0,-9,-1,-4,-6
1508967834558284,6,4,5,27,-5,-20,-7,-3
1508967834573322,-19,-12,-13,-23,16,18,2,-3
1508967834573322,-9,16,17,7,-37,-15,1,2
1508967834574325,1,-4,9,-4,22,5,0,-1
1508967834574325,0,9,-2,-9,-18,-2,-5,-1
1508967834594454,10,-2,-9,-16,1,-8,-9,0
1508967834594454,9,4,3,7,-11,-5,2,2
1508967834595384,-19,-14,-11,-8,2,4,-8,-11
1508967834595384,9,12,7,7,5,1,5,3
1508967834617502,-5,-3,21,5,-8,-10,-2,2
1508967834617502,44,14,15,-4,-8,6,-7,7
1508967834617502,-48,-15,-47,18,23,1,2,-9
1508967834617502,-53,2,30,19,20,12,5,-7
1508967834639569,-10,-13,-6,-9,-3,-9,-10,-9
1508967834639569,-10,-1,17,-19,-35,-17,-2,-3
1508967834640502,38,25,24,35,11,12,11,12
1508967834640502,21,-2,-2,-44,-12,-7,-7,1
1508967834654682,-13,-4,-17,22,5,-2,6,-1
1508967834654682,-1,4,31,-8,5,1,-4,-1
1508967834655545,89,25,11,13,-8,-5,-1,16
1508967834655545,-86,-25,0,-18,-11,-3,-4,-22
1508967834685786,11,-22,-34,-7,-5,-6,-7,-5
1508967834685786,46,17,24,31,-1,-11,4,9
1508967834685786,-23,1,-13,-23,7,19,2,-5
1508967834685786,37,22,5,-33,-24,-20,-6,4
1508967834691792,-40,-3,10,27,14,6,2,-5
1508967834691792,-65,-38,-5,29,20,10,1,-13
1508967834692640,6,-14,-15,-17,-13,-20,-7,1
1508967834692640,32,12,2,-14,-17,9,5,9
1508967834714852,13,7,-11,-14,-1,-3,-5,-1
1508967834714852,4,15,5,28,-14,-10,3,5
1508967834715729,5,2,4,-1,37,22,4,-2
1508967834715729,19,-6,8,10,-14,-7,-2,3
1508967834737870,-2,9,26,6,24,10,-1,-7
1508967834737870,23,7,-24,-13,-2,3,4,6
1508967834737870,-46,-27,-24,-13,-14,-1,3,-10
1508967834737870,-2,-3,-10,11,7,-11,-17,-7
1508967834751908,44,31,69,24,12,7,0,13
1508967834751908,-22,-17,-38,-35,-1,15,3,-8
1508967834752877,3,-2,16,-8,-20,-49,-26,-5
1508967834752877,-7,-9,-15,9,9,3,2,-5
1508967834775939,16,-6,-38,0,0,5,1,5
1508967834775939,-7,17,9,6,4,-2,1,0
1508967834776940,-12,-30,28,-33,-25,-3,1,-6
1508967834776940,9,15,40,26,7,20,11,9
1508967834797237,24,9,-8,4,-1,-3,-1,4
1508967834797237,15,3,-11,0,12,21,12,4
1508967834798107,3,-6,4,36,6,-8,-5,-3
1508967834798107,-4,11,-25,-17,-3,-13,-2,-5
1508967834813318,-58,-4,31,0,-2,17,0,-4
1508967834813318,19,-37,-10,-11,-4,-13,-6,3
1508967834814248,13,17,39,3,6,2,-4,-2
1508967834814248,9,-55,-43,2,3,22,20,14
1508967834834318,11,17,43,-60,-35,-61,-6,4
1508967834834318,-3,71,35,39,1,-4,-7,-21
1508967834835333,-12,-48,-39,-4,10,-9,-28,-25
1508967834835333,-30,-16,5,16,13,106,29,-10
1508967834857502,13,-17,-98,-68,-37,-92,-5,41
1508967834857502,41,-21,4,1,21,47,11,-18
1508967834857502,40,47,-12,-4,-11,13,24,31
1508967834857502,-78,-2,-24,-35,-19,0,12,-26
1508967834872539,-5,-3,103,104,34,18,5,-28
1508967834872539,20,-28,-83,-106,-52,-35,-12,19
1508967834872539,111,31,-23,8,-2,3,17,29
1508967834872539,3,18,10,13,5,-28,-28,25
1508967834894613,-34,96,71,110,52,74,31,1
1508967834894613,-64,-17,57,-13,-10,-106,13,-3
1508967834895465,-32,-49,-35,-15,5,11,-37,-28
1508967834895465,56,-22,-11,0,0,-46,-7,13
1508967834916739,15,28,-35,38,6,30,-2,69
1508967834916739,-101,-66,-26,32,24,5,-12,-73
1508967834917745,52,74,23,-1,-13,88,24,44
1508967834917745,-9,-36,-15,-67,-31,-128,-11,-60
1508967834931907,24,-4,21,23,14,62,82,56
1508967834931907,-45,0,6,47,17,2,-48,-29
1508967834932753,-26,-16,42,19,3,-6,-5,0
1508967834932753,26,56,97,39,5,-4,-90,-17
1508967834954818,75,-23,-75,-60,-7,-26,-53,-41
1508967834954818,17,35,16,19,-17,17,39,44
1508967834955813,-47,-15,-37,-42,-4,13,48,-27
1508967834955813,49,60,45,-41,-10,15,34,43
1508967834977013,103,-23,-30,29,20,3,13,49
1508967834977013,-53,-78,-77,-74,-51,-63,-62,-78
1508967834977880,-65,-52,-49,7,12,42,19,-11
1508967834977880,36,86,36,72,88,54,3,19
1508967834992052,-1,-40,-26,-63,-58,-26,-5,-6
1508967834992052,32,1,-8,85,24,3,-41,28
1508967834992945,-61,-16,-11,-92,-36,-53,19,-23
1508967834992945,-19,-18,-22,-21,-15,31,31,14
1508967835016171,-27,27,-1,27,26,-18,-25,-48
1508967835016171,94,29,43,-14,-6,53,45,86
1508967835017169,-53,7,54,-8,29,-44,-46,-51
1508967835017169,44,29,1,54,-4,29,19,2
1508967835037225,-3,-49,-92,-128,-39,-31,-42,-40
1508967835037225,93,49,45,39,24,44,23,30
1508967835038226,39,12,1,22,1,21,19,30
1508967835038226,48,16,-54,7,1,49,72,29
1508967835053265,-128,-115,-24,46,8,5,-48,-84
1508967835053265,44,58,114,-14,-25,-31,1,7
1508967835059280,-17,-48,-97,-32,-9,-92,-62,-24
1508967835059280,39,-22,-39,-65,-45,-88,-44,-4
1508967835074347,-22,-1,-22,44,5,14,4,-2
1508967835074347,-80,-24,-28,-5,31,56,37,-5
1508967835075326,21,42,32,9,-14,25,-12,9
1508967835075326,25,51,52,10,-11,-50,7,30
1508967835097380,40,34,14,31,40,58,18,13
1508967835097380,-11,28,55,-29,-33,-25,-9,-19
1508967835097380,-82,-44,-14,33,9,65,40,13
1508967835097380,23,-8,9,2,-4,-25,6,5
1508967835112421,26,55,127,39,15,-19,-9,0
1508967835112421,45,-30,-95,-17,6,32,15,1
1508967835112421,29,-18,10,1,-7,-52,-13,22
1508967835112421,-75,14,23,3,0,55,20,-16
1508967835134630,-16,-3,-23,49,22,33,6,3
1508967835134630,-8,19,-39,69,23,-35,-27,-1
1508967835135499,10,-27,52,-55,-51,54,33,3
1508967835135499,6,-68,-86,39,7,-26,-52,-10
1508967835157542,-20,-12,-19,-106,-27,46,62,-13
1508967835157542,33,59,23,30,23,-46,-21,24
1508967835157542,5,93,79,69,47,17,-16,-18
1508967835157542,39,-125,-82,-91,-39,12,18,17
1508967835171588,-85,-9,112,55,-6,-75,-48,-40
1508967835171588,-7,-4,13,-31,1,43,26,-9
1508967835172581,76,12,7,-4,-21,-77,-19,17
1508967835172581,-39,19,15,63,59,98,20,8
1508967835194929,-1,-32,-46,-22,-11,-40,-57,-41
1508967835194929,50,-40,-9,-48,-16,-26,8,32
1508967835195902,57,35,51,45,5,-24,-24,3
1508967835195902,-128,-30,-31,7,3,-5,-11,-49
1508967835216939,76,-5,-22,-5,-7,30,51,37
1508967835216939,10,50,84,127,65,61,17,2
1508967835217795,-1,-43,-71,-90,-38,-2,10,0
1508967835217795,9,0,-7,-87,-51,-101,-45,4
1508967835231868,12,38,51,43,30,30,12,22
1508967835231868,-18,-37,-34,-25,-19,40,8,-1
1508967835232833,-31,39,-24,46,28,84,48,0
1508967835232833,-25,21,-10,-20,-17,-45,52,13
1508967835254921,8,-39,4,-1,-9,18,-9,-32
1508967835254921,-65,-23,-23,-22,-9,-1,-46,2
1508967835254921,77,86,67,113,48,-11,66,14
1508967835254921,24,-33,-15,-84,-49,-22,-58,-40
1508967835276997,96,-27,-59,-23,-22,-33,-39,-10
1508967835276997,-113,-63,-96,-29,-13,-9,-3,-18
1508967835277958,-9,-14,42,53,29,17,-20,4
1508967835277958,0,65,69,49,-2,0,-24,-20
1508967835292037,8,58,-41,-43,-19,-31,17,27
1508967835292037,35,10,64,-37,-35,-15,-11,-10
1508967835292994,-11,-45,-56,-59,-17,-40,-18,-1
1508967835292994,46,11,38,98,48,85,11,6
1508967835315076,-46,32,6,31,30,90,43,29
1508967835315076,55,14,-18,-61,-13,-37,13,0
1508967835315076,-43,-53,-75,-11,-29,-59,-17,-8
1508967835315076,1,1,23,-1,14,24,30,1
1508967835337152,-68,-23,12,-9,-4,51,6,-20
1508967835337152,-97,-15,-16,58,34,42,-6,7
