timestamp,x,y,z
1508967539731076,-8.125,-1.625,-3.0625
1508967539752967,-7.75,2.0625,0.3125
1508967539767998,-8.75,4.125,2.8125
1508967539793092,-10.625,4.5625,4.0625
1508967539813173,-7.4375,1.6875,2.125
1508967539828216,3.25,-1.0625,-0.75
1508967539867294,14.5625,-2.4375,-3.6875
1508967539890352,17.4375,-1.75,-6.25
1508967539891362,7.25,1.0625,-7
1508967539912409,-8.6875,0.4375,-9.25
1508967539929454,-19.75,2.625,-11.4375
1508967539949524,-23.875,3.5,-15.6875
1508967540002649,-25.25,2.375,-13.1875
1508967540003653,-19.9375,5.8125,-7.375
1508967540010670,-18.1875,10.5,-1.4375
1508967540030730,-21.375,14.4375,3.125
1508967540052783,-21,18.4375,6.25
1508967540076847,-17.9375,29.25,18.6875
1508967540099911,-30.6875,54.25,28.0625
1508967540121967,-68.25,70.5,39.75
1508967540145029,-91.875,74.5625,56.75
1508967540158064,-75.375,75.0625,70.3125
1508967540175110,-38.625,79.3125,84.9375
1508967540197172,-4.875,83.25,100.688
1508967540218297,18.1875,85,112.625
1508967540235270,23,84.25,123.313
1508967540257332,16.1875,81.5,136.125
1508967540278533,19.25,80.75,147.813
1508967540294475,24.0625,83.8125,158.938
1508967540317516,30.875,80.5,168.438
1508967540338584,27.25,85.1875,175.375
1508967540354616,18.5,95.375,170.563
1508967540377729,2.9375,107.438,169.188
1508967540398281,-16.1875,111.438,173.875
1508967540414492,-23,121.5,174.563
1508967540437402,-19.3125,126.688,172.688
1508967540458596,-6,125.438,168.688
1508967540474534,3.75,126.625,164.25
1508967540497556,20.5625,133.563,157.438
1508967540518658,22.375,139.625,154.188
1508967540534656,21.75,142.375,149.563
1508967540557717,18.125,142.75,139.625
1508967540577813,23.0625,146.625,128.5
1508967540594815,28.375,147,117.125
1508967540617038,21.75,143.813,110.5
1508967540638047,9.9375,141,102.563
1508967540655120,7.25,132.875,92.3125
1508967540677151,12.625,126.625,82.25
1508967540698249,5.8125,116.875,75.125
1508967540714251,-6.875,104.75,66.4375
1508967540737311,-7.5625,88.125,60.125
1508967540759432,-9.5625,71.375,47.25
1508967540774675,-13.3125,61.1875,39.1875
1508967540797462,-9.3125,48.5,30.8125
1508967540819652,-5.25,31.25,22.875
1508967540833772,-5,21.6875,13.9375
