timestamp,x,y,z,w
1508967842738795,-0.478088,-0.203979,-0.700562,0.488892
1508967842762624,-0.477905,-0.205933,-0.700378,0.488647
1508967842783909,-0.4776,-0.207825,-0.700073,0.488525
1508967842798637,-0.477295,-0.20813,-0.699951,0.488831
1508967842822701,-0.477173,-0.205627,-0.700623,0.489075
1508967842843757,-0.4776,-0.199219,-0.701416,0.490234
1508967842858797,-0.477966,-0.18866,-0.701477,0.493958
1508967842904006,-0.476135,-0.175964,-0.700989,0.500977
1508967842915038,-0.470947,-0.164795,-0.701172,0.509399
1508967842920973,-0.465637,-0.15033,-0.701965,0.517578
1508967842943253,-0.463562,-0.129761,-0.702393,0.524353
1508967842965401,-0.46167,-0.103699,-0.703552,0.530273
1508967842988408,-0.458801,-0.071228,-0.701721,0.540405
1508967843016449,-0.452698,-0.0426636,-0.697937,0.553345
1508967843026714,-0.442871,-0.0231323,-0.69696,0.563538
1508967843040615,-0.427856,-0.00506592,-0.69873,0.573364
1508967843061820,-0.41687,0.0192261,-0.693481,0.587402
1508967843083791,-0.408875,0.0449219,-0.687866,0.598022
1508967843109795,-0.401489,0.0708618,-0.681763,0.607422
1508967843122034,-0.390869,0.0949707,-0.673584,0.620117
1508967843144380,-0.376038,0.115173,-0.664917,0.63501
1508967843161352,-0.359192,0.132629,-0.655945,0.650513
1508967843181550,-0.339844,0.149475,-0.647339,0.665649
1508967843204495,-0.31842,0.167419,-0.639282,0.679688
1508967843221512,-0.294617,0.184387,-0.63269,0.692017
1508967843241723,-0.272522,0.204651,-0.625488,0.701843
1508967843263975,-0.251282,0.22876,-0.617493,0.709412
1508967843281878,-0.22937,0.251282,-0.609985,0.715637
1508967843309097,-0.210571,0.273071,-0.602966,0.71936
1508967843324141,-0.191467,0.296936,-0.59375,0.7229
1508967843346374,-0.167725,0.316101,-0.584656,0.728027
1508967843361428,-0.146484,0.333679,-0.573853,0.733398
1508967843384561,-0.128418,0.35199,-0.562744,0.736816
1508967843406898,-0.110535,0.367798,-0.552551,0.739746
1508967843421202,-0.0963135,0.378967,-0.542725,0.743347
1508967843444114,-0.0858154,0.388123,-0.534058,0.746155
1508967843466222,-0.0814209,0.395874,-0.527649,0.747131
1508967843481241,-0.083313,0.400818,-0.523682,0.74707
1508967843504282,-0.0847778,0.402344,-0.52063,0.74823
1508967843526362,-0.0877686,0.402771,-0.517822,0.749573
1508967843542386,-0.0922241,0.403259,-0.516296,0.749878
1508967843563458,-0.0977173,0.404114,-0.516541,0.748535
1508967843586496,-0.101624,0.404236,-0.516907,0.747681
1508967843602535,-0.104797,0.403687,-0.517273,0.747253
1508967843623591,-0.10968,0.403687,-0.518188,0.745972
1508967843646653,-0.113403,0.403687,-0.519958,0.744202
1508967843662700,-0.115784,0.402222,-0.522095,0.743103
1508967843683753,-0.11792,0.400574,-0.524414,0.742004
1508967843706813,-0.118591,0.398315,-0.526611,0.741577
1508967843722856,-0.119263,0.396484,-0.527832,0.741577
1508967843743942,-0.120728,0.394714,-0.52887,0.741516
1508967843766079,-0.121277,0.393127,-0.530151,0.741394
1508967843784124,-0.120422,0.39093,-0.531006,0.742065
1508967843804216,-0.119995,0.388977,-0.530762,0.743347
1508967843826499,-0.120605,0.386902,-0.530762,0.744324
1508967843844506,-0.120789,0.384766,-0.53125,0.745056
