timestamp,roll,pitch,yaw
1508967830896598,-0.362208,-1.05101,-1.7684
1508967830920366,-0.397029,-1.03472,-1.75171
1508967830935436,-0.443203,-1.01004,-1.72784
1508967830956635,-0.479441,-0.977596,-1.70395
1508967830980200,-0.507591,-0.93229,-1.67567
1508967830995239,-0.533037,-0.879281,-1.63782
1508967831049468,-0.553331,-0.822787,-1.5978
1508967831050454,-0.578977,-0.768322,-1.55621
1508967831059478,-0.594587,-0.718265,-1.53267
1508967831076589,-0.610493,-0.660339,-1.5061
1508967831100730,-0.614872,-0.597493,-1.48944
1508967831123795,-0.628523,-0.536584,-1.46358
1508967831177108,-0.646138,-0.477946,-1.43376
1508967831177933,-0.658234,-0.419036,-1.41376
1508967831185178,-0.660997,-0.355842,-1.40366
1508967831198394,-0.655041,-0.291137,-1.39772
1508967831219777,-0.65282,-0.22563,-1.38806
1508967831243888,-0.647833,-0.156329,-1.38299
1508967831263971,-0.64697,-0.0833031,-1.37852
1508967831280985,-0.646643,-0.0111527,-1.37184
1508967831304060,-0.648552,0.0658638,-1.36621
1508967831325102,-0.643282,0.147952,-1.36286
1508967831348199,-0.634815,0.227133,-1.3584
1508967831363203,-0.633111,0.29858,-1.35415
1508967831384260,-0.634097,0.364287,-1.35212
1508967831401306,-0.628557,0.426352,-1.34668
1508967831423363,-0.620302,0.479895,-1.33782
1508967831446427,-0.620509,0.520241,-1.32922
1508967831461466,-0.622889,0.551202,-1.32207
1508967831483525,-0.622635,0.573414,-1.3164
1508967831504584,-0.620709,0.590177,-1.30862
1508967831521631,-0.626241,0.598891,-1.30215
1508967831543691,-0.638968,0.598925,-1.30029
1508967831564915,-0.646267,0.598074,-1.29611
1508967831580913,-0.654565,0.594655,-1.2916
1508967831603948,-0.672957,0.588485,-1.29338
1508967831625161,-0.689049,0.583882,-1.29515
1508967831641040,-0.703538,0.580948,-1.29811
1508967831664102,-0.716291,0.572856,-1.30061
1508967831684405,-0.728033,0.565089,-1.30716
1508967831700443,-0.731917,0.559065,-1.31049
1508967831723769,-0.732113,0.552683,-1.30989
1508967831744795,-0.731925,0.54238,-1.31058
1508967831760804,-0.727716,0.536374,-1.31248
1508967831783862,-0.721384,0.534729,-1.30985
1508967831808974,-0.715382,0.532425,-1.30374
1508967831822085,-0.712364,0.528165,-1.30052
1508967831842293,-0.709795,0.528417,-1.30217
1508967831857209,-0.706816,0.535395,-1.29871
1508967831879629,-0.706271,0.542836,-1.29583
1508967831895526,-0.696712,0.528306,-1.29025
1508967831916584,-0.698391,0.528788,-1.29309
1508967831939871,-0.707177,0.538802,-1.29743
1508967831954914,-0.718453,0.552875,-1.30322
1508967831976944,-0.729553,0.567565,-1.31157
1508967832001008,-0.720479,0.553533,-1.30812
1508967832015044,-0.717554,0.552337,-1.30767
1508967832036100,-0.715439,0.548752,-1.30616
1508967832059199,-0.712053,0.547449,-1.30496
1508967832082250,-0.709641,0.543768,-1.30247
1508967832096297,-0.706931,0.537293,-1.29994
1508967832119397,-0.70213,0.529836,-1.29821
1508967832142458,-0.691394,0.514422,-1.29378
1508967832157649,-0.673767,0.489909,-1.28542
1508967832180807,-0.674022,0.478973,-1.28692
1508967832201764,-0.674177,0.454773,-1.28871
1508967832217810,-0.666837,0.431915,-1.29264
1508967832240896,-0.65756,0.405709,-1.29618
1508967832262246,-0.655262,0.369383,-1.29882
1508967832278246,-0.660374,0.325042,-1.2986
1508967832301243,-0.663028,0.278191,-1.29726
1508967832322413,-0.662031,0.228462,-1.29892
1508967832338344,-0.657659,0.177814,-1.30381
1508967832361589,-0.655877,0.124959,-1.31147
1508967832381644,-0.655402,0.0679592,-1.31697
1508967832397804,-0.652649,0.000857979,-1.31879
1508967832420879,-0.652111,-0.0577506,-1.32267
1508967832442240,-0.654116,-0.129218,-1.32792
1508967832458146,-0.658892,-0.194803,-1.33635
1508967832481206,-0.658623,-0.267966,-1.3495
1508967832502404,-0.655752,-0.33301,-1.36364
1508967832518300,-0.636956,-0.40653,-1.37363
1508967832540359,-0.620657,-0.469978,-1.38542
1508967832565428,-0.603043,-0.537849,-1.40651
1508967832577496,-0.589972,-0.592974,-1.42807
1508967832600778,-0.574925,-0.653574,-1.44968
1508967832622100,-0.559298,-0.711224,-1.47459
1508967832638140,-0.544988,-0.765962,-1.50307
1508967832660189,-0.518615,-0.819634,-1.53743
1508967832683263,-0.494721,-0.873186,-1.57093
1508967832705473,-0.474913,-0.92601,-1.60556
1508967832728534,-0.455111,-0.970864,-1.64393
1508967832751620,-0.439276,-1.00617,-1.68159
1508967832772702,-0.427691,-1.03267,-1.71517
1508967832788694,-0.419596,-1.05012,-1.74387
1508967832810859,-0.411772,-1.06557,-1.76245
1508967832831995,-0.392386,-1.08318,-1.77795
1508967832849044,-0.35944,-1.09614,-1.79338
1508967832871118,-0.322884,-1.10599,-1.80264
1508967832892299,-0.293327,-1.10922,-1.79892
1508967832908316,-0.269729,-1.1078,-1.78491
1508967832938470,-0.25608,-1.10481,-1.76248
1508967832952653,-0.239701,-1.10132,-1.74565
1508967832968546,-0.219204,-1.09946,-1.73915
1508967832990696,-0.198279,-1.09834,-1.74173
1508967833012889,-0.187543,-1.09778,-1.74731
1508967833028776,-0.189606,-1.09734,-1.7512
1508967833050865,-0.199557,-1.09692,-1.75094
1508967833071925,-0.210324,-1.0966,-1.74747
1508967833088936,-0.214354,-1.09569,-1.74668
1508967833111994,-0.217612,-1.0945,-1.74637
1508967833132275,-0.220198,-1.09379,-1.74772
1508967833148505,-0.228782,-1.09286,-1.74485
1508967833171546,-0.233256,-1.0928,-1.74447
1508967833192676,-0.234708,-1.09194,-1.74562
1508967833208640,-0.23699,-1.09076,-1.74709
1508967833230914,-0.238831,-1.08908,-1.74899
1508967833252003,-0.244487,-1.08753,-1.74731
1508967833269016,-0.247635,-1.08775,-1.74491
