timestamp,x,y,z
1508968263560802,0.976563,-0.0629883,0.307129
1508968263585095,0.994141,-0.0307617,0.300293
1508968263600207,1.0083,-0.0727539,0.226074
1508968263621275,1.01855,-0.150391,0.204102
1508968263644755,0.989746,-0.364258,0.412598
1508968263660828,0.97998,-0.637207,0.546875
1508968263711342,1.00098,-0.773926,0.765137
1508968263721345,0.946777,-0.242676,0.679199
1508968263723325,0.746094,-0.296875,0.766113
1508968263737688,0.484863,-0.450195,0.822266
1508968263755652,0.466309,-0.595703,0.934082
1508968263772654,0.401367,-0.724609,0.882813
1508968263795890,0.273926,-0.622559,0.842285
1508968263833987,0.330566,-0.644043,0.798828
1508968263839135,0.104492,-0.679199,0.783691
1508968263854177,-0.0268555,-0.729004,0.782227
1508968263877106,-0.0898438,-0.655762,0.802246
1508968263890490,-0.185059,-0.710449,0.798828
1508968263913404,-0.200195,-0.756836,0.831543
1508968263935463,-0.180176,-0.725586,0.860352
1508968263950530,-0.205566,-0.694336,0.763672
1508968263973590,-0.183594,-0.714355,0.779785
1508968264004646,-0.213867,-0.728516,0.753418
1508968264010662,-0.104004,-0.772949,0.727051
1508968264033724,-0.120605,-0.69873,0.691895
1508968264055782,-0.177734,-0.61084,0.666016
1508968264070822,-0.129883,-0.605469,0.602051
1508968264092881,-0.174805,-0.683105,0.585938
1508968264115943,-0.236328,-0.588867,0.563477
1508968264138001,-0.248047,-0.560547,0.569336
1508968264153041,-0.251953,-0.588379,0.590332
1508968264176104,-0.262207,-0.612305,0.635254
1508968264198237,-0.349121,-0.637207,0.641113
1508968264213275,-0.417969,-0.588379,0.633301
1508968264235511,-0.407715,-0.649414,0.686523
1508968264258650,-0.414551,-0.714844,0.70166
1508968264273725,-0.453125,-0.712891,0.695801
1508968264295749,-0.538574,-0.71582,0.723633
1508968264318810,-0.480469,-0.759766,0.719238
1508968264341871,-0.354492,-0.774414,0.71582
1508968264355935,-0.47998,-0.658691,0.613281
1508968264378114,-0.719727,-0.458984,0.569336
1508968264393106,-0.549316,-0.750488,0.489258
1508968264415490,-0.576172,-0.895996,0.433594
1508968264438413,-0.642578,-0.799805,0.47998
1508968264453820,-0.452148,-0.720703,0.456543
1508968264476106,-0.509766,-0.745605,0.462891
1508968264498157,-0.58252,-0.671387,0.442871
1508968264513210,-0.518066,-0.708984,0.472656
1508968264536265,-0.547852,-0.735352,0.507324
1508968264558315,-0.547363,-0.659668,0.493652
1508968264573246,-0.519043,-0.65918,0.510742
1508968264595624,-0.507813,-0.697754,0.543945
1508968264618729,-0.560547,-0.72998,0.504883
1508968264632766,-0.558594,-0.698242,0.470215
1508968264655827,-0.541504,-0.722168,0.512695
1508968264677885,-0.520508,-0.741699,0.498047
1508968264692927,-0.547363,-0.737793,0.495117
1508968264725024,-0.550293,-0.647949,0.459473
1508968264738310,-0.356445,-0.654785,0.547363
1508968264753477,-0.207031,-0.689941,0.632813
1508968264775938,-0.249512,-0.772949,0.741699
1508968264798213,-0.445801,-0.812012,0.72998
1508968264815135,-0.48877,-0.288086,0.645996
1508968264836306,-0.35498,-0.17334,0.606445
1508968264858359,-0.0966797,-0.511719,0.691406
1508968264874397,-0.0268555,-0.898926,0.789063
1508968264898350,-0.246582,-0.862305,0.830078
1508968264918515,-0.245117,-0.57666,0.802246
1508968264934472,-0.179199,-0.469238,0.806641
1508968264955756,-0.0932617,-0.515137,0.786133
1508968264978830,0.00585938,-0.597168,0.811523
1508968264994841,-0.00488281,-0.625,0.796387
1508968265016133,-0.00439453,-0.622559,0.801758
1508968265038290,0.0634766,-0.634277,0.756348
1508968265062323,0.0859375,-0.639648,0.727539
1508968265076383,0.0727539,-0.711426,0.716797
1508968265098635,0.0742188,-0.637695,0.76709
1508968265116791,0.111328,-0.63916,0.760742
1508968265136242,0.123047,-0.662598,0.777832
1508968265158285,0.0654297,-0.670898,0.782715
1508968265176195,0.227539,-0.684082,0.807129
1508968265196449,0.442383,-0.717773,0.84375
1508968265218802,0.443848,-0.702637,0.808594
1508968265235828,0.306152,-0.581543,0.790527
1508968265255865,0.3125,-0.550293,0.713867
1508968265278942,0.625,-0.540527,0.747559
1508968265301190,0.883789,-0.557617,0.799316
1508968265315595,0.79248,-0.631836,0.713867
1508968265339675,0.647461,-0.487793,0.569824
1508968265361911,0.822754,-0.375,0.607422
1508968265375826,1.29395,-0.339844,0.378418
1508968265397887,1.66357,-0.272949,1.01514
1508968265421920,0.40332,-0.479492,-0.602539
1508968265435957,1.00684,-0.0717773,0.989746
1508968265459296,1.63818,0.165527,0.969238
1508968265481791,1.61084,0.0585938,0.447266
1508968265495912,1.25635,-0.204102,-0.10498
1508968265517955,0.598145,-0.395508,-0.350098
1508968265541044,1.21777,-0.081543,0.525391
1508968265556084,0.839844,-0.0546875,0.487305
1508968265578367,0.875,-0.0664063,0.420898
1508968265601287,0.864258,-0.182129,0.347656
1508968265615674,0.858887,-0.251953,0.32959
1508968265638727,0.851074,-0.279785,0.370117
1508968265661787,0.490723,-0.268066,0.26123
1508968265675822,1.54053,0.0483398,1.17139
1508968265698855,0.225586,-0.354492,0.0771484
1508968265721098,0.859375,-0.312988,0.777832
1508968265735978,1.23975,-0.123047,0.220703
