timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1508968266617029,15,7,-2,45,-5,12,2,7
1508968266617029,9,7,13,-6,-7,-8,0,3
1508968266618034,8,8,32,76,60,12,-6,-1
1508968266618034,1,-2,-19,-56,-42,-6,0,0
1508968266618034,-8,-15,-18,-1,13,-1,0,-1
1508968266618034,4,9,33,-37,-11,-6,-8,-1
1508968266622121,-6,-19,-52,5,-16,4,8,3
1508968266622121,4,15,20,33,-2,-14,0,-4
1508968266628116,-11,-32,-84,-32,17,11,-6,-5
1508968266628116,3,12,43,12,-20,-20,0,-1
1508968266637084,13,16,-9,-6,39,1,3,6
1508968266637084,-7,-7,13,18,-16,14,10,-8
1508968266645104,13,35,8,-31,-35,-19,3,8
1508968266645104,-3,-2,-25,6,34,25,-3,-5
1508968266659178,23,74,103,69,-28,-14,8,9
1508968266659178,-28,-82,-89,-60,21,-10,-13,-14
1508968266667163,1,11,50,-32,-18,-4,1,-2
1508968266667163,-9,-26,-18,5,-14,-4,-2,-7
1508968266682244,5,22,17,-48,-7,-1,-2,-2
1508968266682244,16,42,108,97,34,1,2,7
1508968266690225,-4,-29,-81,-10,-4,-21,16,6
1508968266690225,-7,8,0,-12,-13,-4,-19,-10
1508968266703667,-5,-30,-56,-47,4,12,17,9
1508968266703667,7,13,19,19,-12,0,12,9
1508968266744623,-7,-9,36,29,-11,-10,-2,-1
1508968266744623,1,20,46,1,-55,-9,-10,-3
1508968266745628,-8,-29,-75,-77,15,6,7,0
1508968266745628,4,7,-25,8,-9,7,0,2
1508968266748636,4,8,39,6,-23,-10,-3,2
1508968266748636,1,-7,-29,9,16,-1,9,5
1508968266749647,-3,3,-16,-22,-21,3,-6,-3
1508968266749647,-5,1,54,21,-4,4,-13,-10
1508968266755668,-2,-11,-90,-70,68,74,14,-3
1508968266755668,5,2,23,39,13,13,4,4
1508968266765678,-4,1,7,-24,-39,-45,-8,-8
1508968266765678,3,9,-17,-57,-28,-20,-11,0
1508968266770837,-10,-23,-58,48,23,9,-2,-7
1508968266770837,-5,1,63,51,6,0,10,0
1508968266785732,0,1,-15,7,55,-17,-1,3
1508968266785732,7,6,-4,24,20,7,4,7
1508968266792936,7,18,25,7,-27,-17,3,3
1508968266792936,9,31,7,-34,2,-19,-5,1
1508968266816926,5,5,12,-1,-25,17,12,11
1508968266816926,-1,13,27,19,70,-5,-5,-9
1508968266816926,16,22,-5,73,9,-11,15,15
1508968266816926,-15,-52,-55,-44,-11,16,-7,-7
1508968266830995,-12,-14,25,-27,12,26,-12,-12
1508968266830995,14,9,-22,-86,3,-7,8,6
1508968266839014,-14,73,58,63,-2,13,0,0
1508968266839014,-15,-22,-2,-86,-82,-53,-14,-13
1508968266854283,-5,-33,-8,28,21,57,-3,-5
1508968266854283,-3,0,2,43,-9,-21,-7,5
1508968266855140,2,-24,-61,-64,-29,-27,-8,-1
1508968266855140,13,37,-24,8,46,17,3,8
1508968266876340,-4,4,17,-14,-37,-28,-2,-4
1508968266876340,0,-17,-9,-7,-14,30,15,1
1508968266877235,9,7,54,25,19,13,-40,-13
1508968266877235,-10,-1,-22,-20,2,-9,-6,-10
1508968266891382,26,-9,-62,-71,19,-3,22,16
1508968266891382,-24,13,-9,-50,-24,-27,20,19
1508968266892274,-25,-49,54,-32,-49,-9,2,-18
1508968266892274,13,0,-65,-39,57,16,10,6
1508968266914431,0,21,62,125,-10,-34,-25,-11
1508968266914431,9,-9,-24,-50,30,0,1,-3
1508968266914431,3,-9,-41,20,14,-4,9,4
1508968266914431,0,-41,-18,21,-1,2,-8,-9
1508968266944377,-5,40,32,-9,-39,-12,15,13
1508968266944377,2,-10,-22,37,7,11,-1,4
1508968266945379,-8,-16,-6,-37,-6,-1,-10,-17
1508968266945379,13,20,-13,39,32,16,6,-3
1508968266950391,11,11,54,47,39,11,-19,1
1508968266950391,-22,-49,26,6,-63,-16,0,-14
1508968266958413,0,-7,12,-23,11,-5,2,8
1508968266958413,-2,5,27,45,5,5,8,3
1508968266973453,5,11,-32,0,21,11,2,3
1508968266973453,1,-1,-2,-23,-22,-4,-15,-7
1508968266974468,14,-22,-23,-33,-21,-20,-22,12
1508968266974468,-8,8,26,-3,4,9,16,-6
1508968266996514,0,-21,-33,14,0,-1,32,-4
1508968266996514,1,29,41,21,11,7,12,1
1508968266997517,3,37,0,25,12,1,0,5
1508968266997517,-7,-8,-1,-19,-20,-3,-25,0
1508968267010551,-5,32,3,-34,-40,-23,-99,-11
1508968267010551,0,-7,-7,28,-6,16,95,-3
1508968267018572,8,2,8,2,11,-4,-9,1
1508968267018572,-4,6,-6,24,-2,2,-6,0
1508968267033613,0,-13,26,-8,-9,-4,7,2
1508968267033613,13,27,12,24,17,-2,-40,-1
1508968267034616,-41,-80,-4,-95,-69,-33,-11,-16
1508968267034616,-9,-34,-3,-8,-11,-7,2,3
1508968267056674,-25,-53,-45,-17,-31,-12,-9,-13
1508968267056674,-4,-3,1,11,-1,-8,-36,-15
1508968267056674,12,30,2,26,36,28,102,11
1508968267056674,-26,-45,-44,-40,-27,6,17,4
1508968267070712,13,29,12,-7,1,-7,-1,8
1508968267070712,9,46,42,49,13,1,-1,2
1508968267078733,-3,-33,-24,-3,-8,-2,-52,-16
1508968267078733,-6,-32,-22,-25,-5,-8,-15,-1
1508968267093774,-5,-21,10,22,3,8,20,-4
1508968267093774,6,18,10,15,28,19,-14,3
1508968267094776,-6,-20,9,-6,-19,-14,-8,0
1508968267094776,-6,-10,8,-43,-15,-3,-4,-6
1508968267116838,-15,-46,-33,-18,-4,-2,-8,-1
1508968267116838,39,38,-5,23,-5,-8,8,22
1508968267116838,-35,2,4,16,22,11,-9,-38
1508968267116838,28,69,24,29,-1,17,43,21
1508968267130872,-36,-82,-56,-12,16,-6,-7,-23
1508968267130872,-6,-52,-4,-46,-36,-17,-19,1
1508968267138894,20,52,-28,2,-2,2,-7,16
1508968267138894,2,19,19,12,-5,-11,8,-9
1508968267153935,28,70,37,6,-9,-7,0,13
