timestamp,x,y,z
1508968294423327,-4.9375,3.5,1.375
1508968294446899,-12.25,8.5625,7.5
1508968294463412,-17.8125,18.6875,17.6875
1508968294483331,-34.4375,27.5625,29.75
1508968294506391,-28.375,34.625,45.75
1508968294523437,-10.75,44.0625,60.75
1508968294573571,-0.6875,52.0625,71.625
1508968294593083,5.4375,57.9375,78.8125
1508968294594588,-6.3125,57.4375,85
1508968294605122,-9.5,61.8125,97.25
1508968294619810,7.875,64.9375,122.438
1508968294640902,16.9375,69.5,135.5
1508968294663975,11.4375,67.75,133
1508968294711130,-37.875,89.4375,87.125
1508968294711130,-85.5,81.625,116.313
1508968294724220,-41.6875,72.9375,167.063
1508968294739264,94.1875,89.125,152.313
1508968294761470,114.313,101.563,170.25
1508968294785418,6.875,108.5,209.688
1508968294806748,-81.75,137.438,180.813
1508968294822800,-63.125,149.875,192.688
1508968294844902,-19.1875,155.125,204.688
1508968294865918,45,165.75,189.063
1508968294882994,43.75,168.75,172.75
1508968294905219,13.875,165,176.125
1508968294926411,14.4375,144,159.438
1508968294942390,8.6875,118.625,138.375
1508968294965410,1.5625,95.1875,116.25
1508968294986772,6.25,74.125,89.625
1508968295002672,-3.1875,53.4375,68.375
1508968295024883,-5.8125,31.6875,52.375
1508968295046441,-13.625,12.8125,35.8125
1508968295062435,-29.4375,0.125,23.75
1508968295085401,-37.5,-9.375,13.5625
1508968295106452,-53.1875,-16,4.0625
1508968295122495,-79,-26.4375,-6.4375
1508968295145557,-89.4375,-29.4375,-4.625
1508968295166613,-83.6875,-25.9375,11.9375
1508968295182655,-82.1875,-23.0625,33.25
1508968295204943,-89.6875,-5.3125,59.625
1508968295226341,-83.5625,9.375,72.5
1508968295250455,-29,42.6875,77.3125
1508968295265493,68.3125,63.8125,81
1508968295286917,68.625,69.375,55.5
1508968295302957,-23.75,54.125,19.0625
1508968295325114,19.375,17.125,14.5
1508968295346316,39.875,-7.75,38.125
1508968295362351,27.25,-1.6875,24.6875
1508968295385269,-2.1875,0.125,30.875
1508968295406457,-26.75,0.9375,28.0625
1508968295422397,-1.6875,5.1875,11.8125
1508968295445462,9.8125,5.75,-5.9375
1508968295466483,-8.6875,1.6875,-11.1875
1508968295481714,-27.5,0.375,-12.9375
1508968295504915,-27,-2.6875,-13.75
1508968295526187,-10.625,-4.125,-22.8125
1508968295542305,-7.4375,-9.1875,-25.5
1508968295565366,-11.25,-16.5625,-28.5625
1508968295587426,-9.5625,-21.0625,-33.875
1508968295602513,5.5,-24.1875,-47.875
1508968295625575,13.9375,-28.1875,-59.875
1508968295647760,2.1875,-34.375,-66.0625
1508968295661762,-11.4375,-45.4375,-79.125
1508968295699093,-9.3125,-59.3125,-104.375
1508968295707979,1.6875,-77.25,-122.875
1508968295730083,7.8125,-100.125,-135.938
1508968295751211,8.875,-122.813,-151.563
1508968295768142,8.4375,-138.938,-160.438
1508968295790200,12.8125,-145.938,-179.5
1508968295811399,20.0625,-149.5,-199.063
1508968295827302,24.25,-143.25,-223.313
1508968295849563,14.625,-141.125,-231.5
1508968295871648,26.625,-141.875,-239
1508968295887665,45.0625,-114.563,-233.563
1508968295909722,7.625,-94.5625,-237.5
1508968295930778,-44.5,-91.625,-206.625
1508968295947838,-41.0625,-74.4375,-169.688
1508968295978052,-58.5625,-49.25,-146.938
1508968295991378,-55.75,-45.75,-116
1508968296007290,-26.3125,-1.875,-96
1508968296030349,29.625,36.3125,-84.125
1508968296051496,76.0625,30.8125,-71.25
1508968296066517,64.1875,71.625,-99.75
1508968296090613,30.1875,-65.25,-128.188
1508968296112640,-7.4375,-99.625,-123.063
1508968296126749,-25.3125,-82.9375,-121.188
1508968296149846,-31.5,-89.375,-129.313
1508968296172915,-5.8125,-82.6875,-120.25
1508968296186983,27.375,-63.125,-97.6875
1508968296210006,57.9375,-55,-67.5
1508968296232365,77.0625,-37.4375,-41.1875
1508968296253504,66.8125,-25.25,-20.5
1508968296270411,42.6875,-15.0625,-2.75
1508968296292469,22.6875,-7.1875,6.4375
1508968296306658,4.5625,-0.5625,12.375
1508968296330604,-4.1875,5.6875,15.4375
1508968296352628,-13.625,10.625,18.625
1508968296373886,-16.9375,10.5625,17.5625
