timestamp,x,y,z,w
1508968278906545,-0.512634,-0.174011,-0.719116,0.43573
1508968278928634,-0.512085,-0.17511,-0.718933,0.436279
1508968278943690,-0.511719,-0.177307,-0.718628,0.436279
1508968278967361,-0.511719,-0.18158,-0.717407,0.436523
1508968278988385,-0.509949,-0.183411,-0.716614,0.439209
1508968279003424,-0.5047,-0.181641,-0.71582,0.447205
1508968279056710,-0.497437,-0.178223,-0.7146,0.458496
1508968279065740,-0.492554,-0.172974,-0.712402,0.469055
1508968279072858,-0.487854,-0.159119,-0.706726,0.487122
1508968279090289,-0.478394,-0.151123,-0.700623,0.507385
1508968279110228,-0.468018,-0.146179,-0.698181,0.521729
1508968279139268,-0.461182,-0.133789,-0.696167,0.53363
1508968279193413,-0.462219,-0.11145,-0.69574,0.538452
1508968279194415,-0.464111,-0.078125,-0.694153,0.544678
1508968279195419,-0.463257,-0.043396,-0.69043,0.553955
1508968279207450,-0.460388,-0.00842285,-0.685547,0.563965
1508968279228506,-0.451294,0.0236206,-0.680847,0.576416
1508968279250570,-0.436035,0.0501099,-0.674683,0.593506
1508968279268614,-0.420471,0.079834,-0.66571,0.611328
1508968279287663,-0.402832,0.111938,-0.656372,0.628052
1508968279310725,-0.382446,0.144714,-0.645325,0.645264
1508968279328773,-0.361328,0.177673,-0.633118,0.661072
1508968279355845,-0.338928,0.208069,-0.619995,0.676392
1508968279370966,-0.315125,0.238281,-0.605225,0.691101
1508968279389021,-0.291748,0.268555,-0.58905,0.704163
1508968279408051,-0.269775,0.297974,-0.572327,0.714783
1508968279431096,-0.24707,0.324585,-0.555969,0.724182
1508968279449094,-0.223755,0.348389,-0.539917,0.732788
1508968279468189,-0.201721,0.370361,-0.523743,0.740173
1508968279490370,-0.182434,0.390015,-0.507263,0.74646
1508968279508443,-0.167053,0.405823,-0.492126,0.75177
1508968279528642,-0.155579,0.418518,-0.477905,0.75647
1508968279550556,-0.148254,0.427002,-0.466736,0.760132
1508968279568600,-0.14502,0.432617,-0.45813,0.762817
1508968279589659,-0.145325,0.434814,-0.451538,0.765442
1508968279611033,-0.145935,0.435242,-0.446838,0.767822
1508968279628920,-0.146729,0.434448,-0.444885,0.769287
1508968279649213,-0.151001,0.433777,-0.443115,0.769836
1508968279671303,-0.154541,0.431519,-0.442322,0.770874
1508968279688318,-0.157471,0.428772,-0.442749,0.771545
1508968279709395,-0.16095,0.426575,-0.443665,0.771545
1508968279730423,-0.165039,0.42511,-0.444336,0.771057
1508968279748473,-0.169067,0.424133,-0.444641,0.770569
1508968279769527,-0.171143,0.423035,-0.44519,0.770386
1508968279790585,-0.171997,0.422485,-0.445984,0.770081
1508968279808632,-0.173584,0.422546,-0.445679,0.769836
1508968279829688,-0.176208,0.423035,-0.443909,0.77002
1508968279850804,-0.179138,0.424377,-0.441223,0.770142
1508968279868791,-0.182556,0.426697,-0.437012,0.770447
1508968279889846,-0.187866,0.430786,-0.430298,0.770691
1508968279910903,-0.193176,0.436523,-0.421631,0.770935
1508968279928951,-0.194275,0.442688,-0.411743,0.772461
1508968279950007,-0.191833,0.451355,-0.402588,0.772888
1508968279971231,-0.190186,0.459412,-0.398804,0.770508
1508968279988279,-0.186646,0.462036,-0.399963,0.769226
1508968280011336,-0.186829,0.462769,-0.404602,0.766296
1508968280030439,-0.195923,0.462646,-0.407593,0.762451
1508968280048456,-0.212097,0.466125,-0.400024,0.760071
1508968280071517,-0.220642,0.465454,-0.393433,0.761475
1508968280090636,-0.226013,0.462769,-0.390137,0.763245
1508968280108618,-0.226868,0.459961,-0.388611,0.765442
1508968280130674,-0.230591,0.461243,-0.381958,0.766907
1508968280150746,-0.230225,0.459717,-0.378235,0.769836
1508968280174125,-0.228638,0.458557,-0.375488,0.772278
1508968280190051,-0.22937,0.45813,-0.372131,0.773926
1508968280213121,-0.232239,0.45813,-0.369385,0.774414
