timestamp,roll,pitch,yaw
1508968272815703,-0.491208,-1.07151,-1.82642
1508968272838795,-0.487599,-1.06972,-1.82679
1508968272853748,-0.486413,-1.0676,-1.82436
1508968272877399,-0.488128,-1.06447,-1.81945
1508968272898835,-0.490888,-1.05882,-1.8113
1508968272913359,-0.493483,-1.05327,-1.80479
1508968272967620,-0.508577,-1.04726,-1.79562
1508968272975673,-0.537808,-1.03259,-1.77751
1508968272977644,-0.567006,-1.01341,-1.75731
1508968272997700,-0.586869,-0.990583,-1.74354
1508968273011735,-0.605557,-0.963344,-1.73183
1508968273033794,-0.626478,-0.930385,-1.7082
1508968273056885,-0.651409,-0.899216,-1.67586
1508968273103010,-0.667966,-0.864689,-1.64856
1508968273103980,-0.686951,-0.822957,-1.61742
1508968273116012,-0.704698,-0.779625,-1.58513
1508968273139074,-0.725966,-0.734588,-1.55097
1508968273154140,-0.735226,-0.685564,-1.53286
1508968273178177,-0.747465,-0.634849,-1.50565
1508968273199233,-0.753774,-0.571897,-1.47544
1508968273215276,-0.741928,-0.501719,-1.45409
1508968273237335,-0.748626,-0.427098,-1.43473
1508968273258390,-0.773443,-0.346466,-1.41781
1508968273275470,-0.789144,-0.258852,-1.40511
1508968273297540,-0.794012,-0.16891,-1.39553
1508968273320557,-0.786899,-0.0803607,-1.38644
1508968273335622,-0.771133,0.00515273,-1.38067
1508968273357758,-0.759039,0.0880033,-1.37804
1508968273378963,-0.74891,0.165862,-1.37533
1508968273395116,-0.736988,0.233391,-1.37132
1508968273418145,-0.72416,0.292254,-1.36514
1508968273439350,-0.711273,0.340723,-1.35796
1508968273455277,-0.705503,0.37564,-1.35293
1508968273477565,-0.701936,0.402593,-1.34714
1508968273498863,-0.699057,0.423431,-1.33994
1508968273515775,-0.699084,0.437103,-1.3333
1508968273537827,-0.701832,0.447527,-1.32799
1508968273559019,-0.705478,0.453754,-1.3231
1508968273575149,-0.709608,0.456535,-1.3175
1508968273597526,-0.713967,0.456058,-1.3113
1508968273619498,-0.720098,0.454829,-1.30607
1508968273635502,-0.728135,0.452554,-1.30232
1508968273657561,-0.735592,0.449496,-1.2993
1508968273678943,-0.744746,0.445856,-1.29681
1508968273695069,-0.756133,0.442965,-1.2944
1508968273718130,-0.776031,0.441848,-1.29005
1508968273739181,-0.797123,0.442044,-1.27905
1508968273756226,-0.820804,0.442089,-1.26243
1508968273778285,-0.844622,0.447413,-1.24181
1508968273800370,-0.858801,0.464988,-1.22126
1508968273814392,-0.872994,0.495289,-1.20598
1508968273837604,-0.883599,0.52979,-1.20243
1508968273860693,-0.896176,0.551454,-1.20563
1508968273881878,-0.908512,0.565596,-1.2025
1508968273897766,-0.922753,0.570876,-1.19852
1508968273919870,-0.931351,0.571838,-1.19594
1508968273934866,-0.928291,0.577183,-1.18477
1508968273957949,-0.924824,0.583943,-1.17322
1508968273980126,-0.92554,0.593094,-1.16377
1508968273995178,-0.921379,0.601172,-1.15625
1508968274018230,-0.915662,0.606173,-1.15336
1508968274040273,-0.912653,0.60806,-1.15171
1508968274061472,-0.911261,0.607036,-1.15088
1508968274084406,-0.908005,0.603966,-1.15174
1508968274100422,-0.906595,0.601682,-1.15244
1508968274122501,-0.908186,0.597248,-1.15412
1508968274143680,-0.907618,0.58974,-1.15819
1508968274160585,-0.903239,0.582166,-1.16184
1508968274182642,-0.901387,0.575302,-1.16503
1508968274204031,-0.903263,0.566298,-1.16885
1508968274219927,-0.903552,0.551909,-1.1736
1508968274243191,-0.900097,0.534247,-1.17732
1508968274264480,-0.898207,0.51247,-1.18072
1508968274279513,-0.899957,0.486465,-1.18447
1508968274302902,-0.902007,0.454479,-1.18935
1508968274333988,-0.901758,0.415813,-1.19623
1508968274340008,-0.899969,0.372444,-1.20627
1508968274363298,-0.901621,0.327233,-1.21822
1508968274385527,-0.908948,0.281221,-1.22869
1508968274399560,-0.918617,0.232223,-1.23972
1508968274422624,-0.925669,0.179536,-1.25356
1508968274445685,-0.926654,0.123541,-1.27125
1508968274459723,-0.923,0.0635035,-1.28916
1508968274482780,-0.917243,0.00231335,-1.30409
1508968274504884,-0.908756,-0.0597095,-1.31641
1508968274519881,-0.899196,-0.122336,-1.33076
1508968274542939,-0.886808,-0.187076,-1.34903
1508968274565155,-0.866417,-0.252515,-1.36762
1508968274586516,-0.842062,-0.318871,-1.38591
1508968274602452,-0.814783,-0.383037,-1.40918
1508968274625488,-0.783758,-0.442847,-1.43906
1508968274646965,-0.74524,-0.498882,-1.46809
1508968274662986,-0.717682,-0.555205,-1.4928
1508968274685088,-0.704182,-0.613748,-1.51766
1508968274706252,-0.687204,-0.66469,-1.54784
1508968274723333,-0.690133,-0.689643,-1.55272
1508968274745423,-0.663143,-0.735502,-1.55092
1508968274766640,-0.638877,-0.800312,-1.55812
1508968274782682,-0.605734,-0.857728,-1.5868
1508968274805087,-0.559501,-0.905122,-1.61877
1508968274827032,-0.542823,-0.92977,-1.6227
1508968274843039,-0.555336,-0.950498,-1.63443
1508968274865126,-0.563091,-0.969144,-1.65383
1508968274886520,-0.557262,-0.98113,-1.66722
1508968274902560,-0.529827,-0.991252,-1.68064
1508968274925746,-0.48869,-1.01173,-1.70775
