timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1508968462680016,7,8,13,18,74,15,10,3
1508968462680016,6,9,9,28,24,12,-7,-2
1508968462681035,-2,1,2,5,7,-2,-1,-4
1508968462681035,5,8,10,3,-2,0,3,0
1508968462682026,-1,11,45,8,-36,-10,-3,-2
1508968462682026,-3,-18,-71,0,37,26,18,1
1508968462686059,-9,-7,-1,-15,-5,-27,-12,-2
1508968462686059,0,-12,-40,-53,-88,-19,-17,-14
1508968462692210,-3,-1,19,15,61,-7,-1,-5
1508968462692210,9,16,30,10,-25,-3,10,5
1508968462701184,6,9,10,45,18,26,8,4
1508968462701184,-7,-24,-12,-36,30,8,5,4
1508968462708193,-2,-3,-33,-23,3,-10,-6,2
1508968462708193,-7,-8,2,-13,-39,-9,-8,-2
1508968462722472,-1,1,-2,2,4,5,-2,0
1508968462722472,3,12,35,61,15,-3,5,8
1508968462730374,8,9,0,-32,3,6,-2,3
1508968462730374,-5,-13,-39,-33,-34,-13,0,1
1508968462745387,-6,-7,3,-14,4,-7,-7,-7
1508968462745387,-4,-1,-1,26,25,10,3,-3
1508968462753446,-2,2,5,9,-35,-9,-4,-1
1508968462753446,5,14,41,45,1,-3,5,2
1508968462766442,1,-8,-45,-66,-4,6,8,3
1508968462766442,-6,-2,-24,26,44,9,-5,-6
1508968462809555,-13,-32,-81,-42,-35,-12,-3,-5
1508968462809555,-2,-4,-8,5,-9,-5,-7,-4
1508968462813583,-3,-7,7,-12,3,6,-1,-2
1508968462813583,4,16,55,51,19,1,7,4
1508968462813583,7,22,31,-3,4,-5,6,7
1508968462813583,-9,-13,-24,-31,-2,0,-7,-9
1508968462814572,1,-8,-14,6,-20,0,3,2
1508968462814572,1,0,-24,0,-4,8,-6,0
1508968462819614,0,5,38,2,4,-17,-15,-5
1508968462819614,-2,3,7,15,22,17,12,1
1508968462828623,0,4,3,3,-9,10,-6,-7
1508968462828623,-14,-32,-23,-18,0,1,-5,-11
1508968462834655,14,14,-19,-13,-8,-4,20,15
1508968462834655,0,14,59,31,4,9,1,-1
1508968462849727,-2,-15,-53,-11,1,10,4,0
1508968462849727,5,19,28,-3,-10,2,4,1
1508968462856710,14,30,39,12,13,6,10,12
1508968462856710,-20,-46,-64,-35,-44,-22,-23,-17
1508968462879918,6,13,20,31,22,18,15,8
1508968462879918,10,26,32,-17,9,-9,-6,5
1508968462880775,-12,-22,-37,-13,-9,21,-5,-16
1508968462880775,-8,-31,-58,-1,-8,-15,-3,-1
1508968462894976,-2,7,23,-4,12,22,-17,-4
1508968462894976,9,7,1,26,-2,21,6,9
1508968462895816,-3,4,4,40,-1,-10,-5,-3
1508968462895816,-15,-34,-26,-60,-8,-13,-2,-12
1508968462917908,-7,0,25,0,-13,10,-14,-12
1508968462917908,6,15,-24,-7,-16,-21,5,3
1508968462917908,-11,-18,-13,-38,-25,-9,-17,-11
1508968462917908,4,13,3,40,7,10,6,6
1508968462939960,-5,-26,-46,-57,-7,-28,8,5
1508968462939960,-20,-40,-45,-15,29,18,-16,-21
1508968462940949,6,14,24,31,10,22,8,2
1508968462940949,-3,-1,36,-20,-21,-51,-9,-1
1508968462955132,0,-4,2,13,-5,-29,3,2
1508968462955132,2,10,45,-5,-18,-4,10,4
1508968462955975,-6,-9,-12,19,-1,17,-5,-5
1508968462955975,20,43,8,8,20,23,11,11
1508968462978062,19,54,3,36,15,6,13,8
1508968462978062,-26,-37,-1,-2,16,11,-23,-23
1508968462978062,1,-7,-15,15,23,63,-11,-6
1508968462978062,15,12,0,-6,-12,-26,9,15
1508968463000274,-10,-39,-37,-4,-14,-2,1,-3
1508968463000274,11,8,8,7,10,-19,8,9
1508968463000274,-24,-55,-13,-60,-33,-2,0,-20
1508968463000274,0,-3,8,34,33,37,-6,-4
1508968463014752,-4,-11,2,-17,-5,-9,-2,-1
1508968463014752,-1,-7,-6,-34,-50,-50,4,4
1508968463015611,0,3,-26,17,66,-4,13,5
1508968463015611,20,59,88,38,17,44,4,13
1508968463037804,-7,-4,34,-4,-6,-34,-7,-3
1508968463037804,4,1,-13,-3,-8,20,6,6
1508968463038709,3,25,29,10,-26,-73,-18,-7
1508968463038709,-8,-19,-36,-31,8,17,12,-3
1508968463059748,19,50,58,46,28,6,16,14
1508968463059748,-12,-22,-37,-24,-16,19,-13,-12
1508968463060734,3,25,7,-16,-2,9,-70,-16
1508968463060734,3,5,2,20,0,-18,12,6
1508968463074909,-9,-21,-12,-17,-7,2,-19,-11
1508968463074909,16,28,48,41,9,-12,15,15
1508968463075775,-20,-62,-67,-10,-23,-3,17,-8
1508968463075775,1,7,16,-22,-2,8,-3,-1
1508968463097955,4,16,20,38,28,6,-14,-3
1508968463097955,1,2,-24,34,-9,-24,-1,-3
1508968463097955,8,4,37,38,12,1,24,16
1508968463097955,-10,-26,2,-53,0,-3,-22,-11
1508968463120028,-8,-24,-26,-24,-29,2,-14,-14
1508968463120028,-3,-7,-2,6,-5,-21,11,1
1508968463120895,2,3,5,20,13,14,-1,7
1508968463120895,0,-8,-9,-5,-38,-36,-44,-4
1508968463136193,-3,20,-12,-5,5,-11,44,2
1508968463136193,6,22,1,-15,1,-5,0,7
1508968463137138,0,23,25,-2,8,13,10,-4
1508968463137138,-5,-13,-26,-12,-57,-89,4,4
1508968463157324,2,-7,0,-14,36,33,-7,3
1508968463157324,14,37,63,47,39,29,14,10
1508968463158323,-47,-102,-98,-104,-45,-19,-29,-30
1508968463158323,24,62,80,96,50,50,15,10
1508968463179725,-15,-32,-39,-41,-34,-19,-18,-12
1508968463179725,-7,-19,-26,-41,1,18,1,-1
1508968463180621,34,68,102,67,36,9,22,23
1508968463180621,-9,-26,19,-2,-24,13,18,-1
1508968463194790,-13,-54,-72,-43,-45,-41,-17,-7
1508968463194790,7,-3,-23,-3,30,22,6,6
1508968463202688,11,32,43,16,14,45,-14,-1
1508968463202688,-3,-7,-23,-6,-23,-5,-10,-5
1508968463217866,18,34,28,45,52,12,35,24
1508968463217866,-16,-12,28,-36,-13,-2,-17,-15
1508968463217866,1,-12,-43,-10,-15,-33,-19,2
1508968463217866,2,14,-3,27,17,20,53,9
1508968463239925,-5,-6,-2,-13,-22,6,-23,-7
1508968463239925,9,10,-19,6,-19,-21,-8,3
1508968463240928,22,63,66,74,56,26,5,8
1508968463240928,-28,-40,-7,-35,-17,-10,-28,-24
1508968463253961,-3,3,37,-6,-21,-20,10,1
1508968463253961,2,0,-32,15,6,29,8,1
1508968463261982,-9,-41,-47,-45,-26,-37,17,6
1508968463261982,22,43,27,29,40,15,-5,9
1508968463277022,-11,-17,5,-11,1,28,4,-9
1508968463277022,0,-3,18,-2,-6,4,-17,0
1508968463278035,6,9,-25,2,-5,-6,16,10
1508968463278035,3,17,1,8,20,39,-4,-4
1508968463300088,2,-3,-7,-8,-5,-1,-6,2
1508968463300088,-13,-21,-37,0,5,27,-9,-17
1508968463301096,9,14,36,7,-21,-27,15,10
