timestamp,x,y,z
1508968392816580,-108.563,37.75,9.375
1508968392837831,-150.125,47.8125,11.375
1508968392852985,-161.688,52.375,24.875
1508968392876153,-128,66.5625,51.25
1508968392897249,-76.0625,78,69.5625
1508968392912289,-23.1875,75.8125,86.75
1508968392951395,-1.6875,69.5625,105.25
1508968392960418,-10.25,67,110.375
1508968392973453,-10.125,62.0625,126.625
1508968392996514,-11,70.4375,136
1508968393017733,-3.4375,49.125,146.375
1508968393033776,16.5625,38.375,168.813
1508968393088036,16.0625,42,160.375
1508968393088036,42.4375,48.5,160.438
1508968393110257,43.5,58.875,154.875
1508968393115422,42.5,65.75,151.313
1508968393145502,7.125,68.1875,160.25
1508968393162396,16.375,81.1875,168.25
1508968393182660,42.625,93.875,172.375
1508968393199699,48.375,116.375,172.813
1508968393221764,49.125,124,170.75
1508968393242957,52.1875,131.625,175.563
1508968393259996,55.4375,125.75,162.25
1508968393289941,46.875,126.5,156.25
1508968393303213,41.875,121,143.5
1508968393319173,48.875,114.75,136.875
1508968393342200,56,104.875,126.25
1508968393363375,45.6875,87.375,113.438
1508968393380301,30.75,71.125,95
1508968393402439,21.625,62.4375,78.25
1508968393423557,22.4375,50.875,65.4375
1508968393439665,15.6875,40.8125,55.9375
1508968393461725,7.0625,34.9375,42.6875
1508968393482782,3.3125,28.75,31.625
1508968393499823,0.375,18.8125,21.5
1508968393521880,-8.4375,12.8125,10.875
1508968393544941,-10.75,3.75,5.3125
1508968393558979,-8.125,1.8125,2.6875
1508968393582041,-7,2.4375,-10.875
1508968393603181,-9.375,0.125,-20.375
1508968393619153,-13.125,-8,-19.75
1508968393642331,-7.4375,-5.1875,-18.625
1508968393662496,1.875,-3.3125,-17.6875
1508968393679511,-3.5625,-6,-15
1508968393701596,-3.75,-9.4375,-13.5
1508968393722625,-1,-9.4375,-11.8125
1508968393739670,1.8125,-6.625,-8.125
1508968393761730,-2.0625,-8.25,-6.6875
1508968393782817,-6.4375,-12.6875,-5.375
1508968393799861,-6,-13.1875,-3.25
1508968393821979,-4.3125,-9.0625,-1.9375
1508968393844179,-5.8125,-10.3125,0.8125
1508968393859105,-9.5625,-14.1875,0.125
1508968393882240,-6.1875,-14.75,-5.0625
1508968393904334,-4.875,-16.125,-12.9375
1508968393918461,-5.25,-19.4375,-22.8125
1508968393942408,-6.875,-22.0625,-31.9375
1508968393964458,-12.875,-34,-46.5625
1508968393985548,-13.625,-44.4375,-53.4375
1508968394001565,-14.875,-65.0625,-63.1875
1508968394024643,-17.5,-81,-69.6875
1508968394038691,-27.75,-95.75,-90.25
1508968394068033,-37.25,-87.8125,-102.625
1508968394084086,-14.875,-90.4375,-108.125
1508968394107093,4.4375,-106.688,-109.063
1508968394128299,-9.5,-109.563,-108.938
1508968394144435,-33.0625,-99.1875,-120.625
1508968394167496,-27.125,-104.563,-127.063
1508968394187999,-15.25,-113.875,-127.438
1508968394212041,-17.625,-126.375,-134.938
1508968394227070,-30.4375,-117.813,-145.25
1508968394248177,-26.3125,-102.75,-151.875
1508968394264168,-15,-111.875,-160.125
1508968394287233,-27.75,-138.688,-144.188
1508968394308331,-36,-126,-132.5
1508968394323363,12.0625,-102.375,-139.125
1508968394347390,58.1875,-86.875,-140.563
1508968394369451,62.6875,-92.3125,-126.375
1508968394383489,21.6875,-93.8125,-119.563
1508968394406687,7.5625,-61.4375,-107.375
1508968394429912,-5.625,-5.3125,-90.5625
1508968394443915,-47.9375,20.625,-67.5
1508968394466976,-78.5625,3.875,-77.625
1508968394489036,-45.875,-43.6875,-112.125
1508968394504096,25.375,-81.875,-108.188
1508968394527264,62.875,-97.875,-73.3125
1508968394549294,95,-97.0625,-73.5
1508968394563557,88.5,-109.375,-83
1508968394586892,54.9375,-106.063,-88.75
1508968394608996,41.625,-89.75,-89.625
1508968394630213,5.8125,-77.25,-80.75
1508968394647169,-32.875,-43.5625,-56.25
1508968394669228,-47.6875,1.375,-20.125
1508968394690328,-66.3125,33.25,28.125
1508968394707334,-40.75,9.9375,22.875
