timestamp,x,y,z,w
1508968395327492,-0.475525,-0.16864,-0.705261,0.498169
1508968395342533,-0.479675,-0.150818,-0.7099,0.493225
1508968395366598,-0.485779,-0.12616,-0.714966,0.486877
1508968395387528,-0.490234,-0.0992432,-0.718994,0.482605
1508968395402568,-0.491211,-0.0741577,-0.721497,0.482422
1508968395426134,-0.489624,-0.0510864,-0.721619,0.486755
1508968395447190,-0.48468,-0.031189,-0.720459,0.495117
1508968395486433,-0.477234,-0.0132446,-0.71814,0.506348
1508968395495437,-0.470642,0.00378418,-0.713867,0.518555
1508968395502402,-0.463257,0.0186157,-0.70813,0.532593
1508968395523772,-0.454773,0.0325928,-0.702515,0.546387
1508968395538785,-0.450073,0.0484619,-0.695251,0.558411
1508968395568871,-0.445129,0.0658569,-0.683533,0.574707
1508968395622985,-0.432922,0.0775757,-0.671936,0.595886
1508968395622985,-0.420349,0.0881958,-0.658936,0.617493
1508968395623984,-0.40918,0.101318,-0.643494,0.638916
1508968395643256,-0.396057,0.115295,-0.628418,0.659546
1508968395657366,-0.380737,0.131531,-0.615784,0.677124
1508968395680457,-0.363831,0.149963,-0.602539,0.694336
1508968395702617,-0.342468,0.169189,-0.589783,0.711548
1508968395717534,-0.315186,0.189758,-0.579773,0.72699
1508968395739607,-0.291443,0.215515,-0.568848,0.738281
1508968395762798,-0.266968,0.236267,-0.556335,0.75061
1508968395778676,-0.243103,0.257568,-0.542419,0.76178
1508968395799733,-0.215759,0.278137,-0.530701,0.770996
1508968395821790,-0.189148,0.298218,-0.518677,0.778625
1508968395842846,-0.166321,0.316833,-0.506531,0.784424
1508968395859892,-0.145325,0.333191,-0.496033,0.788574
1508968395882954,-0.124939,0.3479,-0.484863,0.792603
1508968395898995,-0.103027,0.362244,-0.473755,0.796021
1508968395920052,-0.0846558,0.374573,-0.463623,0.798462
1508968395943113,-0.0720215,0.394775,-0.452759,0.796204
1508968395959156,-0.0595093,0.412598,-0.442566,0.793945
1508968395980212,-0.0491943,0.424377,-0.43512,0.792542
1508968396003275,-0.0410156,0.43042,-0.429077,0.79303
1508968396018317,-0.0361328,0.427795,-0.426147,0.796265
1508968396039372,-0.0349121,0.430481,-0.423645,0.796204
1508968396062432,-0.0349121,0.432129,-0.42334,0.795471
1508968396078474,-0.0368652,0.432251,-0.424194,0.794861
1508968396099668,-0.0401611,0.430969,-0.424744,0.795105
1508968396122700,-0.0448608,0.428589,-0.426453,0.795227
1508968396138736,-0.0501099,0.426147,-0.429749,0.794434
1508968396162804,-0.0542603,0.419556,-0.433594,0.795593
1508968396182854,-0.0578613,0.409119,-0.43811,0.798279
1508968396198896,-0.0618896,0.404846,-0.44104,0.798584
1508968396220093,-0.062561,0.404541,-0.442627,0.797791
1508968396243052,-0.0629883,0.403687,-0.444153,0.797363
1508968396259057,-0.0637207,0.403137,-0.444641,0.797302
1508968396280151,-0.0646362,0.403137,-0.445313,0.796875
1508968396303217,-0.0656738,0.403442,-0.445984,0.796265
1508968396318463,-0.0648804,0.403809,-0.44696,0.795593
1508968396339638,-0.0646362,0.403503,-0.447449,0.795471
1508968396364698,-0.0646973,0.403381,-0.447205,0.795654
1508968396378708,-0.0639648,0.403687,-0.447021,0.795654
1508968396399784,-0.0623169,0.404114,-0.446655,0.795776
1508968396430219,-0.060791,0.404175,-0.446167,0.796143
1508968396439197,-0.0599976,0.404297,-0.446045,0.796204
1508968396460391,-0.0606689,0.403687,-0.446045,0.796448
1508968396483344,-0.0606689,0.402222,-0.446533,0.796936
1508968396499357,-0.0606689,0.40094,-0.447327,0.797119
1508968396519416,-0.0615234,0.39978,-0.448059,0.797241
1508968396542556,-0.0626831,0.398254,-0.449524,0.797119
1508968396565597,-0.0647583,0.396423,-0.451477,0.796753
1508968396579638,-0.0684204,0.394409,-0.453674,0.796204
1508968396602803,-0.0721436,0.392212,-0.456421,0.795349
1508968396625069,-0.0772095,0.388733,-0.459534,0.7948
1508968396640108,-0.085083,0.384094,-0.463501,0.793945
1508968396662266,-0.0946045,0.37793,-0.468811,0.792725
1508968396685274,-0.105225,0.370117,-0.474182,0.79187
1508968396708375,-0.117371,0.361328,-0.479553,0.791016
1508968396722372,-0.132141,0.351379,-0.486328,0.789001
1508968396744778,-0.148254,0.340332,-0.494141,0.786072
1508968396762685,-0.164856,0.327515,-0.503296,0.782471
1508968396784745,-0.182373,0.311279,-0.51239,0.779236
1508968396805151,-0.201538,0.292908,-0.52124,0.775818
1508968396823046,-0.221069,0.273987,-0.530884,0.770874
1508968396846111,-0.238098,0.254211,-0.542969,0.764099
1508968396865338,-0.255432,0.233337,-0.555786,0.75592
1508968396882382,-0.275085,0.210876,-0.568054,0.74646
1508968396905448,-0.292114,0.191589,-0.580017,0.735901
1508968396927618,-0.307312,0.171204,-0.591492,0.725525
1508968396942654,-0.322327,0.148376,-0.603821,0.713806
1508968396965719,-0.3396,0.125427,-0.615662,0.699951
1508968396992942,-0.35321,0.106018,-0.625549,0.687561
1508968397002942,-0.363708,0.085022,-0.635681,0.675598
1508968397024997,-0.371948,0.0641479,-0.643799,0.665649
1508968397045316,-0.382568,0.0402222,-0.650391,0.654968
1508968397063252,-0.394531,0.0212402,-0.65686,0.642212
1508968397092297,-0.403748,0.00250244,-0.663757,0.629639
1508968397105361,-0.410095,-0.0193481,-0.669678,0.618896
1508968397122381,-0.415161,-0.0384521,-0.675171,0.608521
1508968397145438,-0.420288,-0.053772,-0.68335,0.594604
1508968397164630,-0.427002,-0.0614624,-0.692017,0.578796
1508968397182540,-0.440002,-0.0674438,-0.699341,0.559326
1508968397205602,-0.457581,-0.0759277,-0.705017,0.536499
1508968397224800,-0.473267,-0.0917358,-0.709778,0.513672
1508968397242701,-0.4823,-0.113098,-0.712585,0.496887
1508968397264760,-0.487244,-0.136536,-0.713623,0.484497
1508968397285113,-0.493469,-0.15863,-0.713196,0.471924
1508968397303082,-0.498047,-0.172546,-0.712891,0.462585
1508968397325122,-0.488953,-0.182251,-0.713501,0.46759
1508968397348220,-0.483765,-0.185608,-0.709534,0.4776
1508968397363235,-0.479858,-0.197266,-0.704224,0.484741
1508968397385267,-0.476563,-0.205688,-0.69989,0.490723
1508968397406322,-0.471741,-0.212036,-0.694885,0.499634
1508968397422489,-0.46521,-0.218811,-0.690613,0.508728
1508968397445583,-0.461853,-0.221375,-0.688904,0.513
1508968397465864,-0.461853,-0.220398,-0.68927,0.512939
1508968397487892,-0.46344,-0.217102,-0.691162,0.510315
1508968397504942,-0.465576,-0.212646,-0.693787,0.506653
