timestamp,x,y,z
1508968713926499,0.97998,-0.125488,0.43457
1508968713951538,0.952637,-0.158203,0.404297
1508968713965575,0.912598,-0.292969,0.441406
1508968713986703,0.875,-0.321777,0.561035
1508968714011272,0.827148,-0.405762,0.580078
1508968714026312,0.711914,-0.469238,0.668457
1508968714069389,0.68457,-0.477539,0.76709
1508968714080919,0.657227,-0.540527,0.786621
1508968714092951,0.709473,-0.502441,0.780762
1508968714109999,0.768555,-0.407715,0.750977
1508968714130051,0.734863,-0.333008,0.715332
1508968714153142,0.591309,-0.376465,0.715332
1508968714196370,0.497559,-0.577148,0.664063
1508968714206300,0.43457,-0.661621,0.6875
1508968714212312,0.380859,-0.585938,0.713379
1508968714227349,0.302734,-0.643066,0.76123
1508968714249518,0.16748,-0.686523,0.854492
1508968714264557,0.0712891,-0.543945,0.937012
1508968714286739,0.0639648,-0.48291,1.04102
1508968714308885,0.0566406,-0.512207,1.08398
1508968714332110,0.0517578,-0.530273,1.104
1508968714347155,0.0288086,-0.555176,1.10986
1508968714369351,-0.0478516,-0.510742,1.12109
1508968714391599,-0.0234375,-0.47168,1.14111
1508968714406655,-0.0615234,-0.473145,1.04639
1508968714429601,-0.179199,-0.47168,1.03418
1508968714451818,-0.162598,-0.491211,0.952637
1508968714466823,-0.103027,-0.473145,0.86377
1508968714488958,-0.141113,-0.411621,0.799316
1508968714511424,-0.140625,-0.468262,0.759277
1508968714526632,-0.152344,-0.456055,0.708984
1508968714549632,-0.230957,-0.330078,0.714355
1508968714571694,-0.285156,-0.350586,0.70459
1508968714586761,-0.343262,-0.30957,0.710938
1508968714608813,-0.381836,-0.205566,0.651855
1508968714631849,-0.349609,-0.229004,0.696289
1508968714646888,-0.37207,-0.303711,0.76123
1508968714669037,-0.412598,-0.303223,0.76123
1508968714691223,-0.412598,-0.28418,0.78125
1508968714706266,-0.430176,-0.258301,0.788086
1508968714729521,-0.481934,-0.301758,0.830078
1508968714751703,-0.48877,-0.301758,0.862305
1508968714766666,-0.505859,-0.280273,0.841309
1508968714788870,-0.552734,-0.250488,0.846191
1508968714812039,-0.560059,-0.23877,0.838867
1508968714827069,-0.492188,-0.241699,0.837402
1508968714849231,-0.499023,-0.280762,0.831055
1508968714871178,-0.498535,-0.319824,0.828613
1508968714886218,-0.438965,-0.359863,0.812012
1508968714909275,-0.460449,-0.375977,0.837891
1508968714931334,-0.507813,-0.381836,0.86084
1508968714946371,-0.414063,-0.418457,0.903809
1508968714969641,-0.32666,-0.514648,0.907715
1508968714992096,-0.270996,-0.638672,0.971191
1508968715006249,-0.30127,-0.508301,0.906738
1508968715029296,-0.333984,-0.268555,0.834473
1508968715051390,-0.632324,-0.244629,0.666992
1508968715066512,-0.643066,-0.412109,0.683105
1508968715089540,-0.644043,-0.604004,0.672852
1508968715111640,-0.604004,-0.76123,0.698242
1508968715126872,-0.550781,-0.72998,0.640625
1508968715149088,-0.48291,-0.814941,0.67041
1508968715172052,-0.336426,-0.657715,0.650391
1508968715188129,-0.393555,-0.528809,0.591797
1508968715209301,-0.48291,-0.652344,0.61084
1508968715231584,-0.453125,-0.766602,0.694824
1508968715248486,-0.459473,-0.722656,0.717285
1508968715269578,-0.46582,-0.60498,0.694336
1508968715291744,-0.435059,-0.566895,0.665527
1508968715309841,-0.376953,-0.623535,0.664063
1508968715329215,-0.369629,-0.68457,0.662598
1508968715351203,-0.362305,-0.749512,0.647949
1508968715369250,-0.321777,-0.688965,0.654785
1508968715389518,-0.293457,-0.615723,0.664551
1508968715411732,-0.303223,-0.623047,0.665527
1508968715429626,-0.275391,-0.703125,0.642578
1508968715450809,-0.289551,-0.721191,0.654297
1508968715472015,-0.252441,-0.677734,0.63623
1508968715494064,-0.193848,-0.62207,0.646973
1508968715509101,-0.15918,-0.614746,0.658691
1508968715532073,-0.0991211,-0.630371,0.711914
1508968715554229,0.00976563,-0.654297,0.729492
1508968715569203,0.0639648,-0.650391,0.756836
1508968715591331,0.0112305,-0.641113,0.784668
1508968715614369,-0.0429688,-0.617676,0.80957
1508968715629401,0,-0.593262,0.864258
1508968715651461,0.129395,-0.664063,0.860352
1508968715673622,0.168457,-0.652832,0.885742
1508968715688746,0.189941,-0.569824,0.906738
1508968715711810,0.287598,-0.46582,0.879883
1508968715733843,0.316895,-0.486328,0.868652
1508968715749033,0.28418,-0.515625,0.855957
1508968715772070,0.322754,-0.541016,0.837891
1508968715794243,0.496094,-0.513672,0.907227
1508968715810186,0.812988,-0.51123,0.969238
1508968715831211,0.657227,-0.291992,0.812988
1508968715854407,0.382813,-0.210449,0.710938
1508968715869500,0.39502,-0.297852,0.728516
1508968715891466,0.587402,-0.587891,0.728027
1508968715914579,0.748047,-0.709961,0.694336
1508968715929597,0.855957,-0.515137,0.586426
1508968715951695,1.02881,-0.243652,0.494141
1508968715973712,1.13525,0.03125,0.363281
1508968715988752,1.09229,0.167969,0.310059
1508968716011966,1.15723,0.065918,0.387207
1508968716033905,0.971191,-0.0576172,0.475586
1508968716050944,0.952637,-0.154785,0.428223
1508968716071966,0.936523,-0.123047,0.45459
