timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1508968598781738,0,0,-3,-8,-12,-10,-6,-1
1508968598781738,-3,0,-1,-11,-8,2,-1,-1
1508968598783647,5,6,-4,-18,13,1,3,2
1508968598783647,5,0,-2,0,13,12,13,5
1508968598786656,-2,4,2,24,19,-39,-18,0
1508968598786656,2,0,-1,-5,-25,-7,0,1
1508968598787657,-1,5,9,26,44,10,3,-1
1508968598787657,0,-3,-11,-30,-36,7,10,-1
1508968598793819,-1,-5,0,0,40,30,22,-4
1508968598793819,1,3,11,28,-43,-51,-44,-8
1508968598804703,-2,2,17,0,-23,-11,-15,-8
1508968598804703,-3,-8,-10,25,39,14,2,-5
1508968598808851,-3,-6,-9,-25,-14,-4,-6,-4
1508968598808851,1,4,9,3,-12,19,14,-1
1508968598823771,0,-10,-41,-14,23,12,11,2
1508968598823771,-2,3,29,52,-25,-18,-14,-6
1508968598832778,0,5,-1,-43,-17,3,-2,-3
1508968598832778,2,7,46,15,17,1,9,2
1508968598846847,8,23,-6,-2,-31,-10,-12,5
1508968598846847,-16,-38,-41,-46,18,9,7,-5
1508968598853988,1,-1,-1,20,-7,0,19,7
1508968598853988,1,2,25,29,-12,4,-2,1
1508968598868089,-8,-18,-17,-70,-12,-6,-1,-3
1508968598868089,8,15,29,34,18,1,-12,5
1508968598910181,1,-3,-25,-16,-9,-7,-3,1
1508968598910181,1,14,59,30,9,6,0,-2
1508968598911217,-8,-28,-70,-12,-27,-16,-8,-6
1508968598911217,14,38,91,78,5,10,6,5
1508968598914338,-13,-31,-64,-76,9,-4,-6,-8
1508968598914338,0,-16,-71,-20,10,6,0,0
1508968598915232,-9,-10,8,-30,0,1,0,-4
1508968598915232,-10,-22,-28,-5,-5,-6,-5,-6
1508968598922217,10,26,62,66,-1,0,4,4
1508968598922217,3,17,1,-7,-12,-3,-6,-1
1508968598928392,7,17,32,36,11,7,11,5
1508968598928392,4,7,-18,-44,-10,-9,5,5
1508968598944410,-9,-13,-16,45,17,8,-6,-8
1508968598944410,-8,-8,1,-37,4,16,2,-8
1508968598950288,6,20,15,27,4,-5,-7,-2
1508968598950288,-2,-20,-35,-33,-7,47,24,9
1508968598959366,-3,2,5,-27,-24,-76,-51,-3
1508968598959366,-8,-5,5,16,21,18,-34,-21
1508968598982517,-10,-14,29,-9,6,2,4,-6
1508968598982517,12,4,-4,29,22,15,16,11
1508968598983377,-2,-5,-3,-16,-3,9,18,7
1508968598983377,1,-2,4,28,-16,-18,-6,5
1508968599012648,5,6,5,-4,-8,-4,-16,-9
1508968599012648,22,59,-17,-32,34,-12,-10,-1
1508968599013629,1,1,22,9,-47,58,36,10
1508968599013629,19,-24,-7,-19,33,49,10,0
1508968599018836,-17,70,-9,14,10,59,95,60
1508968599018836,-11,-13,37,49,-1,25,-55,-27
1508968599026095,-16,13,-9,-58,17,46,-72,-36
1508968599026095,-5,46,-5,-27,-31,-10,49,13
1508968599042136,43,17,-1,56,24,1,7,-5
1508968599042136,-4,-32,-5,14,-48,-47,-15,0
1508968599043995,-34,54,44,5,-28,12,34,7
1508968599043995,24,-19,18,-6,12,0,-61,-1
1508968599056169,-25,-102,-82,-81,4,38,19,-17
1508968599056169,-42,45,-7,18,29,-62,-87,-31
1508968599065055,-9,19,28,29,-18,-6,-13,-6
1508968599065055,21,15,27,29,-53,-103,-41,1
1508968599080118,-17,-5,-15,-45,-27,26,-10,-13
1508968599080118,12,-41,11,13,-26,-7,75,21
1508968599081095,4,-18,4,-9,58,-33,8,4
1508968599081095,-15,-49,-67,46,-20,15,13,1
1508968599102292,9,4,10,3,-8,-61,-9,16
1508968599102292,-9,-14,-38,-59,-23,8,13,-15
1508968599104155,11,12,19,37,15,-52,-27,-2
1508968599104155,-9,-14,-30,-8,-9,-47,39,15
1508968599116188,-5,-24,27,15,44,57,-116,-48
1508968599116188,-11,-7,8,-8,-10,-27,100,12
1508968599125211,-1,2,-27,-31,4,28,40,-4
1508968599125211,-28,-51,-17,-10,12,-16,-11,-9
1508968599147269,10,13,5,15,-1,-2,-7,15
1508968599147269,4,40,25,-13,-21,-21,-24,7
1508968599148272,-34,-60,-64,4,32,50,-67,-61
1508968599148272,-8,-1,15,9,-9,28,24,2
1508968599162335,11,-9,10,-35,-83,-81,25,19
1508968599162335,22,-8,19,56,87,109,2,9
1508968599163311,23,-8,6,-17,-46,-25,44,34
1508968599163311,-9,51,20,-73,-2,43,-7,-7
1508968599175370,2,-21,-40,18,18,-12,1,-3
1508968599175370,-8,-18,-20,-12,-26,-18,11,2
1508968599184366,19,7,17,22,14,31,6,13
1508968599184366,-17,6,13,-18,-9,0,-32,-15
1508968599199407,-6,31,15,6,10,-12,49,13
1508968599199407,-7,-24,-35,-23,9,30,-61,-21
1508968599201413,12,-5,-2,4,8,-28,-19,-1
1508968599201413,17,5,6,27,-1,-27,1,18
1508968599222468,-23,-34,-3,10,-17,0,-14,-39
1508968599222468,5,21,4,10,11,4,10,6
1508968599223471,6,-18,-6,-10,-28,-42,8,13
1508968599223471,-3,-18,-7,-40,-20,-3,-26,-7
1508968599235530,-5,-1,-14,19,14,2,12,7
1508968599235530,4,13,7,-33,-5,3,-10,-5
1508968599244528,15,17,44,4,0,-5,9,11
1508968599244528,-21,-36,-65,10,12,45,0,-22
1508968599259593,8,26,44,3,12,9,-8,4
1508968599259593,-1,-18,-17,-29,-27,-25,-11,-2
1508968599261573,2,-6,-17,-5,-5,30,-7,-7
1508968599261573,7,9,12,14,15,-16,22,7
1508968599289647,3,40,15,-1,-4,-16,-9,0
1508968599289647,4,5,7,18,0,0,-19,-1
1508968599291652,6,-28,-23,-6,-7,0,20,4
1508968599291652,-5,22,23,5,9,8,8,6
1508968599295664,-11,-2,-11,1,0,3,-5,-3
1508968599295664,0,-10,4,-1,1,-11,21,10
1508968599304687,19,45,61,16,12,12,13,9
1508968599304687,-7,-40,-30,-15,-10,-19,-3,-10
1508968599319726,-4,16,20,28,12,0,-15,3
1508968599319726,-14,-20,-17,-21,-16,-9,-5,-6
1508968599320729,8,52,8,5,2,-11,4,4
1508968599320729,-1,6,3,15,18,12,-1,-2
1508968599341788,8,-18,-6,1,-15,-3,-2,2
1508968599341788,-7,-14,-2,-8,1,-2,1,-2
1508968599343792,-5,-4,-20,25,11,2,-1,-3
1508968599343792,-1,0,1,-21,-13,-9,6,3
1508968599355829,2,-10,-25,-32,-8,2,-8,-6
1508968599355829,1,6,24,13,7,4,3,2
1508968599364847,-12,-55,-51,-24,-13,-7,-4,-4
1508968599364847,7,41,29,27,19,-8,3,3
1508968599379887,6,16,19,4,3,3,-2,2
1508968599379887,-9,-20,-4,-24,-21,-8,-11,-8
1508968599380890,3,5,-7,2,6,7,7,3
1508968599380890,18,13,8,5,-4,-8,7,4
1508968599402033,-16,-43,-11,-13,8,24,12,4
1508968599402033,15,49,30,32,-12,-25,-5,1
1508968599403954,-10,-11,-34,-54,5,15,6,0
1508968599403954,-2,-6,-23,10,-10,-4,1,-1
1508968599416190,10,23,12,11,19,-1,-3,2
1508968599416190,-14,-4,-32,-32,-11,-5,-5,-12
1508968599425141,6,31,33,18,4,-13,-5,2
1508968599425141,14,35,67,11,2,7,5,9
1508968599439252,-16,-43,-46,-26,-21,-14,-8,-10
1508968599439252,-7,1,6,26,6,-9,-9,-6
1508968599446216,19,39,6,54,23,3,8,10
1508968599446216,-3,-3,-3,-7,18,20,17,2
1508968599462277,5,13,-3,-38,-29,-27,-18,-8
1508968599462277,0,11,3,-3,3,13,10,4
1508968599463234,0,23,-5,26,-1,-16,-13,-1
1508968599463234,15,66,54,29,12,7,10,6
1508968599476268,-32,-76,-62,-31,5,23,9,-5
1508968599476268,11,51,9,10,5,-4,6,8
1508968599484420,0,-8,-24,-15,-12,0,0,0
1508968599484420,-2,13,5,1,-4,-9,-3,-7
1508968599499462,10,35,66,18,-2,-13,-11,0
1508968599499462,5,-69,-45,2,24,29,20,12
1508968599505590,-7,9,13,-39,-8,6,-2,16
1508968599505590,-28,-6,-38,1,-14,-15,-27,-53
1508968599522654,-1,90,3,4,-16,-13,-8,-6
1508968599522654,8,127,29,7,11,7,-3,1
1508968599523619,-3,112,20,5,-3,-4,2,-2
1508968599523619,13,25,-1,7,7,10,11,20
1508968599544812,2,-81,-25,-11,7,7,2,1
1508968599544812,-4,-103,7,3,-5,-10,-6,-5
1508968599546680,-15,-128,-46,-29,-4,-8,-4,-10
1508968599546680,-11,-103,20,-56,-28,-6,-5,3
1508968599558861,21,-99,-48,51,54,28,21,16
1508968599558861,-35,-95,-10,-18,-26,-22,-19,-18
1508968599566078,-9,-50,-12,6,-14,-4,-1,-10
1508968599566078,9,92,-30,25,7,5,3,5
1508968599582121,-8,-86,13,16,-11,-15,-9,-8
1508968599582121,8,-7,7,-36,-4,5,5,6
1508968599583981,-7,-12,17,2,-8,-6,-5,-7
1508968599583981,11,41,26,-9,5,5,5,8
1508968599605148,0,99,9,0,-4,-4,-4,-1
1508968599605148,-7,-73,-68,-18,4,5,2,1
1508968599606039,7,48,18,-2,-2,2,4,1
1508968599606039,9,7,1,-4,-11,-7,-3,8
1508968599618101,5,38,6,1,5,9,6,4
