timestamp,x,y,z,w
1508968705946845,-0.425903,-0.223145,-0.620239,0.619812
1508968705969691,-0.431274,-0.193604,-0.623779,0.622498
1508968705993335,-0.432129,-0.165771,-0.624634,0.628967
1508968706008378,-0.428894,-0.141113,-0.623108,0.638672
1508968706029625,-0.424133,-0.116272,-0.619385,0.650391
1508968706053598,-0.421814,-0.0874634,-0.616516,0.659058
1508968706106778,-0.420837,-0.0537109,-0.610901,0.668457
1508968706107744,-0.418152,-0.0265503,-0.598389,0.682922
1508968706116765,-0.411804,-0.0055542,-0.580261,0.702637
1508968706130942,-0.395081,0.0109253,-0.560486,0.727783
1508968706151003,-0.363953,0.0228882,-0.543396,0.756165
1508968706181223,-0.343384,0.0383301,-0.52533,0.777588
1508968706227346,-0.333984,0.0635986,-0.506653,0.792236
1508968706227346,-0.331055,0.0911865,-0.490601,0.800842
1508968706234364,-0.329529,0.114929,-0.476563,0.806885
1508968706254684,-0.325195,0.134216,-0.464172,0.812866
1508968706270574,-0.314209,0.150635,-0.453369,0.820374
1508968706301677,-0.299316,0.165222,-0.441528,0.829529
1508968706322736,-0.282715,0.179749,-0.428101,0.839294
1508968706338753,-0.264465,0.19696,-0.414978,0.847961
1508968706360841,-0.246826,0.218445,-0.4021,0.854187
1508968706381991,-0.228333,0.239746,-0.391052,0.858765
1508968706399003,-0.207092,0.259521,-0.379333,0.863647
1508968706421100,-0.181274,0.278564,-0.368469,0.868164
1508968706442340,-0.15387,0.297913,-0.360962,0.870178
1508968706458260,-0.128296,0.317566,-0.351074,0.871399
1508968706481327,-0.104736,0.335876,-0.340027,0.87207
1508968706502617,-0.0844116,0.353577,-0.328796,0.871643
1508968706518523,-0.0629272,0.367981,-0.321411,0.870178
1508968706541583,-0.0430908,0.377502,-0.316956,0.869019
1508968706562640,-0.0278931,0.383179,-0.312561,0.868713
1508968706578683,-0.020813,0.385376,-0.308594,0.869324
1508968706601746,-0.0184326,0.385559,-0.306763,0.869995
1508968706622158,-0.0154419,0.382874,-0.307434,0.870972
1508968706639046,-0.0147095,0.378357,-0.309814,0.87207
1508968706661190,-0.0166016,0.373657,-0.312927,0.872986
1508968706682278,-0.0200806,0.369751,-0.315369,0.873718
1508968706698325,-0.0221558,0.366211,-0.318604,0.873962
1508968706721353,-0.0256958,0.363342,-0.321838,0.873901
1508968706742406,-0.0303955,0.360535,-0.324646,0.873901
1508968706758481,-0.034668,0.357788,-0.327026,0.873962
1508968706781510,-0.0385742,0.356323,-0.328247,0.873962
1508968706802609,-0.041748,0.355408,-0.329285,0.873779
1508968706818607,-0.0454102,0.354492,-0.330994,0.873291
1508968706840898,-0.0537109,0.353943,-0.33252,0.872498
1508968706862835,-0.0692139,0.353516,-0.331482,0.871948
1508968706878881,-0.0922852,0.350891,-0.326416,0.872803
1508968706901179,-0.116882,0.351318,-0.317444,0.872986
1508968706922392,-0.136963,0.357971,-0.306213,0.871338
1508968706938280,-0.146667,0.372864,-0.295593,0.867188
1508968706961334,-0.152161,0.391602,-0.288757,0.860291
1508968706982534,-0.171082,0.411438,-0.288452,0.847473
1508968706998439,-0.197815,0.430603,-0.296631,0.829102
1508968707021517,-0.224548,0.442932,-0.306458,0.812012
1508968707043556,-0.245544,0.448059,-0.313599,0.800354
1508968707057628,-0.257263,0.445313,-0.325378,0.793457
1508968707081679,-0.26709,0.444702,-0.331116,0.788208
1508968707103714,-0.277893,0.446594,-0.332336,0.782837
1508968707117768,-0.286011,0.445374,-0.333862,0.779968
1508968707140855,-0.288269,0.440857,-0.335693,0.780945
1508968707163899,-0.287964,0.432922,-0.337402,0.784729
1508968707177918,-0.289612,0.424988,-0.33728,0.788513
1508968707207030,-0.293274,0.417114,-0.336853,0.791504
1508968707224036,-0.295471,0.407349,-0.33905,0.794861
1508968707246095,-0.296082,0.396912,-0.342834,0.798279
1508968707267151,-0.296204,0.38501,-0.347595,0.802002
1508968707283288,-0.296265,0.370972,-0.353821,0.805847
1508968707306570,-0.297302,0.355347,-0.360413,0.80957
1508968707327733,-0.300842,0.338318,-0.365723,0.813171
1508968707343696,-0.305664,0.318237,-0.371582,0.816833
1508968707366726,-0.309509,0.294556,-0.379089,0.820801
1508968707387139,-0.313721,0.266846,-0.390198,0.823486
1508968707403194,-0.316528,0.23761,-0.401123,0.826111
1508968707426110,-0.318176,0.208984,-0.410522,0.828613
1508968707447515,-0.324097,0.179749,-0.421021,0.827881
1508968707463415,-0.333618,0.15155,-0.4328,0.823669
1508968707486476,-0.341492,0.125916,-0.443909,0.818787
1508968707507686,-0.343323,0.10144,-0.452209,0.816895
1508968707522724,-0.342773,0.0751343,-0.460999,0.815063
1508968707546645,-0.345398,0.0482178,-0.470886,0.810303
1508968707568699,-0.353821,0.0204468,-0.480164,0.802368
1508968707582774,-0.359619,-0.00952148,-0.488953,0.794678
1508968707605938,-0.356995,-0.0429077,-0.49762,0.789368
1508968707628967,-0.351196,-0.0756226,-0.50647,0.783875
1508968707643012,-0.348083,-0.104797,-0.516296,0.775391
1508968707666066,-0.350769,-0.1297,-0.526611,0.763489
1508968707689124,-0.357605,-0.147156,-0.536499,0.750061
1508968707703238,-0.364075,-0.155396,-0.549072,0.736145
1508968707726298,-0.368164,-0.159485,-0.564758,0.721191
1508968707748356,-0.371704,-0.164551,-0.578918,0.706848
1508968707763435,-0.378174,-0.172119,-0.590332,0.692017
1508968707786457,-0.386353,-0.184875,-0.600403,0.675354
1508968707808516,-0.393433,-0.200562,-0.607422,0.660339
1508968707829582,-0.398315,-0.21759,-0.610046,0.649536
