timestamp,x,y,z
1508968882105486,0.847656,-0.113281,0.541504
1508968882127543,0.874512,-0.0986328,0.510742
1508968882151599,0.900391,0.00488281,0.498535
1508968882168175,0.952637,0.167969,0.465332
1508968882188182,1.01172,0.241211,0.211426
1508968882211269,1.01953,-0.0551758,0.296875
1508968882256401,0.99707,-0.224609,0.520996
1508968882265485,0.95166,-0.254883,0.566895
1508968882274438,0.953125,-0.309082,0.478516
1508968882293622,0.970215,-0.223633,0.616211
1508968882309622,0.938477,-0.384277,0.685059
1508968882338740,0.849121,-0.454102,0.763184
1508968882392885,0.757324,-0.448242,0.802734
1508968882393853,0.606934,-0.439453,0.805664
1508968882394847,0.45459,-0.679688,0.869629
1508968882413894,0.34375,-0.71582,0.92041
1508968882427977,0.170898,-0.36084,0.949707
1508968882458056,-0.151855,-0.327148,1.08887
1508968882473054,-0.337891,-0.614746,1.12842
1508968882488165,-0.283203,-0.821777,1.1582
1508968882511329,-0.0693359,-0.861328,1.14453
1508968882532553,-0.132813,-0.650879,1.07764
1508968882547644,-0.219238,-0.625488,1
1508968882571535,-0.227539,-0.762695,0.999023
1508968882592733,-0.241211,-0.789551,0.979004
1508968882607989,-0.26123,-0.904785,0.945801
1508968882630218,-0.37207,-0.833496,0.890625
1508968882653284,-0.411133,-0.652832,0.908203
1508968882668182,-0.378906,-0.737793,0.951172
1508968882690378,-0.42334,-0.666016,0.888672
1508968882712551,-0.365723,-0.543457,0.807129
1508968882727863,-0.20166,-0.446777,0.730469
1508968882749923,-0.0620117,-0.339355,0.665527
1508968882773117,0.0175781,-0.270996,0.52832
1508968882788185,0.117676,-0.203125,0.41748
1508968882810117,0.118652,-0.224121,0.396484
1508968882833142,0.0644531,-0.274414,0.410645
1508968882849276,-0.0595703,-0.214844,0.446777
1508968882870468,-0.205078,-0.24707,0.466797
1508968882893399,-0.440918,-0.350586,0.499512
1508968882909431,-0.759277,-0.382813,0.639648
1508968882930646,-0.998535,-0.442871,0.797852
1508968882952579,-1.00732,-0.47168,0.916992
1508968882969620,-0.92627,-0.537109,0.965332
1508968882990660,-0.788086,-0.539063,0.930176
1508968883012799,-0.595703,-0.553223,0.878418
1508968883029750,-0.37207,-0.55127,0.803711
1508968883049977,-0.277344,-0.510742,0.757813
1508968883073066,-0.242676,-0.478027,0.714355
1508968883089075,-0.172852,-0.461426,0.6875
1508968883110232,-0.133789,-0.500977,0.692871
1508968883132467,-0.125977,-0.550293,0.713379
1508968883149693,-0.145996,-0.54834,0.771484
1508968883170829,-0.166992,-0.555176,0.798828
1508968883192755,-0.181641,-0.641602,0.853027
1508968883208984,-0.22998,-0.687988,0.886719
1508968883230354,-0.304688,-0.693848,0.941895
1508968883252467,-0.187988,-0.671875,0.963379
1508968883275494,-0.0673828,-0.621094,0.996094
1508968883290533,0.0239258,-0.650391,1.01953
1508968883312619,0.00146484,-0.623047,0.999023
1508968883335686,0.148926,-0.480469,0.875
1508968883349691,0.365723,-0.532227,0.832031
1508968883372779,0.4375,-0.711426,0.871582
1508968883394844,0.411621,-0.810059,0.88623
1508968883411857,0.516602,-0.551758,0.89209
1508968883434918,0.700195,-0.304199,0.882813
1508968883455976,0.490234,-0.229492,0.75
1508968883473020,0.373047,-0.301758,0.824707
1508968883494076,0.520996,-0.529785,0.788086
1508968883515240,0.629395,-0.634766,0.776367
1508968883533179,0.671875,-0.497559,0.692871
1508968883554240,0.793945,-0.270996,0.526367
1508968883575449,1.05957,-0.220215,0.435547
1508968883593446,1.17627,-0.20166,0.339844
1508968883614502,1.15479,-0.0927734,0.229004
1508968883635682,1.11084,0.139648,0.215332
1508968883653606,1.11377,0.121582,0.475586
1508968883674662,0.867676,-0.114746,0.511719
1508968883695863,0.866211,-0.102539,0.424316
1508968883712872,0.912109,-0.0571289,0.36084
1508968883733929,0.840332,-0.0717773,0.356445
1508968883755140,0.847656,0,0.425293
1508968883773037,0.828613,0.0625,0.456543
1508968883796127,0.804199,0.0522461,0.491211
1508968883815533,0.828125,-0.0253906,0.525879
1508968883833436,0.865234,-0.0913086,0.50293
1508968883855494,0.890625,-0.127441,0.51123
