timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1508968759190912,-13,-4,-9,-39,-52,-16,-4,-3
1508968759190912,3,-6,1,-8,-10,-3,-2,-3
1508968759191914,15,8,7,34,40,17,5,4
1508968759191914,1,7,7,12,25,6,2,1
1508968759191914,6,2,-7,-16,22,-2,-9,-4
1508968759191914,-60,-30,-30,-31,-70,-15,-7,-10
1508968759192918,-12,-18,14,0,-2,-4,-6,-7
1508968759192918,16,4,5,19,0,-6,16,6
1508968759205020,-27,-6,4,3,11,19,-5,-8
1508968759205020,29,14,-9,-14,36,-7,-2,4
1508968759212971,-18,-3,-24,-39,-38,-3,0,3
1508968759212971,1,-2,31,-1,-37,-10,-1,-1
1508968759219020,18,9,13,34,25,6,9,8
1508968759219020,4,5,4,-8,-3,0,-1,5
1508968759234210,0,0,-7,11,11,-4,-4,-9
1508968759234210,3,5,-3,4,15,8,1,5
1508968759243209,5,0,3,13,-7,-8,4,2
1508968759243209,9,-3,2,-8,33,4,-8,-10
1508968759257245,16,0,-1,-11,-90,-15,14,12
1508968759257245,-17,-2,-14,-42,-11,-4,-11,-7
1508968759264300,-3,-8,-19,-19,-42,-14,-6,-2
1508968759264300,5,3,29,45,49,20,10,8
1508968759278545,-3,-2,-4,10,54,10,1,-1
1508968759278545,-5,-1,1,4,-20,-4,-7,-10
1508968759320500,5,1,19,20,18,-2,6,7
1508968759320500,8,3,-9,7,25,11,5,10
1508968759321504,7,5,3,19,-27,-12,-2,-1
1508968759321504,8,8,18,2,-2,-5,2,4
1508968759324875,-3,-3,-14,-4,-10,1,-4,-7
1508968759324875,-6,-5,-4,-9,13,1,-2,-4
1508968759325754,-9,-7,9,2,-13,3,-2,-2
1508968759325754,-7,0,-19,-33,-6,-16,-14,-12
1508968759331746,-6,3,19,4,-29,3,-3,-6
1508968759331746,-1,4,13,66,48,11,6,0
1508968759338897,-7,-11,-17,12,-8,-1,-6,-4
1508968759338897,-8,-20,-78,-70,-3,-7,-3,-5
1508968759347784,2,9,26,0,-38,-18,-7,0
1508968759347784,4,2,16,-17,-3,9,0,0
1508968759361968,21,17,-62,58,77,25,13,14
1508968759361968,-33,-37,46,-39,-37,-4,-13,-19
1508968759368968,3,9,-10,16,-4,-2,4,1
1508968759368968,-2,1,2,-6,29,-10,-3,-2
1508968759392988,7,19,4,3,-54,-4,1,1
1508968759392988,14,26,60,79,53,17,9,11
1508968759393907,-7,-24,-66,-19,0,-8,-1,0
1508968759393907,-7,1,29,-24,-33,-13,-10,-12
1508968759405960,7,5,8,-34,0,-7,4,8
1508968759405960,10,-4,-35,-18,-45,-9,4,7
1508968759414971,12,9,-7,72,49,23,10,10
1508968759414971,-4,-20,-17,0,-12,-13,1,1
1508968759430162,-17,-23,9,-18,-4,-8,-9,-15
1508968759430162,9,8,-11,-45,27,8,3,4
1508968759432008,16,19,0,-7,0,1,6,10
1508968759432008,12,4,-7,15,18,3,7,14
1508968759453065,8,2,-15,-13,-27,-10,-1,8
1508968759453065,2,10,36,65,32,7,5,1
1508968759454068,-3,-10,-12,-33,-5,-9,-8,-8
1508968759454068,11,13,10,-42,-28,-11,1,4
1508968759466321,-8,-12,57,-35,-24,1,-11,-4
1508968759466321,10,12,-32,40,-6,0,7,17
1508968759475358,-6,-10,-66,6,34,9,-3,-1
