timestamp,x,y,z
1508968926123622,-35.5625,30.0625,15.9375
1508968926145183,-67.8125,48.1875,21.4375
1508968926169175,-99,58.5,28.6875
1508968926184218,-100.75,64.4375,37.5
1508968926205273,-78.6875,63.625,40.125
1508968926228341,-58.875,55.1875,39.5625
1508968926273486,-42.5,54.875,37.9375
1508968926282509,-32.6875,47.625,39
1508968926290501,-27.9375,39,40.0625
1508968926306563,-7.9375,39.6875,39.375
1508968926326597,24.875,39.875,38.5
1508968926355834,40.9375,35.4375,42.75
1508968926409968,32.375,25.1875,60.25
1508968926410857,13.5625,17.6875,72.875
1508968926411825,4.6875,27.3125,89
1508968926423857,20.6875,35.5,119.188
1508968926444985,37.9375,45.25,138.25
1508968926467059,33.9375,57.25,158
1508968926485093,29.3125,77.4375,169.688
1508968926505316,12.0625,106.938,179.813
1508968926527633,-31.625,130.688,185.25
1508968926545537,-32.75,143.688,187.25
1508968926564787,0.125,153,192.625
1508968926587828,27.5,165.125,185.5
1508968926604888,22.625,165.938,179.688
1508968926627921,13.3125,171.75,173.625
1508968926646970,1.25,163.125,164.313
1508968926665035,-10.375,147.625,165.625
1508968926685150,-6.125,143.875,172.438
1508968926707223,4.125,140.313,165.25
1508968926725193,9.8125,134.625,155.188
1508968926745371,30.1875,127.375,144.688
1508968926767367,46.625,118.5,135.188
1508968926785411,40.8125,98.4375,107.063
1508968926805503,18.875,63.3125,68
1508968926827522,-6.0625,22.6875,24.875
1508968926845574,1.5,-2,-23.4375
1508968926866626,26.875,-31.6875,-70.625
1508968926887707,24.375,-82.375,-113.125
1508968926905760,-9.125,-125.25,-147.25
1508968926926799,-44.5625,-147.313,-165.563
1508968926947909,-54.6875,-146.375,-161.375
1508968926965902,-51,-129.313,-144.125
1508968926985989,-23.6875,-105.375,-119.688
1508968927007280,13.875,-89.125,-111.188
1508968927025256,23.125,-91.625,-113.875
1508968927046313,1.5,-100.625,-121.875
1508968927067403,-19.3125,-105.375,-133.063
1508968927085420,-15,-114.125,-141
1508968927106481,-8.9375,-128.813,-152.063
1508968927127562,-12.25,-134.375,-162.625
1508968927145576,10.6875,-122.938,-174.188
1508968927166667,29.6875,-118.5,-177.5
1508968927187818,14.625,-125.438,-178.875
1508968927209886,-3.1875,-126.313,-176.625
1508968927226125,-17.125,-113.375,-162.063
1508968927247402,-13.5625,-84.6875,-146.938
1508968927270448,38.6875,-80.8125,-118.875
1508968927287403,18.8125,-79,-103.5
1508968927307787,22.0625,-56.5625,-121.188
1508968927329844,12.25,-44.625,-115.875
1508968927347749,1.25,-47.8125,-80.375
1508968927367047,-26.3125,-58.3125,-67.8125
1508968927391108,-34.8125,-73.5625,-86.5
1508968927407151,-5.8125,-86.5625,-91.0625
1508968927429237,33.6875,-104.938,-83.25
1508968927450371,68.625,-118.938,-81.125
1508968927467410,84.5625,-108.375,-77.125
1508968927489471,75.875,-87.1875,-62.875
1508968927510527,41.5,-28.125,-40.5
1508968927526848,41.9375,26.9375,-3.25
1508968927549901,4.875,25.5625,30
1508968927571074,7.1875,1.375,33.4375
1508968927587001,42.5,-7.875,30.9375
1508968927610036,88.875,-5.25,31.25
1508968927631134,97.25,5.625,18.25
1508968927647126,51,10.9375,4.875
1508968927669288,-9.6875,6.375,-3.5
1508968927690376,-55.8125,0.6875,-5.8125
1508968927706530,-67.1875,-2.5,-4.375
1508968927729569,-51,-0.25,-3.1875
1508968927751864,-21.625,3.25,0.3125
1508968927766905,3.9375,8.1875,3.875
