timestamp,x,y,z,w
1508968875386985,-0.259094,-0.41864,-0.414917,0.765137
1508968875401756,-0.260559,-0.418274,-0.415222,0.764709
1508968875422431,-0.261597,-0.417969,-0.41571,0.764221
1508968875447505,-0.262817,-0.417603,-0.416077,0.763855
1508968875461537,-0.263916,-0.417419,-0.416138,0.76355
1508968875482656,-0.26416,-0.417786,-0.416016,0.763306
1508968875521683,-0.264465,-0.41748,-0.416748,0.762939
1508968875530755,-0.267151,-0.415222,-0.418884,0.762085
1508968875539771,-0.271484,-0.411743,-0.420715,0.761475
1508968875558799,-0.274048,-0.409302,-0.421692,0.761292
1508968875574817,-0.275513,-0.407349,-0.423157,0.760986
1508968875603937,-0.27832,-0.402771,-0.427063,0.760254
1508968875658081,-0.285156,-0.394043,-0.433716,0.758545
1508968875659042,-0.296997,-0.377869,-0.442017,0.757385
1508968875660044,-0.309998,-0.358276,-0.450134,0.756897
1508968875678130,-0.319946,-0.338379,-0.455872,0.758484
1508968875693176,-0.325928,-0.320007,-0.457764,0.762756
1508968875715235,-0.328186,-0.304932,-0.455933,0.769043
1508968875738365,-0.327148,-0.292419,-0.450378,0.777588
1508968875753434,-0.327515,-0.278503,-0.44281,0.786804
1508968875775609,-0.328674,-0.264221,-0.434692,0.795776
1508968875797915,-0.330261,-0.25177,-0.425659,0.803955
1508968875812971,-0.333374,-0.240051,-0.41449,0.812073
1508968875843143,-0.333313,-0.230225,-0.401062,0.821594
1508968875858034,-0.325317,-0.221985,-0.385925,0.834229
1508968875873089,-0.317749,-0.210876,-0.370117,0.847107
1508968875895486,-0.313293,-0.195801,-0.35498,0.858765
1508968875917439,-0.313721,-0.177612,-0.341248,0.868103
1508968875932586,-0.315247,-0.156799,-0.326355,0.877197
1508968875955653,-0.321655,-0.133301,-0.30896,0.88501
1508968875977706,-0.323914,-0.108276,-0.287903,0.894714
1508968875992756,-0.327576,-0.0794678,-0.268311,0.902405
1508968876015716,-0.325317,-0.0483398,-0.248108,0.911194
1508968876037862,-0.32196,-0.0148926,-0.225098,0.919495
1508968876054770,-0.319031,0.0203247,-0.201416,0.925842
1508968876075907,-0.316223,0.0579834,-0.178345,0.929932
1508968876097883,-0.310974,0.0969849,-0.156311,0.932434
1508968876113976,-0.303162,0.134338,-0.13678,0.933411
1508968876135164,-0.294312,0.170532,-0.118042,0.932922
1508968876158398,-0.28479,0.206055,-0.0982666,0.930969
1508968876174430,-0.275085,0.24176,-0.0770874,0.927307
1508968876195530,-0.262939,0.276489,-0.0559082,0.922607
1508968876217549,-0.248352,0.309692,-0.0353394,0.917114
1508968876234592,-0.232727,0.341309,-0.0151978,0.910522
1508968876255792,-0.218567,0.370544,0.00421143,0.90271
1508968876277821,-0.203064,0.397217,0.0220337,0.894714
1508968876299908,-0.188049,0.418579,0.0370483,0.887695
1508968876314946,-0.177429,0.434265,0.0492554,0.881714
1508968876337981,-0.172546,0.439575,0.0568848,0.879578
1508968876360128,-0.171692,0.438843,0.0604248,0.879883
1508968876375293,-0.172974,0.432617,0.0593262,0.882813
1508968876398310,-0.176453,0.420166,0.0537109,0.888489
1508968876420372,-0.18396,0.400879,0.0443726,0.896362
1508968876435579,-0.194824,0.377991,0.0320435,0.90448
1508968876457648,-0.209412,0.349609,0.0159912,0.913025
1508968876480730,-0.226135,0.3172,-0.00311279,0.920959
1508968876495900,-0.242676,0.284302,-0.0218506,0.927185
1508968876518167,-0.25647,0.253784,-0.0368652,0.931885
1508968876540236,-0.267029,0.224792,-0.050354,0.93573
1508968876555505,-0.275574,0.19574,-0.0639038,0.938904
1508968876578440,-0.282593,0.166992,-0.0784912,0.941284
1508968876600661,-0.288879,0.138245,-0.0948486,0.942566
1508968876615102,-0.295593,0.10907,-0.112732,0.942322
1508968876639325,-0.30304,0.0766602,-0.132263,0.940613
1508968876660533,-0.311279,0.041687,-0.155457,0.936584
1508968876678635,-0.315918,0.00836182,-0.182129,0.931091
1508968876699659,-0.314209,-0.0249634,-0.209778,0.925537
1508968876720758,-0.315186,-0.0592041,-0.232849,0.918091
1508968876737761,-0.324585,-0.09198,-0.256531,0.905762
1508968876758841,-0.334961,-0.122314,-0.283813,0.890137
1508968876780916,-0.339661,-0.147095,-0.310791,0.875427
1508968876797919,-0.341858,-0.168213,-0.334778,0.861877
1508968876820984,-0.346069,-0.186035,-0.355286,0.848206
1508968876840413,-0.353882,-0.202026,-0.372498,0.833801
1508968876858443,-0.348877,-0.21582,-0.388184,0.825256
1508968876879693,-0.328796,-0.230042,-0.400452,0.823792
1508968876899952,-0.309509,-0.244019,-0.410706,0.822205
1508968876920005,-0.30072,-0.255188,-0.419739,0.817505
1508968876940192,-0.305237,-0.262939,-0.430054,0.807922
1508968876960391,-0.313232,-0.269775,-0.440369,0.796997
1508968876978293,-0.319458,-0.282104,-0.443787,0.78833
1508968877000352,-0.324524,-0.303162,-0.445313,0.777466
1508968877020549,-0.325989,-0.329346,-0.44751,0.764893
1508968877038454,-0.318665,-0.356812,-0.447021,0.755859
1508968877060512,-0.309753,-0.381409,-0.444214,0.749207
1508968877080815,-0.303528,-0.398315,-0.44397,0.743042
