timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1508969046598347,3,-1,2,-10,-38,-4,2,-1
1508969046598347,5,3,7,20,-17,-3,3,2
1508969046604387,6,2,1,9,13,3,4,2
1508969046604387,3,-4,-3,-26,30,-18,6,3
1508969046604864,-3,-3,-6,15,-56,16,-9,-3
1508969046604864,11,2,0,3,53,-2,2,4
1508969046606390,0,-2,-2,-2,-32,-8,0,4
1508969046606390,-2,-3,9,15,14,5,1,0
1508969046617108,0,0,-2,-2,20,-9,2,1
1508969046617108,-1,-4,-6,-13,-32,-8,-3,-4
1508969046628277,4,-1,1,6,8,6,2,0
1508969046628277,7,6,9,31,18,8,5,5
1508969046632342,-8,-3,-10,-21,-24,-18,2,7
1508969046632342,-2,-1,2,-5,-25,3,-8,9
1508969046648317,4,0,-9,-17,26,-2,1,8
1508969046648317,-1,-4,1,-18,-41,-7,-5,0
1508969046655335,13,5,4,21,14,5,4,0
1508969046655335,-12,-3,-5,9,25,-2,-2,-12
1508969046663557,-11,-10,-11,-33,-26,-1,-6,-13
1508969046663557,-6,-2,2,37,22,14,0,-8
1508969046676710,1,3,1,-19,16,4,-1,-2
1508969046676710,-5,0,1,17,-10,0,5,0
1508969046724084,-3,-3,-8,-5,-26,-4,-5,-3
1508969046724084,-8,4,5,19,6,11,0,-1
1508969046724950,-3,5,0,2,5,2,2,0
1508969046724950,-4,6,45,11,-1,-2,-6,-5
1508969046725953,-3,-12,-41,-29,-8,-8,-3,-3
1508969046725953,0,-5,6,4,6,0,-2,-2
1508969046729095,12,5,-8,32,10,5,5,3
1508969046729095,-21,-2,-21,-30,-5,-4,-1,-4
1508969046737109,2,9,22,4,14,2,2,0
1508969046737109,4,10,16,3,-20,-3,-1,0
1508969046746009,-4,-5,9,-16,-3,-3,-5,-5
1508969046746009,6,-8,-26,-11,-14,1,-3,-1
1508969046752047,0,11,29,-28,-7,1,-2,1
1508969046752047,-5,-9,-23,41,21,6,3,-1
1508969046768066,-3,-2,-6,-13,1,-5,-3,-1
1508969046768066,1,-1,4,3,1,3,1,-2
1508969046774082,-3,4,0,-12,-9,-1,0,0
1508969046774082,-1,3,28,-9,-2,1,2,5
1508969046783130,3,-2,-31,28,5,-1,1,-2
1508969046783130,0,-5,-8,-8,7,1,-2,-1
1508969046797260,-1,0,3,15,2,0,0,-1
1508969046797260,0,4,3,-8,-1,-5,0,-2
1508969046805477,0,3,-8,-38,-33,-11,-6,1
1508969046805477,2,4,12,24,17,10,4,2
1508969046811561,5,5,17,34,12,-2,-1,1
1508969046811561,-5,-17,-60,-36,-3,-3,-2,-3
1508969046828721,-5,-2,11,-23,-4,-2,-3,-3
1508969046828721,6,-4,1,6,-11,-8,-7,-3
1508969046834733,-2,-2,-7,-23,-11,-6,-1,1
1508969046834733,1,5,28,28,11,5,0,-4
1508969046843761,-6,-3,2,7,-2,-4,-3,-5
1508969046843761,5,4,-13,-10,6,2,3,3
1508969046856839,-1,-6,-8,17,8,4,1,-2
1508969046856839,4,-2,2,-40,-14,-6,-3,0
1508969046866038,-2,3,25,14,0,3,-1,-1
1508969046866038,1,0,-11,0,0,-4,0,1
1508969046872219,0,0,-10,0,-1,1,-2,-2
1508969046872219,4,7,-4,13,6,-2,1,3
1508969046888131,-6,-8,4,-18,0,3,-1,-2
1508969046888131,4,-2,17,0,-4,-1,-1,0
1508969046894252,-4,0,6,1,-1,0,-1,1
1508969046894252,-11,-8,8,-7,-7,-4,-2,-3
1508969046903168,3,-5,-33,-9,-5,-6,-3,2
1508969046903168,2,-2,19,16,2,3,-1,-3
1508969046917203,5,15,46,13,5,6,8,1
1508969046917203,7,8,-17,2,2,-3,-10,-5
1508969046926195,-4,-16,-5,-27,-15,-5,1,-7
1508969046926195,-4,6,1,14,-1,-11,3,16
1508969046932255,4,13,35,43,19,18,-2,-7
1508969046932255,-11,-32,-43,-17,-11,-9,4,1
1508969046948258,29,10,13,-11,2,8,2,24
1508969046948258,-42,-32,-17,-39,-18,-12,-12,-39
1508969046954417,2,-1,5,27,15,10,9,0
1508969046954417,8,59,27,14,-11,-6,14,35
1508969046963298,16,-10,8,-18,10,11,3,-21
1508969046963298,-7,-49,1,-7,-3,19,8,61
1508969046977365,-9,-26,0,2,0,-24,-38,-63
1508969046977365,-10,-4,26,19,0,-15,6,3
1508969046985355,-11,13,-39,-47,-16,5,-10,0
1508969046985355,39,94,76,99,49,23,29,24
1508969046991499,-17,-29,66,-87,-34,-18,14,27
1508969046991499,9,-97,-68,6,31,27,7,19
1508969047009508,-41,-32,10,-42,-43,-18,-45,-83
1508969047009508,41,75,36,62,10,9,7,27
1508969047014537,-30,-20,-60,46,24,2,17,65
1508969047014537,4,34,-59,9,1,17,15,-35
1508969047029705,69,106,104,54,5,-29,11,0
1508969047029705,-78,-23,-109,-66,-27,38,-24,-40
1508969047036724,33,65,-1,18,-11,-45,-19,-21
1508969047036724,24,66,92,-37,11,20,22,47
1508969047045637,2,0,-48,46,30,-19,11,19
1508969047045637,15,-19,1,-52,-36,4,12,-16
1508969047051617,-1,5,3,37,-12,-10,16,25
1508969047051617,-22,-17,109,51,-3,-30,-23,-11
1508969047068662,17,8,-103,30,-6,1,28,48
1508969047068662,-7,-48,75,-43,-23,-48,-52,-40
1508969047073878,28,31,45,44,7,30,5,2
1508969047073878,-26,-3,-116,-82,-45,-68,-6,29
1508969047089049,-39,-23,100,56,30,3,-12,-13
1508969047089049,-15,-16,-125,18,2,39,36,9
1508969047097164,79,95,57,-22,2,19,-5,4
1508969047097164,36,95,33,37,21,0,-27,-34
1508969047106294,-107,-105,-110,-58,6,-3,-5,0
1508969047106294,101,107,56,15,-11,-38,5,30
1508969047112348,-62,-63,-128,-73,3,16,1,-53
1508969047112348,27,13,45,41,20,29,-3,29
1508969047128352,-8,35,2,-47,-33,-19,0,-27
