timestamp,x,y,z
1508969078957662,-12.625,12.1875,3.9375
1508969078971906,-7.5625,9.375,8
1508969078996130,-11.5,9.75,10.375
1508969079016211,-26.375,12.25,15.25
1508969079031252,-47.0625,25.375,25.9375
1508969079055292,-66.5,42,27.9375
1508969079076375,-51.5625,59.3125,35.8125
1508969079115454,-36.125,67.875,43.375
1508969079124477,-21.9375,61.125,68.5625
1508969079137545,-7.75,66.5625,83.5625
1508969079152609,-17.1875,74,95.6875
1508969079175873,-41.75,82.25,101.375
1508969079197989,-71.875,83.75,98
1508969079252097,-62.5625,77.75,98.3125
1508969079252097,-41.875,65.125,105.313
1508969079259085,-0.75,68.4375,126.75
1508969079273208,48.5,61.625,132.313
1508969079295500,39,54.4375,128.063
1508969079326574,19.9375,61.625,134.375
1508969079347757,27.5,78.25,138.688
1508969079363781,20.8125,86.75,131.188
1508969079385837,24.125,95.875,123.438
1508969079407006,36,105.313,124.25
1508969079423949,31.125,114.5,124
1508969079452087,31,129.375,116.125
1508969079467229,25,134.75,113
1508969079483470,11.4375,137.313,109.875
1508969079513517,8.5,150.188,104.5
1508969079526798,9.625,145,101.813
1508969079544714,16.4375,149.5,95.5625
1508969079565849,22.0625,148.875,85.6875
1508969079587381,32.8125,152.688,91
1508969079604415,28,134.25,95.9375
1508969079626502,14.6875,112.438,89.375
1508969079647767,-8.375,85.3125,66.5
1508969079663799,-10.0625,66.3125,46.375
1508969079685867,0.625,44.8125,29.6875
1508969079706906,-6.75,16.0625,7.9375
1508969079730980,-15.9375,-8.25,-7.25
1508969079746027,-10.5,-21,-15.4375
1508969079767267,-4.875,-29.5625,-20.875
1508969079783533,-8.5625,-41.5625,-26.125
1508969079806622,-15.875,-40.125,-26.5625
1508969079826862,-6.125,-30.6875,-19.375
1508969079844153,3.125,-17.25,-16.6875
1508969079866282,6.875,-10.1875,-9.6875
1508969079887474,6.6875,-3.75,-1.9375
1508969079903379,10.375,4.25,2.5
1508969079932596,13.125,8.5,4
1508969079947786,9.5625,6.3125,3.8125
1508969079963792,8,4,3
1508969079985886,10.8125,0.5625,1.125
1508969080007163,12.4375,-4.875,-2.0625
1508969080024080,12.625,-11.875,-6.25
1508969080046142,7.75,-22.5625,-13.1875
1508969080069196,1.6875,-34.3125,-16.6875
1508969080083234,-0.875,-49,-28.125
1508969080106317,-7,-60.9375,-45
1508969080129450,-6.5,-73.125,-61.75
1508969080143487,-12.1875,-83.875,-67.6875
1508969080166548,-14.25,-104.188,-76.625
1508969080178620,-20.3125,-128.125,-86.5
1508969080193921,-31.0625,-132.188,-99.3125
1508969080216814,-19.5625,-129.25,-107
1508969080238890,-4.9375,-134.313,-115.125
1508969080256894,-18.625,-151.25,-124.375
1508969080283984,-19,-157.5,-135.75
1508969080307071,-9.375,-142.563,-128.313
1508969080315091,16.375,-136,-121.375
1508969080336192,24.5625,-138.75,-109.188
1508969080359219,19.5625,-124.125,-101.5
1508969080374342,41.3125,-103.375,-104.438
1508969080396507,64.625,-89.9375,-92.8125
1508969080419572,49.3125,-90.4375,-87.4375
1508969080434462,11.0625,-89,-94.625
1508969080456788,-10.625,-74.375,-93
1508969080478858,7.3125,-55.0625,-76.9375
1508969080493824,9.625,-42.1875,-63.0625
1508969080516893,-7.875,-34.25,-70.4375
1508969080538974,-19.75,-25.375,-76.25
1508969080555227,-8.1875,-23.6875,-75.125
1508969080576190,-2.9375,-40.4375,-72.6875
1508969080599257,-2.6875,-67.125,-77.75
1508969080615283,-6.625,-95,-94.3125
1508969080636504,-0.6875,-109.188,-108.5
1508969080658623,18.4375,-114.875,-113
1508969080675665,25.375,-116.938,-109
1508969080696899,20.1875,-110.563,-102.375
1508969080718972,24.25,-95.125,-81.625
1508969080735218,20.375,-56.5,-42.1875
1508969080756302,71.4375,-5.1875,7.875
1508969080779347,41.25,15.9375,39.125
1508969080795350,42.1875,-14.5625,33.25
1508969080816442,80.375,-15.3125,10.6875
1508969080839488,110.063,-5.75,30.125
1508969080855509,111.813,1.0625,30.0625
1508969080876803,67.875,7.0625,17.6875
1508969080899072,21.75,7.3125,11.875
1508969080916969,-1.25,5.9375,10.75
1508969080936161,-11.25,5.5,8.625
1508969080959220,-20.25,4.375,3.625
1508969080977263,-24.4375,5.375,-0.0625
1508969080996286,-31.1875,6.9375,-0.625
1508969081019348,-36.5625,6.875,-0.125
1508969081041436,-32.9375,5.1875,1.75
1508969081056476,-22.875,3.0625,1.1875
1508969081078506,-8.875,3.5625,2.5625
1508969081101566,2.1875,2.8125,4.8125
1508969081116606,5.1875,0.0625,6.1875
