timestamp,roll,pitch,yaw
1508968984629407,-0.238468,-1.0018,-0.504669
1508968984652440,-0.243688,-1.00197,-0.507449
1508968984667701,-0.252225,-1.00109,-0.512206
1508968984690763,-0.266328,-0.998396,-0.5177
1508968984711819,-0.292752,-0.989715,-0.524061
1508968984726859,-0.343224,-0.970801,-0.52486
1508968984750951,-0.405296,-0.948378,-0.528274
1508968984789095,-0.463989,-0.920666,-0.53833
1508968984796186,-0.520636,-0.887322,-0.547165
1508968984811149,-0.566191,-0.852724,-0.547275
1508968984833227,-0.5959,-0.813174,-0.536373
1508968984847594,-0.597928,-0.769923,-0.527279
1508968984870537,-0.60324,-0.719671,-0.529416
1508968984908604,-0.639448,-0.675486,-0.515533
1508968984915621,-0.686704,-0.636439,-0.480115
1508968984930712,-0.694082,-0.577057,-0.449557
1508968984952764,-0.674875,-0.528567,-0.421759
1508968984966998,-0.647545,-0.474528,-0.388581
1508968984989180,-0.622947,-0.41586,-0.366251
1508968985021263,-0.627626,-0.35349,-0.342696
1508968985034178,-0.657157,-0.285137,-0.312912
1508968985049331,-0.683516,-0.211619,-0.281557
1508968985072518,-0.693984,-0.134208,-0.251396
1508968985094446,-0.687391,-0.0566845,-0.223496
1508968985109466,-0.666572,0.0234189,-0.202449
1508968985132565,-0.645432,0.102401,-0.184538
1508968985154733,-0.628263,0.176171,-0.162646
1508968985169980,-0.614619,0.252105,-0.145677
1508968985192023,-0.607032,0.329025,-0.135113
1508968985215174,-0.596887,0.398428,-0.120555
1508968985229354,-0.581573,0.461559,-0.109345
1508968985252285,-0.566079,0.518076,-0.103361
1508968985274452,-0.546803,0.566894,-0.0941712
1508968985289507,-0.536025,0.601934,-0.084216
1508968985312582,-0.530856,0.629988,-0.0754225
1508968985334789,-0.525957,0.651578,-0.069065
1508968985349812,-0.52211,0.664436,-0.0676002
1508968985372013,-0.520838,0.666244,-0.06711
1508968985395087,-0.529177,0.656423,-0.0696831
1508968985409088,-0.541832,0.636987,-0.0734142
1508968985432293,-0.554831,0.613444,-0.078426
1508968985454554,-0.567264,0.587579,-0.0838102
1508968985469595,-0.579606,0.561934,-0.086476
1508968985492510,-0.589865,0.54093,-0.08876
1508968985514605,-0.597907,0.528024,-0.0898713
1508968985529645,-0.600227,0.523751,-0.0902179
1508968985551691,-0.599187,0.524741,-0.0898538
1508968985574762,-0.597037,0.527879,-0.0888081
1508968985589838,-0.592373,0.536298,-0.0876329
1508968985612093,-0.587126,0.547424,-0.0847364
1508968985634212,-0.579702,0.55791,-0.0801061
1508968985649250,-0.5715,0.56725,-0.0753653
1508968985672313,-0.561757,0.575174,-0.0705627
1508968985694520,-0.553348,0.581927,-0.0647089
1508968985709421,-0.544724,0.584217,-0.0555828
1508968985733476,-0.538782,0.582516,-0.0493178
1508968985754977,-0.536875,0.577932,-0.0497965
1508968985770008,-0.536815,0.571338,-0.0550502
1508968985793058,-0.539415,0.559881,-0.0608566
1508968985815119,-0.537742,0.541136,-0.0616071
1508968985830130,-0.539437,0.512411,-0.0625683
1508968985853192,-0.559272,0.489334,-0.0747311
1508968985875358,-0.557507,0.426675,-0.0806693
1508968985898278,-0.562096,0.374178,-0.0886706
1508968985912506,-0.562757,0.317845,-0.0911734
1508968985935388,-0.566005,0.257522,-0.0889826
1508968985949586,-0.578067,0.193782,-0.0865697
1508968985972544,-0.589405,0.12005,-0.0835081
1508968985995668,-0.601052,0.0465154,-0.0847384
1508968986009883,-0.610864,-0.024497,-0.0878031
1508968986031854,-0.618063,-0.0925644,-0.0933797
1508968986055142,-0.622902,-0.160361,-0.100571
1508968986069358,-0.62518,-0.228802,-0.1103
1508968986092446,-0.618074,-0.291402,-0.130003
1508968986115492,-0.593628,-0.352711,-0.153897
1508968986137550,-0.568336,-0.4082,-0.173903
1508968986152637,-0.560177,-0.459562,-0.192864
1508968986174820,-0.551061,-0.507575,-0.218688
1508968986199815,-0.528683,-0.538522,-0.246863
1508968986200764,-0.528683,-0.538522,-0.246863
1508968986201767,-0.610864,-0.024497,-0.0878031
1508968986208792,-0.618063,-0.0925644,-0.0933797
1508968986213799,-0.518076,-0.561882,-0.269738
1508968986235032,-0.522804,-0.586611,-0.288422
1508968986258309,-0.520854,-0.620846,-0.314566
1508968986272492,-0.522159,-0.635259,-0.342351
1508968986294424,-0.508338,-0.655344,-0.37757
1508968986317467,-0.507095,-0.660055,-0.402044
1508968986332541,-0.490737,-0.697215,-0.427065
1508968986354959,-0.472442,-0.73832,-0.447037
1508968986377997,-0.446959,-0.788185,-0.468007
1508968986392140,-0.421064,-0.833946,-0.488184
1508968986414412,-0.393292,-0.884117,-0.514395
1508968986437570,-0.366975,-0.925272,-0.547376
1508968986452646,-0.337436,-0.969574,-0.580541
1508968986475118,-0.327224,-0.997777,-0.593414
1508968986498202,-0.313678,-0.993677,-0.582304
1508968986512346,-0.295346,-0.983771,-0.558364
