timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1508969118877217,-2,-2,-6,-15,7,1,1,-2
1508969118877217,2,-4,-13,11,34,5,2,1
1508969118877217,1,5,18,7,-4,-11,-1,0
1508969118877217,-3,-7,-21,-10,-8,13,6,-1
1508969118878140,4,-1,2,-18,-8,-12,-7,-2
1508969118878140,5,6,14,0,31,4,0,2
1508969118880216,12,2,16,49,-31,11,10,6
1508969118880216,-7,6,7,14,38,-8,2,4
1508969118887164,1,-9,9,-7,-23,-2,3,3
1508969118887164,-4,-8,-68,-49,-9,-7,-2,-1
1508969118894325,-1,-6,-14,-5,-20,-8,-6,-3
1508969118894325,22,12,46,11,-8,-2,3,6
1508969118905212,-6,8,-17,24,5,7,5,5
1508969118905212,-15,-30,-60,-68,-20,-21,-10,-11
1508969118918250,-9,-9,31,-4,1,5,-3,-4
1508969118918250,-6,2,-25,34,-6,4,-1,-6
1508969118924321,-2,-5,12,-16,29,4,-4,-5
1508969118924321,59,37,51,27,-12,2,1,8
1508969118939439,-64,-17,-95,-46,-17,-8,-1,-2
1508969118939439,5,-25,27,-22,7,-5,-5,-6
1508969118948668,0,-7,-27,-3,-12,-1,0,3
1508969118948668,14,5,22,20,2,0,4,1
1508969118987625,-12,-1,0,25,23,19,1,-1
1508969118987625,12,19,60,-29,5,2,1,4
1508969118987625,-13,-7,-27,40,-21,-9,-5,-3
1508969118987625,-1,-12,-20,-82,13,4,-1,-1
1508969118988631,-5,-9,24,19,12,-1,-1,-2
1508969118988631,-7,-18,-74,-25,-26,-17,-35,-11
1508969118991639,2,17,-8,34,17,17,18,1
1508969118991639,-10,-27,-26,-36,-22,-5,3,-6
1508969118999810,4,17,-45,16,-14,-4,-10,0
1508969118999810,-19,3,81,5,5,5,-9,-4
1508969119006750,-20,-24,-36,-18,13,-15,-30,-9
1508969119006750,1,8,-14,26,15,-17,-101,-21
1508969119013836,10,1,19,-2,-5,19,40,4
1508969119013836,29,24,-14,34,-18,31,88,25
1508969119028871,-17,-22,23,-54,3,-21,-25,-5
1508969119028871,-31,-7,40,17,8,1,-39,-10
1508969119037130,-14,-18,-49,-14,-14,-25,-12,-13
1508969119037130,17,14,-16,21,7,-29,-41,-9
1508969119060267,26,22,73,20,10,72,124,35
1508969119060267,-5,-11,-39,-35,-25,-9,37,1
1508969119061303,2,-1,-22,-30,-11,-50,-118,-31
1508969119061303,6,3,-16,34,41,73,72,47
1508969119082465,3,9,14,-7,-9,-73,-100,-14
1508969119082465,9,3,28,30,8,90,107,27
1508969119083328,0,8,30,7,5,41,70,27
1508969119083328,-6,-5,0,-12,-11,-87,-94,-42
1508969119097507,-10,-6,-11,-16,4,59,70,23
1508969119097507,4,16,37,40,2,0,1,8
1508969119098372,5,0,-1,-13,-3,-11,-28,2
1508969119098372,-15,-13,-4,-13,-6,-16,-34,-9
1508969119120579,7,5,0,-3,-26,-38,-117,-19
1508969119120579,5,2,-16,6,1,-4,17,12
1508969119120579,-3,3,26,20,14,45,66,7
1508969119120579,-12,-15,-25,-17,-10,-18,-29,-8
1508969119134464,4,5,-1,4,10,-48,-128,-32
1508969119134464,12,10,-9,13,1,68,105,29
1508969119135501,-3,-4,5,-20,-8,-32,-113,-5
1508969119135501,-20,-20,-18,-20,-5,23,64,-13
1508969119156648,12,1,-3,2,-10,-7,21,22
1508969119156648,-5,6,11,3,-11,-35,-60,-23
1508969119157529,3,2,8,4,10,-15,-44,2
1508969119157529,-3,-2,-6,7,8,-10,-27,-13
1508969119179935,-3,4,-9,-1,-9,35,84,6
1508969119179935,-4,-8,7,-11,-5,-23,-26,-6
1508969119180791,7,18,4,2,-5,-3,-9,-2
1508969119180791,3,3,4,-1,-1,14,5,6
1508969119194891,-13,-33,-23,-26,5,-4,2,-9
1508969119194891,0,-9,-9,2,-2,-28,-64,-10
1508969119194891,-5,1,-7,3,6,0,19,-7
1508969119194891,2,8,9,23,9,8,2,7
1508969119216888,5,18,18,22,-12,9,7,1
1508969119216888,6,-1,-8,-3,14,-23,-28,1
1508969119217894,-15,-23,-22,-28,-9,3,21,-13
1508969119217894,4,2,-1,0,8,-6,-29,-1
1508969119240316,0,8,-7,-2,-1,-4,-45,-6
1508969119240316,4,1,3,14,4,24,81,26
1508969119241178,4,-2,-1,-3,0,-8,-15,-2
1508969119241178,-16,-19,3,-10,-12,-6,-44,-13
1508969119254245,12,25,-10,-1,4,0,10,9
1508969119254245,-5,17,-4,-12,-12,-35,-59,-15
1508969119255215,-1,-23,-3,-15,-18,-7,28,8
1508969119255215,20,29,33,21,14,37,20,21
1508969119285460,-1,25,2,-3,10,-23,-41,-8
1508969119285460,-23,-56,-33,-9,-13,2,-12,-19
1508969119285460,3,18,5,5,3,-3,4,11
1508969119285460,3,-6,-4,0,10,21,12,-7
1508969119300457,1,-10,16,12,-13,5,31,-5
1508969119300457,9,-1,3,2,30,10,-31,6
1508969119300457,25,11,4,-9,-12,-30,50,11
1508969119300457,-25,-13,0,5,9,45,-4,22
1508969119314465,-33,-47,-12,-8,-23,-62,-29,-48
1508969119314465,-5,6,1,8,-5,65,30,-13
1508969119315468,6,-11,1,6,9,-9,-2,1
1508969119315468,5,27,5,-3,-3,-4,62,23
1508969119336678,6,10,-5,-8,-9,-8,-80,3
1508969119336678,12,23,22,10,-26,-67,-67,-4
1508969119337528,-5,40,4,1,12,24,-4,-7
1508969119337528,-8,-84,-33,-19,-29,-28,-17,-1
1508969119360624,14,14,2,11,23,47,37,21
1508969119360624,-28,29,6,-7,-23,-33,-20,-26
1508969119360624,-7,-15,-14,5,20,25,2,0
1508969119360624,5,7,17,-6,-4,-29,-10,-6
1508969119374755,14,-15,-18,-4,12,14,52,14
1508969119374755,8,12,13,14,-44,-5,15,6
1508969119375632,-17,-36,-38,-15,62,0,-8,-1
1508969119375632,-8,10,-2,-11,13,4,-81,-47
1508969119397039,20,-6,1,-6,-16,7,53,27
1508969119397039,4,28,20,12,-4,12,25,18
1508969119397890,-15,6,10,2,-41,-21,-39,-24
1508969119397890,2,-14,0,10,1,0,60,28
1508969119420116,-4,28,-10,-15,-8,-34,-30,-28
1508969119420116,8,-21,-5,0,13,-19,-84,-10
1508969119420951,36,39,20,-3,-24,0,46,7
1508969119420951,14,28,-14,-13,6,0,-15,-4
1508969119433986,-26,5,17,2,-17,-17,-15,-10
1508969119433986,-2,-8,4,-3,20,-4,13,7
1508969119434992,-6,-3,8,-1,-13,-11,-50,-13
1508969119434992,11,2,2,5,-19,-2,-3,8
1508969119457182,3,-13,-11,-3,20,21,25,12
1508969119457182,0,-1,5,43,31,8,2,-7
1508969119458084,-3,-17,-3,-33,-14,16,15,15
1508969119458084,-1,3,-4,-7,14,-4,18,-3
1508969119487404,-11,-25,-15,2,-6,12,-4,-12
1508969119487404,-6,-2,3,-16,0,1,14,-8
1508969119488294,4,5,0,18,-12,7,-4,7
1508969119488294,-17,-11,-22,5,23,8,30,5
1508969119494318,13,5,6,-3,4,-2,-5,-10
1508969119494318,6,-6,-11,-13,-7,-10,-8,-1
1508969119509484,-18,-12,-2,3,-15,3,40,10
1508969119509484,3,24,1,-12,-15,-14,-31,-15
1508969119517341,0,-12,-9,12,19,27,27,12
1508969119517341,4,-9,-19,-19,-1,-6,17,4
1508969119517341,-9,-10,11,10,1,12,-18,-11
1508969119517341,-3,8,14,6,18,2,5,0
1508969119540625,-1,-3,-7,2,-17,-7,-1,0
1508969119540625,3,21,8,-14,-3,4,-4,-1
1508969119540625,-2,-1,-5,-10,7,-2,-16,-8
1508969119540625,2,-3,-2,-15,-18,1,4,-2
1508969119553780,-4,-6,3,22,21,1,-6,3
1508969119553780,2,-7,-6,-18,2,-1,7,5
1508969119561815,0,-2,5,26,-4,-11,-32,0
1508969119561815,-1,-1,0,8,4,15,13,-3
1508969119584718,-2,-2,1,-11,-11,-4,-18,1
1508969119584718,-1,-2,-4,5,5,19,56,20
1508969119585717,5,-8,-7,-15,1,-8,-1,2
1508969119585717,10,7,-11,11,-6,2,-6,6
1508969119599910,-15,-12,-1,-6,-1,9,-6,-12
1508969119599910,2,-2,1,-1,2,-9,-13,9
1508969119600758,3,-4,-8,-7,-4,-5,-7,-3
1508969119600758,-7,13,-17,-11,-20,-12,-2,-4
1508969119613936,1,-8,2,2,20,13,25,9
1508969119613936,-3,-9,-8,6,-4,-7,-28,-10
1508969119621971,0,-20,1,-22,-6,7,33,2
1508969119621971,-8,-11,-2,17,-1,-10,-20,-5
1508969119636995,2,7,3,-2,-2,-2,4,-3
1508969119636995,-4,-11,-10,-6,-3,-6,-13,-9
1508969119637882,4,17,8,16,7,3,-5,2
1508969119637882,3,-5,5,-9,-13,-1,0,-2
1508969119660063,0,14,4,7,15,0,-24,-9
1508969119660063,3,3,-8,-2,20,9,13,4
1508969119660920,5,27,10,4,-12,-4,5,3
1508969119660920,-17,-22,8,5,5,7,-5,-8
1508969119674093,-2,-6,-6,-4,-6,-5,3,3
1508969119674093,-3,-8,3,3,0,2,-6,-6
1508969119682118,-1,-2,0,4,4,0,-1,-4
1508969119682118,1,-17,-4,-4,-2,-14,-9,4
1508969119697046,0,-8,-9,-9,1,4,9,7
1508969119697046,3,-2,0,12,5,2,7,12
1508969119698042,-2,-13,2,0,-4,2,7,-1
1508969119698042,1,1,8,9,-12,-12,-15,-7
1508969119720245,-7,1,-1,-16,-3,3,11,5
1508969119720245,3,5,-2,-4,4,-2,0,-5
1508969119721110,-8,-16,-1,-1,-2,2,-5,-4
1508969119721110,8,7,1,12,6,-7,-15,7
1508969119734112,0,8,6,2,-6,13,23,-2
1508969119734112,2,9,15,2,-9,-2,13,3
1508969119742191,-9,-29,-22,-6,10,-3,-17,-2
1508969119742191,-4,-2,-3,-7,-3,-3,-13,-18
1508969119757172,-3,6,2,-4,-11,-1,0,1
1508969119757172,-1,-9,-8,-6,2,-2,-7,-2
1508969119758175,5,16,10,5,-3,0,8,2
1508969119758175,4,3,4,3,-11,-1,16,10
1508969119780234,1,-12,-8,-10,21,-1,-23,-7
1508969119780234,-6,-10,-7,0,0,-2,-7,-2
1508969119781237,4,29,2,5,5,-5,2,1
1508969119781237,-2,5,5,-4,-4,-1,0,1
1508969119794302,0,3,13,4,-3,1,1,1
1508969119794302,-1,-3,4,17,-15,-11,2,-4
1508969119802321,-2,14,-8,-9,19,15,7,3
1508969119802321,-9,-32,-9,-5,3,-4,-1,-4
1508969119817334,7,20,6,-4,-11,-8,-3,1
1508969119817334,-5,-5,-6,-6,-2,1,-3,-7
1508969119817334,-1,-15,0,0,-16,-12,-7,-1
1508969119817334,0,4,1,2,8,7,7,0
1508969119840543,-1,-6,-7,-7,-4,0,-5,-2
1508969119840543,-3,6,4,-1,-9,-2,-1,-5
1508969119840543,0,-10,-8,-3,8,-2,-5,-1
1508969119840543,5,11,9,6,-1,9,-2,1
1508969119862607,-4,-9,-3,14,2,-1,6,3
1508969119862607,4,15,-8,-12,3,1,0,-1
1508969119863482,-5,-13,0,-4,-6,-7,-7,-6
1508969119863482,2,7,3,-2,-12,-6,7,2
1508969119876639,-2,-9,-3,-1,0,-6,-21,-3
1508969119876639,1,10,7,7,1,1,-2,-8
1508969119877523,2,2,-2,-7,-3,0,-1,0
1508969119877523,-5,-1,-5,-8,-6,-4,-8,-5
1508969119900555,3,5,12,25,3,0,13,7
1508969119900555,-4,-7,-10,-22,0,1,-1,-1
1508969119900555,-4,2,6,9,-3,0,-4,-4
1508969119900555,5,12,2,-13,1,-1,3,4
1508969119922762,7,-7,8,23,-14,-6,0,-1
1508969119922762,-13,13,-7,-22,24,6,1,-1
1508969119924645,0,0,-4,-1,-7,-2,-1,-2
1508969119924645,-1,2,-1,4,12,7,-1,-1
1508969119936796,-6,0,-4,-14,-9,-4,-2,-3
1508969119936796,5,-16,5,13,-21,-5,-2,-1
1508969119937660,0,12,6,9,26,13,21,6
1508969119937660,-8,-20,-10,-11,-1,-12,-2,-3
1508969119968735,2,6,-6,-14,-2,-5,3,-2
1508969119968735,-1,-9,2,10,3,30,-4,0
1508969119971747,-1,2,3,1,-2,-40,1,-1
1508969119971747,-3,-9,-6,-2,-10,73,-18,-6
1508969119974773,-4,-3,-5,-5,5,-7,3,-3
1508969119974773,-2,4,12,1,3,-12,7,1
1508969119983777,0,-8,-4,-4,-9,3,-5,2
1508969119983777,-1,6,3,4,-5,-27,-5,-2
1508969119996812,3,15,-6,-11,9,3,-1,0
1508969119996812,-3,-6,3,6,-3,9,-4,-2
1508969119997811,-3,-5,-18,-29,-8,-10,-12,-5
1508969119997811,1,-5,-10,-8,-16,-22,1,3
