timestamp,x,y,z
1508969207235399,26.625,7.5625,5.125
1508969207252134,31.6875,10.125,8.0625
1508969207273346,30.8125,13.875,15.8125
1508969207298413,22.3125,19.4375,30.6875
1508969207312494,-5.25,35.9375,42.1875
1508969207333506,-59.8125,55.6875,46.9375
1508969207356613,-122.438,79.3125,52.875
1508969207386759,-136.813,96,66.875
1508969207395782,-112,100.688,78.375
1508969207409823,-84.1875,106,101.688
1508969207431879,-61.5,131.625,132
1508969207453008,-53.9375,139.5,150.125
1508969207469978,-46.375,144.875,139.625
1508969207523121,-5.3125,115.875,160.938
1508969207524122,11.8125,95.6875,181.875
1508969207531287,-6.125,86.875,165.063
1508969207551333,23.875,117.813,164.063
1508969207573420,34.3125,120.313,175.438
1508969207597476,30.1875,118.813,179.063
1508969207618555,41.9375,126.25,166
1508969207635558,50.9375,131.625,158.813
1508969207660666,74.0625,143.125,146.688
1508969207673723,72.1875,157.313,142.5
1508969207693748,57.0625,159.125,128.938
1508969207709753,34.5,137,110.188
1508969207730975,29.875,121.375,115.625
1508969207754108,50.875,125.063,109.563
1508969207769220,50.375,108.5,73
1508969207790420,33.5,85.625,66.9375
1508969207813605,47.375,67.125,84.5625
1508969207837518,56.3125,60.625,81.9375
1508969207850553,41.5,50.3125,58.0625
1508969207873831,43.9375,26,44.75
1508969207889732,40.9375,5.125,45.3125
1508969207911983,38.5625,-21.5,33.875
1508969207935131,37.375,-42,12.6875
1508969207949282,32.9375,-65.125,-1.8125
1508969207971228,11.0625,-65.875,-6.75
1508969207993616,11.75,-61.1875,3.375
1508969208009524,12.1875,-47.6875,-1.1875
1508969208031617,5.625,-29.625,-13.5625
1508969208054003,-2.4375,-14,-10.0625
1508969208070018,-11.625,-2.9375,-6.6875
1508969208091075,-12.4375,11.6875,-7.8125
1508969208114166,-7.25,17.375,-7.25
1508969208138199,-4.0625,15.9375,-8.0625
1508969208150231,-4.625,14.3125,-5.875
1508969208173342,-3.4375,14.6875,-0.375
1508969208196353,0.5625,15.875,1.0625
1508969208212424,5.75,14,1.75
1508969208234455,4.75,8.875,1
1508969208249496,3.875,5.4375,1.25
1508969208270635,10.375,4.4375,2.6875
1508969208293669,7.1875,1.625,-0.375
1508969208309677,-2.1875,-2.8125,-3.375
1508969208331715,-2.875,-4.5,-4.375
1508969208353801,-2.75,-1.375,-4.0625
1508969208369830,-0.625,0.3125,-6.9375
1508969208392187,-7.6875,1.8125,-11.875
1508969208414132,-14.6875,4.8125,-18.6875
1508969208444159,-21,6.4375,-25.4375
1508969208467373,-25.3125,5.125,-30.1875
1508969208473691,-32.3125,-6.3125,-41.125
1508969208496776,-44.0625,-17.75,-55.125
1508969208511681,-58.5625,-16.75,-61.125
1508969208542851,-60.3125,-21.5625,-75.5625
1508969208564927,-62.0625,-39.1875,-93.9375
1508969208587974,-62.875,-66.8125,-113.313
1508969208603126,-69.625,-71.625,-125.313
1508969208625193,-61.9375,-88,-131.438
1508969208639260,-52.875,-120.438,-129.375
1508969208662381,-52.625,-153.25,-121.625
1508969208685349,-54.8125,-172.875,-124.25
1508969208699546,-60.6875,-194.688,-131.188
1508969208723612,-75.875,-203.125,-143.063
1508969208745670,-43.5625,-223.438,-148.625
1508969208759711,27.375,-222.875,-159.688
1508969208782768,113.688,-189.938,-158.375
1508969208804850,123.5,-173.438,-137.75
1508969208819891,83.3125,-167.75,-124
1508969208842945,12,-151,-126.125
1508969208864986,-50.4375,-137.5,-113.125
1508969208886170,-25.625,-133.063,-105.5
1508969208903122,24.9375,-37.6875,-123.188
1508969208925174,96.4375,33.625,-101.938
1508969208946351,139.188,2.375,-70.75
1508969208962395,95.4375,-32.3125,-75.5625
1508969208985307,27.5625,-100.813,-90.75
1508969209006362,63.1875,-101.188,-113.75
1508969209022404,72.625,-111.125,-93.8125
1508969209045465,65.625,-114.875,-76.75
1508969209066544,66.1875,-110.5,-79.25
1508969209082564,69.3125,-94.1875,-64.6875
1508969209105703,78.8125,-70.75,-46.875
1508969209126169,77.9375,-28.4375,-36.6875
1508969209142401,25.4375,3.75,-18.3125
