timestamp,x,y,z
1508969293462130,0.853027,-0.217285,0.563965
1508969293486308,0.939453,-0.205566,0.554199
1508969293501346,1.03271,-0.19043,0.536133
1508969293522916,1.1001,-0.220215,0.399414
1508969293546107,1.06885,-0.378906,0.458008
1508969293561142,1.05664,-0.5,0.562988
1508969293583200,1.06738,-0.52832,0.580566
1508969293638499,0.980957,-0.42627,0.682617
1508969293640610,0.791992,-0.371094,0.817383
1508969293641508,0.670898,-0.368164,0.866211
1508969293658579,0.489746,-0.415039,0.957031
1508969293681743,0.269531,-0.460938,1.08154
1508969293696884,0.0820313,-0.481445,1.09717
1508969293739911,-0.121582,-0.504883,1.04834
1508969293749941,-0.280273,-0.41748,0.941895
1508969293755959,-0.20752,-0.486816,0.936523
1508969293778015,-0.193848,-0.560059,0.939941
1508969293801036,-0.344727,-0.560547,0.884277
1508969293823195,-0.418457,-0.51416,0.92334
1508969293839235,-0.378418,-0.433105,0.884766
1508969293862296,-0.328125,-0.496094,0.894043
1508969293883455,-0.233398,-0.478516,0.837402
1508969293899395,-0.327148,-0.472656,0.827637
1508969293921715,-0.288574,-0.512695,0.84082
1508969293943668,-0.225098,-0.516113,0.824707
1508969293959708,-0.26416,-0.466797,0.773926
1508969293981942,-0.314453,-0.40918,0.704102
1508969294003139,-0.341797,-0.351563,0.626465
1508969294019067,-0.359375,-0.328125,0.654297
1508969294042104,-0.324219,-0.278809,0.600098
1508969294063301,-0.404297,-0.189453,0.560547
1508969294079203,-0.454102,-0.239746,0.611816
1508969294102264,-0.442871,-0.245117,0.623535
1508969294124348,-0.506348,-0.209961,0.634277
1508969294139360,-0.541992,-0.211914,0.651855
1508969294162434,-0.599609,-0.205078,0.697266
1508969294184484,-0.683594,-0.213867,0.740234
1508969294198622,-0.681152,-0.209961,0.765137
1508969294221612,-0.677246,-0.227539,0.783203
1508969294244677,-0.707031,-0.26123,0.788574
1508969294258677,-0.739258,-0.271484,0.813965
1508969294281849,-0.721191,-0.282715,0.819336
1508969294304876,-0.726074,-0.259277,0.833496
1508969294318912,-0.695801,-0.266113,0.812988
1508969294342008,-0.704102,-0.29248,0.806641
1508969294365035,-0.691406,-0.300781,0.796875
1508969294386091,-0.658203,-0.260742,0.769531
1508969294408174,-0.643555,-0.240234,0.737305
1508969294424243,-0.609375,-0.284668,0.739746
1508969294439259,-0.577637,-0.312012,0.731934
1508969294462291,-0.54248,-0.335449,0.712402
1508969294484350,-0.496582,-0.310059,0.694336
1508969294513455,-0.435059,-0.332031,0.689453
1508969294522452,-0.394531,-0.376953,0.6875
1508969294544511,-0.33252,-0.373535,0.681152
1508969294565566,-0.321289,-0.419434,0.655762
1508969294581609,-0.371582,-0.385254,0.687012
1508969294604670,-0.266113,-0.440918,0.674316
1508969294625727,-0.184082,-0.46582,0.676758
1508969294641774,-0.237793,-0.437988,0.725586
1508969294664830,-0.330566,-0.509277,0.737793
1508969294685898,-0.409668,-0.652344,0.76416
1508969294701930,-0.265625,-0.719727,0.746094
1508969294723988,-0.249023,-0.662598,0.856445
1508969294747051,-0.362793,-0.770996,0.881836
1508969294769135,-0.198242,-0.733887,0.92627
1508969294784151,-0.0268555,-0.717285,0.929199
1508969294807329,-0.0996094,-0.634766,0.927246
1508969294829469,-0.312012,-0.568359,0.881836
1508969294843582,-0.0727539,-0.661133,0.833984
1508969294866745,0.385742,-0.684082,0.831543
1508969294889946,0.491211,-0.646484,0.908691
1508969294911124,0.288086,-0.602051,0.921875
1508969294927135,0.23291,-0.413574,0.903809
1508969294949237,0.729004,-0.391113,1.00537
1508969294970407,0.924316,-0.265625,0.892578
1508969294987299,0.463379,-0.10791,0.769531
1508969295009389,0.375488,-0.349121,0.751953
1508969295030554,0.641113,-0.645996,0.623047
1508969295047458,0.993652,-0.708008,0.569336
1508969295069516,1.03174,-0.510742,0.495605
1508969295090594,0.936523,-0.139648,0.348145
1508969295106745,1.06592,0.0698242,0.25
1508969295129855,1.11914,0.0839844,0.189941
1508969295150946,1.1167,0.0898438,0.286621
1508969295166953,1.104,0.111328,0.361816
