timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1508969346009792,-7,-6,6,9,58,3,-4,-4
1508969346009792,-3,0,0,-12,-65,-7,-2,-2
1508969346010795,5,3,7,8,33,-8,-1,2
1508969346010795,0,11,10,-7,-63,-5,-4,-6
1508969346011801,-2,-15,-37,-40,35,0,2,2
1508969346011801,5,-6,-4,-1,-4,1,-3,4
1508969346014808,-8,-2,8,19,-13,14,5,-3
1508969346014808,8,25,12,16,89,8,-2,1
1508969346021849,3,4,7,0,-78,-13,-2,-1
1508969346021849,-9,-17,-6,-1,13,1,-5,-8
1508969346033882,5,-1,-6,-29,18,-10,2,6
1508969346033882,-4,-4,4,27,-14,22,3,-5
1508969346036893,0,-2,7,19,33,11,7,9
1508969346036893,7,3,-1,-2,-6,-7,1,2
1508969346053909,-3,3,-4,-12,-12,-8,2,0
1508969346053909,-8,-16,-10,-17,-12,-15,-16,-6
1508969346060930,1,5,-1,-4,-22,8,7,-1
1508969346060930,3,8,1,-6,88,7,6,3
1508969346083048,-10,-2,3,25,-81,-14,-8,-4
1508969346083048,3,-7,-5,-13,-9,-11,7,8
1508969346084014,-5,1,-1,-1,-7,-1,-15,-16
1508969346084014,5,-3,3,14,49,9,-2,-2
1508969346097195,12,6,-6,-4,45,14,3,0
1508969346097195,-25,-19,-10,-17,-20,-10,-2,-4
1508969346139235,2,8,-7,-15,10,-4,-1,-1
1508969346139235,3,1,2,-9,25,4,0,1
1508969346139235,6,19,2,17,-8,-6,0,0
1508969346139235,-1,-27,0,-2,5,6,4,2
1508969346143247,5,-6,-6,-8,-20,-5,2,0
1508969346143247,13,15,5,20,40,5,2,2
1508969346143247,-19,-22,-7,-15,-52,4,0,-4
1508969346143247,2,3,-3,0,39,-10,-20,-10
1508969346151270,7,21,4,1,-46,-1,14,8
1508969346151270,-7,-20,-1,-11,-13,-10,1,-2
1508969346157301,-8,-5,-13,-9,41,12,-6,-7
1508969346157301,5,1,-1,11,-7,-5,6,8
1508969346173537,-10,-20,-24,-29,23,12,-11,-9
1508969346173537,11,17,5,15,15,-5,3,3
1508969346179679,-4,10,16,21,-49,-5,-1,-3
1508969346179679,5,6,8,1,1,-1,3,3
1508969346188784,2,18,12,2,-17,-19,-17,-8
1508969346188784,-7,-22,-16,-29,-3,11,4,0
1508969346211091,-1,-20,-18,-17,32,-10,-12,-2
1508969346211091,2,5,12,26,-16,19,14,1
1508969346212062,-7,-2,-2,-2,14,-9,-3,-2
1508969346212062,-5,10,6,2,-16,-7,-5,-5
1508969346225098,3,3,11,25,-3,-2,1,1
1508969346225098,-4,7,-1,2,19,8,0,-3
1508969346233224,-2,-4,5,9,-1,1,7,5
1508969346233224,-3,-6,-6,-14,2,9,-10,-7
1508969346248309,1,-6,-11,-23,-24,-18,-4,0
1508969346248309,0,8,-7,-24,-11,-6,-10,-1
1508969346250171,-5,10,20,34,20,13,6,-4
1508969346250171,-8,-1,-28,-29,-11,-14,-7,-4
1508969346278386,7,4,19,9,5,11,12,4
1508969346278386,2,6,9,11,2,-8,-2,-4
1508969346280278,-4,2,6,34,-2,4,-1,0
1508969346280278,-2,-12,-32,-55,1,-6,-2,1
1508969346284259,2,0,-16,-36,-3,-6,-4,-2
1508969346284259,-7,7,0,5,-14,-4,-2,-3
1508969346301302,-1,-8,5,24,25,7,2,-1
1508969346301302,0,-8,12,27,-29,-11,-1,-2
1508969346308323,3,10,4,-1,16,14,6,4
1508969346308323,-10,-18,-18,-37,-32,-12,-13,-11
1508969346310324,-3,-10,4,22,16,1,-5,-4
1508969346310324,3,9,10,3,-9,-2,-1,2
1508969346330376,7,0,-4,-4,12,4,12,3
1508969346330376,4,40,14,22,8,9,11,5
1508969346332382,6,-16,-6,-37,-10,-4,0,4
1508969346332382,-23,-12,-5,17,-8,1,2,-8
1508969346353597,4,12,3,10,10,2,-3,-2
1508969346353597,-8,-5,2,-6,0,-4,-7,0
1508969346354448,9,6,2,-21,-13,-10,0,1
1508969346354448,4,-18,-3,10,1,3,-1,2
1508969346368482,-6,-1,-7,-12,-1,-6,-3,-6
1508969346368482,1,-1,12,13,25,17,22,8
1508969346369515,3,4,-9,-3,-3,12,-3,10
1508969346369515,-1,-5,-1,16,-18,-8,-6,-4
1508969346390564,-5,6,10,20,14,4,-1,-2
1508969346390564,8,50,30,10,14,-15,-18,-5
1508969346392547,-22,-40,-75,-55,-15,-12,31,-9
1508969346392547,14,7,3,-5,-1,17,-16,18
1508969346404716,4,0,10,4,3,5,15,11
1508969346404716,9,30,0,-11,-11,0,-9,1
1508969346413634,-1,12,38,39,11,11,9,4
1508969346413634,3,-1,0,4,-11,-25,-12,-2
1508969346427783,0,1,1,-7,27,6,-22,-8
1508969346427783,-1,-34,-9,-2,-13,0,31,9
1508969346434872,1,0,-9,-12,-11,-10,-17,-1
1508969346434872,-1,7,-2,-4,-19,5,19,0
1508969346450881,-1,-15,-10,-1,21,-1,-13,1
1508969346450881,-14,-31,-17,-5,0,-8,-15,-17
1508969346452886,-2,-2,18,11,-2,7,-7,3
1508969346452886,-1,9,-8,-14,-2,-1,-2,-11
1508969346465045,2,11,2,-1,-16,13,22,3
1508969346465045,-7,-25,-21,-9,-9,-23,-10,-4
1508969346473941,-2,10,11,0,-7,-10,-12,-2
1508969346473941,-1,-6,11,15,21,-6,6,3
1508969346487125,-1,-8,-5,5,15,-2,-15,-3
1508969346487125,-1,-11,-9,-8,-5,14,14,3
1508969346503168,3,-16,1,-3,-2,8,-4,-1
1508969346503168,4,44,16,12,-6,5,-1,-2
1508969346511189,-4,-14,-15,-13,0,-15,-3,-4
1508969346511189,-9,9,-8,-9,-11,-25,-10,-2
1508969346512076,3,-11,-8,5,3,4,18,3
1508969346512076,-3,-2,3,-4,1,6,-7,-6
1508969346525112,1,3,-12,-21,-23,-12,4,5
1508969346525112,1,-14,4,9,3,6,4,0
1508969346533231,-1,14,14,24,-31,-21,-15,-5
1508969346533231,-5,-18,-20,-16,57,1,-1,0
1508969346548205,2,0,12,12,-6,-16,-2,2
1508969346548205,-1,-8,1,2,-19,6,-8,-1
1508969346554301,-1,1,-6,-5,-9,9,-7,-5
1508969346554301,-2,-17,10,9,10,9,18,3
1508969346571349,-3,-1,2,0,-4,10,-14,-7
1508969346571349,1,-3,-16,-17,-5,5,4,5
1508969346572236,4,0,9,2,13,8,8,4
1508969346572236,0,27,20,17,-11,-9,-9,-5
1508969346593407,-12,-26,-37,-24,-10,0,3,-3
1508969346593407,0,-3,-11,-13,1,1,1,1
1508969346595294,-1,-10,2,-4,9,2,1,-2
1508969346595294,4,0,0,3,6,2,1,3
1508969346608335,-1,1,18,16,-12,-2,7,-3
1508969346608335,4,27,9,6,4,7,-9,-3
1508969346614461,-7,-49,-29,-25,5,-15,-12,-4
