timestamp,x,y,z
1508969298847127,-48.5,64.9375,58.4375
1508969298871739,-54.25,84.4375,84.6875
1508969298886302,-56.4375,114.688,103.563
1508969298907809,-30.1875,110.625,125.5
1508969298932442,7.0625,111.125,144
1508969298946479,28.5,117.813,162.563
1508969299000757,19.8125,133.063,183.75
1508969299000757,22.75,152.813,190.625
1508969299013858,27,143.75,182.938
1508969299028940,7.375,146.375,186.5
1508969299052250,27.1875,159.938,177.813
1508969299077337,63.625,155.063,174.813
1508969299127811,80.75,153.188,175.938
1508969299128701,77.3125,167.688,171.813
1508969299133681,64.25,185.563,169.063
1508969299155937,59.375,190.688,160.5
1508969299170991,56.3125,182.5,147.063
1508969299184883,52.1875,165.813,142.75
1508969299209974,73.4375,144.75,156.25
1508969299231022,88.5,116.125,167.25
1508969299252096,77.8125,98.6875,159.688
1508969299267125,52.75,92.375,149
1508969299290163,41.875,73.1875,128.063
1508969299308234,34.75,40.5,116.438
1508969299330456,10.3125,-4.4375,87.0625
1508969299352514,-1.0625,-32.25,56.9375
1508969299381854,-8.6875,-45.1875,39.0625
1508969299387878,-21.0625,-50.3125,29.6875
1508969299419143,-40.3125,-59.6875,13.125
1508969299432443,-32.25,-58.6875,0.75
1508969299447599,-31.4375,-44,1.5625
1508969299469646,-33.25,-11.25,5.625
1508969299492723,-29.125,4.375,-1.25
1508969299507644,-23.1875,5.4375,-7.4375
1508969299529817,-17.3125,6.5625,-10.875
1508969299552740,-18.5625,8.5625,-11.0625
1508969299567815,-10.9375,6.5,-10.8125
1508969299590070,-4.8125,5.625,-16.875
1508969299612273,0,5.25,-18.6875
1508969299630160,1.75,2.5625,-20.5625
1508969299658579,5.125,-1.625,-25.3125
1508969299681824,4.5625,-7.25,-30.375
1508969299687854,0.9375,-7.75,-33.125
1508969299712776,2.9375,-7.5625,-32.8125
1508969299732928,2.0625,-5.375,-34.8125
1508969299747062,1.75,-3.0625,-41
1508969299770094,-1.8125,0.25,-50.1875
1508969299792132,-10.625,4.1875,-58.375
1508969299818162,-15.75,13.8125,-65.125
1508969299830240,-17.875,20.6875,-74
1508969299861426,-15.3125,6.875,-89
1508969299867347,-30.5625,-11.1875,-102.063
1508969299890408,-43.25,-25.5625,-105.813
1508969299912766,-52.25,-52,-123.5
1508969299927810,-67.25,-83.4375,-135.688
1508969299957872,-73.625,-112.125,-135.688
1508969299973027,-75.375,-128.438,-142.5
1508969299990047,-87.6875,-122.438,-152.688
1508969300010339,-84.3125,-132.688,-150.625
1508969300032507,-89.8125,-153.313,-146.375
1508969300047556,-102.125,-167.25,-142
1508969300070498,-100.563,-183.125,-140.563
1508969300092668,-61.0625,-196.25,-144.563
1508969300110569,-12.0625,-192.938,-149.375
1508969300129945,20.75,-183.125,-132.063
1508969300160166,44.1875,-160.688,-135.875
1508969300170043,29.875,-124.188,-176.875
1508969300190116,24.9375,-98.9375,-184.188
1508969300212358,36.1875,-86.125,-152.125
1508969300230403,68.8125,-74.125,-109.5
1508969300249833,73.8125,-47,-87.6875
1508969300272892,59.6875,-26.9375,-87.1875
1508969300290862,34.375,-38.0625,-82.0625
1508969300310194,6.4375,-68.8125,-75.4375
1508969300332249,2.3125,-79.875,-75.125
1508969300350159,40.5,-91.9375,-89.25
1508969300373341,64.625,-112,-98.875
1508969300392426,62.125,-124.75,-92.125
1508969300410439,65.25,-106.813,-67.75
