timestamp,x,y,z,w
1508969404356931,-0.0012207,-0.472412,0.225769,0.851929
1508969404373127,0.000183105,-0.471436,0.226379,0.852295
1508969404394680,-0.00012207,-0.470947,0.224487,0.853088
1508969404418243,-0.0055542,-0.471436,0.21759,0.854614
1508969404439403,-0.0169678,-0.473206,0.207397,0.856018
1508969404454440,-0.0371094,-0.472961,0.198425,0.857666
1508969404478480,-0.0578003,-0.469788,0.193909,0.859253
1508969404508560,-0.074707,-0.461975,0.195496,0.861816
1508969404517694,-0.0872803,-0.449646,0.201843,0.865662
1508969404538863,-0.0973511,-0.432861,0.210449,0.871094
1508969404560072,-0.107727,-0.412598,0.221008,0.877075
1508969404574235,-0.120483,-0.390198,0.232666,0.882629
1508969404598243,-0.137024,-0.366394,0.245483,0.886963
1508969404644399,-0.155579,-0.341858,0.258484,0.889954
1508969404645356,-0.171692,-0.316406,0.271973,0.892456
1508969404657432,-0.18634,-0.288696,0.285706,0.894592
1508969404679490,-0.199646,-0.258911,0.301208,0.895752
1508969404694748,-0.212402,-0.228455,0.317017,0.89563
1508969404718859,-0.223572,-0.198792,0.331604,0.894714
1508969404739948,-0.233704,-0.169373,0.345093,0.893066
1508969404756115,-0.244385,-0.140442,0.359192,0.889648
1508969404779142,-0.255005,-0.110962,0.37207,0.885559
1508969404800260,-0.264526,-0.0821533,0.38385,0.880859
1508969404816248,-0.275269,-0.053894,0.395569,0.874512
1508969404838437,-0.287048,-0.0256348,0.406494,0.866943
1508969404859724,-0.29718,0.00238037,0.416138,0.859314
1508969404875895,-0.305359,0.0299683,0.424866,0.851624
1508969404898882,-0.311646,0.0559082,0.433228,0.843811
1508969404919967,-0.317993,0.0803833,0.440125,0.835876
1508969404935999,-0.32312,0.10199,0.44696,0.827881
1508969404959040,-0.327515,0.11908,0.453918,0.820007
1508969404980294,-0.331482,0.132263,0.460327,0.812805
1508969404996372,-0.334351,0.145447,0.46698,0.805542
1508969405018422,-0.336731,0.158936,0.471863,0.799133
1508969405039609,-0.343079,0.164185,0.476746,0.792419
1508969405056687,-0.348755,0.164978,0.481201,0.787109
1508969405078750,-0.354431,0.167358,0.48468,0.781921
1508969405100034,-0.35968,0.170227,0.486267,0.777893
