timestamp,roll,pitch,yaw
1508969280165308,-0.413912,-0.959909,0.410653
1508969280189325,-0.431403,-0.948891,0.413997
1508969280210412,-0.462223,-0.928139,0.42656
1508969280225001,-0.494608,-0.896451,0.445579
1508969280249064,-0.524388,-0.853308,0.467231
1508969280270192,-0.545343,-0.800892,0.484517
1508969280285477,-0.556154,-0.745023,0.501872
1508969280330658,-0.558663,-0.681828,0.519845
1508969280340757,-0.56621,-0.613759,0.539371
1508969280346802,-0.582664,-0.543738,0.558088
1508969280370093,-0.603037,-0.473377,0.568638
1508969280391055,-0.621192,-0.401743,0.575339
1508969280416066,-0.637148,-0.32825,0.585341
1508969280453237,-0.65182,-0.254319,0.60075
1508969280453237,-0.663214,-0.180706,0.613646
1508969280466276,-0.667438,-0.110531,0.617852
1508969280487715,-0.657012,-0.0443762,0.622013
1508969280510667,-0.650055,0.0201538,0.62835
1508969280527870,-0.648289,0.0832793,0.635157
1508969280547922,-0.643159,0.145123,0.640387
1508969280570129,-0.634294,0.204687,0.641405
1508969280588030,-0.62462,0.261927,0.644331
1508969280608126,-0.613606,0.31753,0.6507
1508969280630479,-0.5989,0.368653,0.658435
1508969280648366,-0.583449,0.415334,0.665343
1508969280667416,-0.568296,0.460204,0.675262
1508969280690514,-0.546953,0.504906,0.687399
1508969280707751,-0.521207,0.546683,0.703262
1508969280728055,-0.493624,0.582852,0.720955
1508969280750108,-0.462003,0.619273,0.745075
1508969280768002,-0.424954,0.654462,0.774099
1508969280788090,-0.3885,0.687533,0.805318
1508969280810254,-0.356992,0.714634,0.835857
1508969280828161,-0.328891,0.732084,0.871671
1508969280849352,-0.309026,0.732968,0.904997
1508969280870566,-0.308844,0.718528,0.919938
1508969280892669,-0.309004,0.695755,0.925625
1508969280916586,-0.310906,0.670488,0.928542
1508969280937781,-0.317366,0.650397,0.930408
1508969280953032,-0.322751,0.638464,0.931495
1508969280969166,-0.329718,0.63345,0.929329
1508969281000246,-0.337371,0.634576,0.925276
1508969281021336,-0.34495,0.641303,0.921225
1508969281028705,-0.351717,0.650822,0.915036
1508969281049840,-0.360052,0.659398,0.905799
1508969281073908,-0.368928,0.664941,0.894945
1508969281090925,-0.37771,0.668217,0.88159
1508969281116989,-0.387859,0.667734,0.864556
1508969281132028,-0.399673,0.664437,0.844967
1508969281149077,-0.411468,0.657568,0.824741
1508969281170352,-0.420109,0.647103,0.806051
1508969281192591,-0.430967,0.633054,0.785638
1508969281209484,-0.446223,0.614168,0.762594
1508969281230576,-0.463199,0.588912,0.740549
1508969281252951,-0.483259,0.555037,0.721837
1508969281270906,-0.50403,0.508306,0.710389
1508969281291964,-0.517045,0.452413,0.711625
1508969281313129,-0.525001,0.391759,0.720001
1508969281330140,-0.528125,0.331864,0.731556
1508969281350306,-0.539802,0.271737,0.739937
1508969281372501,-0.563934,0.210778,0.747449
1508969281390408,-0.589778,0.147076,0.752218
1508969281410510,-0.613138,0.0858149,0.755346
1508969281440581,-0.630459,0.0225417,0.759077
1508969281449565,-0.646551,-0.043877,0.761789
1508969281472643,-0.65975,-0.112688,0.756426
1508969281493700,-0.654276,-0.177759,0.747593
1508969281509752,-0.641856,-0.239092,0.739803
1508969281531943,-0.636482,-0.298326,0.734603
1508969281553107,-0.635594,-0.355907,0.725607
1508969281570012,-0.626175,-0.40959,0.712916
1508969281592083,-0.61451,-0.453725,0.700442
1508969281613269,-0.606453,-0.483079,0.688985
1508969281630172,-0.598626,-0.507959,0.672232
1508969281652259,-0.58895,-0.531056,0.651715
1508969281673307,-0.574519,-0.555436,0.629937
1508969281689336,-0.557469,-0.579727,0.610163
1508969281712415,-0.535885,-0.606583,0.585769
1508969281733478,-0.517708,-0.644853,0.557939
1508969281749490,-0.513522,-0.69117,0.536799
1508969281772551,-0.517894,-0.739684,0.523177
1508969281794606,-0.515312,-0.788622,0.512791
1508969281808705,-0.491853,-0.832995,0.49796
1508969281831852,-0.454749,-0.876613,0.481094
