timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1508969437697505,-1,-1,2,15,-55,-6,-1,-3
1508969437697505,1,7,5,2,8,-4,-2,0
1508969437698522,-9,16,-6,-14,19,-1,-5,-6
1508969437698522,-3,-15,-4,-4,4,-1,-1,-1
1508969437699514,5,2,2,-4,-30,-6,1,4
1508969437699514,-9,-2,-1,1,15,-6,1,-1
1508969437701517,6,6,-2,-13,-33,6,1,-1
1508969437701517,0,2,0,17,81,10,-3,-1
1508969437709632,1,4,6,16,-47,2,2,-1
1508969437709632,20,33,2,-5,-5,-6,-1,3
1508969437717587,-22,-17,-8,-10,10,-8,-3,-2
1508969437717587,-4,2,-1,-4,-22,1,2,-3
1508969437724632,-3,-4,-2,-9,38,-1,-3,-6
1508969437724632,3,9,5,13,27,6,1,3
1508969437738655,-11,-50,-27,-19,-56,-12,-4,-5
1508969437738655,0,3,0,-13,-36,-5,-1,0
1508969437748675,-1,2,2,12,43,5,-1,3
1508969437748675,4,-7,-1,1,-15,5,2,-1
1508969437762686,-17,10,8,0,36,-1,-2,-2
1508969437762686,0,-12,1,17,0,-1,-1,-4
1508969437770704,-8,-9,-2,-15,-22,-4,-1,1
1508969437770704,-1,-9,-7,-10,-9,1,-3,-4
1508969437783738,13,6,6,11,57,7,3,1
1508969437783738,-1,9,9,-3,-90,-18,-2,-2
1508969437825860,-8,0,9,21,37,8,9,0
1508969437825860,-3,-3,-5,-27,22,0,-4,-3
1508969437826851,-2,1,4,-1,-76,-15,-4,-3
1508969437826851,5,4,5,2,9,-1,0,8
1508969437829898,5,-5,0,-1,9,-1,-2,1
1508969437829898,-14,-15,-22,1,13,6,4,-2
1508969437830864,-1,-7,-13,-31,0,-3,-3,1
1508969437830864,-4,-1,5,1,-14,-5,-1,-3
1508969437836901,0,4,-3,-9,31,-1,18,-1
1508969437836901,7,10,25,27,-76,-6,-8,4
1508969437844012,-2,-4,-14,-4,58,10,-11,-3
1508969437844012,-2,-2,6,30,10,7,15,0
1508969437851035,0,3,9,-8,4,-7,-10,-1
1508969437851035,9,3,-6,-7,-8,-25,-55,-9
1508969437867078,-10,-5,31,25,4,18,84,16
1508969437867078,5,2,2,0,15,7,-16,-6
1508969437874281,5,14,14,12,3,-8,-49,-5
1508969437874281,-11,-9,-13,-22,-9,-9,34,1
1508969437896492,4,1,16,6,-16,-23,-90,-11
1508969437896492,-7,-12,-35,-45,5,43,54,9
1508969437905393,2,-4,3,11,-26,-7,-18,-4
1508969437905393,0,2,-26,-26,20,9,-49,-6
1508969437912524,9,14,23,25,-8,-15,12,4
1508969437912524,-4,-19,-51,-41,-21,-28,16,1
1508969437918399,-7,-4,-24,-16,-7,22,-33,-8
1508969437918399,-2,2,19,38,21,-4,-5,0
1508969437935443,-5,-3,1,-28,9,3,-20,-11
1508969437935443,6,12,19,10,-13,-7,1,5
1508969437936450,4,8,0,-27,-27,-26,-17,1
1508969437936450,-11,-10,25,12,12,3,24,-4
1508969437957503,-8,-18,-74,-25,-4,4,2,-4
1508969437957503,4,0,10,-6,-14,-5,-6,-2
1508969437959508,-3,-3,-6,15,-12,-9,15,0
1508969437959508,-3,0,-8,-6,18,5,3,2
1508969437971828,-6,9,3,44,38,12,16,1
1508969437971828,-15,-26,-14,-41,-12,-14,-52,-15
1508969437980795,3,-6,-9,-33,-26,-25,1,-3
1508969437980795,12,23,38,44,-8,50,86,19
1508969437995116,22,-2,-11,-41,8,-4,-4,3
1508969437995116,-27,-1,-7,30,14,-7,-8,-17
1508969437996973,6,-9,2,-35,-11,20,26,19
1508969437996973,7,5,40,2,-10,-15,-47,-12
1508969438017258,-8,-4,7,14,3,-18,-1,-3
1508969438017258,14,9,-5,-19,1,3,27,6
1508969438019231,-1,3,0,8,23,7,13,-1
1508969438019231,-5,-8,-5,-7,-12,5,15,2
1508969438031406,8,8,-1,0,-8,-11,-35,2
1508969438031406,13,9,10,23,13,-38,-89,-14
1508969438040516,-26,-19,-20,-35,-25,38,79,16
1508969438040516,12,-11,-3,14,39,-10,-39,-9
1508969438055793,0,9,14,13,-8,14,26,3
1508969438055793,-20,-3,11,21,8,4,2,2
1508969438056797,-7,-5,-1,1,7,-29,-90,-19
1508969438056797,6,0,-41,-16,-12,21,71,14
1508969438078888,-1,9,25,25,2,-15,-53,-12
1508969438078888,11,13,15,17,-5,17,29,0
1508969438080860,8,5,-10,-18,-10,-24,-46,-9
1508969438080860,11,1,3,-20,-22,-3,14,9
1508969438091121,-26,-1,4,-8,-5,-3,-7,-5
1508969438091121,6,-13,-27,-23,21,24,25,9
1508969438100168,-13,-9,1,27,-26,-12,6,-5
1508969438100168,3,-1,13,80,51,5,-33,-10
1508969438115314,0,-10,-29,-46,-9,10,20,0
1508969438115314,4,2,16,22,3,-35,-98,-14
1508969438117177,4,-8,-12,-22,22,60,119,23
1508969438117177,-14,-9,-17,-39,-41,-37,-44,-14
1508969438137621,7,-9,-14,8,13,14,1,8
1508969438137621,5,13,26,-6,-7,3,13,2
1508969438139487,-3,-15,-35,4,28,-12,-43,-10
1508969438139487,-4,1,1,-19,-12,11,38,13
1508969438151615,-8,1,1,-46,-21,12,23,-1
1508969438151615,12,14,19,-14,-32,-11,-15,-1
1508969438160645,6,19,25,6,21,-11,39,11
1508969438160645,-9,-13,-23,-12,7,45,70,5
1508969438175711,-2,-10,0,-3,-11,-39,-53,-10
1508969438175711,2,17,18,55,-7,19,51,11
1508969438176679,9,19,32,39,-3,-3,-24,1
1508969438176679,-15,-10,-3,-93,-10,-23,-23,-16
1508969438197881,2,-6,-18,7,-24,-6,10,2
1508969438197881,-2,4,-2,26,12,-9,-16,-8
1508969438199740,-4,2,20,6,15,9,-3,-16
1508969438199740,-1,8,35,-18,-24,-29,-79,-11
1508969438211820,11,-5,-4,10,14,24,-17,0
1508969438211820,-7,0,-26,-21,0,29,97,26
1508969438220797,2,1,30,-14,-24,-10,-13,-2
1508969438220797,2,6,-4,26,19,-21,-37,-7
1508969438234871,1,15,27,23,7,0,-5,-2
1508969438234871,-7,-25,-35,-17,-4,22,14,-3
1508969438236845,3,10,3,2,-24,-14,-30,-2
1508969438236845,0,0,-20,8,29,25,16,10
1508969438258178,5,5,14,0,-22,-53,-85,-16
1508969438258178,-6,-19,-6,23,45,35,56,11
1508969438259119,-4,7,-14,15,-19,-4,-11,0
1508969438259119,-6,-10,44,-46,-40,-22,-9,-7
1508969438271297,-5,-10,-31,28,58,20,22,3
1508969438271297,8,-9,-10,-25,-8,-26,-53,-10
1508969438280209,1,7,5,0,2,-3,-15,6
1508969438280209,12,8,-11,15,18,56,65,18
1508969438295541,-13,-7,0,-11,-5,-49,-50,-18
1508969438295541,-5,-6,-3,28,-4,62,57,12
1508969438296398,-9,-20,-32,-17,8,-15,-45,-16
1508969438296398,4,7,-8,17,-6,-5,25,9
1508969438317455,7,1,11,7,-7,4,10,6
1508969438317455,4,6,8,41,26,-24,-46,-9
1508969438319463,3,23,52,20,-49,3,17,-4
1508969438319463,-17,-37,-98,-50,26,-8,-26,-12
1508969438331647,0,6,28,-17,-16,24,44,5
1508969438331647,-8,-3,-17,-66,-42,-43,-47,-11
1508969438340516,8,15,4,1,-16,27,57,22
1508969438340516,9,-10,-12,35,70,-3,-20,-7
1508969438355659,-2,-2,1,-20,-14,0,7,1
1508969438355659,-3,-2,-10,-46,-26,-12,-14,-7
1508969438356558,4,3,7,-13,-22,-5,15,5
1508969438356558,-7,18,15,44,-20,-19,-20,-13
1508969438377932,28,0,-3,-3,21,11,-8,20
1508969438377932,-11,18,33,38,11,39,30,0
1508969438378791,-19,-35,-56,-1,25,-9,9,-9
1508969438378791,-14,-5,-5,-12,-25,-25,-19,3
1508969438390965,-11,-10,-17,-3,-38,14,30,-7
1508969438390965,12,4,3,-6,24,-20,-31,0
1508969438399999,1,-7,-22,21,33,12,2,5
1508969438399999,11,24,13,-74,-35,-3,5,4
1508969438415030,-12,-8,-18,-50,-17,3,21,-3
1508969438415030,-6,-3,59,19,-12,-4,-9,-3
1508969438416899,-16,-35,-34,24,76,11,-15,-11
1508969438416899,5,16,26,7,-28,0,18,3
1508969438438103,-3,0,-13,3,34,12,18,6
1508969438438103,-9,-9,-2,-29,-38,-41,-35,-12
1508969438438951,2,10,11,4,8,29,42,8
1508969438438951,8,-4,15,54,11,-2,-43,-23
1508969438451089,-5,3,-22,19,-3,8,72,19
1508969438451089,3,-6,-11,1,1,-6,-25,-1
1508969438460151,9,8,18,-30,-35,-24,-25,-5
1508969438460151,-3,-1,-17,15,14,13,17,9
1508969438475486,-1,7,28,31,26,9,-10,-11
1508969438475486,-7,-13,-21,12,-15,-20,-15,-1
1508969438476392,10,-5,-20,-7,11,19,2,10
1508969438476392,1,4,8,-31,-25,-11,4,-2
1508969438497564,-6,-13,-20,52,56,7,-6,-4
1508969438497564,0,8,-2,-64,-16,-5,11,2
1508969438499422,-27,-48,12,62,11,-15,-38,-19
1508969438499422,-5,-2,-10,-8,-15,-2,10,4
1508969438511596,1,6,20,0,-22,-5,-12,-3
1508969438511596,-8,-21,-47,-16,-4,-10,-3,-6
1508969438520476,3,13,22,15,-22,9,22,-1
1508969438520476,4,-6,0,9,11,-5,-28,1
1508969438535518,-16,-1,1,8,0,3,20,-4
1508969438535518,19,35,36,46,8,10,4,-4
1508969438536517,-9,4,9,-42,-29,-19,-22,-8
1508969438536517,-1,-12,-28,33,25,-3,-18,9
1508969438557704,5,25,11,14,-5,9,12,4
1508969438557704,2,2,49,3,-10,18,32,6
1508969438559613,4,9,-25,-81,-23,-7,12,-1
1508969438559613,-9,-17,4,67,42,3,-22,-9
1508969438571877,6,-16,-31,-19,2,0,10,3
1508969438571877,1,15,7,-16,13,-13,-13,1
1508969438580028,8,9,20,43,19,28,44,12
1508969438580028,-8,-12,-5,-4,-48,-22,-26,-5
1508969438594925,0,-5,8,-23,3,2,3,-9
1508969438594925,-8,-12,-17,19,23,5,23,3
1508969438596912,0,14,5,-5,5,-23,-55,-16
1508969438596912,4,9,12,-13,-1,18,44,24
1508969438618190,-5,-18,-13,-3,-8,14,17,-7
1508969438618190,-2,0,-21,-12,8,-27,-51,-7
1508969438619194,15,5,11,29,9,16,17,6
1508969438619194,-7,12,18,-46,-30,6,11,-2
1508969438640283,8,-6,-5,9,31,9,2,6
1508969438640283,-3,-5,-17,3,-7,-7,-5,-4
1508969438641287,-5,-19,-14,3,11,-16,-28,-9
1508969438641287,3,8,1,31,1,-2,14,-1
1508969438655450,-7,-7,-9,-44,-32,-16,-36,-2
1508969438655450,0,1,0,-4,4,17,26,-6
1508969438656292,-4,-8,-21,8,-8,-17,-4,1
1508969438656292,6,17,24,1,6,-1,-24,-12
1508969438677393,-7,9,8,-6,-28,-17,-17,1
1508969438677393,5,-2,0,11,6,22,33,11
1508969438679356,2,3,-5,3,2,2,16,3
1508969438679356,-2,1,-10,-9,-5,-7,3,-10
1508969438700536,0,5,16,-11,-14,-5,-25,2
1508969438700536,4,-2,1,18,20,8,11,4
1508969438701538,2,1,-3,3,3,-4,-14,-2
1508969438701538,-3,-11,-2,-25,-18,-5,-6,2
1508969438715603,-5,-12,-5,7,-1,-2,-1,-4
1508969438715603,-6,8,-10,-7,8,10,6,4
1508969438716580,3,-6,-12,36,24,-12,-53,-7
1508969438716580,2,9,15,9,23,26,62,12
1508969438737632,-4,-10,-18,4,-12,-6,-9,-6
1508969438737632,0,-5,7,4,-6,-6,-1,-1
1508969438739637,-2,2,8,-4,-7,-10,-14,-5
1508969438739637,1,4,-2,-14,-5,-4,-18,-1
1508969438759691,-6,-7,-5,1,5,-4,-25,-2
1508969438759691,2,1,2,-13,-8,10,42,6
1508969438761696,-1,-5,-16,-9,-2,-6,0,0
1508969438761696,-10,-6,-10,13,11,9,-15,-6
1508969438774758,12,7,9,-9,-5,3,24,-1
1508969438774758,-5,-10,-2,1,-2,-24,-41,-11
1508969438781753,5,5,-3,-51,-21,6,33,7
1508969438781753,-6,-15,-9,16,-2,7,11,1
1508969438795787,0,4,-3,4,11,-7,-20,-6
1508969438795787,-2,1,17,-2,-8,7,5,2
1508969438804837,4,8,42,-8,4,1,5,2
1508969438804837,-9,-26,-49,-8,5,-9,-1,-7
1508969438819878,-3,6,9,-3,-13,-2,1,-1
1508969438819878,3,-2,5,-4,5,-6,-10,0
1508969438821856,-7,0,-1,30,6,10,6,-3
1508969438821856,6,1,19,-15,-8,-11,-12,-1
1508969438842944,-1,2,6,10,9,3,3,0
1508969438842944,-1,-1,-17,-9,-7,0,6,1
1508969438843925,-5,-4,-13,-10,-9,-6,-7,-8
1508969438843925,-4,-11,0,-2,0,3,9,2
1508969438855947,0,0,11,7,-3,-5,3,4
1508969438855947,-7,-8,1,1,-2,3,-4,2
1508969438864971,-1,-6,-24,-14,-6,0,-11,-18
1508969438864971,1,4,5,-1,-6,-7,2,0
1508969438880011,1,7,10,-7,-1,-1,3,4
1508969438880011,-5,-8,-23,-8,-4,-2,-12,-7
1508969438882016,-3,-6,7,10,-1,6,14,13
1508969438882016,8,17,30,7,9,-3,-6,-11
1508969438903076,-4,-14,-68,-23,-15,-5,2,-4
1508969438903076,-4,5,36,-1,-4,-7,-10,-1
1508969438904080,1,7,19,16,3,6,12,2
1508969438904080,-3,-9,-48,-35,-12,-6,0,4
1508969438916107,12,20,42,25,14,7,7,7
1508969438916107,-6,-10,-42,-24,-7,-3,-5,-4
1508969438931148,-5,-6,-4,-9,-6,1,4,3
1508969438931148,0,1,10,9,5,-1,-3,-1
1508969438940171,1,4,10,7,-3,-1,4,-2
1508969438940171,4,1,-7,1,-2,-4,-7,0
1508969438942177,-3,-2,7,2,-2,1,1,-3
1508969438942177,-1,1,-6,-1,0,0,-1,1
1508969438962260,-5,1,4,4,9,6,8,5
1508969438962260,-4,7,7,10,0,-6,-14,3
1508969438964236,3,12,-15,-12,-9,-14,14,-4
1508969438964236,-1,16,8,8,8,21,6,-2
1508969438976304,-3,17,-1,-7,-4,-21,-15,-6
1508969438976304,2,10,-1,3,4,14,2,5
1508969438985292,-1,3,-2,-4,-1,-1,11,4
1508969438985292,1,14,1,4,-4,-8,-5,1
1508969438999358,0,23,4,-2,-3,-1,7,2
1508969438999358,-1,24,-5,-2,0,-3,-3,-3
1508969439006413,-3,19,0,-4,0,1,-11,-4
1508969439006413,1,16,6,5,-1,-6,4,-1
1508969439022459,-1,-2,-4,-3,-1,3,-1,-1
1508969439022459,1,-11,1,1,-5,-8,-4,-6
1508969439024400,-2,-32,-5,-10,-5,1,-2,1
1508969439024400,-2,-38,4,4,6,-1,-2,2
1508969439046459,2,-39,3,1,-1,4,3,-1
1508969439046459,2,-34,-1,7,3,-1,2,-5
1508969439048461,-1,-23,-2,-12,-16,-8,-7,0
1508969439048461,-1,-17,-1,1,4,3,-2,0
1508969439059628,-2,-13,4,5,4,2,4,-1
1508969439059628,-4,-13,-2,0,1,0,1,-2
1508969439066660,0,-1,-2,4,4,1,-2,0
1508969439066660,0,-4,-2,-13,-13,-9,-7,-3
1508969439081700,-1,-2,-1,4,-3,1,1,-3
1508969439081700,2,-4,6,2,-3,-1,-1,2
1508969439090573,-10,10,-2,13,11,2,1,3
1508969439090573,0,6,4,-2,-4,-5,-3,-1
1508969439096737,1,0,-5,-7,-3,-1,0,-2
1508969439096737,-1,-2,0,-3,4,3,2,0
1508969439105614,0,-7,-5,-4,-1,-1,-6,-4
1508969439105614,3,5,6,5,-4,-7,-1,-3
1508969439119791,-2,3,0,-2,1,5,1,2
1508969439119791,-1,5,0,-3,-2,-4,-2,1
1508969439126854,-1,1,3,1,-5,3,2,-1
1508969439126854,-8,-1,-6,8,7,0,-3,-5
1508969439143038,0,-13,-5,-4,-2,0,-3,3
1508969439143038,-3,1,-6,-7,-7,-1,-2,1
1508969439143898,-3,4,3,0,3,-1,-2,-9
1508969439143898,-6,-6,-9,-3,-5,-3,0,1
1508969439165093,-1,7,3,-2,-2,-1,-1,-3
1508969439165093,1,1,0,3,1,-1,-3,-4
1508969439166960,2,-2,-6,-4,1,3,1,9
1508969439166960,2,-7,-4,-5,-5,-4,-3,0
1508969439180117,-5,2,3,1,1,1,0,-4
1508969439180117,1,2,-2,2,-2,0,-2,-1
1508969439186510,7,14,11,2,-1,-2,0,1
1508969439186510,0,-1,-3,-8,-4,-3,-2,-2
1508969439201618,1,-5,0,2,9,2,-3,-3
1508969439201618,-1,3,4,8,0,3,2,-3
1508969439210618,-3,-5,-6,-3,-2,-4,0,6
1508969439210618,2,9,6,5,-1,-1,-2,-2
1508969439225690,-2,-9,-10,-10,-9,-3,-1,2
1508969439225690,1,-2,2,4,-3,-2,-2,-1
1508969439226660,4,3,6,10,2,1,2,0
1508969439226660,-2,-1,-17,-17,-2,0,-1,1
1508969439240026,0,4,7,3,-2,-3,-3,-2
1508969439240026,-2,-22,-22,-11,-1,-4,-3,-2
1508969439246924,-6,-5,11,3,-3,-1,-5,-5
1508969439246924,5,14,7,8,1,1,3,3
1508969439263174,2,5,10,1,2,0,0,-1
1508969439263174,-2,-5,-10,-4,-2,0,0,0
1508969439264139,-3,-9,-34,-11,-5,-2,0,-2
1508969439264139,0,6,6,2,1,-2,0,-1
1508969439285210,-3,-6,-5,-5,0,0,-2,-3
1508969439285210,-4,7,18,2,0,-1,0,-3
1508969439287200,9,10,10,5,2,2,4,5
1508969439287200,-1,-19,-23,-6,-2,-1,-3,1
1508969439299380,-3,-1,8,3,-3,-1,-1,-4
1508969439299380,-3,2,2,-5,-5,-5,-2,-4
1508969439306395,-3,6,1,-3,2,1,-5,-9
1508969439306395,3,0,4,5,0,1,3,7
1508969439322447,1,1,-6,0,-2,-1,2,-1
1508969439322447,-1,1,-4,0,1,0,-2,-5
1508969439324327,4,7,20,-4,1,1,3,17
1508969439324327,-2,-10,-8,3,-1,-2,-4,-3
1508969439345390,-4,-5,-9,-7,-3,-2,-1,-6
1508969439345390,-1,-1,-18,-6,-4,-2,-1,-1
1508969439346357,0,-7,-4,1,-1,0,-1,-3
1508969439346357,-5,1,-3,1,1,1,0,-2
1508969439358490,1,3,12,1,-2,-1,-1,0
1508969439358490,0,2,-2,2,-2,-1,2,3
1508969439367479,-4,-5,-7,-2,-2,-1,-3,-8
1508969439367479,-1,3,14,0,1,0,1,3
1508969439382857,0,-7,-20,-2,-3,-2,-6,-11
1508969439382857,1,4,15,1,0,0,-4,-2
1508969439384714,-2,-8,-18,-5,-3,0,1,-3
1508969439384714,6,12,12,2,-1,-3,-1,-3
1508969439404914,-8,-13,-10,-2,1,0,-1,-2
1508969439404914,-4,-2,2,-1,3,3,-1,3
1508969439406773,1,-3,3,-3,-4,-6,-4,-1
