timestamp,x,y,z
1508969692302277,-10.125,16.25,19.125
1508969692324612,-36.1875,30.6875,24.625
1508969692339758,-69.8125,49.375,36.875
1508969692363329,-98.0625,65.375,37.875
1508969692384496,-96.3125,71.5,39.9375
1508969692399536,-80.9375,76.0625,49.375
1508969692423671,-63.75,83.25,53.6875
1508969692453685,-53.125,91.5,58.5
1508969692462745,-55.8125,89.5625,74.3125
1508969692475861,-51.1875,82.625,90
1508969692498171,-23.25,80.5,100.063
1508969692519196,-17.1875,91.3125,96.5
1508969692537240,-20,102.438,96.5625
1508969692589378,-21,107.625,126
1508969692590381,-24.4375,110.75,163.25
1508969692597398,-0.25,129.688,178
1508969692617461,11.5,158.938,180.313
1508969692647531,8.125,175,189.563
1508969692663604,12.3125,187.125,204.25
1508969692692674,18.125,199.25,211.938
1508969692701675,23.625,211.375,203.5
1508969692723734,8.875,213.563,202.5
1508969692746796,-4.3125,204.625,192.5
1508969692761836,-1.8125,198.875,181.313
1508969692783895,-15.0625,179.5,162
1508969692804955,-29.9375,154.25,150.063
1508969692821997,-36,133,137.5
1508969692844056,-29.375,116.813,123.938
1508969692865194,-17.25,98.8125,111.438
1508969692881244,-27.75,71.8125,96.8125
1508969692904296,-24.9375,49.875,90.4375
1508969692925456,-25.8125,30.125,73.5
1508969692941488,-29,10.75,45.375
1508969692964556,-27.4375,-5.75,11.625
1508969692984682,-20.4375,-10.5625,-15.1875
1508969693001724,-15.5,-19.625,-30.9375
1508969693023817,-14.1875,-20.875,-33.75
1508969693045017,-7.8125,-19,-32.125
1508969693061886,-1.9375,-9,-20.4375
1508969693083940,5.1875,-2.1875,-6.4375
1508969693105044,3.5625,0.625,3.6875
1508969693121167,0.375,1.25,9.5
1508969693145431,3.125,3.4375,10.6875
1508969693165642,10.25,5.1875,9.125
1508969693181531,5.6875,-3.875,5.4375
1508969693204588,3.6875,-9.875,4.25
1508969693226650,3.25,-10.6875,-0.875
1508969693241942,6.0625,-10,-2.625
1508969693264035,7.9375,-10.125,-2.625
1508969693286058,6.375,-13.3125,-2
1508969693301185,1.625,-18.5,-7.3125
1508969693324156,-2.9375,-27.0625,-14.5
1508969693346215,3.9375,-43.5625,-29.3125
1508969693361285,8.625,-59.0625,-35.875
1508969693384482,18.1875,-72.375,-43.5625
1508969693406535,25.625,-85,-61.3125
1508969693420572,30.375,-99.25,-86.25
1508969693451656,40.5,-110.688,-96.3125
1508969693466696,30.9375,-133.938,-117.375
1508969693488147,15.75,-147.188,-116.688
1508969693504156,24.4375,-150.188,-120.813
1508969693526304,24.5,-151.125,-122.75
1508969693547641,0.375,-145.188,-124.688
1508969693570668,-9.875,-144.313,-128.688
1508969693586761,-9.125,-144.063,-137.625
1508969693608857,0.9375,-139,-137.313
1508969693631881,1.8125,-134.438,-131
1508969693655945,0.25,-134.938,-131.688
1508969693668988,2.875,-141.625,-127.688
1508969693690179,11.4375,-143.875,-121.688
1508969693706078,28.3125,-131.938,-118.313
1508969693729140,57.6875,-116.375,-119.313
1508969693751408,64.3125,-115.813,-109.313
1508969693765590,58.875,-132.438,-97.625
1508969693789518,36.9375,-154.5,-99.5
1508969693811721,24.375,-160.125,-117.125
1508969693825761,31.125,-159.625,-132.938
1508969693848819,48.4375,-165.75,-137.438
1508969693871907,44.75,-177.438,-138.375
1508969693885917,21.5,-183.625,-148.125
1508969693908983,14,-157.563,-146.125
1508969693931307,-7.3125,-108.25,-120.313
1508969693946346,-34.5625,-61.875,-90.0625
1508969693969376,-57.5625,-36.5625,-56.8125
1508969693991431,-53.75,-14.5,-22.0625
1508969694012636,-5.9375,-5.875,5.3125
1508969694029534,54.125,2,18.9375
1508969694051760,100.875,6.25,18.5625
