timestamp,x,y,z,w
1508969604597995,0.167908,-0.469971,0.47583,0.724182
1508969604622878,0.167664,-0.470337,0.47583,0.723999
1508969604642990,0.167542,-0.470398,0.475647,0.724121
1508969604658033,0.166626,-0.470398,0.475098,0.72467
1508969604683069,0.164917,-0.470642,0.474426,0.725342
1508969604703123,0.163025,-0.470825,0.473816,0.726074
1508969604718166,0.1604,-0.470154,0.473511,0.727295
1508969604757416,0.151733,-0.469727,0.474182,0.729004
1508969604765444,0.135803,-0.469666,0.476196,0.730835
1508969604773430,0.117249,-0.468201,0.480957,0.731873
1508969604789515,0.0986938,-0.463501,0.489197,0.732117
1508969604809525,0.0831299,-0.455811,0.500854,0.731079
1508969604838614,0.0692139,-0.447571,0.513794,0.728577
1508969604892746,0.0533447,-0.439087,0.52655,0.726013
1508969604893759,0.0330811,-0.430176,0.539063,0.723328
1508969604894751,0.00549316,-0.42334,0.549011,0.720581
1508969604906784,-0.0253296,-0.410828,0.557983,0.72052
1508969604927848,-0.0499878,-0.396973,0.571228,0.716614
1508969604949899,-0.0725098,-0.382019,0.588013,0.709229
1508969604967947,-0.10022,-0.364807,0.607544,0.698364
1508969604988001,-0.135437,-0.348206,0.623535,0.686707
1508969605010059,-0.173401,-0.328003,0.639099,0.673645
1508969605028106,-0.208679,-0.30426,0.654907,0.659485
1508969605047187,-0.239136,-0.275024,0.669922,0.64679
1508969605070220,-0.266052,-0.242065,0.683533,0.635132
1508969605092278,-0.293518,-0.210693,0.694214,0.622498
1508969605107515,-0.321899,-0.181519,0.702759,0.60791
1508969605130634,-0.349731,-0.153992,0.710022,0.591431
1508969605152732,-0.376953,-0.129272,0.716003,0.573181
1508969605167720,-0.401123,-0.104187,0.721008,0.555237
1508969605189998,-0.421753,-0.0805664,0.724792,0.538757
1508969605213262,-0.439819,-0.0582886,0.728088,0.522461
1508969605227431,-0.456482,-0.0393677,0.730957,0.505615
1508969605250460,-0.471558,-0.0230713,0.733093,0.489502
1508969605272536,-0.483887,-0.00842285,0.734924,0.474976
