timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1508969912354154,-6,-5,-10,-44,-21,-9,-5,-6
1508969912354154,-3,-6,-8,23,-4,-1,-4,-2
1508969912355156,2,3,6,18,9,11,3,2
1508969912355156,-1,1,4,-8,-12,-14,1,1
1508969912355156,-1,2,0,-14,46,14,-2,-3
1508969912355156,-2,-4,-10,-15,-43,-12,-3,-1
1508969912360138,-1,-1,-2,-39,6,-2,-2,-1
1508969912360138,0,1,-4,23,3,7,3,1
1508969912365299,-1,-1,14,14,-9,-1,1,1
1508969912365299,4,3,-2,15,63,2,-1,0
1508969912377187,-5,-5,-11,-23,-62,-5,-4,-3
1508969912377187,0,3,16,22,4,2,-3,-1
1508969912380336,0,1,-8,7,19,-1,1,-2
1508969912380336,-3,-4,-17,-25,-28,-3,-1,-2
1508969912397316,-1,2,7,3,12,-2,-2,-3
1508969912397316,-5,-9,-18,-46,-17,-17,-10,-8
1508969912404518,1,-2,2,10,-29,12,2,2
1508969912404518,8,13,34,58,67,15,6,4
1508969912425934,-1,-4,-23,-32,-20,-11,-5,-2
1508969912425934,2,-4,-16,26,36,5,0,1
1508969912426800,-1,-4,7,2,2,-11,-5,-4
1508969912426800,-1,0,22,-23,-39,0,1,2
1508969912473948,-2,-6,-34,-38,-51,-11,-3,-3
1508969912473948,-1,-3,-7,-5,6,-3,-1,1
1508969912474951,-2,-6,-1,-6,0,0,-2,-3
1508969912474951,0,4,9,32,35,4,2,-1
1508969912474951,-4,1,2,1,10,6,-1,-3
1508969912474951,0,1,-7,-29,-43,-13,-2,1
1508969912478934,-2,-1,-12,-4,4,2,-3,-2
1508969912478934,-2,0,-3,-15,-22,-4,-4,-2
1508969912484982,0,-2,3,19,23,5,0,2
1508969912484982,2,3,5,12,-8,2,4,1
1508969912493974,-1,1,-2,-12,4,-11,-6,-2
1508969912493974,-2,-4,-7,-3,-31,0,4,2
1508969912499990,0,1,5,1,23,-2,-4,-4
1508969912499990,-3,-5,11,7,61,9,-3,-4
1508969912517035,3,7,11,13,-71,-4,6,2
1508969912517035,0,-2,-16,-21,3,-11,-5,-1
1508969912523075,-4,-1,6,-4,-26,-2,1,-2
1508969912523075,-5,-6,-20,-38,-25,-11,-8,-3
1508969912546229,5,24,42,63,62,29,8,1
1508969912546229,-10,-22,-27,-8,8,-2,0,-3
1508969912547228,-3,-4,-1,-11,5,3,-6,-2
1508969912547228,1,-1,-1,9,-10,6,1,0
1508969912561390,-7,-6,-14,-18,7,-20,-12,-3
1508969912561390,-2,10,15,-4,-42,11,10,-4
1508969912561390,11,3,5,5,-2,-7,-1,10
1508969912561390,-2,-3,-6,-14,-4,-5,-20,-17
1508969912583540,-5,-6,-10,-20,-4,-2,-10,-2
1508969912583540,-1,2,8,25,31,12,18,-4
1508969912584560,-5,-4,-5,12,26,0,1,-2
1508969912584560,3,2,7,2,-11,-1,1,13
1508969912605730,4,-5,-1,-1,-9,-15,-64,-13
1508969912605730,6,-6,-10,-13,-10,29,67,25
1508969912606597,-2,1,4,13,41,-1,-8,-10
1508969912606597,-4,1,-4,-15,3,3,14,1
1508969912620766,-2,-4,1,18,-25,-4,-4,5
1508969912620766,2,-2,-7,-31,-27,-19,-29,-4
1508969912621637,6,7,8,13,7,1,-5,1
1508969912621637,-11,8,-2,-5,24,-1,-60,-33
1508969912643825,-7,-39,-24,-22,-38,10,103,29
1508969912643825,10,10,19,29,33,-13,-52,-21
1508969912644700,0,-3,-8,-36,-44,5,32,2
1508969912644700,-6,0,5,40,16,6,10,0
1508969912665902,-7,1,-6,-36,61,-4,-50,-19
1508969912665902,1,2,9,27,-58,14,47,10
1508969912666760,2,-6,-5,-5,-15,-25,-29,2
1508969912666760,0,1,-1,-4,4,-16,-40,-6
1508969912681945,10,0,-4,-4,-5,14,30,-3
1508969912681945,-20,9,-1,-12,20,-4,-6,17
1508969912682799,6,-1,8,3,-2,-3,-30,-8
1508969912682799,9,-6,6,-7,-26,0,21,31
1508969912712150,1,-2,-16,5,2,-24,-103,-42
1508969912712150,-5,2,-10,-33,-10,-4,41,-9
1508969912712150,2,-1,-10,-12,-14,20,45,16
1508969912712150,-2,0,13,39,19,15,33,8
1508969912726176,0,15,10,27,21,-5,-24,-9
1508969912726176,3,-1,-4,-3,19,-14,-52,-4
1508969912727069,-3,1,-8,-10,-20,-17,-60,-28
1508969912727069,6,12,-3,-1,-15,8,76,13
1508969912748475,-13,-43,-6,-18,-3,21,82,45
1508969912748475,-5,22,7,-3,-1,1,-5,-11
1508969912749336,12,3,5,6,15,5,-3,7
1508969912749336,-2,-3,9,6,-3,-14,10,-4
1508969912763531,1,11,0,7,-11,1,25,3
1508969912763531,2,-19,0,-9,5,-4,-28,-5
1508969912764409,-8,7,-7,-5,2,13,46,15
1508969912764409,2,-21,-3,2,-8,-3,-21,12
1508969912786464,-4,24,25,28,14,13,6,-38
1508969912786464,10,-6,-13,-5,8,-13,-29,18
1508969912786464,-13,0,4,-6,0,-1,-7,-19
1508969912786464,9,-5,-11,-5,-11,2,13,20
1508969912800467,-8,17,-2,-9,-4,-10,-39,-11
1508969912800467,4,2,12,-1,8,7,6,-3
1508969912807520,-5,-3,5,9,-3,-9,1,1
1508969912807520,-12,-19,-24,-24,-7,-14,-34,-20
1508969912823677,2,7,4,7,10,1,0,-6
1508969912823677,41,17,22,15,7,21,63,60
1508969912824533,-36,-35,-25,5,-8,2,-10,-32
1508969912824533,6,58,14,-1,6,1,-30,-20
1508969912846737,-3,-37,-24,-8,-12,-18,-21,3
1508969912846737,-16,23,-1,-12,-10,-27,-60,-28
1508969912847621,38,-51,-2,12,22,33,71,35
1508969912847621,-27,-12,-7,-5,-2,2,17,12
1508969912860790,-12,-43,1,-6,-10,-6,-1,-17
1508969912860790,-6,-32,1,4,-4,-12,-30,-38
1508969912867648,-29,12,1,-4,2,-9,-30,-8
1508969912867648,25,60,14,13,10,13,-3,5
1508969912883964,12,-20,-12,-14,-5,0,56,55
1508969912883964,-19,-56,-15,-1,-3,-11,-74,-51
1508969912883964,2,8,9,5,-6,-1,36,1
1508969912883964,-9,-30,-11,-8,-13,-8,15,-11
1508969912906015,-20,-12,-28,-19,-2,14,26,-2
1508969912906015,58,104,35,2,13,19,91,57
1508969912906874,-57,-68,-38,-12,-22,-24,-88,-63
1508969912906874,15,73,45,25,2,-4,-13,5
1508969912919938,-29,-77,-42,-13,19,-11,-25,-7
1508969912919938,-8,21,-22,-5,-5,11,39,-33
1508969912927959,30,68,36,-36,-46,4,17,53
1508969912927959,2,30,40,48,33,-2,-12,-34
1508969912942966,13,47,-13,-56,32,14,-9,-2
1508969912942966,-12,-27,53,76,-87,-20,-23,5
1508969912943969,18,28,-15,-9,89,2,69,57
1508969912943969,-21,-70,-36,-42,-32,7,-22,-56
1508969912966179,17,112,60,24,-40,-35,-55,7
1508969912966179,-18,-16,-38,-33,74,17,-10,-21
1508969912967065,5,-82,-6,23,-14,-8,33,9
1508969912967065,3,3,4,7,-9,-15,-65,-3
1508969912981367,9,0,26,6,-33,-40,-93,-19
1508969912981367,-18,-32,-17,-10,-17,-6,-1,9
1508969912988300,-4,18,21,16,0,22,63,13
1508969912988300,10,-11,-32,-17,22,11,29,11
1508969913003797,-7,-19,0,8,-22,1,38,-7
1508969913003797,-5,-12,-7,-5,3,-11,-39,-28
1508969913004665,11,32,18,1,10,6,-45,-15
1508969913004665,-12,-44,-39,-28,-12,-14,-35,-4
1508969913027730,13,43,37,26,4,27,44,20
1508969913027730,-8,-4,2,9,14,1,24,15
1508969913027730,1,8,-43,-24,-1,-8,-25,-19
1508969913027730,4,4,16,10,-34,-7,21,20
1508969913049004,0,-16,-21,-2,21,6,8,2
1508969913049004,-3,1,9,-4,30,14,17,6
1508969913049004,6,1,40,8,-23,-25,-66,-12
1508969913049004,-5,-4,29,-17,-13,5,40,22
1508969913064017,-21,-42,-35,6,4,16,43,-1
1508969913064017,-1,8,20,13,-1,-23,-46,-4
1508969913064017,-7,-2,-28,3,-4,14,22,-8
1508969913064017,8,-2,-6,1,9,-3,-7,18
1508969913086192,22,-8,-4,-19,-17,13,62,13
1508969913086192,9,8,8,-2,1,-8,-33,1
1508969913087173,5,-29,-16,23,3,12,27,28
1508969913087173,-9,1,-3,-6,20,-3,-14,-15
1508969913108262,5,-12,-19,4,-5,-3,27,31
1508969913108262,-6,15,9,-11,-10,16,4,-31
1508969913109235,7,40,4,-17,10,-2,-19,-7
1508969913109235,1,-17,-15,14,14,3,18,-7
1508969913131538,5,25,3,10,5,2,-18,-1
1508969913131538,-4,-11,3,-9,-18,-1,-4,13
1508969913131538,2,15,2,7,-9,-1,20,-3
1508969913131538,-7,-8,-27,-37,-17,1,-4,-4
1508969913146583,1,-5,20,4,8,-6,-2,-2
1508969913146583,1,-4,-30,-24,-5,-27,-79,7
1508969913146583,-9,10,23,22,-22,-1,-76,-45
1508969913146583,3,7,-10,15,28,-3,-8,8
1508969913168606,0,-21,-12,-21,-14,19,44,1
1508969913168606,5,36,-8,6,3,-4,34,14
1508969913169612,-9,-33,3,-8,-3,-2,-27,-14
1508969913169612,1,-20,6,25,-10,-2,32,8
1508969913183995,-6,24,26,4,10,-8,-86,-29
1508969913183995,-2,-17,-10,4,-3,11,35,13
1508969913183995,-11,-44,-24,-29,12,-9,21,10
1508969913183995,4,14,-14,13,-3,11,10,-3
1508969913206043,-3,12,22,-2,-4,-1,-2,-1
1508969913206043,2,-22,1,2,2,6,6,6
1508969913207015,0,13,-18,7,-6,-9,-5,-2
1508969913207015,-15,-25,-15,-17,1,0,4,2
1508969913220180,0,-1,3,14,36,6,-24,-7
1508969913220180,-6,-12,-16,0,-13,6,58,13
1508969913228221,6,6,26,12,-2,-5,-9,-16
1508969913228221,0,-16,24,-10,-21,-12,-15,-4
1508969913243155,-9,4,-13,-10,-20,-15,-23,-16
1508969913243155,6,-11,-12,4,23,24,65,27
1508969913244119,-8,7,11,-3,-7,-1,-5,-18
1508969913244119,8,11,-4,2,5,4,13,4
1508969913266214,8,13,5,19,3,-2,5,0
1508969913266214,-5,-12,12,-14,1,-7,-22,-12
1508969913267176,1,18,-6,-1,-8,-3,2,11
1508969913267176,0,-1,0,2,11,3,5,-2
1508969913288274,-1,8,21,-4,-18,-2,-4,-2
1508969913288274,-3,-4,-14,11,22,1,-5,-6
1508969913289234,1,4,-8,-9,18,2,4,6
1508969913289234,3,8,5,23,-15,-8,-18,-4
1508969913303386,-1,-8,5,-10,0,3,15,7
1508969913303386,-3,-1,-9,-8,-5,-7,-10,-7
1508969913304275,3,3,0,-11,2,1,0,4
1508969913304275,0,-1,8,7,4,4,5,4
1508969913326552,-2,5,-14,-10,-10,-4,4,0
1508969913326552,-1,-1,0,0,-8,-1,-6,-8
1508969913326552,0,2,-4,-1,4,-1,-4,3
1508969913326552,-2,8,5,-2,-6,3,3,1
1508969913348958,2,5,8,6,-16,-10,-2,-2
1508969913348958,-3,-3,-23,-27,-8,-3,-12,-8
1508969913348958,6,9,36,71,52,9,10,10
1508969913348958,-5,-14,-9,-49,-1,2,14,1
1508969913363993,2,3,-3,19,-11,-3,-7,-2
1508969913363993,-4,-13,-9,3,59,4,-1,-3
1508969913363993,0,15,36,17,-46,-13,-5,1
1508969913363993,1,6,-13,-38,-21,-1,-1,-2
1508969913385928,-12,-27,-40,-5,78,14,4,-3
1508969913385928,3,19,43,44,-49,-9,-1,-1
1508969913386916,-1,-6,-11,20,54,10,6,4
1508969913386916,-3,1,32,-19,5,-6,-12,-5
1508969913409007,-5,-8,-3,17,-3,-1,1,-2
1508969913409007,1,5,-20,-29,-32,-11,-9,-6
1508969913409007,2,11,0,6,-44,-9,-1,0
1508969913409007,7,2,-18,5,22,4,5,5
1508969913423158,-4,-14,-9,4,25,4,1,-1
1508969913423158,-4,-6,9,-21,8,5,2,-2
1508969913424015,2,-2,-6,-44,-35,-9,-6,-2
1508969913424015,-1,11,-13,4,-19,-4,-5,-2
1508969913445387,4,1,-9,48,41,5,6,7
1508969913445387,-1,2,20,-11,-6,0,-4,-1
1508969913453381,-1,1,-3,-8,-22,-3,-3,-2
1508969913453381,2,4,15,0,-13,-13,-5,2
1508969913468306,-3,13,-7,-41,-22,8,5,-4
1508969913468306,-2,-11,-20,39,85,12,6,4
1508969913469308,-1,1,-9,-97,-5,1,-3,-2
1508969913469308,-1,0,39,38,-23,-10,-6,-3
1508969913491434,1,-5,-64,-37,-25,-9,-4,3
1508969913491434,3,11,30,-39,-29,-3,-1,-1
1508969913491434,-5,-22,-52,-23,1,-6,1,2
1508969913491434,-3,-5,-1,42,15,4,-2,-3
1508969913514661,5,3,2,26,3,2,1,1
1508969913514661,1,6,15,-4,-36,-10,-2,-2
1508969913514661,-3,11,66,83,-25,-11,-6,-5
1508969913514661,0,0,-32,-31,13,12,4,1
1508969913536802,1,14,14,-13,-12,-5,0,2
1508969913536802,-4,7,4,57,2,-6,-3,-4
1508969913537675,5,16,43,59,0,-1,-2,2
1508969913537675,-4,-7,-12,12,8,6,-1,-3
1508969913550778,-2,-2,30,-4,5,6,3,-2
1508969913550778,-1,-12,-31,-30,-11,-9,-2,-2
1508969913551714,-2,-6,-1,-55,-35,-12,-6,-3
1508969913551714,1,-11,-18,20,19,9,5,2
1508969913564974,1,-9,-5,-36,8,0,-2,0
1508969913564974,-2,-8,23,19,1,1,-1,-3
1508969913581032,-2,-4,-14,4,-11,-5,-2,-2
1508969913581032,2,-9,-6,-31,16,4,0,0
1508969913588961,-1,3,22,4,-37,-10,-4,-2
1508969913588961,0,-2,-23,-12,1,2,-1,1
1508969913588961,-3,-5,-22,-24,26,7,2,0
1508969913588961,1,3,14,13,-11,-3,-2,-2
1508969913611183,3,5,19,-15,-7,-3,0,1
1508969913611183,0,-2,-11,6,7,2,-1,-1
1508969913612073,0,-1,-30,-13,15,8,0,1
1508969913612073,-2,-1,10,36,10,-3,1,0
1508969913634276,3,4,-1,19,10,4,1,1
1508969913634276,-3,-4,-13,-17,-6,1,-4,-4
1508969913635275,-3,-11,7,5,9,-6,-1,0
1508969913635275,-3,-2,-7,-26,-13,1,-3,-3
1508969913648456,-3,-2,3,0,-7,-6,-2,-4
1508969913648456,-2,2,0,0,4,7,-1,-2
1508969913649312,-1,-1,-13,22,24,8,5,1
1508969913649312,-5,-2,2,-13,-15,-10,-7,-2
1508969913670371,-2,4,6,-10,-12,-3,-4,-1
1508969913670371,-4,-3,1,2,-14,-7,-4,-2
1508969913671403,-4,-3,-3,-12,1,3,0,-2
1508969913671403,-2,4,3,6,13,1,0,-1
1508969913685407,0,-1,-2,7,-8,-2,-1,-2
1508969913685407,2,1,-6,-12,-4,-3,0,1
1508969913693427,0,-3,-12,18,-3,-1,-1,0
1508969913693427,0,-8,1,-5,-6,-7,-2,-1
1508969913708495,-5,-8,-13,2,4,1,1,-1
1508969913708495,1,3,7,-12,-10,-1,0,1
1508969913709492,-1,-2,-3,2,4,1,2,1
1508969913709492,-2,6,2,4,3,1,-2,-3
1508969913730618,-1,0,-5,1,-9,-4,-6,-5
1508969913730618,3,0,-7,7,10,-1,0,0
1508969913731543,-6,0,-3,-7,-2,3,4,0
1508969913731543,2,-1,4,6,1,-1,1,-2
1508969913761627,2,-2,-4,-9,-13,-7,0,4
1508969913761627,5,0,-3,-4,-6,0,-1,-1
1508969913762612,-6,4,1,-4,6,0,-1,-3
1508969913762612,1,-10,-5,-4,-5,-3,2,5
1508969913768716,-6,-4,6,-7,0,-2,-6,-3
1508969913768716,-2,-4,1,6,-4,1,1,-2
1508969913769630,3,1,0,-2,2,0,3,2
1508969913769630,0,1,-4,-7,-1,-1,-2,-4
1508969913790844,3,1,-8,6,0,0,2,0
1508969913790844,-2,-4,6,3,-1,-1,-2,5
1508969913791689,20,0,6,-18,2,-7,-8,-2
1508969913791689,-14,6,-7,-1,-20,11,-1,-2
1508969913814812,-17,-17,6,12,12,3,-2,-1
1508969913814812,-9,-5,3,1,5,-3,-2,-10
1508969913814812,0,-4,-4,-4,0,-1,8,35
1508969913814812,19,7,4,-4,-2,-8,-17,-40
1508969913828920,20,12,-3,-7,-11,-8,-11,16
1508969913828920,-14,-7,-4,0,-2,3,8,8
1508969913828920,-9,-4,-1,2,2,2,0,-19
1508969913828920,-7,-5,-2,0,3,13,40,19
1508969913850912,4,4,2,1,-3,1,4,7
1508969913850912,8,2,-1,0,2,-1,-13,-4
1508969913851912,-2,0,-7,0,-2,-4,-32,-19
1508969913851912,6,3,1,4,2,-1,12,56
1508969913874117,-1,-5,-2,-5,1,2,0,17
1508969913874117,-16,-5,-7,-1,-5,-6,-43,-58
1508969913874977,-9,4,0,-1,-2,2,7,-3
1508969913874977,2,2,3,0,2,-6,-20,-10
1508969913888336,-8,-2,0,-2,-1,0,20,15
1508969913888336,7,6,-3,1,0,-1,6,20
1508969913889196,2,0,-4,-1,0,1,-5,-27
1508969913889196,-11,-6,1,-3,3,-3,-4,-21
1508969913911416,0,0,2,-4,-3,-6,-11,-11
1508969913911416,2,1,-4,-1,-3,2,7,1
1508969913911416,-1,4,5,3,2,3,9,4
1508969913911416,4,-9,-3,-1,-1,-5,-5,6
1508969913933645,0,5,0,1,-1,1,-2,-14
1508969913933645,4,-1,-3,-1,-2,1,8,15
1508969913934509,1,1,0,-2,0,2,6,11
1508969913934509,-4,1,1,-3,-2,-3,-5,-5
1508969913948769,9,0,0,-2,1,1,1,10
1508969913948769,-21,4,0,0,0,0,3,-35
1508969913948769,5,4,-1,0,-1,-2,-3,12
