timestamp,x,y,z
1508969898843290,-79.4375,48.1875,39
1508969898873180,-101.438,82.0625,57.875
1508969898883239,-97.4375,104.5,72.9375
1508969898902763,-84.875,113.5,86.625
1508969898925821,-43,123.438,99.9375
1508969898948885,-3.8125,126,112.875
1508969898963924,-13.3125,121.688,116.625
1508969898985989,-18.0625,116.563,114.688
1508969899031139,-11.5,97.0625,111.125
1508969899041463,-28.125,66,151.125
1508969899047427,-33.0625,128.5,162.875
1508969899070427,2.1875,140.5,155.063
1508969899085468,19.0625,128.688,176.938
1508969899114560,28.1875,133.875,171.375
1508969899152694,40.6875,144.438,161.5
1508969899153666,43,153.25,159.063
1508969899165874,30.875,161.625,146.938
1508969899189016,19.0625,160.125,138.75
1508969899204071,17.875,151.438,135.25
1508969899227975,17.375,143.438,128.75
1508969899249092,-10.3125,134.438,116.813
1508969899265073,-21.625,119.5,116.625
1508969899287265,-14.9375,106.688,120.125
1508969899309264,7.5,93.5625,117.125
1508969899325514,13.125,92.75,112.813
1508969899347608,-8.75,78.6875,113.063
1508969899368679,-15.875,31.4375,104.375
1508969899384676,-17.5625,-18.5,87.25
1508969899407733,-18.3125,-40.75,59.9375
1508969899429160,-30.9375,-31.6875,7.9375
1508969899445158,-12.9375,-24.8125,5.25
1508969899467237,3.9375,-18.625,20
1508969899488367,-12.25,-16.875,15.875
1508969899505283,-23.75,-7.5,2.25
1508969899528535,-15.0625,1.375,-1.6875
1508969899548796,-17,8.0625,-3
1508969899564692,-17.5,7.9375,-10.75
1508969899587752,-9.75,5.8125,-16.1875
1508969899608807,-3.6875,7.5625,-14.9375
1508969899632871,3.5625,3.875,-13.625
1508969899647946,-0.5625,-3.25,-12.375
1508969899668976,1.125,-9.375,-10.3125
1508969899685011,5.75,-6.6875,-7.5
1508969899707112,10.0625,-0.3125,-8.5625
1508969899730145,6.5,2.375,-11.375
1508969899745170,0.4375,-1.8125,-12.3125
1508969899767230,3.0625,-3.0625,-11.875
1508969899790295,5.1875,0.1875,-12.625
1508969899805331,-0.6875,2.3125,-15.0625
1508969899827398,-3.9375,-1,-20.9375
1508969899850480,-1.875,-10.0625,-31.8125
1508969899864487,-2.5625,-20.0625,-43
1508969899887549,-3.1875,-33,-54.6875
1508969899909738,-4.4375,-56.9375,-62.125
1508969899923911,-18.3125,-93.625,-75.625
1508969899947961,-37.9375,-119.25,-83.125
1508969899970192,-26.875,-125.188,-87.125
1508969899984438,2.25,-130.875,-97.75
1508969900007713,7.625,-135.5,-112.875
1508969900037793,-16.5625,-149.5,-132.438
1508969900050935,-31.75,-147.563,-143.813
1508969900067981,-13.4375,-146,-150.313
1508969900090035,5.375,-152.938,-159.688
1508969900111249,3.3125,-153.313,-172.875
1508969900135156,4.9375,-135.188,-184
1508969900150198,39,-126.438,-186.938
1508969900172290,-13,-132.125,-177.625
1508969900193309,0.5625,-117.938,-172.75
1508969900209351,99.1875,-79.5,-142.75
1508969900232414,120.75,-64.125,-86.0625
1508969900255509,104.75,-92.4375,-77.125
1508969900269516,30.5,-132.188,-85.0625
1508969900292721,-21.25,-130.875,-96.875
1508969900314764,21.0625,-113.375,-107.063
1508969900329822,43.3125,-96.5625,-84.4375
1508969900352862,3.125,-93.625,-83.625
1508969900374920,-33.6875,-106.25,-95
1508969900388995,-36.875,-111.438,-98.0625
1508969900413052,-22.5625,-108.313,-92.625
1508969900435080,-5.6875,-93.9375,-82.1875
1508969900449118,7.75,-65.75,-59.0625
1508969900472200,11.9375,-30.25,-29.8125
1508969900495241,40.5,12.5,5.9375
1508969900516583,56.75,20.4375,31.75
1508969900532545,55.8125,3.5625,33.625
1508969900554750,52.375,-0.75,24.125
