timestamp,x,y,z,w
1508970009145012,0.29541,-0.403809,0.705872,0.501343
1508970009159537,0.295288,-0.403503,0.706055,0.501404
1508970009184605,0.295166,-0.403015,0.706421,0.501404
1508970009204686,0.294922,-0.40271,0.706787,0.501282
1508970009219699,0.294861,-0.402466,0.707153,0.500977
1508970009243775,0.294861,-0.402466,0.707336,0.500732
1508970009264831,0.294739,-0.403198,0.70697,0.500671
1508970009310022,0.293823,-0.405823,0.705933,0.50061
1508970009320016,0.287476,-0.414307,0.70343,0.500854
1508970009326035,0.278564,-0.420837,0.70459,0.498718
1508970009341036,0.272217,-0.420349,0.710815,0.493835
1508970009366135,0.265686,-0.416626,0.719727,0.487549
1508970009395297,0.257568,-0.411987,0.730652,0.479614
1508970009422398,0.247986,-0.406006,0.742981,0.470703
1508970009432395,0.236206,-0.399536,0.755615,0.462097
1508970009445458,0.221619,-0.394897,0.767212,0.454163
1508970009467499,0.202515,-0.393433,0.777283,0.447144
1508970009482556,0.179504,-0.393677,0.786377,0.440918
1508970009506594,0.152954,-0.392639,0.796448,0.433655
1508970009528053,0.124695,-0.387329,0.808838,0.424438
1508970009543949,0.0933228,-0.381592,0.821472,0.413208
1508970009566992,0.0579224,-0.377686,0.83197,0.402222
1508970009588299,0.0206909,-0.373718,0.84137,0.389832
1508970009604218,-0.015686,-0.367676,0.851868,0.372681
1508970009627258,-0.0501709,-0.358459,0.86261,0.353394
1508970009647623,-0.0863037,-0.346375,0.870911,0.337646
1508970009664729,-0.123718,-0.331116,0.878052,0.322632
1508970009686787,-0.160767,-0.312134,0.884399,0.307495
1508970009707876,-0.19635,-0.294006,0.888733,0.291748
1508970009724129,-0.231384,-0.277222,0.890808,0.275635
1508970009747190,-0.265625,-0.260132,0.890808,0.261169
1508970009768250,-0.298218,-0.245667,0.887939,0.24939
1508970009784288,-0.32843,-0.233765,0.883057,0.240051
1508970009808352,-0.356567,-0.222839,0.877075,0.2323
1508970009828447,-0.381897,-0.211609,0.870972,0.225281
1508970009844476,-0.404053,-0.200989,0.864929,0.219543
1508970009872678,-0.421448,-0.193787,0.859619,0.214233
1508970009887705,-0.434326,-0.192566,0.854614,0.209534
1508970009903950,-0.444214,-0.192078,0.850464,0.206055
1508970009926856,-0.452209,-0.191956,0.846619,0.204651
1508970009948075,-0.457397,-0.1922,0.84375,0.204834
1508970009963990,-0.461304,-0.192078,0.841614,0.204956
1508970009987019,-0.463501,-0.193848,0.839966,0.205017
1508970010008098,-0.464294,-0.197144,0.838623,0.205627
1508970010024115,-0.463379,-0.2005,0.838257,0.205872
1508970010046199,-0.461731,-0.203369,0.838562,0.205383
1508970010067227,-0.459961,-0.205872,0.839111,0.204834
1508970010084274,-0.458313,-0.208618,0.839294,0.204895
1508970010106358,-0.456482,-0.210144,0.839844,0.2052
1508970010127622,-0.454651,-0.210449,0.840881,0.204651
1508970010144576,-0.453125,-0.211975,0.841492,0.203918
1508970010166641,-0.451965,-0.21405,0.841553,0.204102
1508970010187934,-0.451477,-0.214966,0.841431,0.204773
1508970010203878,-0.451538,-0.215393,0.841309,0.204773
1508970010226902,-0.451172,-0.21582,0.841431,0.204712
1508970010248106,-0.451294,-0.215942,0.841248,0.204956
1508970010264000,-0.45166,-0.215759,0.840942,0.205627
1508970010287062,-0.451965,-0.215454,0.840698,0.206116
1508970010309124,-0.452026,-0.214417,0.840942,0.205994
1508970010324166,-0.452148,-0.213806,0.841125,0.205688
1508970010347223,-0.452576,-0.213989,0.84082,0.205872
1508970010369281,-0.453125,-0.213745,0.840393,0.206665
1508970010384442,-0.453125,-0.213623,0.840271,0.207397
1508970010412671,-0.453125,-0.213318,0.840271,0.207642
1508970010429564,-0.453308,-0.213745,0.840027,0.207825
1508970010451720,-0.453796,-0.214172,0.839417,0.208679
1508970010472912,-0.453918,-0.214233,0.839172,0.209412
1508970010488920,-0.453796,-0.21405,0.839233,0.209534
1508970010511909,-0.453674,-0.214355,0.839294,0.209351
1508970010533091,-0.453918,-0.215271,0.838806,0.209778
1508970010548973,-0.454224,-0.215637,0.838318,0.210632
1508970010572041,-0.454346,-0.215393,0.838196,0.211121
1508970010593256,-0.454102,-0.215393,0.838379,0.210999
1508970010609138,-0.453918,-0.215942,0.838257,0.211243
1508970010632196,-0.453918,-0.217285,0.837769,0.211731
1508970010653255,-0.453674,-0.217102,0.837646,0.212891
1508970010669297,-0.453247,-0.216431,0.837952,0.21344
1508970010691390,-0.453125,-0.216858,0.837891,0.213562
1508970010712470,-0.453247,-0.218262,0.83728,0.214233
1508970010736494,-0.453247,-0.21875,0.836853,0.215271
1508970010751514,-0.453003,-0.218079,0.836914,0.216125
1508970010772614,-0.452942,-0.217896,0.836975,0.216492
1508970010789613,-0.452698,-0.217834,0.836914,0.217041
1508970010811674,-0.451782,-0.217834,0.837097,0.218262
1508970010833776,-0.449707,-0.218323,0.837646,0.220154
1508970010855796,-0.446533,-0.219666,0.838379,0.222351
1508970010871831,-0.442139,-0.22113,0.8396,0.225037
1508970010893889,-0.436096,-0.223206,0.841187,0.229004
1508970010908943,-0.427795,-0.22699,0.842957,0.234253
1508970010932218,-0.416626,-0.232544,0.845459,0.239807
1508970010954154,-0.402039,-0.239868,0.848816,0.245605
1508970010968191,-0.384399,-0.249451,0.852661,0.250916
1508970010991255,-0.363831,-0.261047,0.856689,0.255981
1508970011015316,-0.340637,-0.274353,0.86084,0.26001
1508970011028353,-0.314514,-0.286804,0.865417,0.264282
1508970011051413,-0.285583,-0.296875,0.870544,0.269104
1508970011074491,-0.253967,-0.307434,0.874817,0.274963
1508970011095785,-0.21875,-0.321838,0.877136,0.281372
1508970011111729,-0.182678,-0.335327,0.878296,0.28772
1508970011133939,-0.145752,-0.343628,0.879395,0.295471
