timestamp,x,y,z
1508970299299573,1.05957,0.196777,0.274902
1508970299322634,1.09326,0.158203,0.308594
1508970299337674,1.06494,0.0688477,0.341797
1508970299361738,1.03271,-0.0732422,0.427246
1508970299383169,1.01563,-0.254395,0.512207
1508970299397735,1.01904,-0.297852,0.520508
1508970299421774,1.03174,-0.285156,0.574219
1508970299474915,0.935547,-0.310547,0.599609
1508970299475920,0.830566,-0.353516,0.647461
1508970299476920,0.723145,-0.51123,0.735352
1508970299488953,0.678711,-0.580078,0.775879
1508970299514144,0.563477,-0.561523,0.88916
1508970299550300,0.399902,-0.39502,0.893066
1508970299555241,0.255371,-0.345703,0.959961
1508970299601650,0.0864258,-0.336426,0.970703
1508970299602654,-0.0351563,-0.350586,0.981445
1508970299610666,-0.20459,-0.376953,1.04443
1508970299631721,-0.207031,-0.467285,1.00928
1508970299653780,-0.229004,-0.468262,1.01074
1508970299676896,-0.394043,-0.432129,1.01855
1508970299699905,-0.306152,-0.478027,0.947754
1508970299721333,-0.371094,-0.460938,0.937012
1508970299737576,-0.42334,-0.51416,0.945801
1508970299766807,-0.390137,-0.583496,1.00195
1508970299788761,-0.360352,-0.560547,0.90332
1508970299802933,-0.345703,-0.445801,0.79541
1508970299819962,-0.398926,-0.429199,0.722168
1508970299848182,-0.354004,-0.427246,0.652832
1508970299857065,-0.418945,-0.365234,0.636719
1508970299880131,-0.457031,-0.325195,0.620605
1508970299900512,-0.390625,-0.26709,0.54541
1508970299916427,-0.447266,-0.235352,0.533691
1508970299939536,-0.48877,-0.266602,0.527832
1508970299962597,-0.559082,-0.252441,0.565918
1508970299976757,-0.585938,-0.228027,0.581543
1508970299999852,-0.612793,-0.200684,0.603516
1508970300021902,-0.648438,-0.206543,0.630371
1508970300036948,-0.679688,-0.226074,0.678711
1508970300059202,-0.69043,-0.230957,0.693848
1508970300082234,-0.699219,-0.236328,0.711914
1508970300096302,-0.726074,-0.245117,0.730469
1508970300125665,-0.754395,-0.238281,0.742676
1508970300142593,-0.773438,-0.249512,0.737793
1508970300156814,-0.777832,-0.249023,0.735352
1508970300179869,-0.785156,-0.25,0.724121
1508970300201928,-0.78125,-0.253906,0.712891
1508970300216217,-0.776855,-0.252441,0.716309
1508970300239409,-0.770508,-0.261719,0.711426
1508970300262467,-0.739258,-0.243652,0.702637
1508970300276508,-0.696777,-0.21582,0.701172
1508970300299565,-0.665039,-0.221191,0.688477
1508970300321623,-0.632813,-0.250977,0.666016
1508970300336662,-0.612305,-0.26709,0.644043
1508970300359723,-0.568359,-0.267578,0.626465
1508970300381805,-0.515625,-0.28125,0.629395
1508970300402838,-0.496094,-0.29248,0.613281
1508970300419884,-0.47998,-0.337891,0.621582
1508970300441942,-0.480469,-0.399902,0.639648
1508970300462998,-0.483887,-0.408203,0.662598
1508970300479041,-0.46875,-0.426758,0.655273
1508970300502103,-0.421387,-0.447754,0.646484
1508970300523160,-0.400879,-0.497559,0.666016
1508970300539201,-0.365723,-0.506836,0.668945
1508970300562261,-0.3125,-0.568359,0.728027
1508970300584322,-0.263184,-0.602051,0.753418
1508970300607385,-0.300781,-0.541504,0.821777
1508970300621420,-0.363281,-0.469727,0.930176
1508970300644481,-0.300293,-0.53125,0.961914
1508970300667669,-0.272949,-0.569336,0.94043
1508970300681595,-0.196289,-0.533203,0.993164
1508970300704782,-0.135254,-0.595215,0.996582
1508970300726839,-0.234863,-0.567871,1.01465
1508970300748048,-0.14209,-0.500977,0.981934
1508970300765044,0.234375,-0.577148,0.950195
1508970300787104,0.308105,-0.587891,0.953125
1508970300808302,0.242676,-0.553223,0.93457
1508970300824233,0.370605,-0.541504,0.950684
1508970300847260,0.614746,-0.455078,0.849121
1508970300868529,0.595215,-0.464355,0.718262
1508970300884703,0.666992,-0.390625,0.836914
1508970300906877,0.872559,-0.481934,0.798828
1508970300927969,0.836914,-0.446777,0.847656
1508970300944862,0.685059,-0.283203,0.644043
1508970300966956,0.674316,-0.299805,0.49707
1508970300988129,1.08447,-0.278809,0.463867
1508970301004326,1.07617,-0.302246,0.372559
1508970301027241,0.942383,-0.213379,0.306641
1508970301048324,1,-0.0854492,0.351074
1508970301064391,0.949707,-0.109375,0.335938
1508970301087454,0.962891,-0.120117,0.279785
1508970301108599,0.985352,-0.0488281,0.288574
1508970301124567,1.01465,0.0605469,0.188965
1508970301147638,1.00195,0.186035,0.272949
1508970301167715,1.04053,0.369629,0.516113
1508970301184712,0.90332,0.330078,0.570801
1508970301207773,0.852539,0.106445,0.523926
