timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1508970368833933,0,5,1,4,6,1,2,-4
1508970368833933,0,-6,-6,-3,18,-1,4,4
1508970368834934,1,3,-2,6,4,-2,1,4
1508970368834934,-10,-14,-4,-30,-17,-5,-5,-4
1508970368835937,6,5,2,9,21,5,2,5
1508970368835937,10,2,-4,-30,-47,-16,8,3
1508970368838945,-10,-1,10,29,40,3,-1,-7
1508970368838945,-5,-2,-12,15,-8,22,-6,3
1508970368846001,15,4,19,43,52,9,2,1
1508970368846001,-20,-10,-28,-17,1,1,-10,-16
1508970368853991,-1,-3,2,-21,-39,-17,-3,-6
1508970368853991,5,4,-6,0,8,-14,10,13
1508970368862005,-2,-12,-2,-44,-74,0,-6,-5
1508970368862005,-2,3,10,7,18,-3,-7,2
1508970368876063,1,0,2,11,12,18,12,4
1508970368876063,5,7,11,19,23,0,22,21
1508970368891083,-8,-3,-27,-12,17,6,-59,-65
1508970368891083,-6,-9,-6,-5,-45,-6,1,-3
1508970368899119,-6,1,5,-16,-12,-8,-10,-10
1508970368899119,11,4,-8,19,9,26,41,22
1508970368907228,-9,-4,1,3,44,-7,-22,0
1508970368907228,-8,-3,-6,-17,-17,-3,-21,-12
1508970368920624,15,-3,3,14,-20,0,-2,3
1508970368920624,-25,1,2,-2,-3,-13,-40,-27
1508970368962611,-12,-7,13,-17,-3,-10,-41,-44
1508970368962611,2,28,7,22,-13,18,-2,2
1508970368962611,-9,-31,-28,4,35,-11,-22,-1
1508970368962611,14,18,7,-13,-8,24,39,29
1508970368966950,57,3,-4,1,14,-4,17,14
1508970368966950,-17,1,-7,1,-4,-13,-36,-24
1508970368967817,-2,6,2,-4,-21,-11,-20,-10
1508970368967817,17,5,2,17,5,-3,-34,15
1508970368981992,-79,-10,-7,-11,5,-4,42,-38
1508970368981992,24,-1,-1,-17,11,0,-17,16
1508970368982891,-6,-6,-2,21,-18,22,10,7
1508970368982891,-13,-6,6,-11,10,-7,62,5
1508970368988028,8,7,-3,-12,-26,-3,-67,-14
1508970368988028,-18,-27,-25,-11,9,-3,43,-7
1508970369004050,-11,2,17,-10,-6,-9,9,21
1508970369004050,21,-1,-4,22,25,3,-50,-16
1508970369010932,-24,-19,5,14,-19,-28,-77,-33
1508970369010932,16,6,8,-9,3,44,111,42
1508970369034031,3,13,-1,-4,14,3,-15,-3
1508970369034031,-14,10,4,0,-23,-12,-11,-25
1508970369034031,-9,-22,-15,-1,16,0,-45,3
1508970369034031,5,-11,-12,-1,3,-11,-23,10
1508970369048475,36,6,9,-1,2,19,37,11
1508970369048475,7,1,-2,-4,-7,-17,-65,14
1508970369049330,-24,12,12,29,13,-13,-59,-43
1508970369049330,-9,1,3,-14,-13,32,55,12
1508970369071420,-2,0,-5,-24,-1,2,-3,0
1508970369071420,-7,-9,-11,-9,-10,-10,1,22
1508970369071420,37,7,-1,2,-9,8,-4,25
1508970369071420,0,-13,5,5,-5,-23,-43,-3
1508970369094444,-4,14,0,-2,-6,-10,1,-7
1508970369094444,-18,-13,-11,-8,2,11,28,-20
1508970369095447,19,4,5,1,-2,7,67,44
1508970369095447,3,11,5,3,13,-8,-3,-3
1508970369107479,-5,-7,-6,-12,-16,-13,-41,-7
1508970369107479,-28,2,2,2,12,13,11,-44
1508970369115500,-10,8,2,15,16,16,35,-2
1508970369115500,11,-7,-1,-4,-12,-18,-62,-22
1508970369130540,1,-7,0,2,7,2,-11,2
1508970369130540,1,-2,0,-3,-7,-10,-16,-5
1508970369131556,0,-2,-10,-13,9,2,11,11
1508970369131556,-13,6,12,8,-13,1,36,-4
1508970369153601,-6,-3,-1,16,19,-10,-34,11
1508970369153601,-4,-3,-1,1,8,16,17,18
1508970369154604,5,-4,-6,-4,-10,-6,-1,3
1508970369154604,-5,2,0,-5,9,-3,-40,-46
1508970369167640,14,5,-3,-4,-5,-10,0,23
1508970369167640,-10,6,6,4,4,5,7,1
1508970369175662,22,-16,-3,0,-1,0,-4,1
1508970369175662,-49,11,-8,0,-1,-7,-79,-6
1508970369198724,6,13,1,-1,-5,11,60,4
1508970369198724,-4,-8,5,10,7,7,61,15
1508970369199726,19,17,14,1,-1,27,26,20
1508970369199726,0,-13,-7,1,6,-10,-12,-4
1508970369213819,-22,-15,-9,-7,-7,-11,-55,-35
1508970369213819,12,0,-3,-4,-3,-4,-17,10
1508970369214790,23,12,10,9,4,25,59,40
1508970369214790,-32,-29,-20,-9,-3,-38,-26,-26
1508970369227882,1,-23,-5,0,-2,10,30,4
1508970369227882,14,17,19,3,-11,-21,-62,-20
1508970369235848,3,-13,-10,-9,5,31,95,34
1508970369235848,28,10,6,2,-3,-12,-69,-25
1508970369250950,-27,-10,4,5,6,1,21,5
1508970369250950,14,-4,-5,-5,-13,-12,-41,-50
1508970369251898,-4,1,4,0,1,-7,-30,36
1508970369251898,17,9,2,-6,-12,-17,-21,-9
1508970369274077,-10,-23,-8,10,18,17,-47,-62
1508970369274077,13,11,7,-7,-6,-9,-1,13
1508970369274077,-1,6,-11,-11,3,-2,2,-39
1508970369274077,-12,-67,-15,7,11,51,17,50
1508970369288215,-11,11,-2,-8,-14,-39,49,9
1508970369288215,-19,-14,-21,-17,-10,-46,-100,-30
1508970369295238,17,20,1,-9,-21,-65,57,-59
1508970369295238,-7,14,19,14,22,52,-30,4
1508970369311475,38,0,-5,-5,-7,28,-2,70
1508970369311475,5,1,9,5,6,6,93,79
1508970369311475,-48,16,5,8,9,-41,-11,-6
1508970369311475,21,9,0,-5,-10,-3,-3,-44
1508970369341511,26,-5,-7,1,-9,-22,-39,4
1508970369341511,-6,-8,1,5,1,-10,5,51
1508970369342510,-21,13,-1,-1,-1,-28,-69,-63
1508970369342510,14,39,1,-4,-1,46,46,-11
1508970369347846,-25,-24,0,3,15,13,-32,-61
1508970369347846,-23,-9,-9,-15,-21,-27,100,20
1508970369355865,36,25,15,13,-4,3,39,36
1508970369355865,-8,-28,-2,2,3,-12,-21,33
1508970369371025,13,18,6,0,0,2,32,-2
1508970369371025,-5,14,-4,4,17,51,-8,-30
1508970369371882,-20,-47,-6,-18,12,25,-17,16
1508970369371882,14,33,3,9,-42,-38,95,56
1508970369393286,-13,7,12,13,23,24,-18,-15
1508970369393286,-2,-35,-13,-6,-8,-10,-75,-58
1508970369394146,-4,-24,-15,-8,-1,-1,-60,-21
1508970369394146,-7,-11,-8,-11,-10,-30,-2,5
1508970369408321,-26,7,4,-3,-3,-3,57,-10
1508970369408321,6,7,3,16,18,44,-33,-30
1508970369415360,-3,-27,-21,-16,-17,6,-35,9
1508970369415360,-11,6,6,-6,-29,-59,-48,-39
1508970369431521,3,9,3,0,5,22,76,43
1508970369431521,54,-27,-10,-11,3,-29,-33,53
1508970369431521,-8,0,-6,0,-3,37,-13,12
1508970369431521,5,-8,7,3,23,7,40,-23
1508970369453490,9,14,14,-2,-15,-12,9,14
1508970369453490,-20,-4,-9,-2,-6,4,-39,-69
1508970369454492,25,2,4,9,12,29,103,78
1508970369454492,9,22,20,20,13,20,63,34
1508970369467612,-7,-13,-12,-5,-8,-12,-58,-73
1508970369467612,9,5,13,11,-3,-35,-27,0
1508970369475572,-1,13,-18,-12,-6,-2,35,56
1508970369475572,1,15,11,-7,-4,-21,-32,-39
1508970369490587,-26,-6,-4,9,21,6,-10,-20
1508970369490587,2,17,-1,-11,-20,13,34,-8
1508970369491590,3,20,25,9,-2,-15,-44,-11
1508970369491590,-20,-36,-13,-5,7,-12,0,-17
1508970369513792,19,9,-4,-2,-14,-2,-7,20
1508970369513792,-11,-10,0,12,26,20,44,71
1508970369514653,-20,11,4,-1,-24,-3,-41,-98
1508970369514653,3,3,-1,-6,13,12,-7,35
1508970369535710,10,-45,-10,-7,-12,-19,-69,9
1508970369535710,-19,6,4,0,4,22,51,14
1508970369536711,-6,24,3,0,-4,-2,8,32
1508970369536711,5,-42,-13,-7,-2,1,-70,10
1508970369550898,-10,-5,2,1,4,11,49,-9
1508970369550898,-66,-28,-11,-8,-9,-2,13,-31
1508970369551753,-2,-16,-2,7,7,-18,-59,3
1508970369551753,-18,13,-3,-6,-5,-6,0,-50
1508970369574020,28,18,7,-3,-7,-3,-10,-48
1508970369574020,30,15,6,-6,-10,6,33,45
1508970369574020,-25,-28,-5,-3,14,2,8,0
1508970369574020,-17,7,-15,-10,-5,4,9,9
1508970369588058,-38,-4,1,-6,-6,-32,-62,-45
1508970369588058,46,27,5,10,5,8,-14,1
1508970369595205,42,9,4,4,-4,-1,5,43
1508970369595205,24,3,-2,0,6,6,28,35
1508970369611267,-6,19,-1,1,4,1,-10,11
1508970369611267,9,17,2,-3,4,5,-28,-22
1508970369612108,-14,4,10,3,-3,-6,-27,6
1508970369612108,-6,-44,-35,-9,-3,0,-4,-31
1508970369633546,24,22,5,-2,-5,-8,10,51
1508970369633546,-26,-41,-5,-2,-5,-7,-13,-41
1508970369634441,-28,-5,-14,0,10,18,22,-62
1508970369634441,13,27,16,8,-11,-11,20,18
1508970369648480,-11,-4,-5,-5,3,-1,-48,-28
1508970369648480,15,-7,-13,-4,-1,6,47,14
1508970369655613,-36,-15,-1,0,3,-7,-54,-44
1508970369655613,25,-8,2,-3,-2,7,13,-3
1508970369671506,2,-19,-13,-4,-4,-3,31,18
1508970369671506,-13,33,21,6,7,6,-30,-2
1508970369671506,-4,-17,-11,-8,-13,-11,-3,-7
1508970369671506,1,48,16,9,15,14,18,29
1508970369693563,14,-53,-2,1,0,5,6,0
1508970369693563,3,-1,-5,-5,-15,-21,-9,8
1508970369694566,22,-11,-3,-3,8,9,68,43
1508970369694566,-24,-13,0,2,-2,0,-23,6
1508970369707628,14,16,5,5,8,-5,-14,12
1508970369707628,11,1,-3,-1,-1,-1,1,-12
1508970369715621,18,-12,-11,-5,-4,-5,-20,9
1508970369715621,-27,-14,-4,-2,-3,-6,-1,-21
1508970369730662,-15,9,-2,2,-2,5,8,-11
