timestamp,x,y,z
1508970044604596,-9.75,4.875,3.1875
1508970044620637,-12.75,5.25,4.125
1508970044641723,-18.5,4.6875,2.375
1508970044667013,-27.375,4.5625,-0.4375
1508970044687537,-32.125,4.125,-0.6875
1508970044702632,-28.9375,6.75,0.75
1508970044725693,-23.5,10.1875,3.625
1508970044756157,-22.1875,13.375,3.375
1508970044765199,-31.25,11.6875,-2.3125
1508970044778201,-73.1875,15.5625,-2
1508970044801141,-137.625,32.1875,17.5
1508970044822474,-169.188,57.75,32.5
1508970044838393,-136.313,78.3125,42.75
1508970044891610,-79.9375,88.3125,64.625
1508970044892585,59.5625,90.125,86.75
1508970044899604,132.25,111.813,101.438
1508970044919743,115,142.938,121.313
1508970044942866,98.25,138.438,102.188
1508970044966785,-124.313,167.25,127.938
1508970044988107,-241.75,166.688,110.188
1508970045004118,-230.625,156,99.9375
1508970045026229,-133.938,169.375,192.063
1508970045047459,16.5625,156.313,175.875
1508970045064402,80.0625,155.188,160.063
1508970045086419,69,166.375,169.813
1508970045107504,55.25,180.313,176.563
1508970045123669,17.0625,201.438,172.438
1508970045146580,-12.5,212.063,161.625
1508970045167734,-2.625,215.563,160.563
1508970045183981,21.875,215.125,159
1508970045206183,41,211,158.375
1508970045227438,53.625,202.5,168.188
1508970045243689,71.125,197.313,172.938
1508970045266602,83.9375,187.25,178.188
1508970045287807,96.3125,165.25,182.188
1508970045303847,101,126.5,182.938
1508970045326908,89.8125,90.6875,183.5
1508970045347325,83.6875,60.9375,176.813
1508970045364233,77.5,41.9375,167.563
1508970045392449,63,23.8125,138.875
1508970045407486,46.5625,-0.25,103.938
1508970045424392,33.8125,-19.3125,83.4375
1508970045446456,25.9375,-25.9375,65.8125
1508970045467738,7.1875,-22,38.0625
1508970045484992,-3.1875,-9.875,13.9375
1508970045506090,-5.0625,0.125,3
1508970045527375,-5.4375,7.4375,-3.875
1508970045543272,-12.75,11.125,-13.9375
1508970045566333,-22.375,11.75,-23.4375
1508970045589420,-22.6875,5.375,-27.5
1508970045603432,-18.75,1.3125,-22.0625
1508970045626522,-10.625,1.375,-14
1508970045648550,-11.5,-0.5625,-14.75
1508970045663590,-11.5625,2.4375,-12.125
1508970045686691,-10.0625,8.5625,-15.625
1508970045708711,-8.625,13.5625,-15.375
1508970045722762,-4.375,15.8125,-11.625
1508970045746812,-4,16.125,-13
1508970045768871,-7,16.25,-26.0625
1508970045789926,-10.8125,19.8125,-37.4375
1508970045805974,-10.5,23.1875,-48.75
1508970045836051,-17.4375,22.875,-66.25
1508970045857105,-31.9375,9.9375,-87.875
1508970045872146,-42.8125,-5.5,-101.063
1508970045889192,-48.375,-25.8125,-109.813
1508970045911279,-60.375,-58.0625,-117.25
1508970045950391,-71.5625,-103.438,-116.125
1508970045956370,-86.5,-152.063,-108.25
1508970045971637,-100.938,-186.5,-104.438
1508970045992734,-110.875,-178.688,-105.188
1508970046008754,-104.563,-154.063,-119.75
1508970046031928,-105.813,-161,-131.875
1508970046053983,-118.5,-173.438,-130.75
1508970046068024,-138.5,-181.125,-136.25
1508970046099132,-132.188,-193.563,-151.125
1508970046114147,-98.75,-198.813,-158.375
1508970046128184,-44.9375,-210.688,-152.625
1508970046151347,5.9375,-209,-149.688
1508970046175410,37.5625,-183.875,-151.125
1508970046188538,38.125,-139.5,-158.563
1508970046211615,3.125,-128.063,-156.063
1508970046233703,-64.625,-124.438,-140.688
1508970046248701,-120.938,-99.3125,-141.75
1508970046271759,-99.625,-59.3125,-145
1508970046293853,-22.75,-29.9375,-131.188
1508970046315107,86.1875,-17.625,-105.625
1508970046331046,82.75,-23.625,-113.125
1508970046354068,81.375,-39.25,-120.5
1508970046375158,51.625,-29.8125,-117.938
1508970046391207,20.6875,-20.25,-95.75
1508970046414298,15,-9.4375,-69
1508970046435475,4,-35.75,-80.5
1508970046451510,-33.375,-80.6875,-86.9375
1508970046473577,-64.75,-103.125,-100.625
1508970046494889,-28.75,-73.3125,-108
1508970046511793,11.5625,-51.75,-85.6875
1508970046533891,16.875,-44.875,-58.8125
1508970046555261,0.9375,-43.3125,-34.0625
1508970046571201,17.625,-17.5,-9.9375
1508970046594224,26.8125,-4.375,13
1508970046615430,27.5,-5.0625,14.6875
1508970046631328,15.125,-0.0625,12.9375
1508970046654384,8.6875,3.9375,14.4375
1508970046674435,10.25,3.5625,14.375
1508970046691488,8.5,3.5,16.1875
1508970046713589,11.3125,1.4375,14.5
